id,subject_area,q,oa,ob,oc,od,oe
99dddd90-40d9-5392-b173-8449daea55bc,KIMYA,"Katı - katı homojen karışımlara özel ad olarak ""alaşım"" denilmektedir.
Buna göre, aşağıda verilenlerden hangisi alaşım sınıfında değildir?",18 ayar altın,Lehim,Çelik,Kalay,Tunç
326a8978-06f5-5023-820d-cb929099263c,KIMYA,"I. Karışım: Kum - odun talaşı
II. Karışım: Şeker - su
III. Karışım: Kum - su
Yukarıdaki karışımları bileşenlerine ayırmak için kullanılması gereken en uygun ayırma yöntemleri seçeneklerden hangisinde doğru verilmiştir?",Yüzdürme / Basit damıtma / Süzme,Yüzdürme / Süzme / Kristallendirme,Özütleme / Ayrımsal damıtma / Yüzdürme,Özütleme / Süzme / Yüzdürme,Kristallendirme / Basit damıtma / Süzme
9ce01b33-a20f-535b-b606-d51155dcda08,KIMYA,"Doğal su döngüsü, I. iklim ve bitki çeşitliliği, II. yabani hayvanların göçü, III. insanların yerleşim yerleri ve sosyal yaşamları yukarıdakilerden hangilerini etkiler?",Yalnız I,Yalnız II,I ve II,II ve III,"I, II ve III"
a0d5e02e-eb57-5e4e-9852-0872cca25cd4,KIMYA,"Sodyum bikarbonat tuzu ile ilgili, I. Formülü $NaHCO_3$'tür. II. Yaygın adı yemek sodasıdır. III. Gıda endüstrisinde asitlik düzenleyici olarak kullanılır. ifadelerinden hangileri doğrudur?",Yalnız I,Yalnız III,I ve II,II ve III,"I, II ve III"
2d4ce959-3adc-558f-ac66-acff26233111,KIMYA,Aşağıdaki karışım sınıflarından hangisinin karşısında verilen örnek yanlıştır?,"Süspansiyon
Naftalinli - su","Emülsiyon
Alkol - su","Aerosol
Sis","Kolloit
Kan","Adi karışım
Toprak"
aba4c332-9518-5245-bc6a-39d9907380e3,KIMYA,"Aşağıda belirtilen koşullarda bulunan gazlardan hangisi ideale en yakındır?
(H: 1, He: 4, C: 12, N: 14, O: 16, S: 32)","He, 0.5 atm, 273 K","CH$_4$, 0.5 atm, 273 K","O$_2$, 1 atm, 273 K","NH$_3$, 1 atm, 273 K","SO$_2$, 1 atm, 273 K"
b99e46ba-c6f0-53ef-86f3-0ec14ba90e21,KIMYA,"I. Sürdürülebilir enerjiye ve kalkınmaya destek olur.
II. Çevre ve doğal enerji kaynaklarının korunmasını sağlar.
III. Petrol ithalatının azaltır.
IV. Biyokütleden enerji üretimi özellikle tarım işçiliğine gereksinimi azaltır.
V. Enerji tarımının gelişmesini engeller.
Yukarıda verilenlerden kaç tanesi biyokütle enerjisinin faydaları arasında yer alır?",5,4,3,2,1
c2b2683c-e74b-5a34-9b84-b89fbf00be98,KIMYA,"Simya döneminde simyacıların yaptığı çalışmalar kimya bilimine çok sayıda katkı sağlamıştır. Bu dönemde uygulanan ve hâlâ günümüzde de kimya laboratuvarında madde analizi ve sentezinde kullanılan yöntemler vardır.
Buna göre;
I. kristallendirme,
II. elektroliz,
III. çöktürme,
IV. damıtma,
V. buharlaştırma
yöntemlerinden hangisi simya döneminden günümüze aktarılan yöntemler arasında yer almaz?",I,II,III,IV,V
c2df4314-47e5-51a3-a014-03f1c47ae974,KIMYA,"Çözünürlüğü sıcaklıkla artan glikozun doymamış sulu çözeltisi kaynayıncaya kadar ısıtılıyor.
Buna göre, kaynamaya başlayan sulu çözelti ile ilgili;
I. Sıcaklığı bir miktar daha yükselir.
II. Çözünen madde miktarı artar.
III. Molar derişimi bir miktar artar.
yargılarından hangileri doğrudur?",Yalnız I,Yalnız II,I ve II,I ve III,"I, II ve III"
d12a76bc-4d27-5d70-9a88-c7a135da9c5f,KIMYA,Aşağıda bazı ayırma yöntemleri ve bu yöntemlerde kullanılan ayırt edici özellik eşleştirmesi yanlış verilmiştir?,Ayırma Hunisi - Özkütle,Süzme - Tanecik boyutu,Ayrımsal Damıtma - Hal değişimi,Diyaliz - Özkütle,Ekstraksiyon - Çözünürlük
d8d8c967-9958-5950-a981-d03eab8072d0,KIMYA,"Maddeler, saf madde ve saf olmayan madde şeklinde sınıflandırılır. Saf olmayan maddeler ise karışımlardır. Buna göre; I. heterojen görünümlü olma, II. iki ya da daha fazla cins atom içerme, III. fiziksel yöntemlerle bileşenlerine ayrılabilme özelliklerinden hangileri kesinlikle karışımları saf maddelerden ayıran özelliklerdendir?",Yalnız I,Yalnız II,Yalnız III,I ve III,II ve III
450c2a98-5851-5a48-b8dc-d538f5e87c08,KIMYA,"I. Maddelerin gaz hâlinden plazma hâline geçişinde net ve sabit bir sıcaklık değeri vardır.
II. Plazmanın kütlesinin büyük çoğunluğunu serbest hâldeki yüklü parçacıklar oluşturur.
III. Plazmalarda madde tanecikleri bulundukları kapta bulut şeklinde kümeler.",Yalnız I,Yalnız II,I ve II,I ve III,II ve III
83efe97f-865b-513f-8ab1-ec622e2fbd11,KIMYA,"$XY_3$ molekülü su ile homojen karışım oluşturmaktadır.
Buna göre, $XY_3$ molekülü ile ilgili;
I. Bağ açısı $120^	ext{o}$ dir.
II. Polar moleküldür.
III. X atomu $3A$ grubundandır.
yargılarından hangileri doğrudur?",Yalnız I,Yalnız II,Yalnız III,I ve II,II ve III
0aae06ea-eed3-5bd2-8342-469b2d90d249,KIMYA,Aşağıda verilen gazlardan hangisinin hava kirletici özelliği yoktur?,$SO_2$,$NO_2$,$CO_2$,$O_2$,$CO$
ea8c10bc-2cc6-57d8-b556-0dd02ef290a0,KIMYA,Aşağıdaki katı örneklerinden hangisinin sabit bir erime noktası yoktur?,Kuvars,Tereyağı,Şeker,Kalay,Sud kostik
fb394942-f0e7-56d7-b882-76e4130c125c,KIMYA,"Sera etkisi ile ilgili,
I. Güneş ışınlarının atmosfer tarafından hapsedilmesi olayıdır.
II. Karbondioksit, su buharı, CFC gazları sera etkisine neden olan başlıca gazlardandır.
III. Günümüzde en önemli çevre sorunları arasındadır.
ifadelerinden hangileri doğrudur?",Yalnız I,Yalnız II,I ve II,I ve III,"I, II ve III"
50e805fc-0a09-5d52-8db2-b9192fba9afb,KIMYA,Aşağıdaki özelliklerden hangisi saf maddelerin ayırt edici özelliği değildir?,Çözünürlük,Öz hacim,Hacim,Erime ısısı,Öz kütle
a0d439b4-5bbf-5129-89cf-0c16fd4cbac7,KIMYA,Aşağıdakilerden hangisi su kirliliğinin neden olduğu sorunlar arasında yer almaz?,Su kaynaklarında toplu balık ölümleri,"İnsanlarda tifo, dizanteri gibi hastalıkların oluşması",Sahillerde deniz salyası olarak bilinen müsilaj oluşması,Sağlıksız tarım ürünlerinin üretilmesi,Canlılarda nefes alıp vermenin zorlaşması
f1e02ff3-771b-55ba-9afd-1d0d5962fb52,KIMYA,Sert sularla ilgili; I. Makinalarda kireçlenmeye neden olarak zarar verir. II. Sabunun temizleme gücünü azaltır. III. Tadı güzel ve içimi rahattır. yargılarından hangileri yanlıştır?,Yalnız I,Yalnız II,Yalnız III,I ve II,II ve III
ec75e22f-eaaa-5568-a7eb-790a3f4ba332,KIMYA,I. Kaynak suyu II. Deniz suyu III. Göl suyu Yukarıdakilerden hangileri herhangi bir arıtma tabi tutulmadan içilebilir ve kullanılabilir su kaynaklarıdır?,Yalnız I,Yalnız II,I ve III,II ve III,"I, II ve III"
fbb478bf-8d35-5712-b8bc-ceb7c4310815,KIMYA,"Gaz fazındaki maddeler ile ilgili,
I. $0^	ext{o}C$ ve 1 atm'de 1 molü 22,4 litre hacim kaplar.
II. $25^	ext{o}C$ ve 1 atm'de 1 molü 24,5 litre hacim kaplar.
III. Aynı şartlar altında eşit tanecik sayıları eşit hacim kaplar.
verilenlerden hangileri doğrudur?",Yalnız I,I ve II,I ve III,II ve III,"I, II ve III"
5a81feae-2194-5a77-b20f-0bf193a90e2f,KIMYA,"Fosil yakıtların birçok kullanım alanı bulunmaktadır.
Buna göre,
I. Mazot
II. Benzin
III. Antrasit
hangileri günümüzde motorlu araçlarda doğrudan yakıt olarak kullanılabilir?",Yalnız I,Yalnız II,Yalnız III,I ve II,"I, II ve III"
6ab34515-2262-5d59-a608-6efac21551dc,KIMYA,"Yukarıda kir ve sabunun etkileşimi ile ilgili,
I. Sabunun a kısmı su ile etkileşir.
II. Sabunun b kısmı kir ile etkileşir.
III. Sabunun b kısmının ve kirin molekül yapısı birbirine benzer.
yargılarından hangileri doğrudur?",Yalnız I,I ve II,I ve III,II ve III,"I, II ve III"
b5da6ed6-73f9-50b1-81a0-852df1d75156,KIMYA,"Yanda verilen malzemeler ile ilgili, I. I.si huni, II.si ayırma hunisidir. II. I.si katı + sıvı heterojen karışımların ayrılmasında kullanılır. III. II.si birbiri içerisinde çözünebilen sıvı + sıvı homojen karışımlarının ayrılmasında kullanılır. İfadelerinden hangileri doğrudur?",Yalnız I,I ve II,I ve III,II ve III,"I, II ve III"
634c215b-53ff-5672-b70c-4fca5764b276,KIMYA,"Joule - Thomson Olayı ile ilgili;
I. Gaz genleşirken soğur.
II. Soğutma sistemlerinde kullanılır.
III. Bisiklet teker şişirilirken sibobun soğuması bu olay ile ilgilidir.
yargılarından hangileri doğrudur?",Yalnız I,Yalnız II,I ve II,I ve III,"I, II ve III"
6273eeca-df9e-507f-afa5-b271cb4650d7,KIMYA,"$t^{\circ}C$'de 4 mol suda 6 mol şeker çözünüyor. Buna göre, oluşan çözeltinin buhar basıncı kaç mmHg'dir? ($t^{\circ}C$'de saf suyun buhar basıncı 30 mmHg'dir.)",4,8,12,14,16
88089281-1d58-5dbc-84f5-1713a3ca090d,KIMYA,Aşağıdakilerden hangisi suyun vücudumuza sağladığı yararlardan biri değildir?,Besinlerin sindiriminde rol oynar.,Günlük harcanan kalori miktarını azaltarak kilo almayı kolaylaştırır.,Toksik maddelerin dışarı atılmasını sağlar.,Vücudun ısı dengesini sağlar.,Kayganlaştırıcı etkisi nedeniyle eklem ve organların rahat çalışmasını sağlar.
9067fb28-7954-5896-be78-7d96680fbb2c,KIMYA,"Yenilenebilir enerji kaynakları ile ilgili;
I. Çevre dostudur.
II. Ana kaynağı genellikle güneştir.
III. Kömür, petrol ve doğal gaz örnek verilebilir.
yargılarından hangileri doğrudur?",Yalnız II,I ve II,I ve III,II ve III,"I, II ve III"
2e92bb57-7353-5092-abeb-13bdd8bf4655,KIMYA,"Antifriz, araba radyatörlerinde donmayı önlemek için kullanılan etilen glikol ve su karışımı bir çözeltidir. Sivas'ta hava sıcaklığının $-37,2 \text{ °C}$'ye kadar düştüğü bir kış gecesinde arabasının motor suyunun donmamasını isteyen Züleyha, radyatör bölmesine antifriz ekleyecektir. $1 \text{ kg}$ su kullanarak hazırlanacak olan antifriz çözeltisinin bu sıcaklıkta donmaması için en az kaç litre etilen glikol kullanılması gerekmektedir? (Etilen glikol için mol kütlesi: $62 \text{ g/mol}$, yoğunluk: $1,24 \text{ g/mL}$'dir. Su için molal donma noktası düşmesi sabiti $K_d = 1,86 \text{ °C/m}$'dir. Etilen glikolün suda moleküler çözündüğü varsayılacaktır.)","$0,5$","$0,75$",$1$,"$1,25$","$1,5$"
533b095d-cc02-5102-95e5-72f0aa2f7438,KIMYA,Verilenlerden hangileri su kirliliğine neden olan doğal sebeplerdendir? I. Sanayileşme II. Yağmur suları III. Kimyasal gübreler,"I, II ve III",II ve III,I ve II,I ve III,Yalnız II
0b4a3663-3dd3-56cd-919e-1217905fa2a4,KIMYA,"Buharlaşma olayı ile ilgili, I. Sıvı moleküllerinin buhar haline geçmesidir. II. Sıvı yüzeyinde gerçekleşir. III. Buharlaşma esnasında sıvı veya ortam soğur. yargılarından hangileri doğrudur?",Yalnız I,I ve II,I ve III,II ve III,"I, II ve III"
215a7850-f623-5c83-b432-0b0d0fe1e7e7,KIMYA,"Kristal katılar ile ilgili, I. Katıyı oluşturan tanecikler düzenli bir şekilde istiflenmiştir. II. Belirli bir geometrik şekilleri ve erime noktaları yoktur. III. Isıtıldıklarında belirli bir sıcaklık aralığında yumuşarlar. yargılarından hangileri doğrudur?",Yalnız I,Yalnız III,I ve II,I ve III,"I, II ve III"
c2564478-4993-535e-a6b2-9888e18b6bb4,KIMYA,Verilenlerden hangileri içilebilir özellikteki suyun özelliklerindendir? I. Bulanıklık ve tortu içermemelidir. II. Acı olmamalıdır. III. İçerisinde bol miktarda $Ca^{2+}$ ve $Mg^{2+}$ iyonları içermelidir.,"I, II ve III",II ve III,I ve II,Yalnız II,Yalnız III
b852493b-97dc-54f0-aa16-6fb2891705cd,KIMYA,"$A_2$ ve $B_2$ gazlarının bulunduğu kapalı bir kaptaki toplam basınç 2 atm olarak ölçülmüştür. $A_2$ gazının mol kesri 0,4 olduğuna göre kaptaki $B_2$ gazının basıncı atm cinsinden aşağıdakilerin hangisinde doğru verilmiştir?","0,4","0,8","1,2","1,6","1,8"
3a6051a3-aab8-5454-b1f4-268997c0fde8,KIMYA,"50 mL alkol ile hazırlanan sulu çözeltideki alkolün kütlece yüzdesi $25$'tir. Buna göre, çözeltinin kütlesi kaç gramdır? ($d_{alkol} = 0,8 \ g/mL$)",100,160,200,240,300
711d91a2-187f-567b-9770-aa644267b02f,KIMYA,"1 atmosfer basınçta moleküler yapılı bir maddenin 14,4 gramı 40 gram saf suda çözünmesiyle oluşan çözeltinin kaynama noktası saf suyunkinden 1,04 °C daha yüksektir.
Buna göre, bu maddenin mol kütlesi kaçtır?
(Saf su için $K_b = 0,52 \text{ °C/m}$)",45,96,116,180,208
aea78c5d-317d-5225-927a-84c963a9a83b,KIMYA,"$1,2 \text{ M } 400 \text{ mL Al}_2(SO_4)_3$ sulu çözeltisine aynı sıcaklıkta $1,2 \text{ M } 800 \text{ mL Al}_2(SO_4)_3$ sulu çözeltisi eklenirse oluşan çözelti ile ilgili;
I. $\text{Al}^{+3}$ iyon derişimi değişmez.
II. $\text{SO}_4^{-2}$ iyon derişimi artar.
III. $\text{SO}_4^{-2}$ iyon sayısı artar.
yargılarından hangileri doğrudur?",Yalnız I,I ve II,I ve III,II ve III,"I, II ve III"
0939f92d-2063-5f8f-89bd-8d393fd55c6b,KIMYA,"25 °C'de n mol $Ca(NO_3)_2$ tuzunun 108 gram suda tamamen çözünmesiyle hazırlanan çözeltinin buhar basıncı 20 mmHg'dir. Buna göre, hazırlanan sulu çözeltide kaç gram $Ca(NO_3)_2$ tuzu çözünmüştür? (Mol kütleleri: $H_2O = 18 \ \text{g/mol}$, $Ca(NO_3)_2 = 164 \ \text{g/mol}$, 25 °C'de saf suyun buhar basıncı = 24 mmHg'dir.)","59,5","62,5","65,6",70,"72,5"
ed8bcfd4-28e2-5c0a-90cf-542f4e94bf18,KIMYA,"Bir enerji kaynağı ile ilgili aşağıdaki bilgiler veriliyor.
• Çevre kirliliği oluşturmaz.
• Ham maddeye ihtiyacı yoktur.
• Yenilenebilir enerjidir.
Buna göre, bu enerji kaynağı aşağıdakilerden hangisinde doğru olarak verilmiştir?",Petrol,Nükleer enerji,LPG,Güneş enerjisi,Kömür
637e49b0-d691-5962-9ab8-b43834bd21dd,KIMYA,"I. Gazların hacmi, basınç ve sıcaklık değişimiyle değişebilir.
II. Bir gazın içinde bulunduğu kapalı kabın hacmine eşittir.
III. $1 \text{ dm}^3 = 1000 \text{ mL} = 10^{-3} \text{ m}^3$'tür.
Yukarıdaki ifadelerden hangileri doğrudur?",Yalnız I,I ve II,I ve III,II ve III,"I, II ve III"
45f715ef-8a5b-5298-b15c-5565943b3650,KIMYA,"I. Katı + katı heterojen
II. Sıvı + sıvı heterojen
III. Sıvı + sıvı homojen
Yukarıda verilen karışım türlerinden hangileri yoğunluk farkından yararlanılarak ayrıştırılabilir?",Yalnız I,I ve II,I ve III,II ve III,"I, II ve III"
ceaa7fa2-8e2a-5bf9-861e-8b97ebb02d3c,KIMYA,"İdeal He ve $CH_4$ gazlarının;
I. Aynı sıcaklıkta ortalama yayılma hızları
II. $127^{\circ}C$'deki $CH_4$ gazı ile $-173^{\circ}C$'deki He gazının ortalama yayılma hızı
III. $927^{\circ}C$'deki $CH_4$ gazı ile $227^{\circ}C$'deki He gazının ortalama yayılma hızı
hangileri eşittir?
(Mol kütleleri: $H=1$ g/mol, $He=4$ g/mol, $C=12$ g/mol)",Yalnız I,Yalnız II,I ve II,II ve III,"I, II ve III"
e23bf841-12d6-5a10-98f6-cf79cc556910,KIMYA,Kütlece %20'lik 400 gram tuz çözeltisinden çökme olmadan 80 gram su buharlaştırılıyor. Buna göre son durumdaki çözeltinin kütlece yüzde derişimi kaçtır?,25,30,40,50,75
bdb1d8b2-bf39-5d94-8b27-9472a6131bd7,KIMYA,"Arı suya saf X maddesi atılıp çözülmesiyle oluşan çözeltinin arı suya göre kaynama noktasının arttığı, elektriksel iletkenliğinin ise değişmediği gözleniyor.
Buna göre, X maddesi aşağıdakilerden hangisi olabilir?",Etil alkol,Yemek tuzu,Sud kostik,Çay şekeri,Zeytin yağı
948d7b01-9fd3-52b0-8e55-52c2f0bbb31e,KIMYA,"Yoğunluğu 1,08 g/ml olan 500 ml NaOH çözeltisinin derişimi 2M olduğuna göre çözeltinin derişimi kaç molaldir? (NaOH: 40)",2,"1,8","1,5",1,"0,5"
f4282959-f657-5fbf-b3d8-0e16609f9019,KIMYA,"• Çiçek ve kızamık hastalıklarının tedavisinde ilk kez kimyayı tıbba uygulayan simyacıdır.
• Fırın, kroze gibi araç gereçleri geliştirmiştir.
• Karıncalardan formik asit elde etmiş ve alkolü antiseptik olarak tıpta kullanmıştır.
Yukarıda sözü edilen kişi aşağıdakilerden hangisidir?",A. Lavoisier,Democritus,Cabir bin Hayyan,Ebubekir Er-Razi,İbn-i Sina
5d7c68f7-1742-572f-b184-0850d92ef2d7,KIMYA,"""Katı - sıvı heterojen karışımlara süspansiyon denir."" Buna göre, aşağıdakilerden hangisi süspansiyon değildir?",Tuzlu su,Kumlu su,Kireçli su,Ayran,Çamurlu su
5314cd50-92e3-5733-8856-5fb06139fde6,KIMYA,"Sürdürülebilir kalkınma için;
I. Enerji ve doğal kaynakları kullanırken tasarruf edilmeli
II. Fosil yakıtlar tercih edilmeli
III. Kâğıt ve plastik gibi maddeler çöp yerine geri dönüşüme kazandırılmalı
yargılarından hangileri uygulanabilir?",Yalnız I,Yalnız II,I ve III,II ve III,"I, II ve III"
eacce09e-b472-5e93-af1b-7f3ef40e4352,KIMYA,"Bir X tuzunun belirli sıcaklıktaki çözünürlüğü $30 \text{ g X}/100 \text{ g su}$dur. Buna göre aynı sıcaklıktaki, I. Doygun çözelti kütlece %30'luktur. II. $200 \text{ gram}$ suda en fazla $60 \text{ gram}$ X çözünür. III. $45 \text{ gram}$ X katısını tamamen çözebilmek için $150 \text{ gram}$ su kullanılır. yargılarından hangileri doğrudur?",Yalnız II,Yalnız III,I ve III,II ve III,"I, II ve III"
6ee5b734-d576-5e21-a499-1dc72fee5f9f,KIMYA,"Karbon dioksit, azot oksitler ve kükürt oksitler havadaki su buharı ile birleşerek asit yağmurlarına neden olurlar.
Atmosferde oluşan asit yağmurları ile ilgili,
I. Tarihi eserlerin aşınmasına neden olur.
II. Astım ve bronşit gibi solunum yolu hastalıklarına neden olur.
III. Bitki örtüsünün zarar görmesine neden olur.
yargılarından hangileri doğrudur?",Yalnız I,I ve II,I ve III,II ve III,"I, II ve III"
f501531d-1ad1-5b20-85d8-baa642e733c1,KIMYA,Canlı kalıntılarının milyonlarca yıl .................... ortamda başkalaşıma uğraması sonucu oluşan yakıtlara yakıt denir. Bu yakıtlar genel olarak petrol ve kömür olmak üzere iki guruba ayrılır. Petrol türevi olan .................... karışımının büyük bir kısmını .................... gazı oluşturmaktadır. Yukarıdaki paragrafta yer alan boşluklara aşağıdaki seçeneklerde verilen kelimeler doğru bir şekilde yazıldığında hangisi açıkta kalır?,oksijensiz,fosil,biyokütle,doğal gaz,metan
75a9b15b-a538-5f08-ba86-6cfab16a0bda,KIMYA,Kütlece %20'lik 300 g tuzlu su çözeltisine 40 g tuz ve 160 g saf su ilave edildiğinde oluşan çözeltinin kütlece yüzde derişimi aşağıdakilerden hangisi doğru verilmiştir?,8,10,12,15,20
24ae096a-9b3a-5270-a311-5968d50f38f1,KIMYA,"5 litre hacimli $0,2 \text{ M KOH}$ çözeltisi hazırlamak için $4 \text{ M KOH}$ çözeltisinden kaç mL alınarak hacmi saf su ile $5 \text{ litreye}$ tamamlanmalıdır?",25,50,125,250,500
a0a9ff45-c40b-57e5-836f-330c8c68f05c,KIMYA,Aşağıdaki kozmetik ürünlerinden hangisini kullanan birisinin amacı vücudunun o bölgesini temizlemektir?,Parfüm,Saç boyası,Şampuan,Saç jölesi,Kalıcı dövme boyası
67cccee8-af13-5f5e-950a-d41e69bdb7af,KIMYA,"Kütlece $%20$'lik HCl sulu çözeltisinin yoğunluğu $1,2 \ g/mL$'dir. Buna göre bu çözeltinin $500 \ mL$'sinde kaç gram HCl bulunur?",45,60,75,90,120
783913a9-384c-541a-ab11-0a331d69e8d0,KIMYA,Aşağıdaki olaylar ve bu olayların adı aşağıdakilerin hangisinde yanlış verilmiştir?,Karpuzun kesildikten sonra kısa bir süre güneşte tutulması sonucu soğuması - Buharlaşma,Denizden çıkan insanın üşümesi - Buharlaşma,Buzdolabından çıkarılan su şişesinin yüzeyinin ıslanması - Yoğuşma,Ateşli hastalık geçirenlerin alnına ıslak tülbent konulduğunda ateşin düşmesi - Yoğuşma,Sıcak bir günde limonata bardağının buz konulduğunda bardağın dışının terlemesi - Yoğuşma
4374addd-1f75-590e-bf94-7a3ff6ecaa61,KIMYA,"Kütlece % $20$’lik $200$ g $KNO_3$ ve % $30$’luk $300$ g $KNO_3$ çözeltileri karıştırılıyor.
Oluşan karışımın kütlece yüzdesi aşağıdakilerden hangisidir?",$10$,$16$,$26$,$32$,$42$
137d7d90-701f-50cd-b5dd-be86fb3b5b51,KIMYA,"Joule - Thomson olayı ile ilgili;
I. Klima gibi soğutucu sistemlerin temel soğutma ilkesini oluşturur.
II. Bisiklet tekeri şişirilirken tekerlekteki sibobun soğuması örnek olarak verilebilir.
III. Genleşmeye uğrayan tüm gazlar bulunduğu ortamı soğutur.
yargılarından hangileri doğrudur?",Yalnız I,Yalnız II,Yalnız III,I ve II,I ve III
1b352c29-b60d-5602-876d-3be1313f9819,KIMYA,Gıda katkı maddeleri kullanımının yasak olduğu bir ülkede aşağıdakilerden hangisinin doğru olması beklenmez?,Çikolata heterojen görünümlüdür.,Ekmek kısa zamanda küflenir.,Şekerlemeler yeterince tatlı değildir.,Dondurmanın rengi canlı ve albenilidir.,Mayonezdeki sıvı yağ diğer maddelerden ayrı durur.
43a10f93-7ccd-5958-8ad4-6cb9415ba4db,KIMYA,I. Çözeltinin sıcaklığı II. Çözeltinin karıştırılması III. Katının toz haline getirilmesi Yukarıdakilerden hangileri tuzların hem çözünürlüğünü hem de çözünme hızını etkiler?,Yalnız I,Yalnız II,Yalnız III,I ve II,II ve III
bc41139d-fea1-5605-b7f3-2d7e601eb1e6,KIMYA,"Kütlece %20'lik 300 gram tuzlu su çözeltisi ile kütlece %30'luk bir miktar tuzlu su çözeltisi karıştırıldığında kütlece %24'lük tuzlu su çözeltisi oluşuyor. Buna göre, kütlece %30'luk karışımın kütlesi kaç gramdır?",50,100,150,200,250
f2a8d35a-81de-5f41-8640-cdf7738720c4,KIMYA,"Karbon nanotüpler ile ilgili;
I. Isı ve elektriği iletir.
II. Doğal bir allotroptur.
III. Çok küçük boyuttaki tüplerden oluşur.
yargılarından hangileri yanlıştır?",Yalnız I,Yalnız II,Yalnız III,I ve II,II ve III
c89d36c9-0ca5-53f4-ade4-624c5e1e5530,KIMYA,Kütlece % 30 luk 40 gram NaOH çözeltisi ile kütlece %50 lik 60 gram NaOH çözeltisi karıştırıldığında oluşan çözelti kütlece % kaçlıktır?,32,38,42,210,46
