idx	bucket	id	book	page	q_no	image_path	db_len	db_tail80	ocr_text_full	jaccard	substr_pct	verdict_huseyin
27	direct	05626a67-28bd-5f36-af27-65c4a925d5df	345 2025 Tyt Ayt Geometri Soru Bankası 1	61	8	C:\Users\husey\kiro2\d-dataset\output\crops\345_2025_Tyt_Ayt_Geometri_Soru_Bankası_1\345_2025_Tyt_Ayt_Geometri_Soru_Bankası_1_p0061_q04.png	139	{AD}| = 2$ cm, $|\text{EC}| = 4$ cm olduğuna göre, $|\text{BD}| = x$ kaç cm'dir?	ABC eşkenar üçgen [DE] ⊥ [BC] |AD| = 2 cm |EC| = 4 cm  olduğuna göre, |BD| = x kaç cm'dir?	0.276	0.500	
28	direct	2928494c-7dce-51dd-9b79-fb21011bfb87	Mikro Orijinal-2024-Tyt-Matematik Soru Bankası	359	1	C:\Users\husey\kiro2\d-dataset\output\crops\Mikro_Orijinal-2024-Tyt-Matematik_Soru_Bankası\Mikro_Orijinal-2024-Tyt-Matematik_Soru_Bankası_p0359_q01.png	144	enn şemasıyla verilen bağıntılardan hangileri A'dan B'ye bir fonksiyon belirtir?	Aşağıda verilen ifadelerden hangileri fonksiyondur?  I. f : R⁺→R, f(x) = $\frac{x + 3}{x + 2}$ II. g : R→R, g(x) = $\frac{x + 2}{5}$ III. h : Z→N, h(x) = |x - 3|	0.087	0.188	
30	direct	b22c8249-3e80-5515-ba95-01ca3c8c0db1	C1CELL-2024-TYT-AYT-Geometri Soru Bankası	221	12	C:\Users\husey\kiro2\d-dataset\output\crops\C1CELL-2024-TYT-AYT-Geometri_Soru_Bankası\C1CELL-2024-TYT-AYT-Geometri_Soru_Bankası_p0221_q05.png	199	(\widehat{ECB}) = 60^\circ$ Yukarıda verilenlere göre, $A(ABCD)$ kaç $br^2$ dir?	ABCD yamuk [DC] // [AB] [CB] ⊥ [AB] |DE| = |EA| |DC| = $2\sqrt{3}$ br |AB| = $6\sqrt{3}$ br m(ECB) = 60°  Yukarıda verilenlere göre, A(ABCD) kaç br² dir?	0.225	0.722	
31	page	68d394cb-0db0-59db-ab95-2edcf21fe197	Aktif Ogrenme 2025 Tyt Fizik Soru Bankası	62	7	C:\Users\husey\kiro2\veriseti\zkitap\screenshots\Aktif Ogrenme 2025 Tyt Fizik Soru Bankası\sayfa_0062.png	275	i sıvı basıncının zamana göre değişim grafiği aşağıdakilerden hangisi gibi olur?	Düşey kesiti şekildeki gibi olan, eşit hacim bölmeli kap içerisindeki sıvı, akış hızı sabit muslukla boşaltılmak isteniyor. Musluk bir bölmeyi t sürede boşaltıyor.  Buna göre, K noktasındaki sıvı basıncının zamana göre değişim grafiği aşağıdakilerden hangisi gibi olur?	0.872	0.970	
32	page	1558c182-17ca-50d1-b44b-762b0fb76b73	345 2025 Tyt Ayt Geometri Soru Bankası 1	13	6	C:\Users\husey\kiro2\veriseti\zkitap\screenshots\345 2025 Tyt Ayt Geometri Soru Bankası 1\sayfa_0013.png	175	idehat{BCD}) = 150^ ext{o}$ olduğuna göre, $m(\widehat{BFD}) = x$ kaç derecedir?	[BE] ve [DA] açıortay m(BAD) = 80°, m(BED) = 100°, m(BCD) = 150° olduğuna göre, m(BFD) = x kaç derecedir?	0.286	0.462	
33	page	a08eb9b4-8e79-51c3-8351-96cdd83ca952	Bilgi Sarmalı-2024-Ayt-Matematik Soru Bankası	58	13	C:\Users\husey\kiro2\veriseti\zkitap\screenshots\Bilgi Sarmalı-2024-Ayt-Matematik Soru Bankası\sayfa_0058.png	370	ı $(x^2+5x+14) \text{ cm}^2$ olduğuna göre, oluşan bu şeklin çevresi kaç cm'dir?	Kısa kenarı 4 cm ve uzun kenarı (x + 6) cm olan dikdörtgen şeklinde iki eş kağıt parçası aşağıda verilmiştir.  Bu kâğıt parçalarından birinin kısa kenarı, diğerinin uzun kenarına paralel olacak şekilde aşağıdaki gibi üst üste konuluyor.  Kâğıtlar üst üste konulduktan sonra oluşan şeklin alanı (x² + 5x + 14) cm² olduğuna göre, oluşan bu şeklin çevresi kaç cm dir?	0.704	0.949	
34	page	9dee5933-d5c6-5e6a-98cb-db8c492f9aeb	Bilgi Sarmalı-2025-Ayt-Matematik Soru Bankası	119	10	C:\Users\husey\kiro2\veriseti\zkitap\screenshots\Bilgi Sarmalı-2025-Ayt-Matematik Soru Bankası\sayfa_0119.png	356	uğuna göre, gülle yerden en çok kaç metre yükseğe çıkabilir? (1 birim = 1 metre)	Fırlatılan bir güllenin dik koordinat düzleminde modellemesi aşağıda verilmiştir.  Toptan fırlatılan gülle O noktasından başlayarak y = 16·x - x² denklemi ile parabolik bir yol izleyip en son A noktasında gözlemleniyor.  Fırlatıldığı anda güllenin yerden yüksekliği 1 metre olduğuna göre, gülle yerden en çok kaç metre yükseğe çıkabilir? (1 birim = 1 metre)	0.854	0.970	
35	page	0ac83828-9ded-52d2-a0dc-f3a8843ffd90	Aktif Ogrenme 2025 Tyt Fizik Soru Bankası	111	4	C:\Users\husey\kiro2\veriseti\zkitap\screenshots\Aktif Ogrenme 2025 Tyt Fizik Soru Bankası\sayfa_0111.png	147	'de ulaşmaktadır. Buna göre, cismin ortalama hız ve ortalama sürati kaç m/s'dir?	Çember şeklindeki bir yolun A noktasından B noktasına şekildeki yörüngeyi izleyerek 5 sn de gelen bir cismin, sürat ve hızı kaç m/s dir? (π = 3)	0.243	0.462	
36	page	c141e077-7a3a-5234-984b-502f9f291420	Mikro-2024-Tyt Ayt-Geometri Soru Bankası	241	15	C:\Users\husey\kiro2\veriseti\zkitap\screenshots\Mikro-2024-Tyt Ayt-Geometri Soru Bankası\sayfa_0241.png	132	[AB]$, $|AE|=3$ cm, $|EC|=4$ cm olduğuna göre, Alan(ABCD) kaç santimetrekaredir?	ABCD deltoid [AC] ve [DB] köşegen [AD] ⊥ [AB] |AE| = 3 cm |EC| = 4 cm olduğuna göre, Alan(ABCD) kaç santimetrekaredir?	0.267	1.000	
37	page	38fe363b-46a9-569b-9602-b96fe34d1b07	2019-2020-ACİL-AYT-Matematik Soru Bankası	299	12	C:\Users\husey\kiro2\veriseti\zkitap\screenshots\2019-2020-ACİL-AYT-Matematik Soru Bankası\sayfa_0299.png	187	na göre,  $\lim_{h \to 0^+} \frac{\pi r^2 h}{h^2+x^2}$  limitinin değeri kaçtır?	Aşağıda hacmi 12π birimküp olan bir dik koni verilmiştir. Konide h birim yüksekliğinde su vardır.  Buna göre,  lim_{h→H⁻} πr²h  limitinin değeri kaçtır?	0.600	0.882	
38	page	1e196855-d36f-5f56-bb3a-573b1915a2a2	C1CELL-2024-TYT-AYT-Geometri Soru Bankası	370	9	C:\Users\husey\kiro2\veriseti\zkitap\screenshots\C1CELL-2024-TYT-AYT-Geometri Soru Bankası\sayfa_0370.png	78	Dik koordinat düzleminde verilenlere göre, OAC üçgeninin alanı kaç $br^2$ dir?	Dik koordinat düzleminde verilenlere göre, OAC üçgeninin alanı kaç br² dir?	0.833	1.000	
39	page	7b64d69d-2f2b-5a23-99a3-302ac611bfe4	Mikro Orijinal-2025-Ayt-Geometri Soru Bankası	275	2	C:\Users\husey\kiro2\veriseti\zkitap\screenshots\Mikro Orijinal-2025-Ayt-Geometri Soru Bankası\sayfa_0275.png	126	ileri aşağıda bir kenar uzunluğu verilen karenin içerisine tam olarak sığabilir?	Yukarıda yarıçapları verilen çemberlerden hangileri aşağıda bir kenar uzunluğu verilen karenin içerisine tam olarak sığabilir?	1.000	1.000	
40	page	76af5de2-45dd-50ad-9b8c-165de5a5d133	Orijinal-2024-Geometri Soru Bankası	31	9	C:\Users\husey\kiro2\veriseti\zkitap\screenshots\Orijinal-2024-Geometri Soru Bankası\sayfa_0031.png	157	|BD|=|DC|$, $|AD|=6\sqrt{2}$ cm. Yukarıda verilenlere göre, $|BE|=x$ kaç cm'dir?	BAC dik üçgen [BA] ⊥ [AC] [BE] ⊥ [ED] [AH] ⊥ [BC] |BD| = |DC| |AB| = 6√2 cm  Yukarıda verilenlere göre, |BE| = x kaç cm'dir?	0.194	0.933	
41	page	30147d50-1918-5d09-8319-f54e54ea71ee	Bilgi Sarmal 2025 Tyt Kimya Video Ders Kitabı	24	9	C:\Users\husey\kiro2\veriseti\zkitap\screenshots\Bilgi Sarmal 2025 Tyt Kimya Video Ders Kitabı\sayfa_0024.png	175	 izobardır. III. X ve Z tanecikleri izotoptur. ifadelerinden hangileri doğrudur?	$_{a}^{2a+1}X$, $_{a-1}^{2a-2}Y$, $_{a-1}^{2a-2}Z$  Yukarıda verilen tanecikler ile ilgili,  I. X ve Y tanecikleri izotondur. II. Y ve Z tanecikleri izobardır. III. X ve Z tanecikleri izotoptur.  ifadelerden hangileri doğrudur?	0.708	0.706	
42	page	430bb68e-34f7-5fca-a31d-d78670ad8726	Bilgi Sarmalı-2022-2023-Tyt-Matematik Soru Bankası	334	14	C:\Users\husey\kiro2\veriseti\zkitap\screenshots\Bilgi Sarmalı-2022-2023-Tyt-Matematik Soru Bankası\sayfa_0334.png	165	çekmektedir. $|CB| = 4 \text{ km}$. Buna göre, $|AC|$ mesafesi en az kaç km'dir?	C noktasındaki bir kamera dikey olarak yükselen bir sıcak hava balonunun fotoğrafını çekmektedir.  |CB| = |BA| = 4 km  Buna göre, |AC| mesafesi en az kaç km'dir?	0.724	0.941	
43	page	c68593ea-75a3-524d-bf02-29bebc5668ad	Aromat 2024 Ayt Fen Bilimleri	12	None	C:\Users\husey\kiro2\veriseti\zkitap\screenshots\Aromat 2024 Ayt Fen Bilimleri\sayfa_0012.png	316	{B}_2$ manyetik alanlarının yönleri ile ilgili aşağıdakilerden hangisi doğrudur?	Üzerinden i akımı geçen şekildeki iletken çerçeve B⃗ manyetik alanının etkisiyle d ekseni çevresinde dönmektedir.  Buna göre,  I. Çerçevenin 1 ve 2 kenarlarına uygulanan kuvvetler zıt yönlüdür. II. i akımı azaltılırsa çerçeveye uygulanan manyetik tork azalır. III. Manyetik alan şiddeti artırılırsa manyetik torkun şiddeti artar.  yargılarından hangileri doğrudur?	0.057	0.184	
44	page	77011d84-9797-5553-b8ab-1db59370262a	345 2025 Ayt Matematik Soru Bankası	113	10	C:\Users\husey\kiro2\veriseti\zkitap\screenshots\345 2025 Ayt Matematik Soru Bankası\sayfa_0113.png	111	 bölgesinde birim çember üzerindedir. Buna göre, $\cos(2\pi - u)$ değeri kaçtır?	P(\frac{cotα}{3}, sinα) noktası, analitik düzlemin I. bölgesinde birim çember üzerindedir.  Buna göre, cos(2π - α) değeri kaçtır?	0.650	0.786	
