id	subject_area	source_book	source_page	question_text	option_a	option_b	option_c	option_d	option_e	correct_answer	verdict	error_type	notes
ff7f8586-6826-5954-9921-e740d98ca253	FIZIK	345 2025 Ayt Fizik Soru Bankası	46	Bir çemberin çevresi 12 cm'dir. Bu çemberin yarıçapı kaç cm'dir?	3 cm	4 cm	5 cm	6 cm	7 cm	D	fail	wrong_answer	r = 12/(2pi) ~= 1.91; D=6 yanlis. OCR'da cap->cevre kaymis olabilir
e8712643-0ab5-5e61-b6e5-b0b6faab7ce0	MATEMATIK	Esen 2025 Aps Ayt Matemat,k Soru Bankası	56	"Üstel ve Logarithmik Fonksiyonlar
Logaritmik Fonksiyon
log_{10} 100 = ?
A) 10
B) 2
C) 1
D) 0.1
E) 0.01"	10	2	1	0.1	0.01	B	pass		log_10(100) = 2; B dogru
3979f37e-f022-5976-8062-f95778a4e2ec	MATEMATIK	345 2024 Tyt Matematik Soru Bankası	41	Ağustos 1000 mL'de serum aşısı geliştirildi. Bu aşının mikro hemşarplarının %7, %9 ve %12'ye göre dağıtılmış olup, %7'ye göre dağıtılan miktar 2200 mL'dir. %9'ya göre dağıtılan miktar kaç mL'dir?	400	450	500	550	600	C	fail	garbage_text	'Mikro hemsarp' Turkce degil; soru anlamsiz
d05ddd69-d12b-54c9-8b93-a7989fe5bfed	MATEMATIK	C1CELL-2025-Matematik Soru Bankası	209	"Dik koordinat düzleminde $f(x) = \log_2(x - 3)$ fonksiyonunun grafiği verilmiştir.

A noktası f fonksiyonu grafiği, B noktası ise hem x ekseni hem de f fonksiyonu grafiği üzerindedir.

OAB üçgeninin a"	7	11	19	35	67	B	unclear	missing_diagram	Grafik gerekli; gorsel yok
c9412ffe-2109-59f5-ad66-61c18636d786	COGRAFYA	Esen Aps Cografya Soru Bankası	219	Aşağıdaki parçalardan hangisi 1965 yılından önceki bir dönemle ilgili?	Hammaddelerin tarihi birikimi	Görsel sanatların başlangıcı	Yazma kültürün başlangıcı	Yazma kültürünün sonu	Yazma kültürünün başlangıcı ve sonu	C	fail	garbage_text	Siklar coğrafya 1965 sorusuyla alakasiz
4245dcbf-7e32-55cb-bc89-2cae3cbb24f4	TURKCE	Edebiyat Sokagi Paragraf ileri Duzey	199	Gelişen teknolojinin medya üzerindeki etkisi ve yeni kitle iletişim araçlarının hız ve görünürlüğe plana çıkaran nitelikleri, yazılı mecralara hazırlanan röportaj yazılarını pek çok açıdan değişime uğ	Gazetecilik öğrencilerine röportajın önemi ve özellikleri yeterince anlatılmamaktadır.	Bir röportaj olduğu gibi değil düzenlendikten sonra yayınlanmalıdır.	Teknolojik gelişmeler, röportaj yazılığını da olumsuz etkilemektedir.	Röportajda bulunması gereken özelliklere yeterince önem verilmektedir.	Gazetecilik öğrencileri röportaj yayını konusunda gerekli özeni göstermemektedirler.	D	unclear	ocr	Question text cut off (degisime ug); tam metin yok
40493f2d-b56b-5bc0-8919-4d1b38b74bcc	KIMYA	Apotemi 2024 Ayt Kimya Soru Bankasi	260	Kıyaslanan iki fonksiyonun hangi özelliklerine sahip olabilir?	1. Eşitlik	2. Eşitlik ve ters fonksiyon	3. Eşitlik ve ters fonksiyon ve ters fonksiyonun tersi	4. Eşitlik ve ters fonksiyon ve ters fonksiyonun tersi ve ters fonksiyonun tersi	5. Eşitlik ve ters fonksiyon ve ters fonksiyonun tersi ve ters fonksiyonun tersi ve ters fonksiyonun tersi	A	fail	wrong_topic	Kimya yerine matematik; siklar recursive sacma
91502bd1-c078-5188-8e01-4b973b3e9091	MATEMATIK	C1CELL-TYT-Matematik 12 Deneme Sınavı	54	"I. $(a-2)x + 4y = 6$
$6x + 8y = b - 3$
II. $a \cdot b \cdot x + a + b = mx + n$
Yukarıda verilen I no'lu denklem sistemi ve II no'lu denklemdeki her iki çözüm kümesi de sonsuz elemanlı olduğuna göre, "	95	87	80	75	60	B	unclear	incomplete	Hesap a=5 b=15 ab=75; soru ne soruyor cut off
11d94792-8e47-58a5-83a0-a53fb366fd1f	GEOMETRI	Orijinal-Tyt Ayt Geometri Soru Bankası	245	ABCD dikdörtgenin çevresi 20 cm, ABEF dikdörtgenin çevresi 16 cm. ABCD dikdörtgenin bir kenarı 4 cm ise, ABEF dikdörtgenin bir kenarı kaç cm?	2 cm	3 cm	4 cm	5 cm	6 cm	C	unclear	missing_diagram	AB=4 mu 6 mi gorsel gerektirir; iki yorumda farkli cevap
8f0fb2b8-4060-5c00-a0fd-85d8d9b89239	MATEMATIK	ACİL-2023-Matematik Deneme-8	35	"a, b ve c birer asal sayı olmak üzere,
$$8a + 4b + 5c = 314$$
olduğuna göre, a + b + c toplamı kaçtır?"	39	40	41	42	43	C	pass		a=37, b=2, c=2 hepsi asal; toplam 41 dogru
3ec083af-c12e-5081-85d3-011811de1c6d	MATEMATIK	Full Matematik-Tyt-Matematik Soru Bankası	148	Birbirinden farklı sayılarla kaplı 4 x 4 türkçe harflerinin bulunduğu bir tablo oluşturun. Bu tablo, her satırda ve her sütunda farklı harfler içermeli ve her harf sadece bir kez kullanılmalıdır.	Tablo oluşturamadım	Tablo oluşturabilirim	Tablo oluşturabilirim ancak her satırda ve her sütunda aynı harf tekrarlanabilir	Tablo oluşturabilirim ancak her satırda ve her sütunda farklı harfler içermeli	Tablo oluşturabilirim ancak her satırda ve her sütunda farklı harfler içermeli ve her harf sadece bir kez kullanılmalıdır	D	fail	garbage_text	Siklar self-referential; soru sacma
05c9a801-4994-5f6c-8b0e-933620ccfeee	MATEMATIK	Bilgi Sarmalı-2023-2024-Ayt-Matematik Soru Bankası	145	Sekildeki dikdörtgenin alanı kaç birimkaredir?	24	30	36	42	48	D	unclear	missing_diagram	Sekil yok, dikdortgen alan hesaplanamaz
83f6835a-a007-5bc3-9e48-15c4395503cb	GEOMETRI	Bilgi Sarmalı-2023-2024-Tyt Ayt-Geometri Soru Bankası	315	ABCDEF dikdörtgenli bir yüzeyde, AEFB düzlemi, ABCD düzlemiyle açısı 60°. AC = 10 cm, AB = 6 cm, BC = 8 cm. AEFB düzlemiyle paralel olan düzlemdeki AEFB dikdörtgeninin alanı kaç cm²'dir?	48 cm²	60 cm²	72 cm²	80 cm²	96 cm²	D	unclear	missing_diagram	3D problem; gorsel olmadan zor dogrulanir
0818982a-7444-5749-b9c1-370f9ccb9873	FIZIK	Bilgi Sarmalı Tyt 2024 Fizik Soru Bankası	276	Sami, Türkiye'de bir şirketin yönetim kurulu başkanı olarak görev yapmaktadır. Şirketin bir faaliyeti olan 'KUAFÖR' için bir rapor hazırlamak gerekmektedir. Bu raporun içeriği şunlardır:	KUAFÖR faaliyetinin sonucu	KUAFÖR faaliyetinin planlaması	KUAFÖR faaliyetinin hedefleri	KUAFÖR faaliyetinin yönetimi	KUAFÖR faaliyetinin stratejisi	A	fail	garbage_text	FIZIK ile alakasiz KUAFOR raporu nonsense
7988cfec-0fc1-5447-9ba0-f001efc46e2c	MATEMATIK	Mikro Orijinal-2024-Tyt-Matematik Soru Bankası	175	A, B, C ve D seçeneklerinde verilen tam sayılarla tam sayılarla çarpım yaparak elde edilen sonucu seçiniz.	12	15	18	21	24	E	fail	garbage_text	Self-referential; carpilacak sayi yok
84fb1d64-558e-57e2-8806-46429792222a	FEN	Aramot Tyt 2023 Fen Bilimleri Model Sorular	43	Etilenin hangi bileşiklerle reaksiyona girer?	CO2 ve H2O	O2 ve H2O	CO2 ve H2	O2 ve H2		D	pass		Etilen + O2 (yanma), + H2 (hidrojenasyon); D dogru
e22de7a2-ced0-5bae-8f70-8a4b1bd0cb12	BIYOLOJI	345 2025 Ayt Biyoloji Soru Bankası	359	"Bitkilerde buhar halinde su atılmasına terleme, sıvı hâlde su atılmasına ise damlama denir. Terleme ile sadece su atılırken, damlamada su ile birlikte mineral atımı da olur.

Bitkilerdeki bu durum, in"	Yalnız I	Yalnız II	Yalnız III	I ve II	I, II ve III	E	unclear	ocr	Question cut off (in...)
307a540d-40fc-53ff-ade1-610a94c5c050	GEOMETRI	Orijinal-Tyt Ayt Geometri Soru Bankası	421	Taban yarıçapları aynı olan dik silindir ile dik koni birleştirilerek Şekil 1'deki gibi bir cisim elde ediliyor. Şekil 1'de verilen silindirin tamamı su ile doludur. Cisim Şekil 2'deki gibi ters çevri	10	11	12	14	15	D	unclear	missing_diagram	Sekil 1 ve Sekil 2 gerekli
62934412-f9cd-5451-803d-65b43e0316a7	EDEBIYAT	Vaf Ayt Turk Dili ve Edebiyatı	267	1. Bir kişinin yaşının genel gösterimi hangi ifade ile verilir?	x	x+1	x-1	x+10	x-10	A	fail	wrong_topic	Edebiyat yerine cebirsel ifade; x dogru ama yanlis konu
a02c9d07-43fc-515a-b1d9-f9a55c8c06c4	MATEMATIK	Orijinal-2024-Ayt-Trigonometri	188	"$\cos3x = \sin x$
denkleminin $(0,\pi)$ aralığındaki kökler toplamı kaçtır?"	\frac{\pi}{2}	\pi	\frac{3\pi}{2}	2\pi	3\pi	C	pass		Kokler pi/8, 5pi/8, 3pi/4; toplam 3pi/2 dogru
