qid	subj	correct	qt	rationales	misconception	solution	solo	marzano	formula
bbe47dcf	MATEMATIK	B	Şekil 1'de sarı ve mavi kutuların yükseklikleri toplamı, masanın yüksekliğinden 24 cm eksiktir. Şekil 2'de sarı, mavi ve mor kutuların yükseklikleri t	A: Masanın yüksekliği ile kutuların ilişkisi kurulurken toplama yerine çıkarma hatası yapılması bu yanlış sonuca ulaştırır. | B✓: Birinci denklem ikinci denklemde yerine yazıldığında mor kutunun yüksekliği iki farkın toplamı olan 60 olarak bulunur. | C: Denklem kurulurken eksik ve fazla değerlerinin yanlış ilişkilendirilmesi veya işlem hatası yapılması bu seçeneğe yönlend | D: Şekiller arasındaki yükseklik farkları toplanırken işlem basamaklarında dikkatsizlik yapılması hatalı olarak bu sonucu v | E: Kutuların yükseklik bağıntıları kurulurken katsayıların veya sabit terimlerin yanlış seçilmesi bu hatalı cevaba yol açar	["denklem_kurma_hatasi", "islem_hatasi", "degiskenleri_yanlis_iliskilendirme"]	["Adım 1: Sarı ve mavi kutuların toplamını masanın yüksekliğinden 24 eksik olarak denklemle ifade ederiz.", "Adım 2: Sarı, mavi ve mor kutuların toplamını ise masanın yüksekliğinden 36 fazla şeklinde yazarız.", "Adım 3: İlk denklemi ikincisinde yerine koyarak mor kutunun yüksekliğini 24 ile 36'yı to	multistructural	comprehension	36 + 24
80c5eafe	GEOMETRI	A	ABC ve ACD üçgeni KF // BC FE // CD |AK| = 4 |KB| |EF| = 8 cm  Verilenlere göre, |CD| = x kaç cm dir?	A✓: Benzerlik oranının 4/5 olduğunu doğru belirleyip temel orantı teoremiyle CD uzunluğunu 10 cm olarak bulan doğru seçenekt | B: Benzerlik oranını 4/5 yerine yanlışlıkla 2/3 alarak CD uzunluğunu 12 cm hesaplayan hatalı seçenektir. | C: Benzerlik oranını hatalı kurup oranlar toplamını yanlış ekleyerek CD uzunluğunu 14 cm bulan yanlış seçenektir. | D: AK ve KB oranını doğrudan kenar oranına eşitleyip 8'in iki katı olan 16'yı seçen yanıltıcı seçenektir. | E: Benzerlik oranını ters kurup payda eşitlemede hata yaparak CD uzunluğunu 18 cm bulan yanlış seçenektir.	["benzerlik_oraninin_yanlis_kurulmasi", "paralel_kenar_oranlarinin_karistirilmasi"]	["Adım 1: AK ve KB arasındaki 4'e 1 oranından faydalanarak AK'nin AB'ye oranını 4/5 olarak belirleriz.", "Adım 2: KF ve BC paralelliğinden Thales teoremini kullanarak AF'nin AC'ye oranını da 4/5 buluruz.", "Adım 3: FE ve CD paralelliğiyle AF/AC oranını EF/CD oranına eşitleyerek 4/5 = 8/x denklemini 	multistructural	comprehension	10
f90609da	KIMYA	A	Yukarıda verilen ideal davranan gazlar için aşağıdaki niceliklerden hangisi aynı değildir? (N = 14 g/mol, O = 16 g/mol)	A✓: Farklı mol kütleli gazların eşit kütleleri farklı mol sayılarına sahip olduğundan, aynı hacim ve sıcaklıkta basınçları f | B: Gazların bulundukları kapların hacimleri eşit olarak verildiği için hacim değerleri aynıdır. | C: Sistemlerin sıcaklıkları eşit verildiğinden gazların sıcaklık değerleri aynıdır. | D: Ortalama kinetik enerji yalnızca sıcaklığa bağlı olduğundan, sıcaklıkları eşit olan gazların ortalama kinetik enerjileri | E: Soruda gazların kütleleri eşit verildiği için kütle nicelikleri aynıdır.	["ortalama_kinetik_enerji_kütle_ilişkisi", "mol_sayısı_basınç_ilişkisi"]	["Adım 1: Sıcaklıkları eşit olan ideal gazların ortalama kinetik enerjilerinin de eşit olduğu belirlenir.", "Adım 2: Eşit kütledeki gazların mol kütleleri farklı olduğundan mol sayılarının farklı olduğu hesaplanır.", "Adım 3: İdeal gaz denklemine göre sıcaklık, hacim ve kütleleri aynı olan gazlardan	multistructural	comprehension	
8dc5b0f2	MATEMATIK	B	Aşağıda bir futbolcunun vurduğu topun yatayda aldığı mesafe metre türünden $x(\alpha) = 80 \cdot \sin(2\alpha)$ denklemi ile veriliyor. Futbolcu topu 	A: 10 derece için sinüs değeri 1/2 olmadığından topun ulaştığı mesafe 40 metre olamaz. | B✓: Denklemde mesafe yerine 40 yazıldığında sin(2α) = 1/2 eşitliğini sağlayan α açısı 15 derece olarak bulunur. | C: 20 derece denklemde yerine yazıldığında elde edilen mesafe 40 metreden farklı bir değer alır. | D: 25 derece açısı sin(2α) ifadesini 1/2 yapmadığı için doğru cevap olamaz. | E: 30 derece yazıldığında sin(60) değeri elde edilir ve bu değer mesafeyi 40 metre yapmaz.	["trigonometrik_denklem_cozumu", "sinus_degerlerini_karistirma"]	["Adım 1: Verilen denklemde x(α) yerine 40 yazarak 40 = 80 * sin(2α) eşitliğini elde ederiz.", "Adım 2: Eşitliğin her iki tarafını 80'e bölerek sin(2α) = 1/2 sonucuna ulaşırız.", "Adım 3: Sinüsü 1/2 olan dar açı 30 derece olduğundan 2α = 30 eşitliğini kurarız.", "Adım 4: Buradan α açısını 15 derece 	multistructural	comprehension	15
4822fb37	MATEMATIK	C	Yukarıda, $y=f(x)$ fonksiyonunun grafiği verilmiştir. Buna göre, $x \cdot f'(x) \le 0$ eşitsizliğini sağlayan $x$ tam sayılarının toplamı kaçtır?	A: Grafikteki artan ve azalan aralıklar yanlış belirlenip negatif tam sayılar eksik veya fazla toplandığında 9 cevabına ula | B: Eşitsizlikte sıfır değerinin dahil edilmesi unutulduğunda veya türevin işaret tablosu hatalı yapıldığında 11 cevabı bulu | C✓: Grafikten f'(x) işaretleri bulunup x ile çarpılarak eşitsizliği sağlayan -2, -1, 0, 1, 2, 3, 4, 5 değerlerinin toplamı 1 | D: Eşitsizlik sınır değerlerinin dahil edilmesinde yapılan bir hata veya toplama işlemindeki dikkatsizlik sonucu 13 cevabın | E: Sadece pozitif bölgedeki azalan aralığı dikkate alıp negatif bölgedeki artan aralığı ihmal edenler toplamı 15 bulabilir.	["türevin_geometrik_yorumu", "grafik_okuma_hatasi", "esitsizlik_cozum_kumesi", "isaret_tablosu_hatasi"]	["Adım 1: Grafikten fonksiyonun yerel ekstremum noktalarını belirleyerek türevinin işaret tablosunu oluşturun.", "Adım 2: x * f'(x) <= 0 eşitsizliğini sağlayan x < 0 ve x > 0 durumlarını ayrı ayrı inceleyin.", "Adım 3: Eşitsizliği sağlayan tam sayıları -2, -1, 0, 1, 2, 3, 4, 5 olarak belirleyin.", "	multistructural	comprehension	12
c9779530	GEOMETRI	E	Aşağıda ABC üçgeni ve üçgen içindeki açılar gösterilmiştir. Buna göre, I. $|AB|=|AD|$, $a=70^ ext{o}$ ve $b=c$ II. $|AB|=|AD|=|BD|$ ve $x=c$ III. $b=d	A: I. durumun yanlış, II ve III. durumların ise x=30 derece şartını sağladığı belirlendiği için bu seçenek elenir. | B: I. durumda elde edilen açı değeri 30 derece olmazken, II. durum doğru olduğu için bu seçenek yanlıştır. | C: II. durum x=30 derece eşitliğini sağlasa da III. durum da bu şartı sağladığı için bu seçenek eksiktir. | D: I. öncülde verilen bilgilerle x açısı 30 derece bulunamadığı için tüm öncüllerin doğru olduğunu belirten bu seçenek elen | E✓: Hem II. hem de III. öncüllerde verilen geometrik bağıntılar çözüldüğünde x açısının 30 derece olduğu doğru şekilde bulun	["ikizkenar_ucgen_yanilgisi", "ic_acilar_toplami_hatasi"]	["Adım 1: I. öncülde ikizkenar üçgen özellikleri kullanılarak açılar hesaplandığında x açısının 30 derece olmadığı görülür.", "Adım 2: II. öncülde eşkenar üçgen ve açı özellikleri kullanılarak x açısının 30 derece olduğu ispatlanır.", "Adım 3: III. öncülde üçgenin iç açılar toplamı formülü uygulanar	multistructural	comprehension	
5db69020	MATEMATIK	D	4 x 4'lük bir Kendoku bulmaca oyununda, her yatay ve dikey sıraya rakamlar tekrar etmeden 1, 2, 3 ve 4 sayıları yerleştirilmektedir.  Örneğin, yandaki	A: Kendoku tablosundaki sayıları yanlış yerleştirip üslü ifadelerin taban ve üs değerlerini hatalı belirlemek bu yanlış son | B: Satır ve sütun kurallarını ihlal ederek elde edilen yanlış harf değerleriyle yapılan hatalı üslü işlem sonucu bu şıkka u | C: Harflere karşılık gelen sayıların üs alma işlemlerinde yapılan işlem hatası veya yanlış toplama yapılması bu seçeneğe ne | D✓: Kendoku bulmacası kurallara göre doğru çözüldüğünde harflerin değerleri doğru bulunur ve işlem sonucu 33 olarak elde edi | E: Tablodaki sayıların yerleşiminde yapılan mantık hatası sonucu daha küçük taban ve üs değerleri seçilerek bu yanlış cevab	["kendoku_kurallari_hatasi", "uslu_sayi_hesaplama_hatasi", "tablo_okuma_hatasi"]	["Adım 1: Kendoku kurallarına göre her satır ve sütunda 1, 2, 3, 4 sayıları birer kez kullanılacak şekilde tablo doldurulur.", "Adım 2: Tablo tamamlandıktan sonra A, B, C, D, E ve F harflerine karşılık gelen hücrelerdeki sayılar belirlenir.", "Adım 3: Bulunan değerler A^B + C^D + E^F ifadesinde yeri	relational	knowledge_utilization	A**B + C**D + E**F
eb315cb4	MATEMATIK	E	Bir tekstil atölyesinde, art arda dizilmiş kartonlar etiketleme yapan iki makineden sırayla geçecektir. Birinci makine ilk iki kartona NORMAL KESİM, s	A: A seçeneği yanlıştır çünkü 175. karton birinci makineden normal kesim, ikinci makineden ise L harfi etiketi almalıdır. | B: B seçeneği yanlıştır çünkü birinci makineden dar kesim değil, normal kesim etiketi elde edilir. | C: C seçeneği yanlıştır çünkü ikinci makineden S harfi değil, L harfi etiketi gelmelidir. | D: D seçeneği yanlıştır çünkü ikinci makineden M harfi değil, L harfi etiketi gelmelidir. | E✓: E seçeneği doğrudur çünkü 175. karton birinci makineden normal kesim, ikinci makineden ise L harfi etiketi alır.	["periyot_belirleme_hatasi", "kalan_bulma_hatasi"]	["Adım 1: Birinci makine her dört kartonda bir kendini tekrar eden bir periyoda sahiptir.", "Adım 2: İkinci makine ise her üç kartonda bir kendini tekrar eden bir düzende etiketleme yapar.", "Adım 3: 175 sayısı analiz edildiğinde birinci makineden normal kesim, ikinci makineden ise L harfi elde edil	multistructural	comprehension	
c3a4f750	MATEMATIK	A	Yukarıda grafikleri verilen fonksiyonlar; tek, çift ve ne tek ne çift fonksiyonlardan biri olduğuna göre, aşağıdaki eşleştirmelerden hangisi doğrudur?	A✓: Orijine göre simetrik olan I tek, y eksenine göre simetrik olan II çift ve simetrisi olmayan III ne tek ne çifttir. | B: I tek fonksiyon iken, II ve III fonksiyonlarının simetri özellikleri yanlış eşleştirilmiştir. | C: I fonksiyonunun tek, II fonksiyonunun çift olma özellikleri ters sırada eşleştirilerek hata yapılmıştır. | D: Grafiklerin simetri özellikleri tamamen ters yorumlanarak yanlış bir sıralama yapılmıştır. | E: I ve II fonksiyonlarının simetri eksenleri karıştırılarak yanlış bir eşleştirme yapılmıştır.	["orijine_gore_simetri_tek_fonksiyon", "y_eksenine_gore_simetri_cift_fonksiyon", "simetrisizlik_ne_tek_ne_cift"]	["Adım 1: Birinci grafiğin orijine göre simetrik olduğu görülerek tek fonksiyon olduğu belirlenir.", "Adım 2: İkinci grafiğin y eksenine göre simetrik olduğu saptanarak çift fonksiyon olduğu anlaşılır.", "Adım 3: Üçüncü grafiğin hiçbir simetriye sahip olmadığı görülerek ne tek ne çift olduğu sonucun	multistructural	metacognitive	
99400205	TURKCE	A	Edebiyat dergiciliği sektöründe mevsimin kıştan yazı dönmesi tüm edebiyatseverler için önemli bir gelişmedir.  Bu cümledeki altı çizili sözcük dergici	A✓: "Kıştan yaza dönmek" ifadesi, olumsuz bir durumdan olumlu ve daha iyi bir duruma geçişi simgelediği için doğru cevaptır. | B: "Kıştan yaza dönmek" olumlu bir değişimi ifade ettiğinden, ilginin azalması gibi olumsuz bir durumu temsil edemez. | C: Mevsim değişimi belirgin bir farklılaşmayı gösterdiği için durumun değişmediğini savunmak ifadenin anlamıyla çelişir. | D: Metindeki mevsimsel değişim mecazı, sanatçıların şöhret kazanmasıyla değil, sektörün genel gidişatının iyileşmesiyle ilg | E: Parçada geçen ifade tür çeşitliliğinden ziyade, sektörün canlanmasını ve olumlu yönde gelişmesini anlatmaktadır.	["mecazli_ifadeleri_yanlis_yorumlama", "baglamdan_kopuk_degerlendirme"]	["Adım 1: Cümledeki \"mevsimin kıştan yazı dönmesi\" mecazi ifadesinin anlamı ve çağrıştırdığı olumlu durum belirlenir.", "Adım 2: Kış mevsiminin durgunluğu, yaz mevsiminin ise canlılığı ve gelişimi temsil ettiği göz önünde bulundurulur.", "Adım 3: Bu doğrultuda, sektörün daha iyiye gitmesini ifade 	multistructural	comprehension	
ac6bbc01	MATEMATIK	D	$(a_n)$ gerçek sayı dizisi, her $n$ pozitif tam sayısı için $a_{n+1} = (-1)^n \cdot a_n + 4$ eşitliğini sağlıyor. $a_1 = 2$ olduğuna göre, $a_{24}$ ka	A: Bu değer, dizinin terimleri hesaplanırken işaret hatası yapılması veya yanlış bir terimin seçilmesi durumunda elde edili | B: Bu değer, dizinin periyodik tekrar düzeninde 24. terim yerine yanlış bir indis hizalaması yapıldığında bulunur. | C: Bu değer, ardışık terimlerin toplamı veya farkı alınırken yapılan aritmetik işlem hataları sonucunda ortaya çıkar. | D✓: Dizinin ilk birkaç terimi hesaplandığında oluşan periyodik tekrar düzeni takip edilerek 24. terimin değeri 2 olarak bulu | E: Bu değer, periyodik dizideki en büyük terimin genel terim olarak hatalı şekilde seçilmesiyle elde edilir.	["periyodik_dizi_hatasi", "isaret_hatasi"]	["Adım 1: a_1 = 2 değerini kullanarak sırasıyla a_2, a_3, a_4 ve a_5 terimlerini hesaplarız.", "Adım 2: Hesaplanan terimlerin 2, 2, 6, -2 şeklinde periyodik olarak tekrar ettiğini görürüz.", "Adım 3: Bu periyodik düzene göre 24. terimin değerinin 2 olduğunu belirleriz."]	unistructural	retrieval	2
168276ea	GEOMETRI	A	ABCE dörtgen [DE] _ [BC] |AB| = |EC| |BD| = |DC| m(ABC) = 80° m(BCE) = 50° olduğuna göre, m(BAE) = x kaç derecedir?	A✓: Kenar orta dikme özelliği ve ikizkenar üçgen tepe açısı kullanılarak m(BAE) açısı doğru şekilde 80 derece bulunur. | B: EBC ikizkenar üçgeninin taban açısı yanlış belirlenerek tepe açısının hatalı hesaplanması sonucu ulaşılan yanlış seçenek | C: m(ABE) açısının 40 derece olduğu hatalı kabul edilerek ikizkenar üçgen taban açısının 70 derece bulunmasıyla yapılan hat | D: İkizkenar üçgenlerin taban ve tepe açılarının karıştırılması sonucu x açısının 65 derece olarak hesaplandığı yanıltıcı s | E: ABE üçgeninin ikizkenar yerine eşkenar üçgen olarak varsayılmasıyla x açısının 60 derece bulunmasına yol açan hatalı çöz	["kenar_orta_dikme_ozelligi", "ikizkenar_ucgen_taban_acilari", "ucgende_aci_hesaplama"]	["Adım 1: [DE] doğrusu [BC]'nin kenar orta dikmesi olduğundan |EB| = |EC| eşitliği elde edilir.", "Adım 2: EBC ikizkenar üçgeninde m(EBC) = m(BCE) = 50° bulunur.", "Adım 3: m(ABE) = 20° olup, |AB| = |EB| ikizkenar üçgeninden x = 80° hesaplanır."]	multistructural	comprehension	80
204ef6b2	FIZIK	C	$m$ kütleli X uydusu, $M$ kütleli K gezegeninin, $2m$ kütleli Y uydusu, $2M$ kütleli L gezegeninin çevresinde $R$ ve $2R$ yarıçaplı yörüngelerde dolan	A: Uydu kütlesinin periyoda etkisi olduğunu düşünmek veya yarıçap oranının karesini almak hatalı şekilde 1/4 sonucuna ulaşı | B: Formüldeki karekök ilişkisi göz ardı edilerek sadece kütle ve yarıçap oranları doğrudan kullanıldığında 1/2 cevabı hatal | C✓: Kepler kanunları ve kütleçekim formülü kullanılarak yapılan doğru oranlama sonucunda periyotlar oranı 1/kök(2) olarak el | D: Periyotların oranını ters yazmak veya pay ile paydayı karıştırmak kök(2) sonucunun yanlışlıkla doğru sanılmasına yol aça | E: Gezegen kütlesinin periyoda etkisini hesaba katmamak veya işlem hatası yapmak sonucu 2 bularak hataya düşürür.	["uydunun_kütlesinin_periyoda_etkisi", "merkezdeki_kütlenin_periyoda_etkisi", "kepler_kanunlarının_yanlış_uygulanması"]	["Adım 1: Bir uydunun periyodu T = 2*pi*sqrt(R^3 / (G*M)) formülü kullanılarak belirlenir.", "Adım 2: X uydusu için periyot ifadesi T_X orantılıdır sqrt(R^3 / M) şeklinde yazılır.", "Adım 3: Y uydusu için periyot ifadesi T_Y orantılıdır sqrt((2R)^3 / 2M) yazılarak oranlandığında T_X/T_Y oranı 1/sqrt	multistructural	comprehension	1/sqrt(2)
bc65a55e	KIMYA	A	Aşağıdaki çözünme olaylarından hangisinde tanecikler arasında iyon – dipol etkileşimi görülür? $_{1}^{1}H, _{6}^{12}C, _{8}^{16}O, _{11}^{23}Na, _{16}	A✓: CH4 apolar ve H2O polar yapıda olduğundan, aralarında dipol-indüklenmiş dipol etkileşimi kurulur. | B: C2H5OH ve H2O polar molekülleri arasında hidrojen bağları ve dipol-dipol etkileşimleri meydana gelir. | C: NaCl iyonik bir katı, H2O ise polar bir çözücü olduğundan aralarında iyon-dipol etkileşimi oluşur. | D: H2S ve HCl polar moleküller olduğu için aralarındaki baskın etkileşim türü dipol-dipol etkileşimidir. | E: CH4 ve CO2 apolar moleküller olduğundan, aralarında yalnızca indüklenmiş dipol-indüklenmiş dipol etkileşimleri görülür.	["polar_apolar_karisikligi", "iyonik_bag_ve_iyon_dipol_ayrimi", "zayif_etkilesimlerin_siniflandirilmasi"]	["Adım 1: Öncelikle verilen maddelerin Lewis yapılarını inceleyerek polar, apolar veya iyonik karakterlerini belirleyin.", "Adım 2: NaCl bileşiğinin iyonik, H2O molekülünün ise polar yapıda olduğunu tespit edin.", "Adım 3: İyonik bir madde ile polar bir çözücü arasında iyon-dipol etkileşiminin oluşt	multistructural	knowledge_utilization	
14385b8c	FIZIK	A	Bir futbol müsabakasında penaltı atışı kullanan bir oyuncu, m kütleli topa vurduğunda top, kale direğinin üstüne 9 büyüklüğündeki hızla çarpıp şeklide	A✓: İtme, momentum değişimine eşit olup son momentum ile ilk momentum vektörlerinin farkı alınarak büyüklüğü 1 m·s olarak bu | B: Vektörel çıkarma işlemi yerine yanlış açıyla bileşenlerine ayırma veya hatalı trigonometrik hesaplama yapılması bu yanlı | C: Momentumların skaler olarak toplanması veya çıkarılması yön kavramının ihmal edilmesine yol açarak hatalı sonuca ulaşılm | D: Hız vektörleri arasındaki açının yanlış kullanılması veya momentum değişiminin skaler fark olarak hesaplanması bu hatalı | E: Çarpışma esnasındaki momentum değişiminin sadece son momentumun büyüklüğüne eşit olduğunu varsaymak bu hatalı seçeneğe s	["vektörel_toplama_hatası", "itme_momentum_ilişkisi", "skaler_momentum_hesabı"]	["Adım 1: Topun direğe çarpmadan önceki ilk momentum vektörü ile çarptıktan sonraki son momentum vektörü belirlenir.", "Adım 2: İtme vektörünün, son momentum ile ilk momentum vektörlerinin farkına eşit olduğu yazılır.", "Adım 3: Vektörel çıkarma işlemi geometrik olarak uygulanarak itme kuvvetinin bü	multistructural	knowledge_utilization	
68d9fe4f	MATEMATIK	A	Ayşe, Burcu ve Cemre'nin yaşları sırasıyla iki basamaklı ab, cd ve ef sayılarıdır.  • cd ve ef ardışık iki çift sayıdır. • cd + ef toplamı iki basamak	A✓: ab tek sayı olduğundan yaşlar toplamı 5ab-2 formundadır ve sadece I öncülündeki 133 değeri bu koşulları eksiksiz sağlar. | B: 122 değeri için ab çift sayı çıkmaktadır ancak ab sayısının tek sayı olması gerektiğinden bu öncül yanlıştır. | C: 63 değeri için elde edilen ab ve cd değerleri toplamın iki basamaklı olma sınır şartlarını sağlamadığından elenir. | D: I doğru olmasına rağmen II öncülündeki 122 değeri ab sayısını çift yaptığından bu seçenek yanlıştır. | E: Hem II öncülü ab sayısını çift yaptığından hem de III öncülü sınır şartlarını sağlamadığından bu seçenek elenir.	["tek_cift_sayi_karisikligi", "basamak_degeri_hatasi"]	["Adım 1: cd = 2ab eşitliğinden cd çift sayıdır ve ardışığı olan ef de çift sayı olmak zorundadır.", "Adım 2: ab + ef toplamı tek ve ef çift olduğundan ab sayısı kesinlikle tek sayı olmalıdır.", "Adım 3: Yaşlar toplamı olan ab + cd + ef ifadesi 5ab - 2 veya 5ab + 2 şeklinde yazılır.", "Adım 4: Bu fo	unistructural	retrieval	
3d6fc502	MATEMATIK	A	Ayrıtı $a$ olan küpün hacmi $a^3$ tür. Yukarıda ayrıt uzunlukları birim cinsinden verilen küp şeklinde kutular vardır. 19 tane sarı kutu ile 1 tane ma	A✓: Hacimler toplamı denklemi kurulduğunda $19x^3 + 8 = 27$ eşitliğinden $x = 1$ değeri doğru olarak elde edilir. | B: $x = 2$ değeri denklemde yerine yazıldığında sol taraf sağ taraftan çok daha büyük bir değer alır ve eşitlik sağlanmaz. | C: $x = 3$ değeri denklemde yerine konulduğunda hacimler toplamı turuncu kutunun hacmini aşarak eşitliği bozar. | D: $x = 4$ değeri denklemde kullanıldığında elde edilen toplam hacim turuncu kutunun hacminden çok daha büyük olur. | E: $x = 5$ değeri denklemde yerine yazıldığında eşitliğin sol tarafı sağ tarafındaki hacim değerini büyük oranda geçer.	["hacim_formulu_yanilgisi", "denklem_kurma_hatasi"]	["Adım 1: Sarı, mavi ve turuncu kutuların hacimlerini sırasıyla $x^3$, $2^3$ ve $3^3$ olarak belirleriz.", "Adım 2: Kutuların toplam hacim ilişkisini $19 \\cdot x^3 + 8 = 27$ denklemiyle ifade ederiz.", "Adım 3: Denklemi düzenleyerek $19x^3 = 19$ ve buradan $x^3 = 1$ eşitliğine ulaşırız.", "Adım 4: 	multistructural	comprehension	19*x**3 - 19
7977a09f	GEOMETRI	E	Birim çemberde, $m(\widehat{AOB}) = 150^{\circ}$'dir.  Buna göre, A noktasının apsisi kaçtır?	A: Doğrudur; ikinci bölgedeki 150 derecelik açının kosinüs değeri, yani apsisi -\sqrt{3}/2 olarak bulunur. | B: Yanlıştır; -1/2 değeri 150 derecenin apsisi değil, 120 derecenin apsis değeridir. | C: Yanlıştır; 1/2 değeri 150 derecenin apsisi değil, ordinat yani sinüs değeridir. | D: Yanlıştır; ikinci bölgede apsis değeri negatif olmalıdır, bu değer ise pozitiftir. | E✓: Yanlıştır; birim çember üzerindeki bir noktanın koordinatları hiçbir zaman 1'den büyük olamaz.	["birim_cember_koordinat_karisikligi", "bolge_isaret_hatasi", "sinus_kosunus_karisikligi"]	["Adım 1: Birim çember üzerindeki bir noktanın apsis değerinin, o noktanın açısının kosinüs değerine eşit olduğunu belirleyin.", "Adım 2: 150 derecelik açının ikinci bölgede olduğunu ve bu bölgede kosinüs değerinin negatif olduğunu tespit edin.", "Adım 3: cos(150) değerinin -cos(30) eşitliğinden yar	multistructural	comprehension	-sqrt(3)/2
d8e0d6d0	GENEL	A	Ülkeler mevcut kaynaklarından verimli ve sürdürülebilir faydalanmayı sağlamak ve muhtemel çevre sorunlarını önlemek için arazi planlaması yapmalıdır. 	A✓: Su kaynakları, arazinin verimli ve sürdürülebilir kullanımı ile çevre sorunlarının önlenmesinde doğrudan belirleyici ola | B: Tarihi yapılar kültürel miras kapsamında olup, arazinin genel fiziki planlaması ve doğal kaynak yönetimi süreçlerinde bi | C: İklim özellikleri genel bir durum olup, yerel arazi planlamasında su kaynakları kadar doğrudan ve öncelikli bir sınırlay | D: Tarihi yapı ve iklim özellikleri, sürdürülebilir kaynak kullanımı ve çevre sorunlarını önlemede su kaynakları kadar doğr | E: Verilen unsurlardan yalnızca su kaynakları, arazi planlamasında çevre sorunlarını önlemek ve sürdürülebilirliği sağlamak	["arazi_planlamasi_kriterleri", "dogal_kaynak_yonetimi"]	["Adım 1: Sürdürülebilir arazi planlamasında çevre sorunlarını önlemek için öncelikle hayati doğal kaynakların durumu analiz edilmelidir.", "Adım 2: Su kaynakları, arazinin taşıma kapasitesini ve ekolojik dengesini doğrudan belirleyen en kritik doğal unsurdur.", "Adım 3: Tarihi yapılar ve genel ikli	multistructural	comprehension	
2be80e5f	GEOMETRI	C	Aşağıda üçgen şeklinde bir havuzun üstten görünümü verilmiştir. D noktasında bulunan iki kişi aynı anda çaplı hızlarla biri AB, diğeri AC kenarına doğ	A: Açıortay teoremini yanlış uygulayarak D noktasının C'ye olan uzaklığını AB kenarının uzunluğuna eşit bulmuş olabilirsini | B: Üçgenin kenar uzunlukları oranını yanlış hesaplayıp D noktasının BC üzerindeki bölme oranını hatalı belirlemiş olabilirs | C✓: Eşit uzaklıkların açıortay belirttiğini görüp iç açıortay teoremiyle CD uzunluğunu doğru şekilde 300 metre buldunuz. | D: BC kenarını iki eşit parçaya bölerek D noktasını kenarortay ayağı olarak hatalı kabul etmiş olabilirsiniz. | E: Açıortay teoreminde oranlamayı ters yaparak CD uzunluğu yerine BD uzunluğunu hesaplamış olabilirsiniz.	["aciortay_ozelligini_karistirma", "kenarortay_ile_aciortayi_karistirma"]	["Adım 1: D noktasından kenarlara olan en kısa mesafelerin eşitliği, AD doğrusunun A açısının açıortayı olduğunu gösterir.", "Adım 2: İç açıortay teoremine göre, BD uzunluğunun CD uzunluğuna oranı AB'nin AC'ye oranına yani 3/5'e eşittir.", "Adım 3: Toplam uzunluğu 480 metre olan BC kenarı 3k ve 5k o	multistructural	comprehension	600 * 480 / (360 + 600)
a42959f1	TARIH	B	1711 Prut Savaşı'nda Osmanlı ordusunun sayıca Rus ordusundan daha üstün ve güçlü olmasına rağmen, Baltacı Mehmet Paşa'nın Rus ordusunu yok etmeyip bar	A: Yenilgilere güvenmemek gibi bir durum söz konusu olamaz ve asıl gerekçe padişahın yokluğunda sefere komuta etmenin getir | B✓: Padişahın yokluğunda orduyu yöneten Baltacı Mehmet Paşa, olası bir başarısızlığın tahtını sarsacağı endişesiyle barış te | C: Sadrazamın devşirme kökenli olması, savaş meydanında alınan stratejik ve siyasi kararlar üzerinde doğrudan belirleyici b | D: Birinci öncüldeki ifade mantıksızdır ve asıl belirleyici etken yalnızca padişah yerine sefere komuta etmenin getirdiği s | E: Öncüllerden yalnızca ikincisi Baltacı Mehmet Paşa'nın barış kararını doğrudan etkileyen siyasi ve askeri çekinceyi açıkl	["serdar_i_ekrem_yetkisi", "prut_savasi_nedenleri"]	["Adım 1: Soruda Baltacı Mehmet Paşa'nın Prut Savaşı'nda barış teklifini kabul etme gerekçesi sorulmaktadır.", "Adım 2: Padişah yerine sefere komuta eden sadrazamın, olası bir başarısızlık riskini göze alamaması kararda etkilidir.", "Adım 3: Bu doğrultuda yalnız II. öncülün savunulabilir olduğu görü	unistructural	retrieval	
d8a51f10	GEOMETRI	B	A ve B noktalarında duran Berra ve Mehmet'han'ın duvara uzaklıkları sırasıyla 5 ve 11 birimdir. Bu iki çocuk duvara dokunmak koşuluyla yer değiştirmek	A: Mehmet'han'ın aldığı yol ile Berra'nın en kısa yolu arasındaki farkın 1 birim olduğunu düşünenler için hatalı seçenektir | B✓: Simetri yöntemiyle Berra'nın en kısa yolu 20 birim, Mehmet'han'ın yolu ise 22 birim bulunarak fark 2 birim hesaplanır. | C: Dik üçgenlerdeki kenar bağıntılarını veya simetri eksenini yanlış uygulayarak farkı 3 birim bulanlar için çeldiricidir. | D: Mehmet'han'ın dik izdüşüm noktasını kullanarak aldığı yolu 24 birim hesaplayıp farkı 4 bulanların düştüğü çeldiricidir. | E: En kısa yol formülünde hipotenüs değerlerini hatalı toplayıp aradaki farkı 5 birim bulanlar için yanlış seçenektir.	["en_kisa_yol_kavrami", "simetri_ekseni_hatasi"]	["Adım 1: Berra'nın en kısa yolu için A noktasının duvara göre simetriği alınarak doğrusal A'B yolu çizilir.", "Adım 2: Oluşan dik üçgende kenarlar 12 ve 16 birim olduğundan, Berra'nın en kısa yolu 20 birim bulunur.", "Adım 3: Mehmet'han'ın D noktası üzerinden aldığı toplam yol hesaplandığında 22 bi	multistructural	comprehension	2
