id	book	page	db_q_no	crop_q_no	similarity	crop_file	db_text_preview	ocr_text_preview	verdict
c3c3f27a-3ab2-5dae-a4cd-64f3cbd315a7	Bilgi Sarmalı-2025-Tyt Ayt-Geometri Soru Bankası	220	6	3	0.69	Bilgi_Sarmalı-2025-Tyt_Ayt-Geometri_Soru_Bankası_p0220_q03.png	Aşağıda, dikey bir şekilde açılıp kapanabilen dikdörtgen biçimindeki bir garaj kapısının iki farklı 	Aşağıda, dikey bir şekilde açıp kapatabilen dikdörtgen biçimindeki garaj kapısının iki farklı durumu	ok
89c936d6-fbdb-58b5-8cb5-a83289aab7e0	2023-2024 ACİL- AYT Matematik Soru Bankası	72	8	3	0.556	2023-2024_ACİL-_AYT_Matematik_Soru_Bankası_p0072_q03.png	Aşağıdaki dik koordinat düzleminde verilen $d$ doğrusu, $f(x)=x^2-4$ parabolüne $A$ noktasında teğet	Aşağıdaki dik koordinat düzleminde verilen d doğrusu, f(x) = x² + 4 parabolüne A noktasında teğettir	unclear
d74acf06-35e4-5df0-ada5-6d48e191083c	C1CELL-2024-TYT-AYT-Geometri Soru Bankası	307	11	3	0.553	C1CELL-2024-TYT-AYT-Geometri_Soru_Bankası_p0307_q03.png	O merkezli OAB, OCD ve OEF daire dilimleri, $m(\widehat{AOB})=40^\circ$, $|OC|=16$ br, $|AC|=6$ br. 	O merkezli OAB, OCD ve OCE daire dilimleri m(ÂOB) = 40° |OC| = 16 br |AC| = 6 br  Yeşil boyalı bölge	unclear
451ad34b-13a0-52de-b3e6-86825f18f2e2	Bilgi Sarmalı Ayt 2024 Fizik Soru Bankası	79	5	2	0.576	Bilgi_Sarmalı_Ayt_2024_Fizik_Soru_Bankası_p0079_q02.png	2 kg, 1 kg, 2 kg kütleli cisimlerle kurulan şekildeki sürtünmesiz sistem serbest bırakıldığında ip g	2 kg, 1 kg, 2 kg kütleli cisimlerle kurulan şekildeki sürtünmesiz sistem serbest bırakıldığında ip g	ok
5bee939c-3990-54c5-8a7f-b63934f23ea6	Mikro-2024-Tyt Ayt-Geometri Soru Bankası	363	7	1	0.607	Mikro-2024-Tyt_Ayt-Geometri_Soru_Bankası_p0363_q01.png	[AC] çaplı yarım çember [EB] çaplı yarım çembere D, AB doğrusuna A noktasında teğettir. $|AC|=18$ cm	[AC] çaplı yarım çember [EB] çaplı yarım çembere D, AB doğrusuna A noktasında teğettir. |AC| = 18 cm	ok
5ad7752c-3b17-53a3-b37e-52edb5bc14b2	2019-2020-ACİL-TYT-Soru Bankası	116	7	4	0.683	2019-2020-ACİL-TYT-Soru_Bankası_p0116_q04.png	Aşağıda doğrusal d yolunda hareket eden iki aracın hareketinin sayı doğrusunda modellenişi gösterilm	7. Aşağıda doğrusal d yolunda hareket eden iki aracının hareketinin sayı doğrusunda modellenmesi gös	ok
1a2704c9-e9ac-5f96-bbbd-c9a89da0343f	2023-2024 ACİL- AYT Matematik Soru Bankası	261	10	4	0.522	2023-2024_ACİL-_AYT_Matematik_Soru_Bankası_p0261_q04.png	Yukarıda, $y=f(x)$ fonksiyonunun grafiği verilmiştir. Buna göre, $\lim_{x \to (-2)^+} f(-x) + \lim_{	Yukarıda, y = f(x) fonksiyonunun grafiği verilmiştir. Buna göre, $$ \lim_{x \to (-2)^{-}} f(-x) + \l	unclear
0a73ffdd-51a1-561c-8f90-474bef9943f0	Full Matematik-2022-2023-Tyt Ayt-Geometri Soru Ban	57	5	1	0.609	Full_Matematik-2022-2023-Tyt_Ayt-Geometri_Soru_Bankası_p0057_q01.png	Aşağıdaki başlangıç noktaları çakışık ve $10 \text{ cm}$, $16 \text{ cm}$ uzunluğunda iki kolu olan 	Aşağıdaki başlangıç noktaları çakışık ve 10 cm, 16 cm uzunluğunda iki kollu bir pergel gösterilmişti	ok
4ae22a62-1180-5fa5-a4b4-3418a109aa0a	Mikro Orijinal-2024-Ayt-Matematik Soru Bankası	246	10	3	0.559	Mikro_Orijinal-2024-Ayt-Matematik_Soru_Bankası_p0246_q03.png	Dik koordinat düzleminde gerçel sayılar kümesi üzerinde tanımlı $f$ fonksiyonunun grafiği verilmişti	Dik koordinat düzleminde reel sayılar kümesi üzerinde tanımlı f fonksiyonunun grafiği verilmiştir.  	ok
2c351e0d-6208-5b7f-b90e-284ea5acc923	Egsersiz Tyt Fizik Soru Bankası 2021	190	7	3	0.621	Egsersiz_Tyt_Fizik_Soru_Bankası_2021_p0190_q03.png	Özdeş dirençler ve ideal $A_1, A_2, A_3$ ampermetreleri üretece şekildeki gibi bağlanmıştır. Buna gö	Özdeş dirençler ve ideal A1, A2, A3 ampermetreleri üretece şekli gibi bağlanmıştır.  Buna göre, A1, 	ok
8f274e1c-6fb1-5e3e-bfa8-21bdabc425dd	Bilgi Sarmalı Tyt 2024 Fizik Soru Bankası	108	6	4	0.681	Bilgi_Sarmalı_Tyt_2024_Fizik_Soru_Bankası_p0108_q04.png	$d_K$ ve $d_L$ özkütleli maddelerden yapılmış ve içlerinde boşluk bulunan K ve L cisimleri bir iple 	dK ve dL özkütleli maddelerden yapılmış ve içlerinde boşluk bulunan K ve L cisimlerini bir iple bağl	ok
18374b62-6562-57d8-9727-9dbf7e2bb60a	2019-2020-ACİL-AYT-Matematik Soru Bankası	363	11	2	0.519	2019-2020-ACİL-AYT-Matematik_Soru_Bankası_p0363_q02.png	Yukarıda, $y = f(x)$ fonksiyonunun grafiği verilmiştir. Buna göre, $x \cdot f(x) \le 0$ eşitsizliğin	Yukarıda, y = f(x) fonksiyonunun grafiği verilmiştir.  Buna göre, x · f'(x) ≤ 0 eşitsizliğini sağlay	unclear
67ed11ef-f71a-5929-b03b-53942fa82c57	Apotemi 2019 2020 Tyt Ayt Fizik Soru Bankası	360	7	4	0.524	Apotemi_2019_2020_Tyt_Ayt_Fizik_Soru_Bankası_p0360_q04.png	Düşey kesiti verilen sistemde P noktasal cisim sabit $v$ hızıyla şekildeki gibi ilerlerken $G_1$ ve 	Düşey kesiti verilen sistemde P noktasal cisim sabit v hızıyla şeklideki gibi ilerlerken G₁ ve G₂ no	ok
2b457d69-cd70-5af1-bed1-b6aa17d5fe38	Bilgi Sarmalı-2023-2024-Ayt-Matematik Soru Bankası	19	12	5	0.667	Bilgi_Sarmalı-2023-2024-Ayt-Matematik_Soru_Bankası_p0019_q05.png	A'dan B'ye tanımlanabilecek fonksiyonların kaç tanesinde $f(1) > f(2)$ dir?	A'dan B'ye tanımlanabilecek fonksiyonların kaç tanesinde f(1) > f(2) dir?	ok
d5d5f125-cd7b-5b57-b57b-3783bd4a656c	Esen Apt Ayt Fizik 2025	59	10	3	0.698	Esen_Apt_Ayt_Fizik_2025_p0059_q03.png	Aşağıda bir miktar tuz çözünerek 1 atm basınç altında hazırlanan bir çözeltiye ait sıcaklık-zaman gr	Aşağıda bir miktar tuz çözünerek 1 atm basınç altında hazırlanan bir çözeltiye ait sıcaklık-zaman gr	ok
d131b038-3809-5966-8c79-7da0391c4c12	CAP-2022-2023-TYT AYT-Geometri Soru Bankası	244	7	3	0.652	CAP-2022-2023-TYT_AYT-Geometri_Soru_Bankası_p0244_q03.png	ABCD kare Çemberler eş olup birbirlerine ve kareye teğet $|AB|=12$ cm Yukarıdaki verilere göre, çemb	ABCD kare Çemberler eş olup birbirlerine ve köşelere teğet |AB| = 12 cm  Yukarıdaki verilere göre, ç	unclear
c80690d5-95e7-5a7a-91ca-d6107e488411	Egsersiz Tyt Fizik Soru Bankası 2021	102	8	3	0.689	Egsersiz_Tyt_Fizik_Soru_Bankası_2021_p0102_q03.png	Özdeş X, Y ve Z cisimleri düşey kesitleri verilen düzeneklerin K, L ve M noktalarından $v$ büyüklüğü	Özdeş X, Y ve Z cisimleri düzey kesitleri verilen düzlemler K, L ve M noktalarından v büyüklüğündeki	ok
1eefd7c2-44d2-59a7-a32a-90cdabceb62c	Bilgi Sarmalı-2025-Tyt Ayt-Geometri Soru Bankası	216	5	1	0.6	Bilgi_Sarmalı-2025-Tyt_Ayt-Geometri_Soru_Bankası_p0216_q01.png	Aşağıdaki şekilde ABCD dikdörtgeni 10 eş dikdörtgene ayrılmıştır. Daha sonra bu dikdörtgenler aşağıd	Aşağıdaki şekilde ABCD dikdörtgenini 10 eş dikdörtgene ayırmıştır.  Daha sonra bu dikdörtgenler aşağ	ok
d5e9d27c-ff33-5cd3-baac-1545bb50c62a	Bilgi Sarmal 2024 Tyt Kimya Soru Bankasi	274	6	1	0.657	Bilgi_Sarmal_2024_Tyt_Kimya_Soru_Bankasi_p0274_q01.png	Yukarıda verilen sistemde ok ($\rightarrow$) yönünde gönderilen gazlar asit ve baz çözeltileri ile e	Yukarıda verilen sistemde ok (→) yönünde gönderilen gazlar asit ve baz çözeltileri ile etkileşimekte	ok
e6df9cb9-ddc7-564f-8f50-65727e42dbd6	Full-2019-2020-Ayt-Matematik Soru Bankası	13	6	3	0.652	Full-2019-2020-Ayt-Matematik_Soru_Bankası_p0013_q03.png	Yukarıda $y = f(3x-2)$ fonksiyonunun grafiği verilmiştir. Buna göre, $f(2a+4) = 0$ denklemini sağlay	Yukarıda $y = f(3x - 2)$ fonksiyonunun grafiği verilmiştir. Buna göre, $f(2a + 4) = 0$ denklemini sa	ok
4b7e6ec5-25ff-5fed-8c0e-673d07a54669	Bilgi Sarmalı-2022-2023-Tyt Ayt-Geometri Soru Bank	134	8	3	0.696	Bilgi_Sarmalı-2022-2023-Tyt_Ayt-Geometri_Soru_Bankası_p0134_q03.png	ABC ve ADE eşkenar üçgen, $|BE|=|EC|$, Alan(ADF) = $S_1$ $cm^2$, Alan(AEC) = $S_2$ $cm^2$. Yukarıdak	ABC ve ADE eşkenar üçgen, $|BE| = |EC|$, Alan(ADF) = $S_1$ cm², Alan(AEC) = $S_2$ cm² Yukarıdaki ver	ok
6bd5489c-3a90-5bc3-8f14-48fa348c596f	C1CELL-2024-TYT-AYT-Geometri Soru Bankası	299	10	2	0.542	C1CELL-2024-TYT-AYT-Geometri_Soru_Bankası_p0299_q02.png	[AB] çaplı yarım çember, BCDEFG düzgün altıgen, $|FG|=3$ br, $|AE|=14$ br. Buna göre, çemberin yarıç	[AB] çaplı yarım çember, BCDEFG düzgün altıgen |FG| = 3 br, |AE| = 14 br Buna göre, çemberin yarıçap	ok
c20e6592-0e98-51e3-b6aa-51625ee9c9e7	345 Tyt Ayt Geometri Soru Bankası 2	25	7	1	0.529	345_Tyt_Ayt_Geometri_Soru_Bankası_2_p0025_q01.png	O, ABC yayının merkezi $m(\widehat{AOC}) = 100^{\circ}$ olduğuna göre, $m(\widehat{ABC}) = x$ kaç de	O, ABC yayının merkezi m(\widehat{AOC}) = 100^\circ olduğuna göre, m(\widehat{ABC}) = x kaç derecedi	ok
b8970ca7-ad1c-5f4f-a0cd-98ed8c4dd008	Full-2019-2020-Ayt-Matematik Soru Bankası	81	8	2	0.6	Full-2019-2020-Ayt-Matematik_Soru_Bankası_p0081_q02.png	Aşağıda şekil 1 ve şekil 2'de bir bariyerin iki farklı konumu gösterilmiştir. A ve B noktaları doğru	Aşağıda şekil 1 ve şekil 2 de bir bariyerin iki farklı konumu gösterilmiştir.  A, O ve B noktaları d	unclear
94832505-c17a-5139-ba22-73264080c12e	Bilgi Sarmalı-2023-2024-Tyt Ayt-Geometri Soru Bank	244	9	2	0.568	Bilgi_Sarmalı-2023-2024-Tyt_Ayt-Geometri_Soru_Bankası_p0244_q02.png	Yukarıdaki şekilde düz bir kaydırağın yandan görünümü gösterilmiştir. Kaydırağın A ucunun yerden yük	Yukarıdaki şekilde düz bir kaydıracağın yandan görünümü gösterilmiştir. Kaydıracağın A ucunun yerden	ok
99c93763-8d61-5a9d-a178-27f6d1b6ddf1	Mikro-2024-Tyt Ayt-Geometri Soru Bankası	46	15	5	0.655	Mikro-2024-Tyt_Ayt-Geometri_Soru_Bankası_p0046_q05.png	ABC bir üçgen, $m(\widehat{ACB}) = 25^\circ$. ABC üçgeni A köşesi etrafında saat yönünün tersi yönde	ABC bir üçgen $m(\widehat{ACB}) = 25^\circ$  ABC üçgeni A köşesi etrafında saat yönünün tersi yönde 	ok
a0cacc9e-ef8e-51c0-a209-e1e6c698a03f	Full Matematik-2019-2020-Geometri Soru Bankası	215	7	1	0.694	Full_Matematik-2019-2020-Geometri_Soru_Bankası_p0215_q01.png	Ayşe Hanım özdeş olan silindir şeklindeki kavanozlarını $55 \text{ cm}$ lik rafa üçü dikey biri yata	Ayşe Hanım özdeş olan silindir şeklinde kavanozlarını 55 cm lik rafa üçü dikey biri yatay olacak şek	ok
c5e00c20-2bae-520e-b6bd-85f7a7650b7f	Full Matematik-Tyt-Matematik Soru Bankası	207	12	2	0.517	Full_Matematik-Tyt-Matematik_Soru_Bankası_p0207_q02.png	Aşağıda $g$ ve $f-g$ fonksiyonlarının grafikleri verilmiştir. Buna göre, I. $f(-3) < 0$ II. $f(2) < 	Aşağıda g ve f = -g fonksiyonlarının grafikleri verilmiştir.  Buna göre, I. f(-3) < 0 II. f(2) < 0 I	unclear
52b14f44-2d0d-5b1f-9475-b2c7eabea9e9	345 2025 Ayt Matematik Soru Bankası	263	6	5	0.524	345_2025_Ayt_Matematik_Soru_Bankası_p0263_q05.png	Aşağıda grafiği verilen $f$ eğrisine $d_1$ doğrusu, $T$ noktasında teğettir. Buna göre, $f'(5) + f''	Aşağıda grafiği verilen f eğrisine d₁ doğrusu, T noktasında teğettir.  Buna göre, f'(5) + f'(1) kaçt	unclear
a110ee5d-359e-5461-b19c-e4604fdcdfd3	Esen 2024 Motivasyon Fizik 2	46	5	1	0.694	Esen_2024_Motivasyon_Fizik_2_p0046_q01.png	Şekildeki yay sarkacı ve basit sarkacın ucundaki $m_1$, $m_2$ kütleli cisimlere sırasıyla $f_1$, $f_	Şekildeki yay sarkacı ve basit sarkacın ucundaki m₁, m₂ kütleli cisimlere sırasıyla f₁, f₂ frekanslı	ok
86b85127-ab85-54a8-a33e-e47c22df4f54	Bilgi Sarmalı Ayt 2024 Fizik Soru Bankası	109	6	4	0.579	Bilgi_Sarmalı_Ayt_2024_Fizik_Soru_Bankası_p0109_q04.png	Hava ortamında $20 \text{ m/s}$ hızla düşey aşağı doğru atılan cismin hız - zaman grafiği şekildeki 	Hava ortamında 2v₀ hızı ile aşağı doğru atılan cismin hız - zaman grafiği şekildaki gibi olmaktadır.	unclear
e4838113-5bfe-5ab8-9887-9018021fd818	PES-Konu özetleri-Problemler Kampı	115	12	4	0.686	PES-Konu_özetleri-Problemler_Kampı_p0115_q04.png	Aşağıda bir markette uygulanan indirim kampanyasının broşürü verilmiştir. Bu marketten 96 TL'lik alı	Aşağıda bir markette uygulanan indirim kampanyasının broşürü verilmiştir.  60 TL ve üzeri alışverişl	unclear
757e821c-4a23-513a-a5cc-23a99df034a1	345 Tyt Ayt Geometri Soru Bankası	389	7	4	0.583	345_Tyt_Ayt_Geometri_Soru_Bankası_p0389_q04.png	Şekil 1'de verilen ABCD dikdörtgeni biçimindeki kağıt, önce [AF] sonra [AE] boyunca katlandığında Şe	Şekil 1'de verilen ABCD dikdörtgen biçimindeki kağıt, önce [AF] sonra [AE] boyunca katlandığında Şek	ok
0d9c14cb-dca6-54be-9b41-c0cd41f16d35	345 2024 Ayt Fizik Soru Bankası	277	7	2	0.696	345_2024_Ayt_Fizik_Soru_Bankası_p0277_q02.png	Sabit açısal hızla dönmekte olan şekildeki rüzgar türbininin özdeş kanatlarının uzunluğu $30 \text{ 	Sabit açsal hızla dönmekte olan şekildeki rüzgar türbininin özdeş kanatlarının uzunluğu 30 m olup ka	ok
085f3651-a2f8-55cd-a686-86931665fe37	Orijinal-2024-Geometri Soru Bankası	359	10	2	0.611	Orijinal-2024-Geometri_Soru_Bankası_p0359_q02.png	$A(-2, 0)$, $B(0, 5)$, $C(-4, 4)$ noktaları; analitik düzlemde verilen ABC üçgeninin köşe noktalarıd	A(-2, 0), B(0, 5), C(-4, -4) noktaları; analitik düzlemde verilen ABC üçgeninin köşe noktalarıdır. A	unclear
fb6f5aa3-5a69-583f-84a1-619f68f3e3bd	Full Matematik-2019-2020-Geometri Soru Bankası	221	6	1	0.632	Full_Matematik-2019-2020-Geometri_Soru_Bankası_p0221_q01.png	Şekilde tabana paralel bir düzlemle kesilmiş dik koninin alt parçası görülmektedir. E ve F daireleri	[EC] = 2 cm, |FB| = 5 cm, |EF| = 4 cm  Şekilde tabana paralel bir düzlemle kesilmiş dik koninin alt 	ok
d906668b-5f77-506b-8e85-dc4185046440	ACİL-TYT-AYT-Geometri Soru Bankası	232	5	2	0.615	ACİL-TYT-AYT-Geometri_Soru_Bankası_p0232_q02.png	Şekildeki ABC ikizkenar üçgeninde $|CB|=|AC|$ olup $m(\widehat{FEB})=15^\circ$ olarak veriliyor. DEF	Şekildeki ABC ikizkenar üçgeninde |CB| > |AC| olup m(FEB) = 15° olarak veriliyor.  DEFK karesinin al	unclear
bafd4de9-4bf7-5734-bac1-fe96f03fd3c2	2023-2024-ACİL-TYT Matematik Soru Bankası	6	7	1	0.655	2023-2024-ACİL-TYT_Matematik_Soru_Bankası_p0006_q01.png	Gizem, pergel ve cetvel kullanarak yukarıda verilen sayı doğrusunda bir etkinlik yapacaktır.  * Elin	Gizem, pergel ve cetvel kullanarak yukarıda verilen sayı doğrusunda bir etkinlik yapacaktır.  • Elin	ok
6e89d3d1-92e0-5b61-beca-9fef2f509275	2023-2024 ACİL- AYT Matematik Soru Bankası	208	7	2	0.596	2023-2024_ACİL-_AYT_Matematik_Soru_Bankası_p0208_q02.png	Aşağıda bir zeminin köşe noktaları verilmiştir. Aynı yatay sıradaki her komşu iki nokta arasında $1$	7. Aşağıda bir zeminin köşe noktaları verilmiştir. Aynı yatay sıradaki her komşu iki nokta arasında 	ok
fc810338-81b7-56d0-a5d9-cf8abe756d13	Apotemi Tyt Ayt Kimya 2019-2020	147	6	2	0.651	Apotemi_Tyt_Ayt_Kimya_2019-2020_p0147_q02.png	Kapalı bir kapta $X_2$ ve $Y_2$ nin tepkimesine ait mol sayısı-zaman grafiği yukarıda verilmiştir. B	Kapalı bir kapta X₂ ve Y₂ nin tepkimesine ait mol sayısı-zaman grafiği yukarıda verilmiştir.  Buna g	ok
c03aec43-ebfc-523a-8fab-09611e57f7f0	2023-2024 ACİL- AYT Matematik Soru Bankası	323	8	2	0.545	2023-2024_ACİL-_AYT_Matematik_Soru_Bankası_p0323_q02.png	Yukarıdaki şekilde $f$ fonksiyonunun türevinin grafiği verilmiştir. Buna göre, I. $f$ fonksiyonu $[3	Yukarıdaki şekilde fonksiyonunun türevinin grafiği verilmiştir. Buna göre, I. f fonksiyonu ] -3, 3[ 	ok
be5397e0-4089-5367-862f-240eec512530	Apotemi 2019 2020 Tyt Ayt Fizik Soru Bankası	188	11	4	0.606	Apotemi_2019_2020_Tyt_Ayt_Fizik_Soru_Bankası_p0188_q04.png	Sürtünmesiz eğik düzlemde K noktasındaki nokta- sal bir cisim, yatay $F_x$ ve düşey $F_y$ kuvvetleri	Sürtünmesiz eğik düzlemde K noktasındaki noktasal bir cisim, yatay F₁ ve düşey F₂ kuvvetlerinin etki	ok
21091c83-0dc1-5913-8726-5ea095566c45	Orijinal-2024-Geometri Soru Bankası	152	13	2	0.565	Orijinal-2024-Geometri_Soru_Bankası_p0152_q02.png	ABCDEF düzgün altıgen, ABLK kare ve F, K, M doğrusal noktalar olduğuna göre, $m(\widehat{MKL}) = \al	ABCDEF düzgün altigen, ABLK kare ve F, K, M doğrusal noktaları olduğuna göre; m(MKL) = α kaç dereced	ok
0f74e14a-2b9a-5456-9bcf-1b5154c0035d	345 2024 Ayt Biyoloji Soru Bankası	330	7	2	0.557	345_2024_Ayt_Biyoloji_Soru_Bankası_p0330_q02.png	Aşağıdaki tabloda X ve Y ortamlarında yaşayan bitkilerde bulunan bazı faktörlerin miktarları gösteri	Aşağıdaki tabloda X ve Y ortamlarındaki bazı faktörlerin miktarlarını gösterilmektedir.  | Ortam | G	ok
66b84051-1106-5d5c-9b33-4ed5e561717e	C1CELL-2024-TYT-Matematik Soru Bankası	315	9	6	0.583	C1CELL-2024-TYT-Matematik_Soru_Bankası_p0315_q06.png	Aşağıda $f$ fonksiyonunun grafiği verilmiştir. Buna göre, $1 < f(a) < 4$ koşulunu sağlayan kaç farkl	Aşağıda f fonksiyonunun grafiği verilmiştir.  Buna göre, 1 < f(a) < 4 koşulunu sağlayan kaç farklı t	ok
2fd8da36-7a98-5cab-92fc-6fe36bdd52df	345 2025 Tyt Kimya Soru Bankası	265	12	5	0.562	345_2025_Tyt_Kimya_Soru_Bankası_p0265_q05.png	Buna göre, sabun molekülü ile ilgili aşağıdakilerden hangisi yanlıştır?	Sabun molekülünün kiri yüzeyle uzaklaştırması ile ilgili görsel aşağıda verilmiştir.  Buna göre, sab	ok
22597c55-0957-594e-ba08-ce74d03de315	Full-2019-2020-Ayt-Matematik Soru Bankası	85	8	3	0.522	Full-2019-2020-Ayt-Matematik_Soru_Bankası_p0085_q03.png	Aşağıda dikdörtgen parçalardan oluşan bir çekmecenin görseli verilmiştir. Bu çekmecelerden üç tanesi	Aşağıda dikdörtgen parçalardan oluşan bir çekmecenin görseli verilmiştir.  Bu çekmecelerden üç tanes	ok
053612c2-5821-589e-9100-85579dc2d9bc	2020-2021-Acil-Problemlerin ilacı	65	12	5	0.649	2020-2021-Acil-Problemlerin_ilacı_p0065_q05.png	Aşağıdaki tabloda Barış, İlker ve Kadir'in aynı işi tek başlarına başlama ve bitirme süreleri verilm	Aşağıdaki tabloda Barış, İlker ve Kadir'in aynı işi tek başlarına başlama ve bitirme süreleri verilm	ok
ca4511cd-705c-5b90-8334-0cf4dcb446e2	Esen Tyt Ayt Geometri Soru Bankası	185	9	2	0.524	Esen_Tyt_Ayt_Geometri_Soru_Bankası_p0185_q02.png	Geometri dersindeki etkinlikte ABCD karesi şeklindeki kâğıt, makasla $[EP]$ ve $[PC]$ boyunca kesile	Geometri dersinde etkinlikle ABCD karesi şeklindeki kağıt, makasla [EP] ve [PC] boyunca kesilerek al	ok
