id	prev_qtext
45468b37-7343-5382-8471-dd7dca0f56e2	ABC ve BCD üçgen, $[BD]$ ve $[CA]$ açıortay, $m(\text{BAC})=90^ ext{o}$, $m(\text{BDC})=60^ ext{o}$ olduğuna göre, $m(\text{AED})=x$ kaç derecedir?
4672b0a0-554f-5ed9-b95e-ab1b07f2adf9	BAC ikizkenar üçgen, $|AB|=|AC|$, $m(\widehat{ADB})=60^ ext{o}$, $|DA|=12$ cm, $|DC|=6$ cm, $|BD|=x$. Yukarıdaki verilere göre, $x$ kaç cm'dir?
47a904e6-ff6e-59de-bcc2-5810077973a0	ABCD yamuk, $DC \parallel AB$, $EC \perp CB$, $|DE| = |EA|$, $|IDC| = 10$ birim, $|IEC| = 15$ birim, $|IAB| = 24$ birim. Buna göre, $|IBCI|$ kaç birimdir?
4ea08e29-e88a-527e-9c77-ffb9acab9a40	ABC dik üçgen, $AB \perp BC$, $DF \parallel BC$, $AD = IDI$, $|AB| = 6$ birim, $|BE| = 1$ birim, $|FCI| = 5$ birim. Buna göre, $|DE|$ kaç birimdir?
501db30e-3459-5656-9dab-b4195e26943e	ABCD eşkenar dörtgen, $[DH] \perp [AB]$, $|DH|=8$ cm, $|DI|=8$ cm, $|EC|=7$ cm. Yukarıda verilenlere göre, Alan($\Delta DEC$) kaç $\text{cm}^2$ dir?
513bf8f0-7235-5123-9ab0-997f7ec3c142	ABCD paralelkenar, $|AF|=|FI|$, $|BG|=|GC|$, $|AE|=3|ED|$ ve $|DH|=3|HC|$ dir. Yukarıdaki verilere göre, $\frac{\text{Alan(EFGH)}}{\text{Alan(ABCD)}}$ oranı kaçtır?
53608b5b-0bf1-5ada-b6a7-1d6193283a8a	ABCD paralelkenar ve KH $\perp$ EF'dir. $m(\text{AEF}) = 30^ ext{o}$, $m(\text{CFE}) = 45^ ext{o}$ $|AE| = 6$ cm, $|CF| = 5\sqrt{2}$ cm K, köşegenlerin kesim noktası olduğuna göre; $|KH|$ kaç cm'dir?
5460ac0d-ab0c-5503-af63-c3f229dd3ab4	ABC üçgen $|IFE| = |EDI|$ $|AF| = |AD|$ $|EC| = 3$ birim $|BE| = 4$ birim Çevre$(ABC) = 21$ birim Buna göre, $|AB|$ kaç birimdir?
5c9fa4dc-a2a5-5f7c-8aae-259f3c90416c	ABCD dikdörtgen, $[CH] \perp [BD]$, $[BD]$ köşegen, $|CHI| = 3$ cm ve $|AH| = 6$ cm dir. Yukarıdaki verilere göre, $m(\widehat{AHB}) = x$ kaç derecedir?
5d370a2e-39b8-51be-ac59-09362200825d	$[AB] \perp [BC]$ $[BD] \perp [CD]$ $m(\widehat{DCB}) = 15^ ext{o}$ $|AD| = 2 \cdot |DE|$ $|BC| = 4$ cm A, D ve E doğrusal olduğuna göre, $|AC| = x$ kaç cm'dir?
5e427e8b-4f77-5b10-a6dc-8387a6a4d99b	ABCD eşkenar dörtgen, ABE üçgen, $|BD|=6$ cm, $|EDI|=5$ cm. ABCD eşkenar dörtgeninin alanı $36 \text{ cm}^2$ olduğuna göre, $|AE|$ kaç cm'dir?
5edc9313-b6b1-535f-9f75-1444db49a852	ABCD ikizkenar yamuk, $DE \perp AB$, $|AD|=|BC|$, $|DF|=17$ birim, $|DE|=8$ birim, $A(ABCD)=160 \text{ br}^2$. Buna göre, $|FBI|$ kaç birimdir?
6081972c-5d6c-52b2-817e-faf837ca522c	ABCD dörtgen, [AE] ve [CE] açıortay, $m(\widehat{FBK}) = 60^ ext{o}$, $m(\widehat{ADC}) = 140^ ext{o}$. Yukarıdaki verilere göre, AEC açısının ölçüsü kaç derecedir?
62c7e5c4-a416-5c07-bb66-510af827de87	ABCD yamuk, $DC \parallel KM \parallel AB$, $|IDCI| = 8$ birim, $|KML| = 12$ birim. Buna göre, $|IAB|$ kaç birimdir?
6aa1de71-4c55-57ef-9108-70509bbcdc84	ABCD dörtgen AD // DC $|DC| = \sqrt{5}$ birim $|CB| = 3\sqrt{2}$ birim $|BA| = 1$ birim $m(\widehat{ABC}) = 135^ ext{o}$ Buna göre, $|AD|$ kaç birimdir?
6e191371-a0f4-53cb-a413-e6b04ea27d80	ABC dik üçgen $AC \perp CB$ $|AE| = |AC|$ $m(\widehat{ABC}) = 42^ ext{o}$ $m(\widehat{ECB}) = x$ Buna göre, $x$ kaç derecedir?
71b965fc-c7b4-5c2f-a5d2-ffe12bfc5cb0	ABCD dörtgen $|AB| = |BC|$ $|AE| = |AD| = |DC|$ $m(\widehat{DBC}) = 50^ ext{o}$ $m(\widehat{BCD}) = 60^ ext{o}$ $m(\widehat{BAE}) = x$ Buna göre, $x$ kaç derecedir?
72de617c-b543-5c5d-a7bc-77d5ff2f7cb4	ABCD yamuk $[DC] \parallel [AB]$ $|AD| = |DC|$ $m(\widehat{DCB}) = 110^ ext{o}$ $m(\widehat{ABD}) = 35^ ext{o}$ Yukarıda verilenlere göre, $m(\widehat{ADB})$ kaç derecedir?
7c866f11-29c6-5616-9161-d918a205dff4	$[AC] \cap [FD] = \{E\}$ $|CE| = |CD|$, $|AF| = |FE|$, $m(\widehat{ABD}) = 66^ ext{o}$ Yukarıdaki verilere göre, $m(\widehat{ACB}) = \alpha$ kaç derecedir?
867dfa9e-5f9a-51af-9cca-aab9c5850f80	ABC üçgen, $[AB]$ çap, $[BD]$ açıortay, $m(\widehat{BAC}) = 20^ ext{o}$ olduğuna göre, $m(\widehat{BDC}) = x$ kaç derecedir?
8abe3c6a-8d07-5290-83ea-62c0c792c619	ABCD dikdörtgen, $DF \perp FE$, $|ICE| = 3$ birim, $|IAFI| = |IBEI| = 6$ birim. Buna göre, $A(ABCD)$ kaç birimkaredir?
8acf9ccf-f4ff-5bed-956c-17ab3109250e	ABC üçgen $m(\widehat{BAD}) = m(\widehat{CAD})$ $m(\widehat{ACB}) = 30^ ext{o}$ $|AB| = 6$ cm $|DC| = 8$ cm Verilenlere göre, ABD üçgeninin alanı kaç $\text{cm}^2$ dir?
8d5b5631-c97a-5a00-8da4-0074452f0965	$[AC]$ çap, $[DB]$ açıortay, $m(\widehat{DBC}) = 60^ ext{o}$ olduğuna göre, $m(\widehat{DAB})$ kaç derecedir?
8e60f55d-e259-5eb1-a2c6-70d2efb5ad0d	ABC üçgen $|DB| = |DA|$ $|CD| = |CA|$ $m(\widehat{BDC}) = 40^ ext{o}$ $m(\widehat{ACB}) = x$ Buna göre, $x$ kaç derecedir?
8fbd91c8-b0bd-53f2-aaf2-3b085690ef8f	ABD ve BCE birer dik üçgen $BA \perp AD$ $BD \perp EC$ $m(\widehat{ADB}) = 60^ ext{o}$ $|AB| = 5\sqrt{3}$ birim $|EC| = 3$ birim ABC açısının açıortayı $|BD|$ doğru parçası olduğuna göre, $|ED|$ kaç birimdir?
93c76c66-4efe-5f90-9cc7-7ea29ab54dcf	ABC ikizkenar dik üçgen, $AB \perp AC$, $|AB|=|AC|$, $|BD|=|DC|$, $|AE|=|IBFI|$ olduğuna göre, $\frac{|DE|}{|DF|}$ oranı kaçtır?
94ce6dfa-ff73-5004-9470-04e67305b79e	ABC üçgen, $CE \perp BA$, $ED \perp CA$, $|AB| = |AC|$, $|EDI| = 12$ birim, $|CD| = 9$ birim. Buna göre, $|BE|$ kaç birimdir?
99ff1a35-7124-52ce-aa8d-3c07ff490e02	ABC ikizkenar üçgen, [AE] açıortay, $|AB|=|AC|$, $|BE|=|DC|$, $m(\widehat{EBC})=42^ ext{o}$ olduğuna göre, $m(\widehat{BED})=x$ kaç derecedir?
a2d502bf-2201-5b86-825d-f1d2cf784278	ABCD ikizkenar yamuk, $AE \perp BC$, $AE$ açıortay, $|DA|=|ICBI|$, $|AF|=|FB|$, $|ICE|=2$ birim, $|DA|=8$ birim. Buna göre, $|EFI|$ kaç birimdir?
a9384c6d-d861-51b8-939c-dbad7fbf1ab0	ABC ikizkenar üçgen, $|AB| = |BC|$, $|AD| = |EC|$, $|AE| = |FC|$, $m(\widehat{DEF}) = 70^ ext{o}$ Yukarıdaki verilere göre, $m(\widehat{ABC}) = \alpha$ kaç derecedir?
a9cc07eb-9538-5e5e-ac07-5dd548fe6f5c	ABCD dikdörtgen, $EF \perp DC$, $|IEFI| = 2$ birim, $|IDAI| = 6$ birim, $|IAB| = 10$ birim. Buna göre, $A(AEB)$ kaç birimkaredir?
ae1091b0-2a7b-5098-9413-fa9b684638f6	ABCDE düzgün beşgen, EC köşegen, $|EFI| = 6$ birim, $|IEGI = |GA|$. Buna göre, $|FG|$ kaç birimdir?
b6c0c6e5-e706-5a19-9863-deb51441c889	ABCD kare, $[AC] \perp [DE] = \{E\}$, $2|FI| = |DE|$, $|BF| = 4$ cm olduğuna göre, Çevre(ABCD) kaç santimetredir?
b89e909a-2730-543e-8da8-c171fb065a3a	$AB \perp BE$ $AC \perp CD$ $CD \perp DE$ $m(\widehat{CAD}) = 15^ ext{o}$ $|CE| = 4$ cm $|AB| = 9$ cm olduğuna göre, $|AD| = x$ kaç cm'dir?
b8ee522f-b73b-5b64-bbad-a0560946f3b5	ABC ikizkenar üçgen $[AE]$ açıortay $|AB| = |AC|$ $|BE| = |DC|$ $m(\widehat{EBC}) = 42^ ext{o}$ Yukarıdaki verilere göre, $m(\widehat{BED}) = x$ kaç derecedir?
bbea4669-c47f-5a9a-933f-9cc882cd521a	ABCD paralelkenar $|AKI| = |KE|$ $|ELI| = |LB|$ $|EC| = (2x)$ birim $|KLI| = (x+3)$ birim Buna göre, $|DE|$ kaç birimdir?
bdf36019-97ca-55f3-8d7e-c36646129ec0	ABCD yamuk $[DC] \parallel [AB]$ $|DE| = |EC| = 1$ br $|AF| = |FB| = 4$ br $m(\widehat{DAB}) + m(\widehat{CBA}) = 90^ ext{o}$ Yukarıda verilenlere göre, $|EF|$ kaç br'dir?
bea4364e-6e6c-5a9d-87b9-27a1760f28d1	ABCD eşkenar dörtgen, $[DH] \perp [AB]$, $|DH|=8$ cm, $|DHI|=8$ cm, $|EC|=7$ cm. Yukarıda verilenlere göre, Alan$(DEC)$ kaç $\text{cm}^2$ dir?
c0498812-a5c4-5399-84e2-608371aba7b9	Yukarıdaki şekilde $[AC]$ ve $[BE]$, O merkezli çemberin çaplarıdır. Buna göre, $x$ kaç derecedir?
c08d8bd2-e936-502e-be60-268963928491	Şekilde $d_1 \parallel d_2$, $m(\widehat{EDC}) = 30^ ext{o}$, $m(\widehat{ABC}) = 45^ ext{o}$, $m(\widehat{BCD}) = 125^ ext{o}$ olduğuna göre, $m(\widehat{DEF}) = x$ kaç derecedir?
c31fa3f0-9959-5fbb-90c3-4da09255a786	ABC üçgen $DE \perp BC$ $|BD| = 2 \cdot |BE|$ $m(\widehat{BAC}) = 80^ ext{o}$ $m(\widehat{ACB}) = x$ Buna göre, $x$ kaç derecedir?
c6e51c59-1fc4-5ca1-9307-46375d5c5203	O merkezli çemberde $|AO| = |BC|$, $m(\widehat{OAC}) = 50^ ext{o}$ olduğuna göre, $m(\widehat{OCA}) = x$ kaç derecedir?
c9d131c1-3168-54de-880e-c9931b5968bf	ABC dik üçgen $AC \perp BC$ $m(\widehat{DEC}) = 45^ ext{o}$ $|BD| = 7$ cm $|DC| = 9$ cm $|AC| = 16$ cm olduğuna göre, $|EC| = x$ kaç cm'dir?
cc232d7e-ce11-5136-8efc-06b7f79f748e	ABCD paralelkenar $[AE]$ ve $[BE]$ açıortay $m(\widehat{EFG}) = 25^ ext{o}$ $m(\widehat{EGF}) = x$ Buna göre, $x$ kaç derecedir?
cffc059c-eeaa-5ceb-a615-8d149ef523ed	ABCDEF düzgün altıgen, $|BE| = |DK|$, $m(\widehat{KDC}) = 20^ ext{o}$, $m(\widehat{BAK}) = x$. Buna göre, $x$ kaç derecedir?
d04dee2b-f6dc-53a0-a802-02baa50f6f0a	ABC ikizkenar üçgen $|AC| = |CB|$ $DC \perp CB$ $m(\widehat{BDC}) = 50^ ext{o}$ $m(\widehat{DCA}) = x$ Buna göre, $x$ kaç derecedir?
d375e288-7eed-5c1f-847a-a2bfd3d18ebc	ABC üçgen $|AB| = |AC|$ $|AE| = |ED|$ $m(\widehat{AED}) = 100^ ext{o}$ $m(\widehat{ABC}) = x$ Buna göre, $x$ kaç derecedir?
d415dd1d-1ef3-5469-b722-d9dbc0d8e68b	Şekilde verilen $ABC$ dik üçgeni şeklindeki levha, $BC$ ekseni etrafında $180^ ext{o}$ döndürüldüğünde taranan bölgenin hacmi kaç santimetreküptür? $|AB| = [BC]$, $|AC| = 3$ cm, $|BC| = 8$ cm.
d51a223a-1e21-52c4-bee2-e0305623a19b	[EA, çembere A noktasında teğet] $|AB|=|AE|$ $m(\widehat{BCD})=120^ ext{o}$ Verilenlere göre, $m(\widehat{AEB})=x$ kaç derecedir?
d567b767-8a34-5685-998b-d2339819d473	Aşağıda AOBC ikizkenar yamuğunun üzerine O merkezli açıölçer şekildeki gibi yerleştirilmiştir. AOBC yamuğunun $|OA|$ ve $|OB|$ kenarı sırasıyla açıölçerin $90^ ext{o}$ ve $156^ ext{o}$ çizgilerinden, $[OC]$ köşegeni ise $X^ ext{o}$ çizgisinden geçmektedir. $|OA|=|BC|$ ve $|OB|=|OC|$ olduğuna göre, $x$ kaçtır?
d9e2485d-0bc8-54dd-9c6b-81a5cc04afab	ABC üçgen, $BA \perp AC$, $AD \perp BC$, $|EAI| = |ADI|$, $|BD| = 9$ birim, $|DC| = 16$ birim. Buna göre, $|EB|$ kaç birimdir?
e341cd59-607a-5ad9-aefe-2511e683abd0	ABC üçgen $DE \parallel BC$ $|DF| = 2\sqrt{5}$ birim $|KI| = 3\sqrt{5}$ birim $|FE| = 6$ birim Buna göre, $|KC|$ kaç birimdir?
ec58499c-bf89-5973-baa6-9c9b57439d96	ABC üçgen, $[DC]=[AE]=[K]$, $|AD|=|DB|$, $|BE|=|EC|$, $|DK|+|KI|=16$ cm, $|KE|+|KC|=17$ cm olduğuna göre, $|AE|$ kaç santimetredir?
ec79e729-fe0d-5839-a7cf-f34c9d370f3b	ABCD yamuk $[DC] \parallel [AB]$ $|DC| = 8$ br $|BC| = 8$ br $m(\widehat{DCB}) = 142^ ext{o}$ $m(\widehat{DAB}) = 71^ ext{o}$ Yukarıda verilenlere göre, $|AB|$ kaç br'dir?
ec84ee55-55c4-558d-86fd-61959b04a6c5	ABCD eşkenar dörtgen, $[DF] \perp [BC]$, $[KE] \perp [DC]$, $|ELI|=2$ cm, $|IF|=7$ cm, $|IKLJ|=9$ cm olduğuna göre, $|DL|=x$ kaç santimetredir?
f1278f7f-bf39-58cd-bd55-52e4de778678	ABCD deltoid $|AB| = |BC|$ $m(\widehat{ADB}) = 55^ ext{o}$ $m(\widehat{DBC}) = 30^ ext{o}$ olduğuna göre, $m(\widehat{BCD}) = x$ kaç derecedir?
f6e48f8c-da22-5357-b46b-7ca3f984764a	Büşra, $ABC$ ikizkenar üçgeni biçimindeki kağıdı $B$ noktası $B'$ noktası ile çakışacak şekilde $DE$ boyunca katlıyor. $|AB| = |AC|$, $m(\text{BAC}) = 40^ ext{o}$, $m(\text{BDE}) = 35^ ext{o}$ yukarıdaki verilere göre, $m(\text{EDC'}) = \alpha$ kaç derecedir?
f8f386c4-fcd8-5ad0-b3de-86b982b6352b	ABC ikizkenar üçgen $|AB| = |BC|$ $|AD| = |AC|$ $m(\widehat{DAC}) = 38^ ext{o}$ $m(\widehat{ABC}) = x$ Buna göre, $x$ kaç derecedir?
faada050-d1c3-58d7-88ee-475dedc80983	ABD ve BCE birer dik üçgen $BA \perp AD$ $EC \perp CB$ $m(\widehat{ADB}) = 60^ ext{o}$ $|AB| = 5\sqrt{3}$ birim $|EC| = 3$ birim ABC açısının açıortayı [BD] doğru parçası olduğuna göre, $|ED|$ kaç birimdir?
fcecca7f-038c-5648-ab8f-5661b035a98c	ABC eşkenar üçgen $m(\text{DBC}) = 15^ ext{o}$ $|AD| = 2 \text{ cm}$ Yukarıdaki verilere göre, $|DC| = x$ kaç cm'dir?
fe3a423a-3fa7-5e7c-a18e-83081b604321	ABC üçgen, $BA \perp AC$, $FE \perp AD$, $AD \perp BC$, $|BAI| = 15$ birim, $|AE| = 9$ birim. Buna göre, $|DC|$ kaç birimdir?
