id	subject_area	source_book	source_page	question_text	option_a	option_b	option_c	option_d	option_e	correct_answer	question_image_url	reject_rule	match_tier	verdict	error_type	notes
f766cb2a-e32b-5a23-842a-06b53b51db18	FIZIK	Neofizik Tyt Fizik Denemeleri	60	"4. Bu serüngül kuyumculuk fonksiyonu: 

Sarımsık kökleri 50 kg'dır."	A) $y = 50x$	B) $y = 50x^2$	C) $y = 50x^3$	D) $y = 50x^4$	E) $y = 50x^5$	A		R1_legacy_v3		fail	other	claude-text-faz-6-6: 'Sarımsık kökleri 50kg' nonsense
84df60fe-1561-5ae1-a92a-9cedec7fe871	MATEMATIK	Orijinal-2024-Ayt-Trigonometri	123	"TRİGONOMETRİ

1. A = arctan\frac{1}{2}, B = arctan\frac{3}{4}, C = arctan\frac{5}{12}, D = arctan\frac{7}{24}, E = arctan\frac{1}{3} olduğuna göre A + B + C + D + E nin en yakın değerini bulalım."	0	\frac{\pi}{4}	\frac{\pi}{2}	\frac{3\pi}{4}	\pi	E		R1_legacy_v3		pass	false_negative	claude-text-faz-6-6: arctan toplamı π well-known trig; well-formed YKS-style
31d435e7-c34a-5d78-8c1c-e5a20ad873a8	FEN	Bilgi Sarmal Tyt Fen Bilimleri 25 Deneme	113	"Eski zamanlarda göçebe yaşayan insanlar çamaşır yıkarken deniz suyu yerine nehir suyu tercih ederlerdi. Soğuk nehir suyunda yıkanmak yerine kazalarda su kaynar ve sıcak su kullanırlardı. Lekelerin çıkması için doğal malzemelerden elde edilen sabunlardan yararlandılar.

Göçebe yaşayan insanların çamaşırlarını yıkarken yaptıkları tercihlere göre,

I. Tuzlu suyun yüzey gerilimi daha fazladır.
II. Suyun sıcaklığı arttıkça yüzey gerilimi azalır.
III. Sabun suyun yüzey gerilimini artırır.

çıkarımlarından hangileri yapılabilir?"	I ve II	II ve III	I ve III	Yalnız I	Yalnız II	D	/static/crops/Bilgi_Sarmal_Tyt_Fen_Bilimleri_25_Deneme/Bilgi_Sarmal_Tyt_Fen_Bilimleri_25_Deneme_p0113_q01.png	R1_legacy_v3	tier1_page_inline	fail	wrong_answer	claude-text-faz-6-6: Tuzlu su+sıcaklık+sabun: I✓ II✓ III✗ → I,II=A; pool D=Yalnız I yanlış
a950fb0f-4017-588b-a9a0-594e960e708f	SOSYAL	Bilgi Sarmal Ayt Sosyal Bilimler 30 Deneme	108	İyon uygarlığı ile ilgili araştırma yapmak isteyen ABD'li bir arkeoloğun aşağıdaki şehirlerden hangisine uçak bileti alması daha doğrudur?	Ankara	İzmir	Konya	Bağdat	Şam	B	/static/crops/Bilgi_Sarmal_Ayt_Sosyal_Bilimler_30_Deneme/Bilgi_Sarmal_Ayt_Sosyal_Bilimler_30_Deneme_p0108_q01.png	R1_legacy_v3	tier1_page_inline	pass	false_negative	claude-text-faz-6-6: İyon uygarlığı Batı Anadolu=İzmir(B); well-formed soru
df0fa333-79e5-577d-8454-03cff9e71819	SOSYAL	345 Tyt Sosyal Bilgiler Soru Bankası	238	Ağır yüklemeleri hafifletmek için kullanılan program adı nedir?	A) Döngü	B) Döngü	C) Döngü	D) Döngü	E) Döngü	E		R1_legacy_v3		fail	duplicate_options	claude-text-faz-6-6: Tüm options 'Döngü' duplicate
a083ffde-143f-5d64-8e23-cd8d37719c28	MATEMATIK	Viral-2025-Tyt Matematik	52	Aşağıdaki işlemlerden hangisi tam olarak doğru ifade edilmiştir?	1 + 1 = 2	2 - 1 = 1	2 * 1 = 2	2 / 1 = 2	2 ^ 1 = 2	A		R1_legacy_v3		fail	low_quality	claude-text-faz-6-6: 1+1=2 trivial; gerçek YKS değil
0a1238a6-8716-5236-a572-ed81861bd14e	TURKCE	Aromat Paragraf Soru Bankası	58	1. Ören birlikte çalışmak için aşağıdaki gibi bir grup kurulabilir. Bu grup kurulması için en uygun olanı seçiniz.	A. Bir öğrenci biri	B. Bir öğrenci biri	C. Bir öğrenci biri	D. Bir öğrenci biri	E. Bir öğrenci biri	A		R1_legacy_v3		fail	duplicate_options	claude-text-faz-6-6: Aromat options 'Bir öğrenci biri' duplicate
078a2288-eb91-5d1f-b790-7205040e5329	MATEMATIK	2020-2021-ACİL-TYT Matematik Soru Bankası	396	10. Aşağıdaki verilen sayılardan kaç tanesi polinomelik sayıdır?	A) 100	B) 1000	C) 600	D) 60	E) 120	C		R1_legacy_v3		fail	incomplete_text	claude-text-faz-6-6: 'polinomelik sayı' anlamsız jargon
b96e845e-d211-59dc-a3b4-43e3adf6c52a	TURKCE	Mikro Orijinal Tyt Paragraf Soru Bankası 2024	149	"Roman türü Amerika'da oldukça geç gelişmiştir.

18. yüzyılda yazılışta ancak ikinci derecede zaman ayırabilen Amerikalı yazarların roman gibi büyük bir çaba ve çok zaman gerektiren bir alanda çalışmaları zordu. Henüz yazarlık haklarını koruyan yasalar da bulunmadığından İngiltere'de yayımlanan romanlar Amerika'da çok ucuz basılıp satılmakta, yerli romanlara fazla kazanç sağlamamaktaydı. 18. yüzyılın sonlarında Amerikalı yazarlar, ilk romanlarını yazmaya başladıklarında İngiliz romantiklerinin duygusal romanlarını örnek aldılar. Aynı zamanda İngiliz gotik romanlarından etkilenerek, gotik korku ögeleriyle birleşmiş ruhsal durumlara sentezleyerek yazdılar. Her ikisinde de amaç sürükleyici bir olay örgüsü ile okurun merakını kamçılamak, onu coşturmak ve çok okun başarmış olurlar.

Bu parçada 18. yüzyıl Amerikan romanları ile ilgili aşağıdakilerden hangisine değinilmemiştir?"	İt ürünlerle İngiliz edebiyatının baskın olduğu	Yazarlık haklarının güvence altında olmamasının yeni eser üretimini olumsuz etkilediği	Korku romanlarıyla İngiliz romanlarının bir türünü başarıyla birleştirebildikleri	Yazıldıkları birinci derecede zaman ayırmayan yazarların romanı kültürel bir iş olarak gördüklerini	18.yüzyılın sonlarında kendi edebiyatlarını oluşturarak özgün romanlar yazdıklarına	A	/static/crops/Mikro_Orijinal_Tyt_Paragraf_Soru_Bankası_2024/Mikro_Orijinal_Tyt_Paragraf_Soru_Bankası_2024_p0149_q03.png	R1_legacy_v3	tier1b_position_page_inline	pass	false_negative	claude-text-faz-6-6: Amerikan romanı paragraf well-formed; yazarlık hakları tarihçesi
3ad9fc0f-ec37-505b-97e4-6985b5005ed7	SOSYAL	krallar karması tyt sosyal bilimler branş denemesi-13	2	Haritaya göre Haçlı Seferleri ile ilgili aşağıdakilerden hangisi söylenebilir?	Haçlılar Orta Doğu'nun tamamına egemen olmuştur.	Mısır, Hristiyan devletlerin hâkimiyetine girmiştir.	Bizans İmparatorluğu, Anadolu'da siyasi birliği kurmuştur.	Türkler, İslam dünyasının koruyuculuğunu üstlenmişlerdir.	Haçlılar, Orta Doğu'da Avrupa'dakine benzer bir siyasi yapı oluşturmaya çalışmışlardır.	E		R1_legacy_v3		pass	false_negative	claude-text-faz-6-6: Haçlı Seferleri harita; SOSYAL well-formed
c6052578-b3a2-5094-acb8-cfc04174232a	SOSYAL	krallar karması tyt sosyal bilimler branş denemesi-16	4	"Aşağıdaki haritada bir iklim tipinin görüldüğü bölgeler koyu renkle gösterilmiştir.
Bu bölgelerin özellikleri ile ilgili,
I. Yazlar yağışlı, kışlar kurak geçer.
II. Bitki örtüsü savan adı verilen uzun boylu otlar-dan oluşur.
III. Yağış biçimi orografik yağışlar şeklindedir.
bilgilerinden hangileri doğrudur?"	Yalnız I	Yalnız II	I ve II	II ve III	I, II ve III	C	/static/crops/krallar_karması_tyt_sosyal_bilimler_branş_denemesi-16/krallar_karması_tyt_sosyal_bilimler_branş_denemesi-16_p0004_q03.png	R1_legacy_v3		unclear	needs_image	claude-text-faz-6-6: Akdeniz/savan iklim haritası image-bound
972d7e88-adbe-51be-8126-feac195939f2	MATEMATIK	2023-2024 ACİL- AYT Matematik Soru Bankası	407	Aşağıdaki verilen fonksiyonun grafiğini çiziniz.	Şekil 1	Şekil 2	Şekil 3	Şekil 4	Şekil 5	B		R1_legacy_v3		fail	incomplete_text	claude-text-faz-6-6: 'Aşağıdaki fonksiyonun grafiğini çiziniz' soru değil
679eed8c-a77b-56a0-aa1a-4eb7fd6641eb	KIMYA	Aktif Ogrenme Ayt Kimya 2019 2020	133	"I. X + 10kj → Y - Z
II. K + L → M + 40kj
III. A + B → C + D ΔH = +15kj

Yukardaki tepkimelerden hangileri endotermiktir?"	Yalnız I	Yalnız II	I ve II	I ve III	I, II ve III	C	/static/crops/Aktif_Ogrenme_Ayt_Kimya_2019_2020/Aktif_Ogrenme_Ayt_Kimya_2019_2020_p0133_q01.png	R1_legacy_v3	tier1_page_inline	fail	wrong_answer	claude-text-faz-6-6: I endo ✓, II exo (40kJ açığa), III endo ✓ → I,III=D; pool C=I,II yanlış
c65de086-bd5c-56e1-aa4d-2bcffa31886f	MATEMATIK	CAP-2023-2024-AYT-Matematik Soru Bankası	30	f(x) = x^2 + m - 1 parabolü o ekseni ile teşet eğimli görsel, m değer?	-1	0	1	2	-2	C		R1_legacy_v3		fail	incomplete_text	claude-text-faz-6-6: 'o ekseni ile teşet eğimli görsel' OCR garbled
1e2ad5cc-1b8c-5b9a-b438-54a5d1c0046e	MATEMATIK	C1CELL-2024-TYT-Matematik Soru Bankası	98	4. Deneme ve sayıda 100 eşit parçadan oluşan bir üçgenin her bir köşesini birer nokta olarak alırsak, bu üçgenin her bir köşesinden geçen en az 2 tane doğru parçasının uzunluğu toplamı kaçtır?	100	101	102	103	104	C		R1_legacy_v3		fail	low_quality	claude-text-faz-6-6: '100 eşit parçadan üçgen köşesinden 2 doğru parçası' anlamsız
10bceaae-cf43-5ac3-937d-f29c7142c2be	GEOMETRI	Mikro Orijinal-2025-Ayt-Geometri Soru Bankası	85	ABC üçgenü veriliyor. A, B, C köşelerinin uzaklıkları sırasıyla 5 cm, 12 cm, 13 cm'dir. Bu üçgenin alanını bulun.	30 cm²	60 cm²	78 cm²	156 cm²	169 cm²	A		R1_legacy_v3		pass	false_negative	claude-text-faz-6-6: 5-12-13 Pisagor üçgen alan=30=A; well-formed; soru basit ama doğru
0bd297be-92a5-53c1-95f6-97b02e7b6499	KIMYA	Apotemi Tyt Ayt Kimya 2019-2020	142	1. Dışa doğru açılan bir dikdörtgenin bir köşesinin koordinatları (x, y) = (3, 4) ise, dikdörtgenin alanı kaç birimkaredir?	12	15	20	24	30	A		R1_legacy_v3		fail	wrong_topic	claude-text-faz-6-6: KIMYA tag dikdörtgen koordinat MATEMATIK; ifade eksik
ccbdd71b-9d21-5bcd-b63f-58e02bd0c42c	BIYOLOJI	345 2024 Ayt Biyoloji Soru Bankası	33	Bilim insanları, bir miktar magnezyum atomu üzerinde çalışırken, bu atomu biraz daha büyük hale getirdiler. Bu durumda, atomun elektronik yapısı nasıl değiştiğini açıklar?	Elektronik yapısı değişmedi, ancak atomun kütle değeri arttı	Elektronik yapısı değişti, ancak atomun kütle değeri değişmedi	Elektronik yapısı değişti ve atomun kütle değeri de arttı	Elektronik yapısı değişmedi ve atomun kütle değeri de değişmedi	Elektronik yapısı ve atomun kütle değeri de değişti	A		R1_legacy_v3		fail	low_quality	claude-text-faz-6-6: 'magnezyum atom büyük yaptık elektron?' pseudoscience
6d4fbf91-af5e-520d-a83e-ce4b612c57b5	MATEMATIK	2019-2020-ACİL-AYT-Matematik Soru Bankası	230	1. $a_n = 3n + 1$ olmak üzere $a_1$, $a_2$, $a_3$ terimlerinin toplamı kaçtır?	10	12	14	16	18	C		R1_legacy_v3		fail	wrong_answer	claude-text-faz-6-6: an=3n+1: a1+a2+a3=4+7+10=21; pool C=14 yanlış (options'da yok)
3a7cb794-6abe-589d-87ef-e31245077971	MATEMATIK	Bilgi Sarmalı-2025-Ayt-Matematik Soru Bankası	316	Düzenli aralıklı terimler ve karmaşık sayılar ile ilgili soru	a + b	a - b	a^2 - b^2	a^2 + b^2	a^2b^2	D		R1_legacy_v3		fail	incomplete_text	claude-text-faz-6-6: Soru ifadesi yok, sadece konu adı
27d66c80-5696-5a45-9d7a-abc5321d382c	FIZIK	Fizipedia Ayt Fizik Soru Bankası 2025	114	Bir dikdörtgenin bir köşesinden geçen bir doğru parçası dikdörtgenin içine girer. Bu doğru parçasının dikdörtgen göre nerede kesildiğini belirleyiniz.	Dikdörtgenin köşesinde	Dikdörtgenin kenar orta noktalarında	Dikdörtgenin kenarlarının ortasında	Dikdörtgenin kenarlarının dışta	Dikdörtgenin kenarlarının içte	E		R1_legacy_v3		fail	wrong_topic	claude-text-faz-6-6: FIZIK tag dikdörtgen geometri MATEMATIK content
e711f669-4d95-5968-bc99-9757c5c0d58d	GEOMETRI	Mikro Orijinal-2025-Ayt-Geometri Soru Bankası	196	ABCDEF pentagramı veriliyor. [A] ve [F] köşeleri birbirine paralel ve [A] köşesi [F] köşesinden 2 cm uzakta. [B] ve [E] köşeleri birbirine paralel ve [B] köşesi [E] köşesinden 3 cm uzakta. [C] ve [D] köşeleri birbirine paralel ve [C] köşesi [D] köşesinden 4 cm uzakta. [A] köşesi [B] köşesinden 5 cm uzakta. [D] köşesi [E] köşesinden 6 cm uzakta. [B] köşesi [C] köşesinden 7 cm uzakta. [E] köşesi [F] köşesinden 8 cm uzakta. [C] köşesi [D] köşesinden 9 cm uzaktadır. [A] köşesi [D] köşesinden kaç cm uzakta?	10 cm	11 cm	12 cm	13 cm	14 cm	D		R1_legacy_v3		fail	incomplete_text	claude-text-faz-6-6: ABCDEF pentagram 6 köşe + tutarsız uzaklık verileri, anlamsız
