idx	bucket	id	book	page	q_no	image_path	db_text_preview	ocr_text_preview	jaccard	substr_pct	verdict_huseyin
11	direct	64100c8e-bac2-5b64-ba76-e2bb1d1c08dd	Full Matematik-2019-2020-Geometri Soru Bankası	73	9	C:\Users\husey\kiro2\d-dataset\output\crops\Full_Matematik-2019-2020-Geometri_Soru_Bankası\Full_Matematik-2019-2020-Geometri_Soru_Bankası_p0073_q05.png	ABC eşkenar üçgen, $[DE] \perp [AC]$, $|CE| = 5$ cm, $|AD| = 4$ cm. Yukarıdaki verilere göre, $|BC| 	ABC eşkenar üçgen, [DE] ⊥ [AC], |CE| = 5 cm, |AD| = 4 cm Yukarıdaki verilere göre, |BC| = x kaç cm d	0.367	0.909	
12	direct	6c8e41a4-0ff7-59b2-914d-9fb122377df0	Bilgi Sarmalı-2025-Tyt Ayt-Geometri Soru Bankası	104	12	C:\Users\husey\kiro2\d-dataset\output\crops\Bilgi_Sarmalı-2025-Tyt_Ayt-Geometri_Soru_Bankası\Bilgi_Sarmalı-2025-Tyt_Ayt-Geometri_Soru_Bankası_p0104_q05.png	ABC ve CDE üçgen, B, C ve E doğrusal noktalar, $|AB| = 8$ cm, $|BC| = 6$ cm, $|AC| = 10$ cm, $|DE| =	ABC ve CDE üçgen  B, C ve E doğrusal noktalar,  |AB| = 8 cm, |BC| = 6 cm, |AC| = 10 cm  |DE| = 3 cm,	0.304	0.923	
13	direct	ed8a1533-96fb-504b-8d8b-4e60a10653d4	C1CELL-2024-TYT-AYT-Geometri Soru Bankası	230	8	C:\Users\husey\kiro2\d-dataset\output\crops\C1CELL-2024-TYT-AYT-Geometri_Soru_Bankası\C1CELL-2024-TYT-AYT-Geometri_Soru_Bankası_p0230_q04.png	ABCD paralelkenar, $[AE]$, $DAB$'nın açıortayı, $[CF]$, $DCB$'nın açıortayı, $|DB| = 12$ br, $|DF| =	ABCD paralelkenar [AE], DÂB'nın açıortayı [CF], DCB'nın açıortayı |DB| = 12 br |DF| = 7 br  Yukarıda	0.219	0.733	
14	direct	cc35e9a1-cbc0-5d13-b929-51a773f48b7a	2023-2024-ACİL-TYT-AYT-Geometrinin İlacı	20	10	C:\Users\husey\kiro2\d-dataset\output\crops\2023-2024-ACİL-TYT-AYT-Geometrinin_İlacı\2023-2024-ACİL-TYT-AYT-Geometrinin_İlacı_p0020_q01.png	ABC üçgen, $ED \parallel BC$, $|BD|=|BC|$, $m(\widehat{BAC})=50^\circ$, $m(\widehat{ABD})=30^\circ$,	ABC üçgen ED // BC |BD| = |BC| m($\widehat{BAC}$) = 50° m($\widehat{ABD}$) = 30° m($\widehat{EDB}$) 	0.185	0.667	
15	direct	f641aee4-0226-553a-bc73-2c8685e01291	CAP-2022-2023-TYT AYT-Geometri Soru Bankası	193	10	C:\Users\husey\kiro2\d-dataset\output\crops\CAP-2022-2023-TYT_AYT-Geometri_Soru_Bankası\CAP-2022-2023-TYT_AYT-Geometri_Soru_Bankası_p0193_q05.png	ABCD dikdörtgen, $[AE] \perp [BD]$, $|BH| = 2$ cm ve $|HE| = 1$ cm dir. Yukarıdaki verilere göre, $|	10. ABCD dikdörtgen, [AE] ⊥ [BD], |BH| = 2 cm ve |HE| = 1 cm dir.  Yukarıdaki verilere göre, |HD| = 	0.367	0.917	
16	page	d8b8fdaf-fdc5-583a-a628-27ed633d7a08	Bilgi Sarmalı-2022-2023-Tyt-Matematik Soru Bankası	95	15	C:\Users\husey\kiro2\veriseti\zkitap\screenshots\Bilgi Sarmalı-2022-2023-Tyt-Matematik Soru Bankası\sayfa_0095.png	Aşağıda $y=f(x)$ parabolü ile $y=g(x)$ doğrusunun grafikleri verilmiştir. $(gof)(x) < 12$ eşitsizliğ	Aşağıda y = f(x) parabolü ile y = g(x) doğrusunun grafikleri verilmiştir.  (gof)(x) < 12  eşitsizliğ	0.538	1.000	
18	page	549e6fbc-67af-50a5-aafa-0ae849fb3355	2022-2023-ACİL-Analitik Geometri	131	9	C:\Users\husey\kiro2\veriseti\zkitap\screenshots\2022-2023-ACİL-Analitik Geometri\sayfa_0131.png	Analitik düzlemde; • ABCD dik yamuğu orijin etrafında saat yönünde $90^ ext{o}$ döndürülüyor. • KLM 	Analitik düzlemde.  * ABCD dik yamuğu orijin etrafında saat yönünde 30° döndürülüyor. * KLM üçgenini	0.800	0.957	
19	page	9ab756bb-0bf4-5ad5-a125-9917b9b76668	345 2025 Tyt Ayt Geometri Soru Bankası 1	213	8	C:\Users\husey\kiro2\veriseti\zkitap\screenshots\345 2025 Tyt Ayt Geometri Soru Bankası 1\sayfa_0213.png	ABC üçgen, $[DE] \parallel [FG] \parallel [BC]$, $6|AD| = 3|DF| = 2|FB|$, $S_1$, $S_2$ ve $S_3$ bulu	ABC üçgen [DE] // [FG] // [BC] 6|AD| = 3|DF| = 2|FB| S₁, S₂ ve S₃ bulundukları bölgelerin alan değer	0.333	1.000	
20	page	301bfe50-4700-5e9c-ae2a-1e0adb30f2d6	345 2025 Tyt Ayt Geometri Soru Bankası 1	31	9	C:\Users\husey\kiro2\veriseti\zkitap\screenshots\345 2025 Tyt Ayt Geometri Soru Bankası 1\sayfa_0031.png	ABC üçgen, $[BD]\perp[AC]$, $|AE|=|EC|$, $|BE|=|EC|$, $m(\widehat{BEA})=63^\circ$ olduğuna göre, $m(	ABC üçgen [BD] ⊥ [AC] |BD| = |AE| |BE| = |EC| m(DBC) = 63° olduğuna göre, m(ACB) = α kaç derecedir?	0.208	0.750	
22	page	73024935-9993-5adc-bed5-5b28a32c6067	C1CELL-2024-TYT-AYT-Geometri Soru Bankası	14	6	C:\Users\husey\kiro2\veriseti\zkitap\screenshots\C1CELL-2024-TYT-AYT-Geometri Soru Bankası\sayfa_0014.png	Bir A noktasından aralarında belirli açı olacak şekilde Demir kırmızı, Talya ise mavi yoldan yürümey	Bir A noktasından aralarında belirli açı olacak şekilde Demir kırmızı, Talya ise mavi yoldan yürümey	0.735	1.000	
23	page	38326467-6816-5a74-9b5d-a07e9cbac268	CAP-2023-AYT-Matematik -AL-Soru Bankası	377	7	C:\Users\husey\kiro2\veriseti\zkitap\screenshots\CAP-2023-AYT-Matematik -AL-Soru Bankası\sayfa_0377.png	Aşağıdaki koordinat düzleminde $y = f(-2)$ ile $x = f(3)$ doğruları ve eksenler ile sınırladığı bölg	Aşağı dik koordinat düzleminde y = f(−2) ile x = f(3) doğruları ve eksenler ile sınırladığı bölge al	0.468	0.917	
24	page	586160a7-641a-5b9f-a3b1-c407acebfb9c	2019-2020-Acil Matematiğin ilacı-1	255	10	C:\Users\husey\kiro2\veriseti\zkitap\screenshots\2019-2020-Acil Matematiğin ilacı-1\sayfa_0255.png	Yandaki kapta A noktasındaki sıvı basıncı $P = h \cdot d \cdot g$ bağıntısıyla bulunur. Bu formülde;	Yandaki kapta A noktasındaki sıvı basıncı P = h • d • g bağıntısıyla bulunur.  Bu formülde; P: Basın	0.705	0.949	
25	page	af19c7c9-7af5-5a25-9dec-689c4d3c1bf1	CAP-2022-2023-TYT AYT-Geometri Soru Bankası	73	8	C:\Users\husey\kiro2\veriseti\zkitap\screenshots\CAP-2022-2023-TYT AYT-Geometri Soru Bankası\sayfa_0073.png	ABC üçgen, $[DE] \perp [AB]$, $[AC] \perp [BC]$, $|BE| = 4$ cm, $|DE| = 3$ cm ve $|AC| = 6$ cm dir. 	ABC üçgen, [DE] ⊥ [AB], [AC] ⊥ [BC] |BE| = 4 cm, |DE| = 3 cm ve |AC| = 6 cm dir. Yukarıdaki verilere	0.316	0.929	
26	page	cca6900c-19ea-529d-883c-c45daa19e102	345 Tyt Ayt Geometri Soru Bankası	351	6	C:\Users\husey\kiro2\veriseti\zkitap\screenshots\345 Tyt Ayt Geometri Soru Bankası\sayfa_0351.png	Şekildeki EFGH dörtgeni, ABCD eşkenar dörtgeninin gösterilen yönde merkez etrafında $90^\circ$ döndü	Şekildeki EFGH dörtgeni, ABCD eşkenar dörtgeninin gösterilen yönde merkezi etrafında 90° döndürülmes	0.629	0.955	
28	page	c680a367-5971-5105-a653-4971c5f87cf0	Esen Ayt Kimya Soru Bankası	158	7	C:\Users\husey\kiro2\veriseti\zkitap\screenshots\Esen Ayt Kimya Soru Bankası\sayfa_0158.png	$SrCO_3$ suda az çözünen bir tuzdur. Oda koşullarında katısıyla dengede olan $SrCO_3$ çözeltisi hazı	SrCO₃ suda az çözünen bir tuzdur. Oda koşullarında katısıyla dengede olan SrCO₃ çözeltisi hazırlanmı	0.657	0.745	
29	page	3ac5a095-0e43-59d4-8f07-2a85ea131b09	Apotemi 2020 2021 Modern Kimya	38	2	C:\Users\husey\kiro2\veriseti\zkitap\screenshots\Apotemi 2020 2021 Modern Kimya\sayfa_0038.png	Yukarıda verilen galvanik hücre ile ilgili, I. 1. kaba $25^\circ C$'de 1 litre saf su ilavesi II. 2.	Yukarıda verilen galvanik hücre ile ilgili,  I. 1. kaba 25 °C de 1 litre saf su ilavesi II. 2. kaba 	0.857	1.000	
30	page	254cc703-fadb-532f-9e31-c428c1230014	CAP-2023-2024-AYT-Matematik Soru Bankası	355	8	C:\Users\husey\kiro2\veriseti\zkitap\screenshots\CAP-2023-2024-AYT-Matematik Soru Bankası\sayfa_0355.png	Şekilde dik koordinat düzleminde $y=f(x)$ eğrisinin grafiği verilmiştir. Buna göre, $\int_{3}^{4} (3	Şekilde dik koordinat düzleminde y = f(x) eğrisinin grafiği verilmiştir.  Buna göre, $3 \cdot \int_{	0.600	0.824	
