id	subject_area	source_book	source_page	question_text	option_a	option_b	option_c	option_d	option_e	correct_answer	question_image_url	match_tier	quality_review_status
d0eee5c6-e152-572d-a3b4-dee3b43bcfa1	EDEBIYAT	Edebiyat Sokagi Ayt Edebiyat Soru Bankasi	22	"I. Tek Kişilik
Duyuru
Konferans
Sempozyum
Kitap tanıtma
II. Küme / Grup Hâlinde
Demek
Kurultay
Münazara
Forum

Yukarıda 'Hazırlıklı konuşma'ya dair 'Tek Kişilik' ve 'Grup Hâlinde' konuşma türlerine dair hangi iki örnek yer değiştirirse bilgi yanlışlığı düzeltilmiş olur?"	Sempozyum - Demek	Konferans - Münazara	Duyuru - Forum	Konferans - Kurultay	Kitap tanıtma - Kurultay	E	/static/crops/Edebiyat_Sokagi_Ayt_Edebiyat_Soru_Bankasi/Edebiyat_Sokagi_Ayt_Edebiyat_Soru_Bankasi_p0022_q04.png	tier1b_position_page_inline	bronze_clean
e22fbd53-cb40-5fad-8372-b94364f4e28a	MATEMATIK	2019-2020-ACİL-TYT-Soru Bankası	215	Bir harita üzerindeki uzunluğun gerçek uzunluğa oranına haritanın ölçeği denir. Londra'dan hareket eden bir yolcu uçağı 80 km/saat hızla uçarak 10 saatte New York'a ulaşmıştır. Buna göre, verilen haritanın ölçeği kaçtır?	$1/1000000$	$1/1200000$	$1/1500000$	$1/1600000$	$1/1800000$	D	/static/crops/2019-2020-ACİL-TYT-Soru_Bankası/2019-2020-ACİL-TYT-Soru_Bankası_p0215_q04.png		bronze_clean
d2337d31-55bc-5796-b60c-c39f1a673d80	GEOMETRI	ACİL-TYT-AYT-Geometri Soru Bankası	288	[AE] çaplı çember içine yarım çemberler çizilmiştir. $|AB|=|BC|=|CD|=|DE|$ Buna göre, boyalı alanlar toplamının tüm alana oranı kaçtır?	$\frac{2}{5}$	$\frac{3}{8}$	$\frac{4}{15}$	$\frac{1}{3}$	$\frac{1}{4}$	A	/static/crops/ACİL-TYT-AYT-Geometri_Soru_Bankası/ACİL-TYT-AYT-Geometri_Soru_Bankası_p0288_q01.png		bronze_clean
b397499f-e512-5024-9f6c-c950bc25b2ec	FIZIK	Esen Ayt Fizik Soru Bankası	227	Periyotları eşit olan X ve Y yay sarkacları K-N arasında basit harmonik hareket yapıyor. Buna göre X sarkacının ucundaki cisim K, Y sarkacının ucundaki cisim L hizasından aynı anda gösterilen yönlerde harekete geçtikten sonra nerede ilk kez karşılaşırlar?	L-O arasında	O hizasında	O-M arasında	M hizasında	M-N arasında	B	/static/crops/Esen_Ayt_Fizik_Soru_Bankası/Esen_Ayt_Fizik_Soru_Bankası_p0227_q02.png		bronze_clean
57e2d864-8219-53c4-996b-8afc9ef56e52	TURKCE	Aromat Paragraf Soru Bankası	221	"(I) Teknoloji, aynı zamanda bize zekâmızı artırma olanağı da sunabilir: “savant” adı verilen sistemle zihinsel, sanatsal ve matematiksel becerileri gerçekleştiren inanılmaz olan insanların sıra dışı güçlerini anlamakta ciddi ilerlemeler kaydedildi.
(II) Bu sistemde insan beynin diğer canlılardan ayıran genlerin dizilebilmeleri de birinci kökleri özü benzeri bulunumların bir incelemesi fırsatı sunmaktadır.
(III) Hayvanlarda belleği ve zihinsel performansını artıran genler yattığı düşünülmektedir.
(IV) Bu ufuk açıcı gelişmelerin yarattığı heyecan ve vaat ettikleri o kadar büyük ki biz gelişmeler amaca yönelik çalışmaların zamana çekmeyi başardı.
(V) Aslında beyin bilimi birden bire dünya üzerindeki büyük ekonomik güçler arasında transatlantik bir rekabetin kaynağı haline geldi.

Bu parçada numaralanmış cümlelerden hangisi düşüncenin akışını bozmaktadır?"	I	II	III	IV	V	E	/static/crops/Aromat_Paragraf_Soru_Bankası/Aromat_Paragraf_Soru_Bankası_p0221_q01.png	tier1b_position_page_inline	bronze_clean
7e843ae8-46f8-56df-b21a-b1e51e604811	MATEMATIK	Full Matematik-Ayt-Matematik Soru Bankası	151	Şekil 1'de yarıçapı 1 birim olan O merkezli yarım daire gösterilmiştir. Bu yarım daire şekil 2'deki gibi işaretli yerlerden kesilerek mavi bölgeler birleştiriliyor. Şekil 2'deki sarı renkli yayın uzunluğu $\alpha$ birim, şekil 3'teki mavi renkli yayın uzunluğu $\beta$ birimdir. Buna göre, $\frac{\cos \alpha}{\sin \beta}$ oranı aşağıdakilerden hangisidir?	$-\cos \alpha$	$-\tan \alpha$	$\cot \alpha$	$\tan \alpha$	$1$	E	/static/crops/Full_Matematik-Ayt-Matematik_Soru_Bankası/Full_Matematik-Ayt-Matematik_Soru_Bankası_p0151_q03.png		bronze_clean
52855cc4-33fc-5c71-9195-b28a4cbf6e57	MATEMATIK	Mikro Orijinal-2024-Ayt-Matematik Soru Bankası	216	"{a_n} gerçel sayı dizisinin genel terimi,
{a_n} = {n^2 - 6n + 1}
olarak veriliyor.

Buna göre, {a_n} dizisinin en küçük terimi kaçtır?"	-10	-9	-8	-6	-4	C	/static/crops/Mikro_Orijinal-2024-Ayt-Matematik_Soru_Bankası/Mikro_Orijinal-2024-Ayt-Matematik_Soru_Bankası_p0216_q01.png	tier1_page_inline	bronze_clean
df81e873-a80c-5aac-a0db-d8f7a1ea6517	FIZIK	Egsersiz Tyt Fizik Soru Bankası 2021	5	"Omurga rahatsızlığı (skolyoz) olan bir hastanın röntgen filmi Şekil-I'de gösterilmiştir. Hastanın omurgasına ortopedistler tarafından cerrahi operasyonla Şekil-II'deki gibi metal vidalar takılarak hastanın günlük yaşam aktivitelerini daha iyi yerine getirmesi sağlanır. Başka bir ifadeyle hastanın dengece kalma ve hareket etme kabiliyetleri artırılmış olur.

Buna göre, yukarıda bahsi geçen uygulamada sağlık sektörü ile fizik alt dallarının hangisinin ilişkisi daha baskın görülmektedir?"	Optik	Termodinamik	Katıhal fiziği	Mekanik	Atom fiziği	E	/static/crops/Egsersiz_Tyt_Fizik_Soru_Bankası_2021/Egsersiz_Tyt_Fizik_Soru_Bankası_2021_p0005_q04.png	tier1_page_inline	bronze_clean
f6bb65a8-2f56-5146-8711-7c07caa4a27e	SOSYAL	Bilgi Sarmal Tyt Sosyal Bilimler Video Ders Kitabı 2025	26	"1. SAYILAR HESAPLAMA

a) 2000'den 1999'ya kadar olan tüm doğal sayıların toplamı kaçtır?"	1999	1998	1997	1996	1995	C			legacy_v3_unaudited
e3fb5fc0-2285-5c6b-8f71-a33695972d1d	MATEMATIK	C1CELL-2024-TYT-Matematik Soru Bankası	325	"bir gerçek sayı olmak üzere, P(x) polinomunu 
P(x + 2) = 4x² - ax + a 
P(1) = 6 
eşitliklerini sağlıyor. 
Buna göre, P(a) kaçtır?"	-4	3	4	5		A	/static/crops/C1CELL-2024-TYT-Matematik_Soru_Bankası/C1CELL-2024-TYT-Matematik_Soru_Bankası_p0325_q02.png	tier1b_position_page_inline	bronze_clean
5744373e-cf5a-52f7-9fa6-cd4cf8bf1fae	TARIH	Bilgi Sarmal Tyt Tarih Soru Bankasi	44	Orta Asya Türk devletleriyle ilgili yapılan bir araştırmada kazısında toprağın en üst katında kerpiçten yapılmış bir köy bulunmuştur. Kazılar sonucunda çeşitli bakır eşyalar, komikken iğneler, çakmak taşından ok uçları, kömür hâline gelmiş buğday ve arpa taneleri, kilitten yapılmış çömlekler rastlanmıştır. Bu bilgilere bakarak aşağıdakilerden hangisine ulaşılamaz?	Tahıl ürünlerinin tarımında	İhtiyaçlar için araç-gereç yapıldığında	İnsanların eşyaları ortak kullandığına	Madeni işçiliyi bildiklerine	Sosyal yaşamın başladığına	A	/static/crops/Bilgi_Sarmal_Tyt_Tarih_Soru_Bankasi/Bilgi_Sarmal_Tyt_Tarih_Soru_Bankasi_p0044_q01.png	tier1b_position_page_inline	bronze_clean
72b28ce4-0d82-589b-bbb1-5834b4827ed9	MATEMATIK	CAP-2023-AYT-Matematik -AL-Soru Bankası	191	Dik koordinat düzleminde O merkezli yarım birim çember verilmiştir. Buna göre, $\sqrt{2}\frac{|HC|}{|AH|}$ oranının $\alpha$ türünden eşit aşağıdakilerden hangisidir?	$\tan\alpha - 1$	$1 - \cot\alpha$	$\sec(\alpha) - 1$	$\sec(\frac{\alpha}{2})$	$\csc\alpha$	D	/static/crops/CAP-2023-AYT-Matematik_-AL-Soru_Bankası/CAP-2023-AYT-Matematik_-AL-Soru_Bankası_p0191_q04.png		bronze_clean
bdcf08c8-15fa-5e90-97f9-ad6be5440415	GEOMETRI	Mikro Orijinal-2025-Ayt-Geometri Soru Bankası	135	ABC ve DEF eşkenar üçgen, $|AD|=5$ cm, $|AF|=7$ cm. Verilenlere göre, $|BC|=x$ kaç cm'dir?	9	10	11	12	13	D	/static/crops/Mikro_Orijinal-2025-Ayt-Geometri_Soru_Bankası/Mikro_Orijinal-2025-Ayt-Geometri_Soru_Bankası_p0135_q02.png		bronze_clean
e5ada176-7e99-5e84-9346-66d11ba432f1	MATEMATIK	Full-2019-2020-Ayt-Matematik Soru Bankası	267	Bir fabrika aşağıdaki şekilde olduğu gibi alt kısmı parabolik olan tahta bloklar üretecektir. Fabrika, koordinat sisteminde 1 birimi 1 cm kabul ederek ölçeklendirilmiş ve aşağıdaki çizimi yapmıştır. Tahta blokların diğer yüzeyleri 4 cm genişliğinde olduğuna göre, bu bloklardan birinin hacmi kaç $cm^3$ tür?	280	304	324	336	340	D	/static/crops/Full-2019-2020-Ayt-Matematik_Soru_Bankası/Full-2019-2020-Ayt-Matematik_Soru_Bankası_p0267_q04.png		bronze_clean
65be4c2c-e6f0-5f93-826c-261e850faa80	BIYOLOJI	Aktif Ogrenme 2023 2024 Biyoloji	179	8, 9 ve 10. soruları aşağıdaki şekilde göre cevaplayınız. $2n=4$ kromozomlu bir hücrenin geçirdiği bazı evreler aşağıda gösterilmiştir. Bu evrelerden hangileri mayoz bölünmeye ait değildir?	Yalnız I	Yalnız II	I ve II	II, III ve IV	Yalnız IV	A	/static/crops/Aktif_Ogrenme_2023_2024_Biyoloji/Aktif_Ogrenme_2023_2024_Biyoloji_p0179_q08.png		bronze_clean
acefe73e-e1da-5c16-92e0-f65c9fb1cd86	GEOMETRI	C1CELL-2024-TYT-AYT-Geometri Soru Bankası	182	Elif ile Öykü üçgen biçimindeki ABC parkı etrafında yürümek istemektedir. Elif bu parkın A köşesinden, Öykü ise B köşesinden saat yönünün tersi yönde eşit miktarda yürüdüklerinde sırasıyla $|AC|$ üzerindeki mavi ve kırmızı noktalar üzerine geliyorlar. A, B ve C açılarının ölçüleri sırasıyla x, y ve z olduğuna göre, I. $x<y$ II. $z<y$ III. $x<z$ İfadelerinden hangileri kesinlikle doğrudur?	Yalnız I	Yalnız II	Yalnız III	I ve III	II ve III	B	/static/crops/C1CELL-2024-TYT-AYT-Geometri_Soru_Bankası/C1CELL-2024-TYT-AYT-Geometri_Soru_Bankası_p0182_q04.png		bronze_clean
e41fdcf2-7046-5d2a-b400-720d9b393013	GEOMETRI	Orijinal-2024-Geometri Soru Bankası	318	Bir restorandaki her bir pizza için önce daire biçiminde bir pizza hamuru açılmaktadır. Daha sonra bu hamurla eş merkezli bir daire oluşturacak biçimde turuncu renkteki malzemeli kısım oluşturulmaktadır. Bu restorana giden Ali ve Ayşe'nin sipariş ettikleri pizzanın üstten görünümü şekilde verilmiştir. Şekilde verilen pizzayı 8 eş dilime ayıran Ayşe; bu dilimlerden 3'ünü almış, 5'ini de Ali'ye vermiştir. Ali kendi dilimlerinin tamamını yerken Ayşe ise kendi dilimlerinin sadece şekilde turuncu ile gösterilen kısımlarını yemiştir. Son durumda bu pizzanın üstten görünümünde yer alan dilimlerden Ali'nin yediği kısımların alanı, Ayşe'nin yediği kısımların alanının 2,4 katı olarak hesaplanmıştır. Buna göre bu pizzanın yarıçapının, turuncu kısmının yarıçapına oranı kaçtır?	3/2	4/3	5/4	6/5	7/6	B	/static/crops/Orijinal-2024-Geometri_Soru_Bankası/Orijinal-2024-Geometri_Soru_Bankası_p0318_q01.png		bronze_clean
4ea1618c-6c19-5194-9d33-15956f82f873	MATEMATIK	Bilgi Sarmalı-2022-2023-Tyt-Matematik Soru Bankası	163	"ABC dik üçgeni ve dik açıların tersinversleri açılar A, B ve C olsun. 
ABC üçgeninin A açısının tersinversi açısı A' olsun. 
A' açısının ölçüsü A açısının ölçüsünün kaç katıdır?"	2 katı	3 katı	4 katı	5 katı	6 katı	B			legacy_v3_unaudited
bdf0c174-a9d4-5388-99b6-1569fd2b855e	KIMYA	Aktif Ogrenme Ayt Kimya 2019 2020	315	5. Hesaplamak istediğiniz sayının tam sayı birer birer azaltılması sonucu elde edilen sonucun 2000'den büyük olup olmadığını belirleyen ifade aşağıdaki kilerden hangisidir?	2000 - (sayı - 1)	2000 - (sayı + 1)	2000 + (sayı - 1)	2000 + (sayı + 1)	2000 * (sayı - 1)	A			legacy_v3_unaudited
20811666-0683-567c-abdd-159b67844d2f	MATEMATIK	ACİL-2025-TYT-Soeu Bankası	396	Aşağıdaki birim kareli zeminde $ y = f(x) $ ve $ y = g(x) $ fonksiyonlarının grafikleri verilmiştir. İki grafik özdeş olup konumları farklıdır. Buna göre, şekildeki sarı renkli bölgenin alanı aşağıdakilerden hangisine eşittir?	$ \int_1^4 g(x)dx $	$ \int_1^4 (-f(x))dx $	$ \int_1^4 (5-f(x))dx $	$ \int_1^4 (-f(x-5)+1)dx $	$ \int_1^4 (f(x-5)-1)dx $	D	/static/crops/ACİL-2025-TYT-Soeu_Bankası/ACİL-2025-TYT-Soeu_Bankası_p0396_q04.png		bronze_clean
