id	source_book	source_page	question_text	question_image_url	has_diagram_flag
e5933a22-0dc0-5c15-9a69-00e29564af62	Pes PRofesyonel Anlam ve Problem Soruları 2020 2021	48	"Bir gölün kıyısında A, B, C ve D iskeleleri bulunmaktadır. Aşağıdaki şekilde bu iskelelerde bekleyen yolcu sayıları ve gitmek istedikleri iskeleler gösterilmiştir.
Örneğin, C iskelede bekleyen yolcula"		true
19a92cb1-bff2-5bff-8e73-1a7af8cc4907	345 Tyt Fizik Soru Bankası	208	Üç şeritten oluşan bir yolda yol çalışması nedeniyle şerit sayısının azaldığı bir bölgede trafik akışı oldukça yavaşlamış ve yolun arkasına doğru uzun araç kuyruğu oluşmuştur. Bu olayla ilgili modelle		true
c0be7032-18b4-5571-aca1-9cf70f09a5e8	Apotemi 2019 2020 Tyt Ayt Fizik Soru Bankası	112	"Sürtünmesiz eğik düzlemde ağırlığı $20 \text{ N}$ olan K cismi, yay sabiti $40 \text{ N/m}$ olan yay ile şekildeki gibi dengededir. Buna göre, yay kaç metre uzamıştır? ($\sin37^	ext{o} = 0,6$; $\cos37"		true
854959f2-240e-5ab8-8f67-b62cc2c5cb2f	Bilgi Sarmalı-2023-2024-Tyt-Matematik Soru Bankası	166	Aşağıda, dikdörtgen biçimindeki genişletilebilir plastiklerin kenar uzunlukları birim cinsinden verilmiştir. Bu plastiklerin bazıları, kenarlarının uzunlukları oranı değiştirilmeden uzun kenarları eşi		true
279f6fce-6abe-54a9-b8db-50d8c1933b5e	Neofizik Ayt Fizik Soru Bankası 2025	32	"Düşey kesiti verilen şekildeki eğik düzlem üzerindeki $5 \text{ kg}$ kütleli cisimle eğik düzlem arasındaki statik sürtünme katsayısı $0,5$, kinetik sürtünme katsayısı $0,4$'tür.
Hava direncinin önems"		true
7e1f81a5-62cc-56df-b9d1-86f749e1a023	Orijinal-Tyt Ayt Geometri Soru Bankası	305	O merkezli, $[AB]$ çaplı yarım çember ile $[OB]$ çaplı yarım çember B noktasında içten teğettir. $|BC|=a$ cm, $|BD|=b$ cm. Buna göre, $\frac{a}{b}$ oranı kaçtır?		true
3df07c9e-9b46-584f-923a-7b686b963301	Bilgi Sarmalı-2025-Tyt Ayt-Geometri Soru Bankası	286	Bir pergelin uçları arasındaki uzaklık değiştirilmeden sivri ucu $EF$ doğru parçasının sırasıyla $E$ ve $F$ noktasına konularak şekildeki yaylar çiziliyor. Sonra iki köşesi yaylar üzerinde ve bir kena		true
afe2bcbd-c71a-5949-85c3-9d789bcb7c8d	345 2024 Ayt Matematik Soru Bankası	205	Yukarıdaki A, B, C, D ve E kabinleri bulunan dönme dolabın her bir kabini (1), (3), (5), (7) ve (9) sayıları ile eşleniyor. AB ile BC kabinlerinin eşleştikleri sayıların toplamı olmak üzere AB, BC, CD		true
7e624cbd-1dc6-5d55-9254-9f49c3a19ca3	Bilgi Sarmalı-2025-Tyt Ayt-Geometri Soru Bankası	253	Bir nehirdeki su yüksekliğinin yıllar içerisindeki değişimini gösteren ABCD dikdörtgeni biçimindeki kesit yukarıdaki şekilde gösterilmiştir. Su nehir yatağını KLMN ikizkenar yamuğunu oluşturacak biçim		true
ad11e4fd-6afe-5b17-a2d2-a0203f92448f	2020-2021-Acil-Tyt Ayt Geometrinin ilacı Soru Bankası	148	"ABCD kare
$EF \perp BC$
$|DE| = |EA|$
$|EF| = 2$ birim
$|AD| = 10$ birim
Buna göre, ADE üçgeninin çevresi kaç birimdir?"		true
65d6731b-7abf-52c2-b097-f6efe6bfc693	2023-2024-ACİL-TYT-Matematiğin İlacı	154	Aşağıdaki şekilde Nur, Yunus ve Selim'in duvardan uzaklıkları ve fırlattıkları taşların düşüş yerleri görülmektedir. Nur, Yunus ve Selim'in fırlattığı taşlar kendilerinden sırayla $x$, $(x+11)$ ve $(x		true
23db5e12-0e20-55e3-a8d1-4ba60c07edb3	ACİL-2025-Matematiğin İlacı Polinom	208	"$f(x) = x^2 - 12x + m$ parabolü aşağıda yer almaktadır.
$|AB| = 4$ br
Buna göre, $m$ kaçtır?"		true
77ecc3b5-c742-5deb-84a9-3fde70235676	CAP-2022-2023-TYT AYT-Geometri Soru Bankası	266	O merkezli çember ABC dik üçgeninin iç teğet çemberi $|AB| = |BC|$ $|AD| = 4$ cm $|DC| = 6$ cm Yukarıdaki verilere göre, taralı bölgenin alanı kaç $cm^2$ dir?		true
0fe32a13-f5c6-590a-b4a8-86201e023f16	345 2025 Ayt Biyoloji Soru Bankası	357	Aşağıdaki şekilde bir bitkide maddelerin taşıma yönleri gösterilmiştir. Bu taşıma yönleri ile ilgili; I. Amino asitler hem 1 hem 2 yönünde taşınabilir. II. Bitkide terleme hızı arttıkça 1 yönünde taşı		true
7094ee56-53a4-5988-83b9-4a4577fd7a88	Esen Yks Motivasyon Biyoloji	79	Canlıların akrabalık derecelerinin araştırıldığı bir deneyde, P canlısından alınan bir miktar kan, R canlısına enjekte edildikten bir süre beklenmiştir. Daha sonra R canlısından elde edilen kan serumu		true
5202f256-db5b-5f20-bef5-2d1506ca9894	Bilgi Sarmal 2024 Ayt Kimya Sopru Bankasi	190	"25 °C'de yukarıda verilen kaplara eklenen madde ve çözeltilerin son pH değerleri aşağıdaki tabloda verilmiştir.
Buna göre, tablodaki bilgilerden hangileri doğrudur?"		true
d33523af-b7fc-536b-9a13-05a971ac0a33	Orijinal-2024-Geometri Soru Bankası	301	"Şekilde verilen $[AB]$ çaplı daire içerisinde $O_1$, $O_2$, $O_3$ merkezli birbirine eş yarım daireler çizilmiştir.
$|AB|=12$ cm olduğuna göre, mavi renk ile boyalı alanların toplamı kaç $\text{cm}^2$"		true
390f120d-7d15-5b51-87e9-ac3745f00e14	Mikro Orijinal-2024-Tyt-Matematik Soru Bankası	244	Sevcan Hanım, kendi yaptığı el yapımı fincanları görselde verilen kutulara yerleştirerek satmaktadır. Sevcan Hanım, aldığı toplu siparişin %40'ı 6'lı fincan takımından oluşmaktadır. Sevcan Hanım sipar		true
2020dc05-915a-5d9c-b2bb-2616adfb0d48	Apotemi 2019 2020 Tyt Ayt Fizik Soru Bankası	349	"Noktasal P, S ışık kaynakları ile saydam olmayan R küresi, bir perde önüne şekildeki gibi yerleştiriliyor.
Buna göre, perde üzerinde K, L, M noktalarından hangileri yarı gölgededir?"		true
4fdb0c39-950b-51d6-820f-152afa448b92	Bilgi Sarmalı Tyt 2024 Fizik Soru Bankası	82	"Isıl dengede bulunan X, Y ve Z metal çubukları Şekil I'deki gibi metal çiftleri hâline getirilmiştir. Metal çiftleri su içerisine atıldıklarında Şekil II'deki görünümü almaktadır.
Buna göre X, Y ve Z "		true
