id	book	page	q_no	substr_pct	img_url_bound	tier_i_flag_present	crop_exists	db_q_text_preview	db_ocr_preview	diagnosis
d5f1fb6c-cfbf-5452-8fb3-95a1cf916e51	2020-2021-Acil-Tyt Ayt Geometrinin ilacı Soru Bankası	122	10	1.000	1	1	1	ABCD paralelkenar $EF \parallel AB$ $KL \parallel BC$ $MN \parallel AB$ $|MN| = 2$ birim $|LB| = 6$ birim Buna göre, A(DEGK) kaç birimkaredir?	ABCD paralelkenar EF // AB KL // BC MN ⊥ AB |MN| = 2 birim |LB| = 6 birim  Buna göre, A(DEGK) kaç birimkaredir?	OK
37d5e50e-d93a-56b7-84ce-4e13226be71c	2023-2024-ACİL-TYT-AYT Geometri Soru Bankası	95	12	1.000	1	1	1	ABC üçgen, $[DE] \parallel [BC]$, $A(ADE) = 6$ birimkare, $A(DFE) = 3$ birimkare. Buna göre, $A(ABC)$ kaç birimkaredir?	ABC üçgen, [DE] // [BC] A(ADE) = 6 birimkare A(DFE) = 3 birimkare  Buna göre, A(ABC) kaç birimkaredir?	OK
0c018375-a5f3-5301-b5ad-5b41e550c160	345 Tyt Ayt Geometri Soru Bankası	293	7	0.923	1	1	1	ABCD paralelkenar, D, A ve E doğrusal, $[CE]$ açıortay, $|EF|=8$ cm, $|FC|=12$ cm, $|FB|-|AF|=3$ cm olduğuna göre, Çevre$(ABCD)$ kaç cm'dir?	ABCD paralelkenar D, A ve E doğrusal [CE] açıortay |EF| = 8 cm |FC| = 12 cm |FB| – |AF| = 3 cm olduğuna göre, Çevre(ABCD) kaç cm'dir?	OK
0cdcd1d9-f3d2-5e8b-92f8-201669842afb	Orijinal-Tyt Ayt Geometri Soru Bankası	117	7	0.778	1	1	1	ABC üçgen, $m(\widehat{ABC}) = 30^\circ$, $|AB| = 14$ cm, $|DC| = 12$ cm. Yukarıda verilenlere göre, Alan($\widehat{ADC}$) kaç $cm^2$ dir?	ABC üçgen m(A͡BC) = 30° |AB| = 14 cm |DC| = 12 cm  Yukarıda verilenlere göre, Alan(ADC) kaç cm² dir?	OK
d01f2af7-d24d-5c6e-9e9e-de5308e87dc8	Mikro-2024-Tyt Ayt-Geometri Soru Bankası	227	13	0.917	1	1	1	ABCD paralelkenar, $[DF]$ açıortay, $[FE] \perp [AD]$, $|DC|=13$ cm, $|FE|=6$ cm olduğuna göre, Alan$(ABCD)$ kaç santimetrekaredir?	ABCD paralelkenar [DF] açıortay [FE] ⊥ [AD] |DC| = 13 cm |FE| = 6 cm olduğuna göre, Alan(ABCD) kaç santimetrekaredir?	OK
faada050-d1c3-58d7-88ee-475dedc80983	2020-2021-Acil-Tyt Ayt Geometrinin ilacı Soru Bankası	48	9	0.938	1	1	1	ABD ve BCE birer dik üçgen $BA \perp AD$ $EC \perp CB$ $m(\widehat{ADB}) = 60^ ext{o}$ $|AB| = 5\sqrt{3}$ birim $|EC| = 3$ birim ABC açısının açıortayı [BD] doğru parçası olduğuna göre, $|ED|$ kaç bir	ABD ve BCE birer dik üçgen BA ⊥ AD EC ⊥ CB m(ADB) = 60° |AB| = 5√3 birim |EC| = 3 birim  ABC açısının açıortayı [BD] doğru parçası olduğuna göre, |ED| kaç birimdir?	OK
bab813e1-71ea-5dc5-b6e3-6da52f23bc17	Orijinal-Tyt Ayt Geometri Soru Bankası	198	9	0.812	1	1	1	ABCD eşkenar dörtgen, $[AC]$ köşegen, $[EH] \perp [AB]$, $|EH|=6$ cm, $|BH|=4$ cm. Yukarıda verilenlere göre, Alan(ABCD) kaç $\text{cm}^2$ dir?	ABCD eşkenar dörtgen [AC] köşegen |AE| = |EC| [EH] ⊥ [AB] |EH| = 6 cm |HB| = 4 cm  Yukarıda verilenlere göre, Alan(ABCD) kaç cm² dir?	OK
5cce3dcb-f501-5397-89e7-fac3a931f2bd	Mikro-2024-Tyt Ayt-Geometri Soru Bankası	229	7	1.000	1	1	1	ABCD dörtgen $[AB] \perp [AD]$ $[BC] \perp [CD]$ $|BC|=11$ cm $|AB|=9$ cm $|AD|=7$ cm $|DC|=3$ cm olduğuna göre, Alan(ABCD) kaç santimetrekaredir?	ABCD dörtgen [AB] ⊥ [AD] [BC] ⊥ [CD] |BC| = 11 cm |AB| = 9 cm |AD| = 7 cm |DC| = 3 cm olduğuna göre, Alan(ABCD) kaç santimetrekaredir?	OK
b7fdcbcb-8139-50d0-9cf1-2f9a0850ddaa	345 Tyt Ayt Geometri Soru Bankası	319	7	1.000	1	1	1	ABCD deltoid E ve F kenar orta noktalar $|BC| = |DC|$ $|GH| = 7$ cm $|HC| = 10$ cm $[AC] \cap [ED] = \{G\}$, B, H ve F doğrusal olduğuna göre, $|AG| = x$ kaç cm'dir?	ABCD deltoid E ve F kenar orta noktalar |BC| = |DC| |GH| = 7 cm |HC| = 10 cm  $[AC] \cap [ED] = \{G\}$, B, H ve F doğrusal  olduğuna göre, |AG| = x kaç cm'dir?	OK
07073caf-cafd-5e9f-90d0-4e3e568c02e2	2020-2021-Acil-Tyt Ayt Geometrinin ilacı Soru Bankası	40	10	0.900	1	1	1	ABC dik üçgen, $AB \perp BC$, $|AD| = \sqrt{13}$ birim, $|BD| = |DC| = 1$ birim. Buna göre, $|AD|$ kaç birimdir?	ABC dik üçgen AB ⊥ BC |AC| = √13 birim |BD| = |DC| = 1 birim  Buna göre, |AD| kaç birimdir?	OK
9b2d954d-9ac7-5d84-a3d2-bc1a58e4058e	Bilgi Sarmalı-2022-2023-Tyt Ayt-Geometri Soru Bankası	222	7	0.933	1	1	1	ABCD kare, BKLM dikdörtgen, $3|BK|=2|KL|$ ve $|AC|=10\sqrt{2}$ cm. Yukarıdaki verilere göre, BKLM dikdörtgeninin alanı kaç $\text{cm}^2$ dir?	ABCD kare, BKLM dikdörtgen, 3|BK| = 2|KL| ve |AC| = $10\sqrt{2}$ cm  Yukarıdaki verilere göre, BKLM dikdörtgeninin alanı kaç cm² dir?	OK
87f77b03-a521-57c8-90e6-ade491ee423a	Mikro-2024-Tyt Ayt-Geometri Soru Bankası	26	10	1.000	1	1	1	[DE] // [BA], [DF] // [BC], $m(\widehat{FDE}) = 3x - 40^\circ$, $m(\widehat{CDF}) = 2x$, $m(\widehat{ABC}) = x$ olduğuna göre, $m(\widehat{DCB}) = y$ kaç derecedir?	[DE // [BA [DF // [BC] m(\widehat{FDE}) = 3x - 40° m(\widehat{CDF}) = 2x m(\widehat{ABC}) = x  olduğuna göre, m(\widehat{DCB}) = y kaç derecedir?	OK
7f169f61-60c6-5192-96cc-3b8d947bdf4f	345 2024 Ayt Matematik Soru Bankası	301	7	1.000	1	1	1	Şekilde gösterilen $O_1$ ve $O_3$ merkezli daireler eştir. $T_1, T_2, T_3, T_4, T_5, T_6, T_7, T_8$ ve $T_9$ teğet noktalar. Taralı bölgenin alanı $4 \text{ br}^2$ olduğuna göre, $O_1, O_2$ ve $O_3$ m	7. Şekilde gösterilen O₁ ve O₃ merkezli daireler eştir.  • T₁, T₂, T₃, T₄, T₅, T₆, T₇, T₈ ve T₉ teğet noktalar • Taralı bölgenin alanı 4 br²  olduğuna göre, O₁, O₂ ve O₃ merkezli dairelerin alanları t	OK
8b394f8b-4bfc-50f2-befa-2811a08667f5	Orijinal-Tyt Ayt Geometri Soru Bankası	200	9	0.800	1	1	1	ABCD eşkenar dörtgen, $K \in [AB]$, $m(\widehat{DEC}) = 30^\circ$, $m(\widehat{CBA}) = 45^\circ$, $|EC| = 8\sqrt{2}$ cm olduğuna göre, $|KC| = x$ kaç cm'dir?	ABCD eşkenar dörtgen K ∈ [AB m(DEC) = 30° m(CKA) = 45°  |EC| = 8√2 cm olduğuna göre, |KC| = x kaç cm'dir?	OK
65d2736f-1084-5541-b0f5-a50fafe92d5b	C1CELL-2024-TYT-AYT-Geometri Soru Bankası	299	8	1.000	1	1	1	O merkezli çember, [AB] çap, [DE] $\perp$ [AB], [CF] $\perp$ [AB], $|DE|=17$ br, $|CF|=13$ br, $|EF|=10$ br, $|OE|=x$ br. Yukarıda verilenlere göre, x kaçtır?	8. O merkezli çember [AB] çap [DE] ⊥ [AB] [CF] ⊥ [AB] |DE| = 17 br |CF| = 13 br |EF| = 10 br |OE| = x br  Yukarıda verilenlere göre, x kaçtır?	OK
9903820c-2784-5282-adbf-8332f72f7c66	Bilgi Sarmalı-2022-2023-Tyt Ayt-Geometri Soru Bankası	48	6	0.917	1	1	1	ACB dik üçgen, $[AC]\perp[CB]$, $6|BD|=2|AD|=3|AC|$. $|BC|=4\sqrt{3}$ cm, $|DC|=x$ cm. Yukarıdaki verilere göre, $|DC|=x$ kaç cm'dir?	ACB dik üçgen, [AC]⊥[CB], 6|BD| = 2|AD| = 3|AC| |BC| = 4√3 cm, |DC| = x cm  Yukarıdaki verilere göre, |DC| = x kaç cm'dir?	OK
8c580faf-2e06-51ae-b419-68c90626c5a3	Orijinal-Tyt Ayt Geometri Soru Bankası	83	6	0.933	1	1	1	ABC bir üçgen, $[FD]\cap[AE]=\{K\}$, $|AD|=|DB|$, $|BE|=|EF|$, $|BF|=|FC|$, $|DK|=2$ cm. Yukarıda verilen şekilde $|AC|=x$ kaç cm'dir?	ABC bir üçgen [FD] ∩ [AE] = {K} |AD| = |BD| |BE| = |EF| |BF| = |FC| |DK| = 2 cm  Yukarıda verilen şekilde |AC| = x kaç cm'dir?	OK
1844a374-ff3d-591e-b496-ef7ba43c7e5c	345 Tyt Ayt Geometri Soru Bankası	175	8	0.769	1	1	1	$[AD] \perp [AC]$, $|AD| = 4$ cm, $|AB| = 11$ cm, $|DC| = 15$ cm olduğuna göre, $ABC$'nin iç açıortaylarının kesim noktası olduğuna göre, $|BC| = x$ kaç cm'dir?	[ID] ⊥ [AC] |AD| = 4 cm |AB| = 11 cm |DC| = 15 cm  I, ABC'nin iç açıortaylarının kesim noktası olduğuna göre; |BC| = x kaç cm'dir?	OK
be6cd388-a1b9-5804-8b1d-725f1c5cdcdc	C1CELL-2024-TYT-AYT-Geometri Soru Bankası	132	9	1.000	1	1	1	ABC bir üçgen, $[BA] \perp [AC]$, $[ED] \perp [BC]$, $|ED| = 4$ br, $|AC| = 20$ br, $|AE| = 2|EB|$. Yukarıdaki verilere göre, $|BC|$ kaç br'dir?	ABC bir üçgen [BA] ⊥ [AC] [ED] ⊥ [BC] |ED| = 4 br |AC| = 20 br |AE| = 2|EB| Yukarıdaki verilere göre, |BC| kaç br'dir?	OK
3dd9f650-8178-57d9-8065-ea389834d82b	2023-2024-ACİL-TYT-AYT-Geometrinin İlacı	92	7	1.000	1	1	1	ABC eşkenar üçgen, $DE \perp BC$, $|AD|=4$ birim, $|EC|=3$ birim. Buna göre, $A(ABC)$ kaç birimkaredir?	ABC eşkenar üçgen DE ⊥ BC |AD| = 4 birim |EC| = 3 birim  Buna göre, A(ABC) kaç birimkaredir?	OK
20154066-764e-5eca-af5a-5f85fe615526	2023-2024-ACİL-TYT-AYT Geometri Soru Bankası	71	10	0.923	1	1	1	G: ABC üçgeninin kenarortayların kesim noktası, $[GF] \parallel [AB]$, $[GE] \parallel [BC]$ $|GE| = 6$ cm, $|BF| = x$ Buna göre, $x$ kaç cm'dir?	G: ABC üçgeninin kenarortayların kesim noktası,  [GF] // [AB], [GE] // [BC]  |GE| = 6 cm, |BF| = x  Buna göre, x kaç cm'dir?	OK
99ed743f-98dc-5dd8-a5e2-fa0a516a2367	CAP-2023-2024-AYT-Matematik Soru Bankası	123	12	0.800	1	1	1	ABC üçgen, $[BC] \perp [AH]$, $2m(\widehat{BAH}) = m(\widehat{ACB})$, $|BH| = 1$ birim, $|HC| = 3$ birim. Yukarıda verilenlere göre, $\sin(\widehat{BAH})$ değeri kaçtır?	12. ABC üçgen [BC] ⊥ [AH] 2m(BAH) = m(ACB) |BH| = 1 birim |HC| = 3 birim  Yukarıda verilenlere göre, sin(BAH) değeri kaçtır?	OK
76e25eaa-3c18-5b2f-bf25-17cb0be6f915	Orijinal-2024-Ayt-Trigonometri	104	8	0.889	1	1	1	ABC dik üçgen. ABD üçgen $[AB] \perp [BC]$ $[AC] \perp [AD]$ $|CB| = 3$ birim $|AB| = 4$ birim $|AD| = 10$ birim Yukarıdaki verilere göre, boyalı bölgenin alanı kaç birimkaredir?	ABC dik üçgen, ABD üçgen [AB] ⊥ [BC] [AC] ⊥ [AD] |CB| = 3 birim |AB| = 4 birim |AD| = 10 birim  olduğuna göre, boyalı bölgenin alanı kaç birimkaredir?	OK
6885b789-f774-50c2-92c2-b7e858cab0d5	CAP-2022-2023-TYT AYT-Geometri Soru Bankası	47	6	0.765	1	1	1	Şekilde, $[AB] \perp [AC]$, $[AD] \perp [BC]$, $[PE] \perp [BC]$, $P$, $F$ doğrusal noktalar, $|AD|=8$ cm ve $|FE|=3$ cm dir. Yukarıdaki verilere göre, $|PF|=x$ kaç cm dir?	Şekilde, |AB| = |AC|, [AD] ⊥ [BC], [PE] ⊥ [BC], P, A, B doğrusal noktalar, |AD| = 8 cm ve |FE| = 3 cm dir.  Yukarıdaki verilere göre, |PF| = x kaç cm dir?	OK
1ce8d4be-d907-59b0-b7e8-a64317b74154	C1CELL-2024-TYT-AYT-Geometri Soru Bankası	152	10	0.737	1	1	1	Yukarıdaki ABC üçgeninde, $5|DE|=2|AB|$, $|AC|=2|ML|$ ve $3|FK|=|BC|$ olarak veriliyor. $A(DNE)=10$ $br^2$, $A(MNL)=15$ $br^2$ ve $A(NFK)=21$ $br^2$ olduğuna göre, ABC üçgeninin alanı kaç $br^2$ dir?	Yukarıdaki ABC üçgeninde,  5|DE| = 2|AB|, |AC| = 2|ML| ve 3|FK| = |BC| olarak veriliyor.  A(\widehat{DNE}) = 10 br², A(\widehat{MNL}) = 15 br² ve A(\widehat{NFK}) = 21 br² olduğuna göre, ABC üçgeninin	OK
62e2ed5a-5dde-5052-a395-c1236279fe59	Aktif Ogrenme 2025 Tyt Fizik Soru Bankası	205	5	0.944	1	1	1	$6\Omega$ büyüklüğünde dirençlerle oluşturulan şekildeki devre parçalarından K - L noktaları arası eşdeğer direnç $R_1$, M - N noktaları arası eşdeğer direnç $R_2$'dir. Buna göre, $\frac{R_1}{R_2}$ ka	R ve 2R büyüklüğünde dirençlerle kurulu devre parçalarından A - B noktaları arası eşdeğer direnç R₁, C - D noktaları arası eşdeğer direnç R₂ dir.  Buna göre, $\frac{R_1}{R_2}$ kaçtır?	OK
485315b2-d448-5bf3-8e63-8a50c2b9e924	Mikro-2024-Tyt Ayt-Geometri Soru Bankası	149	13	0.750	1	1	1	K, ABC üçgeninin ağırlık merkezi, $[AE]$ kenarortay, $[BD]=[AC]$, $|BD|=12$ cm, $|DC|=8$ cm olduğuna göre, $|KE|=x$ kaç santimetredir?	K, ABC üçgeninin ağırlık merkezi K ∈ [AE] [BD] ⊥ [AC] IBKI = 12 cm IDCI = 8 cm olduğuna göre, IKEI = x kaç santimetredir?	OK
1aaf33e7-e349-5883-ad20-d4072a35eb63	Orijinal-2024-Geometri Soru Bankası	200	11	1.000	1	1	1	ABCD eşkenar dörtgen, $[DH] \perp [AB]$, $|HC|=y$ cm, $|AH|=x$ cm. Yukarıdaki şekilde $x^2+y^2=128$ olduğuna göre, ABCD eşkenar dörtgeninin çevresi kaç cm'dir?	ABCD eşkenar dörtgen [DH] ⊥ [AB] |HC| = y cm |AH| = x cm  Yukarıdaki şekilde $x^2 + y^2 = 128$ olduğuna göre, ABCD eşkenar dörtgeninin çevresi kaç cm'dir?	OK
ba070620-c959-51fd-906a-38de29eb9c27	345 Tyt Ayt Geometri Soru Bankası	173	7	0.846	1	1	1	ABC üçgen, $|EB| = 3$ cm, $|DC| = 4$ cm, $|AC| = 6$ cm. $[AD]$, $[EC]$'nin kenar orta dikmesi olduğuna göre; $|BD|$ kaç cm'dir?	ABC üçgen |EB| = 3 cm |DC| = 4 cm |AC| = 6 cm  [AD], [EC]'nin kenar orta dikmesi olduğuna göre; |BD| kaç cm'dir?	OK
fac8a6d2-baae-5b96-8350-15d56e514361	Esen Aylık Planlı Biyoloji Soru Bankası	76	5	0.980	1	1	1	Şekilde insan vücudunda yer alan bazı organ ve yapılar numaralandırılarak gösterilmiştir. Bu organ ve yapılarla ilgili aşağıdaki ifadelerden hangisi yanlıştır? A) I numaralı organda amonyaktan üre sen	5. Şekilde insan vücudunda yer alan bazı organ ve yapılar numaralandırılarak gösterilmiştir.  Bu organ ve yapılarla ilgili aşağıdaki ifadelerden hangisi yanlıştır?  A) I numaralı organda amonyaktan ür	OK
ed8a1533-96fb-504b-8d8b-4e60a10653d4	C1CELL-2024-TYT-AYT-Geometri Soru Bankası	230	8	0.733	1	1	1	ABCD paralelkenar, $[AE]$, $DAB$'nın açıortayı, $[CF]$, $DCB$'nın açıortayı, $|DB| = 12$ br, $|DF| = 7$ br. Yukarıda verilenlere göre, $|EF|$ kaç br'dir?	ABCD paralelkenar [AE], DÂB'nın açıortayı [CF], DĈB'nın açıortayı |DB| = 12 br |DF| = 7 br  Yukarıda verilenlere göre, |EF| kaç br'dir?	OK
c773ef33-602e-5290-8baa-d554a3aa2017	Bilgi Sarmalı-2023-2024-Tyt Ayt-Geometri Soru Bankası	78	7	0.750	1	1	1	ABC dik üçgen, $[AB] \perp [BC]$, $m(\widehat{ACD}) = m(\widehat{BCD})$, $|AD| = 5$ birim, $|DB| = 4$ birim Buna göre, $|DC| = x$ kaç birimdir?	ABC dik üçgen, [AB]⊥[BC], m(ACD) = m(BCD),  |AD| = 5 birim, |DB| = 4 birim  Buna göre, |DC| = x kaç birimdir?	OK
3c5e2d7d-c0ea-5d52-a2d3-e519a92a4d9b	CAP-2022-2023-TYT AYT-Geometri Soru Bankası	187	6	0.800	1	1	1	ABCD dikdörtgen, $[AE]$, $[DF]$, $[CF]$ açıortay, $|AB|=6$ cm ve $|BC|=10$ cm dir. Yukarıdaki verilere göre, $|EF|=x$ kaç cm dir?	ABCD dikdörtgen, [AE], [BE], [DF], [CF] açıortay, |AB| = 6 cm ve |BC| = 10 cm dir.  Yukarıdaki verilere göre, |EF| = x kaç cm dir?	OK
ac4d887d-e847-5e66-838a-a3f6c25c938a	Orijinal-Tyt Ayt Geometri Soru Bankası	170	10	0.733	1	1	1	ABCD dörtgen, $[AB] \perp [BC]$, $|AD|=10\sqrt{3}$ cm, $|AB|=7$ cm, $|EC|=2\sqrt{3}$ cm. $m(\widehat{ECD})=m(\widehat{EAD})=m(\widehat{ADC})=30^{\circ}$ olduğuna göre, $|BC|$ = x kaç cm'dir?	ABCD dörtgen [AB] ⊥ [BC] |AD|= 10√3 cm |AB| = 7 cm |EC| = 2√3 cm  m(EĈD) = m(EÂD) = m(AĈD) = 30° olduğuna göre, |BC| = x kaç cm'dir?	OK
d9e2485d-0bc8-54dd-9c6b-81a5cc04afab	2023-2024-ACİL-TYT-AYT-Geometrinin İlacı	46	11	0.818	1	1	1	ABC üçgen, $BA \perp AC$, $AD \perp BC$, $|EAI| = |ADI|$, $|BD| = 9$ birim, $|DC| = 16$ birim. Buna göre, $|EB|$ kaç birimdir?	ABC üçgen BA ⊥ AC AD ⊥ BC |EA| = |AD| |BD| = 9 birim |DC| = 16 birim  Buna göre, |EB| kaç birimdir?	OK
3c410a5d-f2f9-5ec6-83be-5182e4db927f	Mikro-2024-Tyt Ayt-Geometri Soru Bankası	212	14	1.000	1	1	1	ABCD yamuk, $[DC] \parallel [AB]$, $[DE]$ ve $[AE]$ açıortay, $[EH] \parallel [AD]$, $[CF] \parallel [AB]$, $|EH|=3$ cm olduğuna göre, $|CF|=x$ kaç santimetredir?	ABCD yamuk [DC] // [AB] [DE] ve [AE] açıortay [EH] ⊥ [AD] [CF] ⊥ [AB] |EH| = 3 cm  olduğuna göre, |CF| = x kaç santimetredir?	OK
dc3c58eb-1d12-5eb1-8564-e1cf9844377f	345 Tyt Ayt Geometri Soru Bankası 2	79	7	0.923	1	1	1	$O$, $C$ ve $B$ doğrusal, $CD \perp AB$, $|DB| = 2|AD|$, $|CD| = 4 \text{ cm}$'dir. $AB$, $O$ merkezli çembere $A$ noktasında teğet olduğuna göre, $|BC|$ kaç $\text{cm}$'dir?	O, C ve B doğrusal $CD \perp AB$ $|DB| = 2|AD|$ $|CD| = 4$ cm  AB, O merkezli çembere A noktasında teğet olduğuna göre, |BC| kaç cm'dir?	OK
6bb2456c-6906-5df0-9f7c-dcad82830e03	Bilgi Sarmalı-2023-2024-Ayt-Matematik Soru Bankası	305	8	0.731	1	1	1	Dik koordinat düzleminde $y=f(x)$, $y=g(x)$ ve $y=h(x)$ doğrusal fonksiyonlarının grafikleri şekilde verilmiştir. Her $x$ gerçel sayısı için $f(x) < g(x) < h(x)$ olduğuna göre, $\lim_{x \to 1} \frac{f	8. Dik koordinat düzleminde y = f(x), y = g(x) ve y = h(x) doğrusal fonksiyonlarının grafikleri şekilde verilmiştir.  Her x gerçel sayısı için  f'(x) < g'(x) < h'(x)  olduğuna göre, $\lim_{x \to (2^{-	OK
d91e2422-296f-5e25-87a6-217d30b23638	Orijinal-2024-Geometri Soru Bankası	176	11	0.929	1	1	1	$[BD]$ köşegen, $m(\widehat{EAD}) = m(\widehat{QBC})$, $|AB| = |BC| = 9$ cm, $|AE| = 6$ cm, $|CD| = 12$ cm. ABCD deltoidinde verilenlere göre, $|BE| = x$ kaç cm'dir?	[BD] köşegen m(\widehat{EAD}) = m(\widehat{DBC}) |AB| = |BC| = 9 cm |AE| = 6 cm |CD| = 12 cm  ABCD deltoidinde verilenlere göre, |BE| = x kaç cm'dir?	OK
485f555b-cf5a-5675-a3d5-d7ee4dbe1baf	Orijinal-Tyt Ayt Geometri Soru Bankası	140	8	0.944	1	1	1	ABC bir üçgen, [BD] kenarortay, $|AD|=|DC|$, $|BD|=8$ cm, $|BC|=10$ cm, $|AB|=x$ cm. Yukarıda verilenlere göre, $|AB|=x$'in alabileceği kaç farklı tam sayı değeri vardır?	ABC bir üçgen [BD] kenarortay |AD| = |DC| |BD| = 8 cm |BC| = 10 cm |AB| = x cm  Yukarıda verilenlere göre, |AB| = x'in alabileceği kaç farklı tam sayı değeri vardır?	OK
