idx	bucket	id	book	page	q_no	image_path	ok	jaccard	substr_pct	db_len	db_tail80	ocr_text	raw_response
11	direct	64100c8e-bac2-5b64-ba76-e2bb1d1c08dd	Full Matematik-2019-2020-Geometri Soru Bankası	73	9	C:\Users\husey\kiro2\d-dataset\output\crops\Full_Matematik-2019-2020-Geometri_Soru_Bankası\Full_Matematik-2019-2020-Geometri_Soru_Bankası_p0073_q05.png	True	0.952	1.000	116	, $|CE| = 5$ cm, $|AD| = 4$ cm. Yukarıdaki verilere göre, $|BC| = x$ kaç cm dir?	ABC eşkenar üçgen, $[DE] \perp [AC]$, $|CE| = 5$ cm, $|AD| = 4$ cm Yukarıdaki verilere göre, $|BC| = x$ kaç cm dir?	```json {   "soru_metni": "ABC eşkenar üçgen, $[DE] \\perp [AC]$, $|CE| = 5$ cm, $|AD| = 4$ cm\nYukarıdaki verilere göre, $|BC| = x$ kaç cm dir?",   "secenekler": {     "A": "6",     "B": "7",     "C": "$\\frac{15}{2}$",     "D": "8",     "E": "9"   },   "has_diagram": true,   "diagram_description":
12	direct	6c8e41a4-0ff7-59b2-914d-9fb122377df0	Bilgi Sarmalı-2025-Tyt Ayt-Geometri Soru Bankası	104	12	C:\Users\husey\kiro2\d-dataset\output\crops\Bilgi_Sarmalı-2025-Tyt_Ayt-Geometri_Soru_Bankası\Bilgi_Sarmalı-2025-Tyt_Ayt-Geometri_Soru_Bankası_p0104_q05.png	True	0.298	0.923	191	E| = 4$ cm, $|CD| = 5$ cm. Buna göre, $m(\widehat{ACD}) = \alpha$ kaç derecedir?	12.  ABC ve CDE üçgen  B, C ve E doğrusal noktalar,  |AB| = 8 cm, |BC| = 6 cm, |AC| = 10 cm  |DE| = 3 cm, |CE| = 4 cm, |CD| = 5 cm  Buna göre, m(AĈD) = α kaç derecedir?	```json {   "soru_metni": "12.\n\nABC ve CDE üçgen\n\nB, C ve E doğrusal noktalar,\n\n|AB| = 8 cm, |BC| = 6 cm, |AC| = 10 cm\n\n|DE| = 3 cm, |CE| = 4 cm, |CD| = 5 cm\n\nBuna göre, m(AĈD) = α kaç derecedir?",   "secenekler": {     "A": "75",     "B": "80",     "C": "85",     "D": "90",     "E": "95" 
13	direct	ed8a1533-96fb-504b-8d8b-4e60a10653d4	C1CELL-2024-TYT-AYT-Geometri Soru Bankası	230	8	C:\Users\husey\kiro2\d-dataset\output\crops\C1CELL-2024-TYT-AYT-Geometri_Soru_Bankası\C1CELL-2024-TYT-AYT-Geometri_Soru_Bankası_p0230_q04.png	True	0.219	0.733	153	yı, $|DB| = 12$ br, $|DF| = 7$ br. Yukarıda verilenlere göre, $|EF|$ kaç br'dir?	ABCD paralelkenar [AE], DÂB'nın açıortayı [CF], DĈB'nın açıortayı |DB| = 12 br |DF| = 7 br  Yukarıda verilenlere göre, |EF| kaç br'dir?	```json {   "soru_metni": "ABCD paralelkenar\n[AE], DÂB'nın açıortayı\n[CF], DĈB'nın açıortayı\n|DB| = 12 br\n|DF| = 7 br\n\nYukarıda verilenlere göre, |EF| kaç br'dir?",   "secenekler": {     "A": "1",     "B": "3/2",     "C": "2",     "D": "5/2",     "E": "3"   },   "has_diagram": true,   "diagram
14	direct	cc35e9a1-cbc0-5d13-b929-51a773f48b7a	2023-2024-ACİL-TYT-AYT-Geometrinin İlacı	20	10	C:\Users\husey\kiro2\d-dataset\output\crops\2023-2024-ACİL-TYT-AYT-Geometrinin_İlacı\2023-2024-ACİL-TYT-AYT-Geometrinin_İlacı_p0020_q01.png	True	0.185	0.667	152	$m(\widehat{ABD})=30^\circ$, $m(\widehat{EDB})=x$. Buna göre, $x$ kaç derecedir?	ABC üçgen ED // BC |BD| = |BC| m(BAC) = 50° m(ABD) = 30° m(EDB) = x  Buna göre, x kaç derecedir?	```json {   "soru_metni": "ABC üçgen\nED // BC\n|BD| = |BC|\nm(BAC) = 50°\nm(ABD) = 30°\nm(EDB) = x\n\nBuna göre, x kaç derecedir?",   "secenekler": {     "A": "30",     "B": "25",     "C": "20",     "D": "15",     "E": "10"   },   "has_diagram": true,   "diagram_description": "Bir ABC üçgeni ve üçg
15	direct	f641aee4-0226-553a-bc73-2c8685e01291	CAP-2022-2023-TYT AYT-Geometri Soru Bankası	193	10	C:\Users\husey\kiro2\d-dataset\output\crops\CAP-2022-2023-TYT_AYT-Geometri_Soru_Bankası\CAP-2022-2023-TYT_AYT-Geometri_Soru_Bankası_p0193_q05.png	True	0.379	0.917	120	| = 2$ cm ve $|HE| = 1$ cm dir. Yukarıdaki verilere göre, $|HD| = x$ kaç cm dir?	ABCD dikdörtgen, [AE] ⊥ [BD], |BH| = 2 cm ve |HE| = 1 cm dir.  Yukarıdaki verilere göre, |HD| = x kaç cm dir?	```json {   "soru_metni": "ABCD dikdörtgen, [AE] ⊥ [BD], |BH| = 2 cm ve |HE| = 1 cm dir.\n\nYukarıdaki verilere göre, |HD| = x kaç cm dir?",   "secenekler": {     "A": "12",     "B": "8",     "C": "7",     "D": "6",     "E": "4"   },   "has_diagram": true,   "diagram_description": "Bir ABCD dikdörtg
16	direct	1bb6e1b8-5149-57f3-bb66-d6f3be5c4cd5	Bilgi Sarmalı-2022-2023-Tyt Ayt-Geometri Soru Bankası	26	7	C:\Users\husey\kiro2\d-dataset\output\crops\Bilgi_Sarmalı-2022-2023-Tyt_Ayt-Geometri_Soru_Bankası\Bilgi_Sarmalı-2022-2023-Tyt_Ayt-Geometri_Soru_Bankası_p0026_q01.png	True	0.333	0.583	156	)=20^{\circ}$ Yukarıdaki verilere göre, $m(\widehat{ABC})=\alpha$ kaç derecedir?	ABC üçgen, |AE| = |DE| = |EC|, m(BÂD) = 30°, m(DĈB) = 20°  Yukarıdaki verilere göre, m(AÂBC) = α kaç derecedir?	```json {   "soru_metni": "ABC üçgen, |AE| = |DE| = |EC|, m(BÂD) = 30°,\nm(DĈB) = 20°\n\nYukarıdaki verilere göre, m(AÂBC) = α kaç derecedir?",   "secenekler": {     "A": "20",     "B": "30",     "C": "40",     "D": "50",     "E": "60"   },   "has_diagram": true,   "diagram_description": "Bir ABC üç
17	direct	f0ce8c3c-e225-5e92-9f56-62821c2203d8	2020-2021-Acil-Tyt Ayt Geometrinin ilacı Soru Bankası	44	9	C:\Users\husey\kiro2\d-dataset\output\crops\2020-2021-Acil-Tyt_Ayt_Geometrinin_ilacı_Soru_Bankası\2020-2021-Acil-Tyt_Ayt_Geometrinin_ilacı_Soru_Bankası_p0044_q06.png	True	0.250	1.000	124	 $|AD|=4$ birim, $|BD|=2$ birim, $|EC|=5$ birim. Buna göre, $|AE|$ kaç birimdir?	ABC dik üçgen, BA ⊥ AC, AD ⊥ BC  |AD| = 4 birim, |BD| = 2 birim, |EC| = 5 birim  Buna göre, |AE| kaç birimdir?	```json {   "soru_metni": "ABC dik üçgen, BA ⊥ AC, AD ⊥ BC\n\n|AD| = 4 birim, |BD| = 2 birim, |EC| = 5 birim\n\nBuna göre, |AE| kaç birimdir?",   "secenekler": {     "A": "7",     "B": "6",     "C": "5",     "D": "4",     "E": "3"   },   "has_diagram": true,   "diagram_description": "ABC dik üçgenin
18	direct	0591f3d0-51c2-503c-8ca8-fea4fbd81237	2020-2021-Acil-Tyt Ayt Geometrinin ilacı Soru Bankası	4	11	C:\Users\husey\kiro2\d-dataset\output\crops\2020-2021-Acil-Tyt_Ayt_Geometrinin_ilacı_Soru_Bankası\2020-2021-Acil-Tyt_Ayt_Geometrinin_ilacı_Soru_Bankası_p0004_q03.png	True	0.240	0.429	148	widehat{BCE}) = 50^\circ$, $m(\widehat{CEF}) = x$. Buna göre, $x$ kaç derecedir?	AB // CD // EF m(ABC) = 110° m(BCE) = 50° m(CEF) = x  Buna göre, x kaç derecedir?	```json {   "soru_metni": "AB // CD // EF\nm(ABC) = 110°\nm(BCE) = 50°\nm(CEF) = x\n\nBuna göre, x kaç derecedir?",   "secenekler": {     "A": "105",     "B": "110",     "C": "115",     "D": "120",     "E": "125"   },   "has_diagram": true,   "diagram_description": "Üç paralel doğru parçası AB, CD, 
19	direct	dadf4552-215a-568c-bcd8-a80b35748230	2023-2024-ACİL-TYT-AYT-Geometrinin İlacı	138	11	C:\Users\husey\kiro2\d-dataset\output\crops\2023-2024-ACİL-TYT-AYT-Geometrinin_İlacı\2023-2024-ACİL-TYT-AYT-Geometrinin_İlacı_p0138_q03.png	True	0.194	0.667	125	birim, $|ICEI| = 4$ birim, $|IEFI| = 2$ birim. Buna göre, $|IBCI|$ kaç birimdir?	ABCD dikdörtgen DE ⊥ CF |DE| = 3 birim |CE| = 4 birim |EF| = 2 birim  Buna göre, |BC| kaç birimdir?	```json {   "soru_metni": "ABCD dikdörtgen\nDE ⊥ CF\n|DE| = 3 birim\n|CE| = 4 birim\n|EF| = 2 birim\n\nBuna göre, |BC| kaç birimdir?",   "secenekler": {     "A": "12/5",     "B": "14/5",     "C": "3",     "D": "16/5",     "E": "18/5"   },   "has_diagram": true,   "diagram_description": "Bir ABCD dik
20	direct	d91e2422-296f-5e25-87a6-217d30b23638	Orijinal-2024-Geometri Soru Bankası	176	11	C:\Users\husey\kiro2\d-dataset\output\crops\Orijinal-2024-Geometri_Soru_Bankası\Orijinal-2024-Geometri_Soru_Bankası_p0176_q04.png	True	0.229	0.857	165	6$ cm, $|CD| = 12$ cm. ABCD deltoidinde verilenlere göre, $|BE| = x$ kaç cm'dir?	[BD] köşegen m(EÂD) = m(DBC) |AB| = |BC| = 9 cm |AE| = 6 cm |CD| = 12 cm  ABCD deltoidinde verilenlere göre, |BE| = x kaç cm'dir?	```json {   "soru_metni": "[BD] köşegen\nm(EÂD) = m(DBC)\n|AB| = |BC| = 9 cm\n|AE| = 6 cm\n|CD| = 12 cm\n\nABCD deltoidinde verilenlere göre, |BE| = x kaç cm'dir?",   "secenekler": {     "A": "9",     "B": "10",     "C": "12",     "D": "15",     "E": "16"   },   "has_diagram": true,   "diagram_descr
21	direct	e2a1a383-2613-5afd-87c8-5aa91f1da2e2	345 2025 Ayt Matematik Soru Bankası	43	8	C:\Users\husey\kiro2\d-dataset\output\crops\345_2025_Ayt_Matematik_Soru_Bankası\345_2025_Ayt_Matematik_Soru_Bankası_p0043_q02.png	True	0.365	0.517	214	 edip sıfır puan verdiğine göre; Didem, çözümün kaçıncı adımında hata yapmıştır?	Aşağıda Didem'in yazılı sınavında sorulan soruya yaptığı çözüm aşamaları gösterilmiştir.  4. Soru  $\sqrt{x-1}+7=x$  denkleminin çözüm kümesi nedir?  I. $(\sqrt{x-1})^2 = (x-7)^2$  II. $x-1 = x^2 - 14	```json {   "soru_metni": "Aşağıda Didem'in yazılı sınavında sorulan soruya yaptığı çözüm aşamaları gösterilmiştir.\n\n4. Soru\n\n$\\sqrt{x-1}+7=x$\n\ndenkleminin çözüm kümesi nedir?\n\nI. $(\\sqrt{x-1})^2 = (x-7)^2$\n\nII. $x-1 = x^2 - 14x + 49$\n\nIII. $0 = x^2 - 15x + 50$\n\nIV. $0 = (x-10) \\cdo
22	direct	0305e211-d565-512c-8106-393cb7100a92	C1CELL-2024-TYT-AYT-Geometri Soru Bankası	230	7	C:\Users\husey\kiro2\d-dataset\output\crops\C1CELL-2024-TYT-AYT-Geometri_Soru_Bankası\C1CELL-2024-TYT-AYT-Geometri_Soru_Bankası_p0230_q01.png	True	0.184	0.875	159	|$, $|EF| = 3$ br, $|CE| = 12$ br. Yukarıda verilenlere göre, $|DC|$ kaç br'dir?	ABCD paralelkenar [CE], DCB'nin açıortayı [CE] ⊥ [EF] |DF| = 2|FA| |EF| = 3 br |CE| = 12 br  Yukarıda verilenlere göre, |DC| kaç br'dir?	```json {   "soru_metni": "ABCD paralelkenar\n[CE], DCB'nin açıortayı\n[CE] ⊥ [EF]\n|DF| = 2|FA|\n|EF| = 3 br\n|CE| = 12 br\n\nYukarıda verilenlere göre, |DC| kaç br'dir?",   "secenekler": {     "A": "10",     "B": "9",     "C": "8",     "D": "7",     "E": "6"   },   "has_diagram": true,   "diagram_
23	direct	aca0ed21-9b42-57a5-8114-81e243630df2	Bilgi Sarmalı-2025-Tyt Ayt-Geometri Soru Bankası	30	9	C:\Users\husey\kiro2\d-dataset\output\crops\Bilgi_Sarmalı-2025-Tyt_Ayt-Geometri_Soru_Bankası\Bilgi_Sarmalı-2025-Tyt_Ayt-Geometri_Soru_Bankası_p0030_q05.png	True	0.304	0.500	127	circ$, $m(\text{ACB}) = 60^\circ$. Buna göre, $m(\text{BDE}) = x$ kaç derecedir?	ABC üçgen, |BD| = |BE|, m(BAC) = 80°, m(ACB) = 60°  Buna göre, m(BDE) = x kaç derecedir?	```json {   "soru_metni": "ABC üçgen, |BD| = |BE|, m(BAC) = 80°, m(ACB) = 60°\n\nBuna göre, m(BDE) = x kaç derecedir?",   "secenekler": {     "A": "80",     "B": "70",     "C": "65",     "D": "60",     "E": "50"   },   "has_diagram": true,   "diagram_description": "Bir ABC üçgeni. D noktası AB kenar
24	direct	87a10cfb-1e50-5071-9231-bf6a005d1c32	2020-2021-Acil-Tyt Ayt Geometrinin ilacı Soru Bankası	136	9	C:\Users\husey\kiro2\d-dataset\output\crops\2020-2021-Acil-Tyt_Ayt_Geometrinin_ilacı_Soru_Bankası\2020-2021-Acil-Tyt_Ayt_Geometrinin_ilacı_Soru_Bankası_p0136_q06.png	True	0.250	0.500	111	17}$ birim $IBCI = 8$ birim $Alan(ABCD) = 2x^2$ birimkare Buna göre, $x$ kaçtır?	ABCD dikdörtgen |AB| = $4^{17}$ br |BC| = $8^7$ br Alan(ABCD) = $2^x$ br$^2$  Buna göre, x kaçtır?	```json {   "soru_metni": "ABCD dikdörtgen\n|AB| = $4^{17}$ br\n|BC| = $8^7$ br\nAlan(ABCD) = $2^x$ br$^2$\n\nBuna göre, x kaçtır?",   "secenekler": {     "A": "24",     "B": "48",     "C": "55",     "D": "60",     "E": "72"   },   "has_diagram": true,   "diagram_description": "ABCD dikdörtgeni ve k
25	direct	6747a88d-d3eb-506c-9d7a-17e787ac03aa	CAP-2022-2023-TYT AYT-Geometri Soru Bankası	77	6	C:\Users\husey\kiro2\d-dataset\output\crops\CAP-2022-2023-TYT_AYT-Geometri_Soru_Bankası\CAP-2022-2023-TYT_AYT-Geometri_Soru_Bankası_p0077_q01.png	True	0.267	1.000	116	ıortay, $|DE|=4$ cm, $|AD|=2$ cm. Yukarıdaki verilere göre, $|BC|=x$ kaç cm dir?	ABC üçgen [DE] // [BC] [BE] açıortay |DE| = 4 cm |AD| = 2 cm Yukarıdaki verilere göre, |BC| = x kaç cm dir?	```json {   "soru_metni": "ABC üçgen\n[DE] // [BC]\n[BE] açıortay\n|DE| = 4 cm\n|AD| = 2 cm\nYukarıdaki verilere göre, |BC| = x kaç cm dir?",   "secenekler": {     "A": "10",     "B": "12",     "C": "14",     "D": "16",     "E": "18"   },   "has_diagram": true,   "diagram_description": "Bir ABC üçge
26	direct	d1cf79e7-3bef-5c3c-8261-83c1e04a3221	Orijinal-2024-Geometri Soru Bankası	47	7	C:\Users\husey\kiro2\d-dataset\output\crops\Orijinal-2024-Geometri_Soru_Bankası\Orijinal-2024-Geometri_Soru_Bankası_p0047_q01.png	True	0.348	0.875	164	]$, $[ET]\perp[BD]$. Yukarıdaki verilere göre, $\frac{|HT|}{|CD|}$ oranı kaçtır?	ABC ikizkenar üçgen |AB| = |AC| m(BÊT) = m(TÊD) [AH] ⊥ [BD] [ET] ⊥ [BD]  Yukarıdaki verilere göre, $\frac{|HT|}{|CD|}$ oranı kaçtır?	```json {   "soru_metni": "ABC ikizkenar üçgen\n|AB| = |AC|\nm(BÊT) = m(TÊD)\n[AH] ⊥ [BD]\n[ET] ⊥ [BD]\n\nYukarıdaki verilere göre, $\\frac{|HT|}{|CD|}$ oranı kaçtır?",   "secenekler": {     "A": "1",     "B": "$\\frac{1}{2}$",     "C": "$\\frac{1}{3}$",     "D": "$\\frac{2}{3}$",     "E": "$\\frac{
27	direct	05626a67-28bd-5f36-af27-65c4a925d5df	345 2025 Tyt Ayt Geometri Soru Bankası 1	61	8	C:\Users\husey\kiro2\d-dataset\output\crops\345_2025_Tyt_Ayt_Geometri_Soru_Bankası_1\345_2025_Tyt_Ayt_Geometri_Soru_Bankası_1_p0061_q04.png	True	0.276	0.500	139	{AD}| = 2$ cm, $|\text{EC}| = 4$ cm olduğuna göre, $|\text{BD}| = x$ kaç cm'dir?	ABC eşkenar üçgen [DE] ⊥ [BC] |AD| = 2 cm |EC| = 4 cm  olduğuna göre, |BD| = x kaç cm'dir?	```json {   "soru_metni": "ABC eşkenar üçgen\n[DE] ⊥ [BC]\n|AD| = 2 cm\n|EC| = 4 cm\n\nolduğuna göre, |BD| = x kaç cm'dir?",   "secenekler": {     "A": "8",     "B": "2√19",     "C": "9",     "D": "6√2",     "E": "2√21"   },   "has_diagram": true,   "diagram_description": "Bir ABC eşkenar üçgeni. D 
