id	book	page	db_q_no	ocr_soru_no	crop_q_no	tier	similarity	crop_file	db_text_preview	ocr_text_preview	verdict
8800cb3e-d511-52e2-bd32-0f1c777fc057	CAP-2023-AYT-Matematik -AL-Soru Bankası	63	5	5	1	D1	1.0	CAP-2023-AYT-Matematik_-AL-Soru_Bankası_p0063_q01.png	$y = f(x)$ fonksiyonunun grafiği aşağıda verilmiştir. Buna göre, I. $f(x)$ fonksiyonunun görüntü küm	$y = f(x)$ fonksiyonunun grafiği aşağıda verilmiştir.  Buna göre,  I. $f(x)$ fonksiyonunun görüntü k	
6d937dd3-9e71-5f50-8f5f-bdf3c8ffc922	2019-2020-Acil-Matematiğin ilacı Tyt Matematik Sor	291	9	9	5	D1	0.826	2019-2020-Acil-Matematiğin_ilacı_Tyt_Matematik_Soru_Bankası_p0291_q05.png	1. ve 3. bölgeyi birbirinden farklı sıcak renklere, 2. ve 4. bölgeyi yine birbirinden farklı soğuk r	1. ve 3. bölgesi birbirinden farklı sıcak renklere, 2. ve 4. bölgesi yine birbirinden farklı soğuk r	
08c03416-f66f-59aa-b0f2-67aec8b36531	Cap Ayt Fizik Soru Bankası 2023 2024	143	5	5	1	D1	0.927	Cap_Ayt_Fizik_Soru_Bankası_2023_2024_p0143_q01.png	Doğrusal yolda bisikletiyle ilerleyen Orhan bisikletin ön tekerinin frenine bastığında ön teker sade	Doğrusal yolda bisikletle ilerleyen Orhan bisikletin ön tekerinin frenine bastığında ön teker sadece	
81ba78d9-3019-57cc-8cc1-957760961cb9	Fizipedia Tyt Fizik Soru Bankası 2025	180	5	5	1	D1	0.921	Fizipedia_Tyt_Fizik_Soru_Bankası_2025_p0180_q01.png	Pusulalar içinde bulundukları manyetik alan ile etkileşerek bu manyetik alan hakkında bilgi edinmemi	Pusulalar içinde bulundukları manyetik alan ile etkileşerek bu manyetik alan hakkında bilgi edinmemi	
b94766a8-97ec-510b-8c97-ad5dfb0699ab	Full Matematik-2022-2023-Tyt-Matematik Soru Bankas	157	10	10	2	D1	0.781	Full_Matematik-2022-2023-Tyt-Matematik_Soru_Bankası_p0157_q02.png	Yukarıda verilen şekilde kare kutucuk içerisine yazılan sayı, doğru parçaları ile bağlı olduğu daire	Yukarıda verilen şekilde kare kutucuk içerisine yazılan sayı, doğru parçaları ile bağlı olduğu daire	
6e29a5e5-a563-5d9d-806f-49d318afed86	Esen Ayt Kimya Soru Bankası	66	8	8	3	D1	0.731	Esen_Ayt_Kimya_Soru_Bankası_p0066_q03.png	200 gram suda 0,4 mol $\text{Ca(NO}_3)_2$ çözünerek hazırlanan çözeltinin 1 atm basınç altında donma	200 gram suda 0,4 mol $Ca(NO_3)_2$ çözünerek hazırlanan çözeltinin 1 atm basınç altında donmaya başl	
fd5152c8-01ae-5512-a133-d5e09cd889ba	Full Matematik-2019-2020-Geometri Soru Bankası	57	7	7	1	D1	0.824	Full_Matematik-2019-2020-Geometri_Soru_Bankası_p0057_q01.png	Merve öğretmen geometri dersindeki bir etkinlikte öğrencilerine; I. Açıölçerin merkezi olan A noktas	Marva öğretmen geometri dersindeki bir etkinlikte öğrencilerine I. Açılıçların merkezi olan A noktas	
91adde2b-ba9e-518c-957a-7a33aa2e75ca	Apotemi 2019 2020 Tyt Ayt Fizik Soru Bankası	268	11	11	4	D1	0.765	Apotemi_2019_2020_Tyt_Ayt_Fizik_Soru_Bankası_p0268_q04.png	$-Q$ yükünün A noktasındaki elektriksel potansiyeli 20 volttur. Buna göre, $V_{AB}$ potansiyel farkı	+Q yükünün A noktasındaki elektriksel potansiyeli 20 volttur.  Buna göre, V_AB potansiyel farkı kaç 	
d1c61c46-d9ac-55bb-a11e-ef16e9098f16	Bilgi Sarmalı Tyt 2024 Fizik Soru Bankası	270	6	6	4	D1	0.852	Bilgi_Sarmalı_Tyt_2024_Fizik_Soru_Bankası_p0270_q04.png	Özdeş tam yansımalı cam prizmalar şekildeki gibi birleştirilmiştir. Buna göre cam prizmalara gönderi	Özdeş tam yansımalı cam prizmalarda şekildedeki gibi birleştirilmiştir.  Buna göre cam prizmalara gö	
bda886f3-3372-57fc-9785-0c4464bf787b	345 2025 Tyt Ayt Geometri Soru Bankası 1	261	9	9	3	D1	0.824	345_2025_Tyt_Ayt_Geometri_Soru_Bankası_1_p0261_q03.png	Önden görünümü ABCD ikizkenar yamuğu biçiminde olan Şekil 1'deki bardağın içerisine kalınlığı önemsi	9. Önden görünümü ABCD ikizkenar yamuklu biçiminde olan Şekil 1'deki bardağın içine kalınlığı önemsi	
29a84e06-1be3-5ad2-91be-297a694b6fdb	Cap Ayt Fizik Soru Bankası 2023 2024	287	10	10	3	D1	0.875	Cap_Ayt_Fizik_Soru_Bankası_2023_2024_p0287_q03.png	Nükleon sayısının (A) nükleon başına düşen bağlanma enerjisinin (B/A) bağlı grafik şekildeki gibidir	Nükleon sayısının (A) nükleon başına düşen bağlanma enerjisinin (B/A) bağlı grafik şekildedir.  Buna	
bc117dab-d8b6-56ce-8d4a-a2d47c80e2a7	CAP-2022-2023-TYT-Matematik Soru Bankası	74	10	10	2	D1	0.935	CAP-2022-2023-TYT-Matematik_Soru_Bankası_p0074_q02.png	Herbirinin çevresi $560$ m olan üç dairesel pistin üzerinde hızları şekilde verilen üç araç aynı and	Herbirinin çevresi 560 m olan üç dairesel pistin üzerinde hızları şekilde verilen üç araç aynı anda,	
a6d5fd2a-1b4c-5b24-b5a8-f5846f3788f1	ACİL-2025-Problemin İlacı	9	10	10	2	D1	0.806	ACİL-2025-Problemin_İlacı_p0009_q02.png	Şekildeki biçerdöverin ön tekerleği ile traktörün arka tekerleğinin büyüklükleri eşittir. Traktörün 	Şekildeki biçerdöverin ön tekerleği ile traktörün arka tekerleğinin büyüklükleri eşittir. Traktörün 	
d50c00a0-ff18-5c50-8bec-795daabff648	Mikro-2024-Tyt Ayt-Geometri Soru Bankası	245	8	8	4	D1	1.0	Mikro-2024-Tyt_Ayt-Geometri_Soru_Bankası_p0245_q04.png	Şekilde verilen paralelkenar 3 adet mavi, 2 adet sarı ve 1 adet yeşil eşkenar dörtgenin kenarlarının	Şekilde verilen paralelkenar 3 adet mavi, 2 adet sarı ve 1 adet yeşil eşkenar dörtgenin kenarlarının	
56db9d93-0290-5104-9a51-330e380adefc	Mikro Orijinal-Tyt Ayt-Geometri Soru Bankası 2	46	8	8	4	D1	0.857	Mikro_Orijinal-Tyt_Ayt-Geometri_Soru_Bankası_2_p0046_q04.png	Bir ışının bir yüzeye gelme açısı ile yüzeyden yansıma açısı aynı ölçüdedir. Kenarları düz aynalarda	Bir ışının bir yüzeye gelme açısı ile yüzeyden yansıma açısı aynı ölçüdedir.  Gelen ışın ... Yansıya	
a85aadbe-4693-5196-acaa-5d23a24c047d	Mikro Orijinal-2024-Tyt-Matematik Soru Bankası	233	5	5	1	D1	0.745	Mikro_Orijinal-2024-Tyt-Matematik_Soru_Bankası_p0233_q01.png	Bir çikolata firmasının altın bilet kampanyası için ürettiği sütlü veya fındıklı çikolata paketlerin	Bir çikolata firmasının altın bilet kampanyası için ürettiği sütü veya fındıklı çikolata paketlerine	
ae5d4741-c307-55e8-8bb7-c7163a57db94	2023-2024-ACİL-TYT-AYT Geometri Soru Bankası	31	12	12	4	D1	0.732	2023-2024-ACİL-TYT-AYT_Geometri_Soru_Bankası_p0031_q04.png	Dik kenarı 15 birim, hipotenüsü 25 birim olan üçgenin dik kenarı ile çakışık kırmızı bir parça diğer	Dik kenarı 15 birim, hipotenüsü 25 birim olan üçgenin dik kenarına iki çakışık kırmızı bir parça diğ	
0feceb39-8f0d-5816-8035-bdb44f02ee61	345 2024 Ayt Matematik Soru Bankası	113	12	12	5	D1	0.875	345_2024_Ayt_Matematik_Soru_Bankası_p0113_q05.png	Mavi renkli bir üçgenin uzunlukları 12 ve 18 birim olan kenarları arasındaki açının ölçüsü, kırmızı 	Mavi renkli bir üçgenin uzunlukları 12 ve 18 birim olan kenarları arasındaki açı ölçüsü, kırmızı ren	
a85e949f-d4f5-581a-9012-e64997adc251	Fizipedia Tyt Fizik Soru Bankası 2025	342	6	6	3	D1	0.917	Fizipedia_Tyt_Fizik_Soru_Bankası_2025_p0342_q03.png	Odak noktası F olan yakınsak merceğin önüne, boyları eşit olan K, L ve M cisimleri şekildeki gibi ko	Odağı noktası F olan yakınsak merceğin önüne, boyları eşit olan K, L ve M cisimleri şekildeki gibi k	
b5c6a826-9f03-5f31-8e78-378a3cdf78a8	Bilgi Sarmalı Tyt 2024 Fizik Soru Bankası	240	7	7	1	D1	0.811	Bilgi_Sarmalı_Tyt_2024_Fizik_Soru_Bankası_p0240_q01.png	Üzerinde delik bulunan X küresinin merkezine, ışık şiddeti $I$ olan noktasal ışık kaynağı şekildeki 	7. Üzerinde delik bulunan X küresinin merkezine, ışık şiddeti I olan noktasal ışık kaynağı şeklinde 	
e1ec958b-4487-58c2-9fe7-c2721a3742c1	Aktif Ogrenme 2023 2024 Biyoloji	61	10	10	4	D1	0.787	Aktif_Ogrenme_2023_2024_Biyoloji_p0061_q04.png	Aşağıdaki deney tüplerine eşit miktarda karaciğer farklı şekillerde (birincisine bütün halinde, ikin	Aşağıdaki deney tüplerine eşit miktarda karaciğer farklı şekillerde (birincisine bütün halinde, ikin	
7975c7eb-e8de-5c4d-984a-ad3dcb6f36ca	ACİL-2025-Matematiğin İlacı Sayılar-2	74	5	5	2	D1	0.903	ACİL-2025-Matematiğin_İlacı_Sayılar-2_p0074_q02.png	Bir asansör içinde yer alan kişilerin ağırlıklarının toplamı yük taşıma kapasitesini geçerse uyarı v	Bir asansör içinde yer alan kişilerin ağırlıklarının toplamı yük taşıma kapasitesini geçerse uyarı v	
3cbc2d03-83b8-5283-b843-91ff1efb8378	Orijinal-Tyt Ayt Geometri Soru Bankası	133	6	6	4	D1	0.788	Orijinal-Tyt_Ayt_Geometri_Soru_Bankası_p0133_q04.png	Yukarıdaki dik üçgenler benzer olup aynı renkli doğru parçalarının uzunlukları birbirine eşittir. Şe	Yukarıdaki dik üçgenler benzer olup aynı renkli doğru parçalarının uzunlukları birbirine eşittir.  *	
404860ad-7346-5102-9884-f1d4c9f24339	Orijinal-2024-Tyt Ayt-Fonksiyonlar	73	7	7	4	D1	0.8	Orijinal-2024-Tyt_Ayt-Fonksiyonlar_p0073_q04.png	Aşağıdaki dik koordinat düzleminde gri renkli dört özdeş dikdörtgen ile $f(x)$ ve $g(x)$ doğrusal fo	Aşağıdaki dik koordinat düzleminde gri renkli dört özdeş dikdörtgen ile f(x) ve g(x) doğrusal fonksi	
89184eb5-d79d-5f83-baa5-37848ba71378	Mikro Orijinal-2024-Tyt-Matematik Soru Bankası	300	10	10	2	D1	1.0	Mikro_Orijinal-2024-Tyt-Matematik_Soru_Bankası_p0300_q02.png	Venn şemasındaki boyalı bölgeyi ifade eden küme aşağıdakilerden hangisidir?	Venn şemasındaki boyalı bölgeyi ifade eden küme aşağıdakilerden hangisidir?	
677c61a8-e605-5246-ace7-3de551e16ca0	345 2024 Ayt Biyoloji Soru Bankası	296	9	9	2	D1	1.0	345_2024_Ayt_Biyoloji_Soru_Bankası_p0296_q02.png	İçerisinde üzüm suyu bulunan deney tüpüne, bira mayası hücreleri konularak uygun sıcaklıkta bekletil	İçerisinde üzüm suyu bulunan deney tüpüne, bira mayası hücreleri konularak uygun sıcaklıkta bekletil	
ff10565e-3cc5-59f1-9b6f-cf0b771ae416	Neofizik Tyt Soru Bankası	188	6	6	3	D1	0.964	Neofizik_Tyt_Soru_Bankası_p0188_q03.png	Derinlikleri kendi içinde sabit iki bölümden oluşan bir dalga leğeninde oluşturulan su dalgalarının 	Derinlikleri kendi içinde sabit iki bölümden oluşan bir dalga leğeninde oluşturulan su dalgalarının 	
42251af4-e560-52dc-8380-826a0b7b5c12	2023-2024-ACİL-TYT Matematik Soru Bankası	230	10	10	2	D1	0.795	2023-2024-ACİL-TYT_Matematik_Soru_Bankası_p0230_q02.png	Yanda bir kısmında yağ ve bir kısmında su olan silindir biçimindeki kabın görseli verilmiştir.  Kabı	Yanda bir kısmında yağ ve bir kısmında su olan silindir biçimindeki kabın görseli verilmiştir.  Kabı	
41315626-47d6-59c6-8af4-ecbf83847387	Aromat-2023-Ayt-Matematik Soru Bankası	255	6	6	2	D1	0.833	Aromat-2023-Ayt-Matematik_Soru_Bankası_p0255_q02.png	Gerçel sayılarda tanımlı $f$ fonksiyonunun dik koordinat düzlemindeki grafiği şekilde verilmiştir. B	Gerçel sayılarda tanımlı f fonksiyonunun dik koordinat düzlemindeki grafiği şekilde verilmiştir.  Bu	
a68259d6-d685-56f6-8346-62fe93099a3a	Neofizik Tyt Soru Bankası	52	6	6	3	D1	0.864	Neofizik_Tyt_Soru_Bankası_p0052_q03.png	Songül, fizik dersinde yaptığı deneyde, dar ağızlı bir şişenin içerisine yanmakta olan bir kağıt par	Songül, fizik dersinde yaptığı deneyde, dar ağızlı bir şişenin içersine yanmakta olan bir kağıt parç	
3f08b6c5-00b5-53ef-aad4-2fc36e7083ab	Aromat Ayt 2023 2024 Fizik Soru Bankası	117	8	8	4	D1	0.786	Aromat_Ayt_2023_2024_Fizik_Soru_Bankası_p0117_q04.png	Türdeş ve özdeş dört ince kare levha, x-y koordinat sistemine şekildeki gibi yerleştirilmiştir. Buna	Türdeş ve özdeş dört ince kare levha, x-y koordinat sistemine şekildedeki gibi yerleştirilmiştir.  B	
8b89a9e4-00b2-5c27-af07-02f9e9839765	Apotemi Tyt Ayt Kimya 2019-2020	49	12	12	5	D1	0.905	Apotemi_Tyt_Ayt_Kimya_2019-2020_p0049_q05.png	X element atomuna ait elektronların yer aldığı, katman ve alt katmanların enerjileri yukarıdaki diya	X element atomuna ait elektronların yer aldığı, kalın ve alt katmanların enerjileri yukarıdaki diyag	
b5feadf9-dc2c-584e-9846-3b220b92a0fa	CAP-2023-AYT-Matematik -AL-Soru Bankası	367	6	6	3	D1	0.781	CAP-2023-AYT-Matematik_-AL-Soru_Bankası_p0367_q03.png	$P(x)$ polinom fonksiyonunun grafiği aşağıda verilmiştir. Buna göre, ifadelerinden hangileri kesinli	P(x) polinom fonksiyonunun grafiği aşağıda verilmiştir.  Buna göre,  I. P(x) polinomunun derecesi en	
091ee617-c92e-57f0-ad89-f55d32b4ee85	345 Tyt Kimya Soru Bankası	61	9	9	2	D1	1.0	345_Tyt_Kimya_Soru_Bankası_p0061_q02.png	Periyodik sistemin A gruplarında olduğu bilinen X, Y ve Z elementlerinin periyot numarası - değerlik	Periyodik sistemin A gruplarında olduğu bilinen X, Y ve Z elementlerinin periyot numarası - değerlik	
ac183670-6da8-5462-aae5-6ed4f017ee81	345 2025 Tyt Ayt Geometri Soru Bankası 1	329	6	6	2	D1	1.0	345_2025_Tyt_Ayt_Geometri_Soru_Bankası_1_p0329_q02.png	Birim karelerden oluşan ve yukarıda bir kısmı verilmiş bir kağıdın üzerine, köşelerinden ikisi K ve 	Birim karelerden oluşan ve yukarıda bir kısmı verilmiş bir kağıdın üzerine, köşelerinden ikisi K ve 	
e6d2538d-3539-5b1e-9a78-17dbb351eb98	2020-2021-Acil-Problemlerin ilacı	9	12	12	5	D1	0.804	2020-2021-Acil-Problemlerin_ilacı_p0009_q05.png	Yarıçapı $r$ olan bir dairenin alanı $\pi \cdot r^2$ bağıntısı ile bulunur. Yukarıda üst kısımları d	Yarıçapı r olan bir dairenin alanı π · r² bağıntısı ile bulunur.  Yukarıda üst kısımları daire şekli	
5765ff6f-ce92-5cbd-bec6-bfdf5d7a792f	Full Matematik-Ayt-Matematik Soru Bankası	153	9	9	4	D1	0.941	Full_Matematik-Ayt-Matematik_Soru_Bankası_p0153_q04.png	Ali, bir pergolün sivri ucunu kağıt üzerindeki bir noktaya koyup pergelin açıklığını bozmadan çapı 2	Ali, bir pergelin sivri ucunu kağıt üzerindeki bir noktaya koyup pergel açıklığını bozmadan çapı 21 	
be11b800-9ffd-5a60-9ba8-752b5311da62	Bilgi Sarmalı-2023-2024-Tyt Ayt-Geometri Soru Bank	330	7	7	3	D1	0.844	Bilgi_Sarmalı-2023-2024-Tyt_Ayt-Geometri_Soru_Bankası_p0330_q03.png	Düzgün altıgen dik prizma şeklindeki hediye kutusuna genişliği 1 birim olan kırmızı renkli 3 şerit, 	Düzgün altıgen dik prizma şeklinde hediye kutusuna genişliği 1 birim olan kırmızı renkli 3 şerit, pr	
de50f35d-7531-595b-ad34-38d24fcf9ec7	C1CELL-2024-TYT-AYT-Geometri Soru Bankası	350	8	8	4	D1	0.771	C1CELL-2024-TYT-AYT-Geometri_Soru_Bankası_p0350_q04.png	Özdeş dikdörtgenler prizması biçimindeki tahta bloklardan $6$ tanesi birer yüzeyleri ortak olacak bi	Özdeş dikdörtgenler prizması biçimindeki lahta bloklardan 6 tanesi birer yüzeyleri ortak olacak biçi	
1f44db89-9f97-5726-8dc0-1943ecd0c443	Mikro Orijinal-Tyt Ayt-Geometri Soru Bankası 2	255	6	5	1	D2	1.0	Mikro_Orijinal-Tyt_Ayt-Geometri_Soru_Bankası_2_p0255_q01.png	Alanı 16 birimkare olan kare biçimindeki bir karton parçasının tamamı eş iki dikdörtgensel parçaya a	Alanı 16 birimkare olan kare biçimindeki bir karton parçasının tamamı eş iki dikdörtgensel parçaya a	
475f26dd-7576-5efa-b7c9-acf7f3edda76	Bilgi Sarmal 2024 Ayt Kimya Sopru Bankasi	64	9	9	4	D1	1.0	Bilgi_Sarmal_2024_Ayt_Kimya_Sopru_Bankasi_p0064_q04.png	Suyun faz diyagramı aşağıda verilmiştir. Buna göre, aşağıda verilen bilgilerden hangisi yanlıştır?	Suyun faz diyagramı aşağıda verilmiştir.  Buna göre, aşağıda verilen bilgilerden hangisi yanlıştır?	
153c192f-c0ba-5268-88db-f68260c89d6d	2023-2024 ACİL- AYT Matematik Soru Bankası	26	10	10	2	D1	0.718	2023-2024_ACİL-_AYT_Matematik_Soru_Bankası_p0026_q02.png	Bilgin, aşağıdaki duvar saatinin altına elektronik bir gösterge yapmıştır. Bu göstergede, duvar saat	10. Bilgin, aşağıdaki duvar saatinin altına elektronik bir gösterge yapmıştır. Bu göstergede, duvar 	
