id	drift_sim	drift_class	correct_answer	qtext_full	ocr_full	image_url
e948b157-b368-5091-bd68-5cce75c07da9	0.545	substantive_drift	C	ABCD paralelkenar, $[AD]$ dört, $[BC]$ üç eşit parçaya ayrılmıştır. $[EL]\cap[KG]=\{N\}$ Yukarıdaki verilere göre, $\frac{Alan(ENG)+Alan(NKL)}{Alan(ABCD)}$ oranı kaçtır?	10. ABCD paralelkenar, [AD] dört, [BC] üç eşit parçaya ayrılmıştır. [EL] ∩ [KG] = {N}  Yukarıda verilenlere göre, $\frac{Alan(\widehat{ENG}) + Alan(\widehat{NKL})}{Alan(ABCD)}$ oranı kaçtır?	/static/crops/CAP-2022-2023-TYT_AYT-Geometri_Soru_Bankası/CAP-2022-2023-TYT_AYT-Geometri_Soru_Bankası_p0161_q05.png
fdfe4dd1-ffbd-58a1-8a6e-4be4b316d1da	0.615	substantive_drift	C	ABC bir üçgen, $AE \perp BC$, $|AB| = \sqrt{17}$ birim, $|BD| = \sqrt{3}$ birim, $|DC| = 5$ birim. Buna göre, $|AC|$ kaç birimdir?	ABC bir üçgen $AE \perp BC$ $|AB| = \sqrt{17}$ birim $|BD| = \sqrt{3}$ birim $|DC| = \sqrt{5}$ birim  Buna göre, |AC| kaç birimdir?	/static/crops/2020-2021-Acil-Tyt_Ayt_Geometrinin_ilacı_Soru_Bankası/2020-2021-Acil-Tyt_Ayt_Geometrinin_ilacı_Soru_Bankası_p0040_q01.png
bdf36019-97ca-55f3-8d7e-c36646129ec0	0.722	moderate_drift	D	ABCD yamuk $[DC] \parallel [AB]$ $|DE| = |EC| = 1$ br $|AF| = |FB| = 4$ br $m(\widehat{DAB}) + m(\widehat{CBA}) = 90^ ext{o}$ Yukarıda verilenlere göre, $|EF|$ kaç br'dir?	8. ABCD yamuk [DC] // [AB] |DE| = |EC| = 1 br |AF| = |FB| = 4 br m(DAB) + m(CBA) = 90°  Yukarıda verilenlere göre, |EF| kaç br'dir?	/static/crops/C1CELL-2024-TYT-AYT-Geometri_Soru_Bankası/C1CELL-2024-TYT-AYT-Geometri_Soru_Bankası_p0215_q03.png
1b1a1155-204c-5b94-bd8c-2e4fdb34cc54	0.429	severe_drift	C	ABC eşkenar üçgen $|DB|=4$ cm $|EC|=7$ cm $|BC|=12$ cm. Yukarıdaki verilere göre, $|DE|=x$ kaç cm dir?	ABC eşkenar üçgen |DB| = 4 cm |EC| = 7 cm |BC| = 12 cm  Yukarıdaki verilere göre, |DE| = x kaç cm dir?	/static/crops/CAP-2022-2023-TYT_AYT-Geometri_Soru_Bankası/CAP-2022-2023-TYT_AYT-Geometri_Soru_Bankası_p0049_q05.png
cccc15ae-684a-50c6-9321-4e84b7996d27	0.750	moderate_drift	A	ABCD yamuk $[CE]$ açıortay $[AB] \parallel [CD]$ $[CE] \perp [AD]$ $|CD|=10$ cm $|CB|=7$ cm olduğuna göre, $\frac{|AE|}{|ED|}$ kaçtır?	ABCD yamuk [CE] açıortay [AB] // [CD] [CE] ⊥ [AD] |CD| = 10 cm |CB| = 7 cm  olduğuna göre, $\frac{|AE|}{|ED|}$ kaçtır?	/static/crops/345_2025_Tyt_Ayt_Geometri_Soru_Bankası_1/345_2025_Tyt_Ayt_Geometri_Soru_Bankası_1_p0263_q01.png
8fbd91c8-b0bd-53f2-aaf2-3b085690ef8f	0.833	moderate_drift	C	ABD ve BCE birer dik üçgen $BA \perp AD$ $BD \perp EC$ $m(\widehat{ADB}) = 60^ ext{o}$ $|AB| = 5\sqrt{3}$ birim $|EC| = 3$ birim ABC açısının açıortayı $|BD|$ doğru parçası olduğuna göre, $|ED|$ kaç birimdir?	ABD ve BCE birer dik üçgen $BA \perp AD$ $EC \perp CB$ $m(\widehat{ADB}) = 60°$ $|AB| = 5\sqrt{3}$ birim $|EC| = 3$ birim  ABC açısının açıortayı [BD] doğru parçası olduğuna göre, |ED| kaç birimdir?	/static/crops/2023-2024-ACİL-TYT-AYT-Geometrinin_İlacı/2023-2024-ACİL-TYT-AYT-Geometrinin_İlacı_p0048_q06.png
0b8a0f66-a4cb-572f-af77-fae811a53e02	0.182	severe_drift	B	ABC ve ADC dik üçgen, $[AB]\perp[AD]$, $[AD]\perp[DC]$, $[BC]\perp[DC]$, $|AD|=9$ birim, $|BC|=13$ birim. Buna göre, $|DC|=x$ kaç birimdir?	ABC ve ADC dik üçgen. [AB] ⊥ [AC], [AD] ⊥ [DC], [BC] ⊥ [DC], |AD| = 9 birim, |BC| = 13 birim  Buna göre, |DC| = x kaç birimdir?	/static/crops/Bilgi_Sarmalı-2025-Tyt_Ayt-Geometri_Soru_Bankası/Bilgi_Sarmalı-2025-Tyt_Ayt-Geometri_Soru_Bankası_p0046_q01.png
0aa793d0-f847-5857-840e-74734f7a1339	0.625	substantive_drift	A	ABC üçgen $|AF| = |FE| = |EC|$ $|BD| = |DG| = 2 \cdot |AG|$ Buna göre, $\frac{A(\text{DEFG})}{A(\text{ABC})}$ oranı kaçtır?	ABC üçgen |AF| = |FE| = |EC| |BD| = |DG| = 2·|AG|  Buna göre, $\frac{A(DEFG)}{A(ABC)}$ oranı kaçtır?	/static/crops/2023-2024-ACİL-TYT-AYT-Geometrinin_İlacı/2023-2024-ACİL-TYT-AYT-Geometrinin_İlacı_p0096_q06.png
1d08c6cf-16d5-55b0-8ece-1bcbed01829e	0.333	severe_drift	B	ABC eşkenar üçgen, $|DC|=1$ cm, $|AB|=4$ cm olduğuna göre, $|AD|=x$ kaç santimetredir?	16. ABC eşkenar üçgen |DC| = 1 cm |AB| = 4 cm olduğuna göre, |AD| = x kaç santimetredir?	/static/crops/Mikro-2024-Tyt_Ayt-Geometri_Soru_Bankası/Mikro-2024-Tyt_Ayt-Geometri_Soru_Bankası_p0097_q08.png
4a5834a8-b3cb-58f4-bc87-20ceb37ae34f	0.350	severe_drift	C	ABC ikizkenar üçgen, $|AB|=|AC|=10$ cm, $[DF]||[AB]$, $[DE]||[AC]$, $m(\widehat{BAC})=30^{\circ}$. Yukarıdaki verilere göre, $|FD|+|DE|$ toplamı kaç cm'dir?	ABC ikizkenar üçgen, |AB| = |AC| = 10 cm, [DF]⊥[AB], [DE]⊥[AC], m(BAC) = 30°  Yukarıdaki verilere göre, |FD| + |DE| toplamı kaç cm'dir?	/static/crops/Bilgi_Sarmalı-2022-2023-Tyt_Ayt-Geometri_Soru_Bankası/Bilgi_Sarmalı-2022-2023-Tyt_Ayt-Geometri_Soru_Bankası_p0060_q02.png
4f6b5732-1880-5ef0-aec3-e5ec50b6a2a8	0.529	substantive_drift	E	ABCD yamuk, $DC \parallel AB$, $m(\widehat{DAB}) = 45^\circ$, $|CD| = 8$ birim, $|AD| = 6\sqrt{2}$ birim, $|AB| = 18$ birim. Buna göre, $A(ABCD)$ kaç birimkaredir?	ABCD yamuk DC // AB m(DÂB) = 45° |CD| = 8 birim |AD| = $6\sqrt{2}$ birim |AB| = 18 birim  Buna göre, A(ABCD) kaç birimkaredir?	/static/crops/2020-2021-Acil-Tyt_Ayt_Geometrinin_ilacı_Soru_Bankası/2020-2021-Acil-Tyt_Ayt_Geometrinin_ilacı_Soru_Bankası_p0160_q04.png
ae1091b0-2a7b-5098-9413-fa9b684638f6	0.389	severe_drift	C	ABCDE düzgün beşgen, EC köşegen, $|EFI| = 6$ birim, $|IEGI = |GA|$. Buna göre, $|FG|$ kaç birimdir?	ABCDE düzgün beşgen EC köşegen |EF| = |FC| = 6 birim |EG| = |GA|  Buna göre, |FG| kaç birimdir?	/static/crops/2020-2021-Acil-Tyt_Ayt_Geometrinin_ilacı_Soru_Bankası/2020-2021-Acil-Tyt_Ayt_Geometrinin_ilacı_Soru_Bankası_p0172_q02.png
d079b8ba-b954-51da-be6c-bef3a2ab917c	0.706	moderate_drift	E	ABC üçgen, $m(\widehat{ABC}) = 45^\circ$, $|AB| = 6\sqrt{2}$ cm, $|BC| = 14$ cm. Yukarıdaki verilere göre, $|AC| = x$'in alabileceği en büyük tam sayı değeri kaçtır?	ABC üçgen. $m(A\hat{B}C) < 45°$ $|AB| = 6\sqrt{2}$ cm, $|BC| = 14$ cm Yukarıdaki verilere göre, $|AC| = x$'in alabileceği en büyük tam sayı değeri kaçtır?	/static/crops/Orijinal-2024-Geometri_Soru_Bankası/Orijinal-2024-Geometri_Soru_Bankası_p0142_q05.png
08f55cce-5885-5cab-b4d7-8686321fa927	0.278	severe_drift	B	$[CA$ çembere A noktasında teğet, ABC bir üçgen, $|AB|=|BD|$, $m(\widehat{BD})=150^\circ$, $m(\widehat{ACB})=x$. Buna göre, $x$ kaç derecedir?	[CA çembere A noktasında teğet ABC bir üçgen |AB| = |BD| m(BD) = 150° m(ACB) = x  Buna göre, x kaç derecedir?	/static/crops/2020-2021-Acil-Tyt_Ayt_Geometrinin_ilacı_Soru_Bankası/2020-2021-Acil-Tyt_Ayt_Geometrinin_ilacı_Soru_Bankası_p0184_q01.png
c407cb48-bc54-5382-a62d-9e85b69d3278	0.500	substantive_drift	A	$[AB] \parallel [BC]$, $[AD] \parallel [BC]$, $|AD|=5$ cm, $|DC|=4$ cm ve $|BC|=7$ cm Yukarıdaki verilere göre, DAC açısının tanjantı kaçtır?	[AB] ⊥ [BC], [AD] // [BC], |AD| = 5 cm, |DC| = 4 cm ve |BC| = 7 cm  Yukarıdaki verilere göre, DAC açısının tanjantı kaçtır?	/static/crops/Bilgi_Sarmalı-2022-2023-Tyt_Ayt-Geometri_Soru_Bankası/Bilgi_Sarmalı-2022-2023-Tyt_Ayt-Geometri_Soru_Bankası_p0054_q06.png
4472a963-137a-5a74-9260-8d0d88c47922	0.278	severe_drift	E	ABCD yamuk, ADCE deltoid, $|AD|=|AE|$, $AB \parallel DC$, $|DC|=3$ cm, $|EB|=5$ cm. Verilenlere göre, $|AB|=x$ kaç cm'dir?	ABCD yamuk ADCE deltoid |AD| = |AE| AB // DC |DC| = 3 cm |EB| = 5 cm  Verilenlere göre, |AB| = x kaç cm'dir?	/static/crops/Mikro_Orijinal-Tyt_Ayt-Geometri_Soru_Bankası_2/Mikro_Orijinal-Tyt_Ayt-Geometri_Soru_Bankası_2_p0229_q03.png
f6e48f8c-da22-5357-b46b-7ca3f984764a	0.577	substantive_drift	C	Büşra, $ABC$ ikizkenar üçgeni biçimindeki kağıdı $B$ noktası $B'$ noktası ile çakışacak şekilde $DE$ boyunca katlıyor. $|AB| = |AC|$, $m(\text{BAC}) = 40^ ext{o}$, $m(\text{BDE}) = 35^ ext{o}$ yukarıdaki verilere göre, $m(\text{EDC'}) = \alpha$ kaç derecedir?	Büşra, ABC ikizkenar üçgeni biçimindeki kağıdı B noktası B' noktası ile çakışacak şekilde DE boyunca katlıyor.  |AB| = |AC|, m(BAC) = 40°, m(BDE) = 35°  Yukarıdaki verilere göre, m(EB'C) = α kaç derecedir?	/static/crops/Full_Matematik-2022-2023-Tyt_Ayt-Geometri_Soru_Bankası/Full_Matematik-2022-2023-Tyt_Ayt-Geometri_Soru_Bankası_p0027_q04.png
ded93d26-2dd7-5426-a958-8119e6732937	0.538	substantive_drift	B	ABCD kare $[AC]$ köşegen $|AE| = 7$ cm $|CE| = 1$ cm olduğuna göre, $|DE| = x$ kaç santimetredir?	ABCD kare [AC] köşegen IAEI = 7 cm ICEI = 1 cm  olduğuna göre, IDEI = x kaç santimetredir?	/static/crops/Mikro-2024-Tyt_Ayt-Geometri_Soru_Bankası/Mikro-2024-Tyt_Ayt-Geometri_Soru_Bankası_p0259_q02.png
f3d1b0ac-8af8-5c62-8dc3-68f85a05d4cd	0.533	substantive_drift	E	ABCD dikdörtgen, $[CH] \perp [BD]$, $|BH|=4$ cm, $|HC|=6$ cm. Yukarıda verilenlere göre, Alan(ABCD) kaç $\text{cm}^2$ dir?	ABCD dikdörtgen [CH] ⊥ [BD] |BH| = 4 cm |HC| = 6 cm  Yukarıda verilenlere göre, Alan(ABCD) kaç cm² dir?	/static/crops/Orijinal-Tyt_Ayt_Geometri_Soru_Bankası/Orijinal-Tyt_Ayt_Geometri_Soru_Bankası_p0208_q03.png
8ee0778d-f0c3-54b0-a202-bec8934d1de5	0.500	substantive_drift	D	ABC üçgen, $D \in [AB]$, $m(\widehat{ACD}) = m(\widehat{ABC})$, $|AD| = 5$ birim, $|DB| = 3$ birim. Buna göre, $|AC| = x$ kaç birimdir?	ABC üçgen, D∈[AB], m(AĈD) = m(A͡BC). |AD| = 5 birim, |DB| = 3 birim  Buna göre, |AC| = x kaç birimdir?	/static/crops/Bilgi_Sarmalı-2025-Tyt_Ayt-Geometri_Soru_Bankası/Bilgi_Sarmalı-2025-Tyt_Ayt-Geometri_Soru_Bankası_p0106_q03.png
