id	v1_sim	v2_sim	delta	v2_class	correct_answer	qtext_preview	ocr_preview	image_url
513bf8f0-7235-5123-9ab0-997f7ec3c142	0.231	0.304	+0.073	v2_severe	C	ABCD paralelkenar, $|AF|=|FI|$, $|BG|=|GC|$, $|AE|=3|ED|$ ve $|DH|=3|HC|$ dir. Yukarıdaki verilere göre, $\frac{\text{Al	8. ABCD paralelkenar, |AF| = |FB|, |BG| = |GC|, |AE| = 3|ED| ve |DH| = 3|HC| dir.  Yukarıda verilenlere göre, $\frac{Ala	/static/crops/CAP-2022-2023-TYT_AYT-Geometri_Soru_Bankası/CAP-2022-2023-TYT_AYT-Geometri_Soru_Bankası_p0173_q04.png
98ee1ed9-8b99-50d5-b81b-af744fa2ff41	0.208	0.308	+0.100	v2_severe	B	ABC ve DEF birer üçgen, $m(\widehat{BAC})=m(\widehat{DEF})$, $|AB|=6$ br, $|AC|=9$ br, $|DE|=2$ br, $|EF|=3$ br, $|BK|=4	ABC ve DEF birer üçgen,  m(BÂC) = m(DÊF), |AB| = 6 br, |AC| = 9 br, |DE| = 2 br, |EF| = 3 br, |BK| = 4 br, |KC| = 8 br  	/static/crops/C1CELL-2024-TYT-AYT-Geometri_Soru_Bankası/C1CELL-2024-TYT-AYT-Geometri_Soru_Bankası_p0136_q05.png
9f867bfd-e788-5b0b-a7fd-74e26d39f5c2	0.167	0.316	+0.149	v2_severe	D	ABC üçgen, $m(\widehat{ABC})=45^\circ$, $|AD|=|AC|$, $|BD|=4$ cm, $|DC|=2$ cm olduğuna göre, Alan$(ABC)$ kaç santimetrek	ABC üçgen m(A͡BC) = 45° |AD| = |AC| |BD| = 4 cm |DC| = 2 cm olduğuna göre, Alan(A͡BC) kaç santimetrekaredir?	/static/crops/Mikro-2024-Tyt_Ayt-Geometri_Soru_Bankası/Mikro-2024-Tyt_Ayt-Geometri_Soru_Bankası_p0119_q05.png
a24fbed8-984b-5894-81f5-a335b56cdeb1	0.222	0.316	+0.094	v2_severe	C	[BD] açıortay, $|AD|=|AB|$, $m(\widehat{BCD})=45^\circ$, $|DC|=2\sqrt{2}$ cm, $|BC|=9$ cm olduğuna göre, $|AB|=x$ kaç sa	[BD] açıortay [AD] ⊥ [AB] m(BCD) = 45° |DC| = 2√2 cm |BC| = 9 cm olduğuna göre, |AB| = x kaç santimetredir?	/static/crops/Mikro-2024-Tyt_Ayt-Geometri_Soru_Bankası/Mikro-2024-Tyt_Ayt-Geometri_Soru_Bankası_p0137_q02.png
b5b67a12-eacf-58f8-bb7e-4eabe0eb7dda	0.227	0.318	+0.091	v2_severe	D	ABCD yamuk, $AB \parallel DC$, $m(\widehat{DAB})=150^\circ$, $|AB|=4$ cm, $|DA|=9$ cm, $|DC|=16$ cm olduğuna göre, yamuğ	ABCD yamuk [AB] // [DC] m(DÂB) = 150° |AB| = 4 cm |DA| = 9 cm |DC| = 16 cm  olduğuna göre, yamuğun alanı kaç cm² dir?	/static/crops/345_2025_Tyt_Ayt_Geometri_Soru_Bankası_1/345_2025_Tyt_Ayt_Geometri_Soru_Bankası_1_p0257_q05.png
ec58499c-bf89-5973-baa6-9c9b57439d96	0.190	0.318	+0.128	v2_severe	A	ABC üçgen, $[DC]=[AE]=[K]$, $|AD|=|DB|$, $|BE|=|EC|$, $|DK|+|KI|=16$ cm, $|KE|+|KC|=17$ cm olduğuna göre, $|AE|$ kaç san	ABC üçgen [DC] ∩ [AE] = {K} |AD| = |DB| |BE| = |EC| |DK| + |AK| = 16 cm |KE| + |KC| = 17 cm olduğuna göre, |AE| kaç sant	/static/crops/Mikro-2024-Tyt_Ayt-Geometri_Soru_Bankası/Mikro-2024-Tyt_Ayt-Geometri_Soru_Bankası_p0149_q08.png
341fa51b-dc52-56dd-ad72-787893980f81	0.294	0.333	+0.039	v2_severe	D	ABCD yamuk, $AB \parallel DC$, $DH \perp AB$ $|AE|=|ED|$, $|DC|=3$ cm $|AH|=|HB|=8$ cm, $|BC|=13$ cm olduğuna göre, $|DF	ABCD yamuk, $AB // DC$, $DH \perp AB$  $|AE| = |ED|$, $|DC| = 3$ cm  $|AH| = |HB| = 8$ cm, $|BC| = 13$ cm  olduğuna göre	/static/crops/345_2025_Tyt_Ayt_Geometri_Soru_Bankası_1/345_2025_Tyt_Ayt_Geometri_Soru_Bankası_1_p0263_q04.png
51a53bcd-c5b5-5f75-a124-e4b94f4c872e	0.304	0.333	+0.029	v2_severe	C	ABCD dörtgen $|AE|=3|EB|$ $|AF|=3|FD|$ $|DK|=|KC|$ $|BL|=|LC|$ $|EF|=12$ birim Yukarıda verilenlere göre, $|KL|=x$ kaç b	ABCD dörtgen |AE| = 3|EB| |AF| = 3|FD| |DK| = |KC| |BL| = |LC| |EF| = 12 birim  Yukarıda verilenlere göre, |KL| = x kaç 	/static/crops/Orijinal-2024-Geometri_Soru_Bankası/Orijinal-2024-Geometri_Soru_Bankası_p0170_q04.png
71dbf9d3-3dd9-5201-b34b-709806419b6b	0.158	0.333	+0.175	v2_severe	C	ABCD bir paralelkenar, $AC \cap BE = \{K\}$, $|AB|=5 \text{ cm}$, $|EC|=2 \text{ cm}$ ve $A(KBC)=20 \text{ cm}^2$ olduğu	ABCD bir paralelkenar AC ∩ BE = {K} |AB| = 5 cm |EC| = 2 cm A(KBC) = 20 cm²  Buna göre, A(AKED) kaç cm² dir?	/static/crops/ACİL-TYT-AYT-Geometri_Soru_Bankası/ACİL-TYT-AYT-Geometri_Soru_Bankası_p0175_q06.png
8c580faf-2e06-51ae-b419-68c90626c5a3	0.182	0.333	+0.151	v2_severe	C	ABC bir üçgen, $[FD]\cap[AE]=\{K\}$, $|AD|=|DB|$, $|BE|=|EF|$, $|BF|=|FC|$, $|DK|=2$ cm. Yukarıda verilen şekilde $|AC|=	ABC bir üçgen [FD] ∩ [AE] = {K} |AD| = |BD| |BE| = |EF| |BF| = |FC| |DK| = 2 cm  Yukarıda verilen şekilde |AC| = x kaç c	/static/crops/Orijinal-Tyt_Ayt_Geometri_Soru_Bankası/Orijinal-Tyt_Ayt_Geometri_Soru_Bankası_p0083_q04.png
9d87d258-f60b-5350-9a1c-3efd0196369d	0.188	0.333	+0.145	v2_severe	E	ABC üçgen, $2|AE|=|EC|$, $|BD|=2|DC|$, Alan$(BDEA)=42$ cm$^2$ olduğuna göre, Alan$(ABC)$ kaç santimetrekaredir?	ABC üçgen 2|AE| = |EC| |BD| = 2|DC| Alan(BDEA) = 42 cm²  olduğuna göre, Alan(ABC) kaç santimetrekaredir?	/static/crops/Mikro-2024-Tyt_Ayt-Geometri_Soru_Bankası/Mikro-2024-Tyt_Ayt-Geometri_Soru_Bankası_p0119_q02.png
dec614c8-735f-5f67-a5b9-c2ee74511436	0.318	0.333	+0.015	v2_severe	C	Şekilde $[AD]$ $BAC$'nin, $[DC]$ $EDG$'nin açıortayı, $|EC|=|AB|$, $|ED|=4$ br, $|AD|=6$ br ve $|BD|=8$ br olduğuna göre	Şekilde [AD] BAC'nın, [DC] EDG'nin açıortayıdır. |EC| = |AB|, |ED| = 4 br, |AD| = 6 br ve |BD| = 8 br olduğuna göre, |DC	/static/crops/C1CELL-2024-TYT-AYT-Geometri_Soru_Bankası/C1CELL-2024-TYT-AYT-Geometri_Soru_Bankası_p0113_q04.png
ec707f41-e78a-5808-a990-758dbbbc8b2b	0.188	0.333	+0.145	v2_severe	D	ABC üçgen, $|AE|=3|ED|$, $|BD|=4|DC|$, Alan$(ABC)=60$ cm$^2$ olduğuna göre, Alan$(ABE)$ kaç santimetrekaredir?	ABC üçgen |AE| = 3|ED| |BD| = 4|DC| Alan(ABC) = 60 cm²  olduğuna göre, Alan(ABE) kaç santimetrekaredir?	/static/crops/Mikro-2024-Tyt_Ayt-Geometri_Soru_Bankası/Mikro-2024-Tyt_Ayt-Geometri_Soru_Bankası_p0119_q08.png
f6886b3e-423b-540f-a1f0-c6dededb8ff3	0.176	0.333	+0.157	v2_severe	B	ABC üçgen, $|AB|=|BD|=|DC|$, $m(\text{ABD})=60^\circ$, $m(\text{DBC})=10^\circ$. Verilenlere göre, $m(\text{ACD})=x$ kaç	ABC üçgen |AB| = |BD| = |DC| m(A͡BD) = 60° m(D͡BC) = 10°  Verilenlere göre, m(A͡CD) = x kaç derecedir?	/static/crops/Mikro_Orijinal-2025-Ayt-Geometri_Soru_Bankası/Mikro_Orijinal-2025-Ayt-Geometri_Soru_Bankası_p0043_q03.png
fc6bc4ec-f963-51cb-a4b9-fb79f872933a	0.238	0.333	+0.095	v2_severe	C	ABCD yamuk, $[DC] \parallel [AB]$, $4A(FBCE)=7A(AFED)$, $|FB|=12$ br, $|EC|=2$ br, $|AF|=5$ br olduğuna göre, $|DE|$ kaç	ABCD yamuk, [DC] // [AB], 4A(FBCE) = 7A(AFED) |FB| = 12 br, |EC| = 2 br, |AF| = 5 br  Yukarıda verilenlere göre, |DE| ka	/static/crops/C1CELL-2024-TYT-AYT-Geometri_Soru_Bankası/C1CELL-2024-TYT-AYT-Geometri_Soru_Bankası_p0219_q05.png
026d9038-b6d5-5286-965e-24ecc3246104	0.286	0.346	+0.060	v2_severe	D	ABCD paralelkenar, $[AC]\cap[KB]=\{L\}$, $[AC]\cap[BF]=\{M\}$, $|AK|=|KD|$, $|DF|=|FC|$ ve boyalı bölgenin alanı $12 cm^	ABCD paralelkenar, $[AC] \cap [KB] = \{L\}$, $[AC] \cap [BF] = \{M\}$ $|AK| = |KD|$, $|DF| = |FC|$ Şekilde boyalı bölgen	/static/crops/Full_Matematik-2019-2020-Geometri_Soru_Bankası/Full_Matematik-2019-2020-Geometri_Soru_Bankası_p0147_q05.png
35db9c72-4c9d-55ea-aaba-037b8a7d82b6	0.280	0.348	+0.068	v2_severe	B	ABC üçgen, $m(\widehat{BAD})=m(\widehat{DAC})=50^ ext{o}$, $m(\widehat{ACB})=30^ ext{o}$ Buna göre, I. $|AD|=|BD|$ II. $	ABC üçgen, m(BAD) = m(DAC), m(ABC) = 50°, m(ACB) = 30°  Buna göre, I. |AD| = |BD| II. |AC| > |DC| III. |BD| < |DC| ifade	/static/crops/C1CELL-2024-TYT-AYT-Geometri_Soru_Bankası/C1CELL-2024-TYT-AYT-Geometri_Soru_Bankası_p0170_q03.png
b1c3b3dd-5b9e-54fe-9c60-2fabe847289c	0.304	0.348	+0.044	v2_severe	D	ABCD dörtgen $[AB] \perp [BC]$ $|AD|=10\sqrt{3}$ cm $|AB|=7$ cm $|EC|=2\sqrt{3}$ cm $m(\hat{ECD})=m(\hat{EAD})=m(\hat{AD	ABCD dörtgen [AB] ⊥ [BC] |AD| = 10√3 cm |AB| = 7 cm |EC| = 2√3 cm  m(EĈD) = m(EÂD) = m(AĈD) = 30° olduğuna göre, |BC| = 	/static/crops/Orijinal-2024-Geometri_Soru_Bankası/Orijinal-2024-Geometri_Soru_Bankası_p0170_q02.png
f4353510-7c95-5c60-9cd4-4a7ac1fbecc3	0.278	0.348	+0.070	v2_severe	A	ABC dik üçgen, $[AB]\perp[AC]$, $[DE]\perp[BC]$, $|AB|=|DC|$, $|AD|=3$ cm, $|EC|=5$ cm. Yukarıdaki verilere göre, $|BE|=	ABC dik üçgen, [AB]⊥[AC], [DE]⊥[BC]. |AB| = |DC|, |AD| = 3 cm, |EC| = 5 cm Yukarıdaki verilere göre, |BE| = x kaç cm'dir	/static/crops/Bilgi_Sarmalı-2022-2023-Tyt_Ayt-Geometri_Soru_Bankası/Bilgi_Sarmalı-2022-2023-Tyt_Ayt-Geometri_Soru_Bankası_p0046_q05.png
0854935d-9da5-5aed-b867-2383b2fd79d9	0.278	0.350	+0.072	v2_severe	C	ABCD yamuk, $AB \parallel DC$, $|EB|=|EC|$, $|DE|=4\sqrt{2}$ cm, $|AE|=10$ cm, $m(\widehat{AED})=45^\circ$. Verilenlere 	ABCD yamuk AB // DC |EB| = |EC| |DE| = $4\sqrt{2}$ cm |AE| = 10 cm m($\widehat{AED}$) = 45°  Verilenlere göre, Alan(ABCD	/static/crops/Mikro_Orijinal-2025-Ayt-Geometri_Soru_Bankası/Mikro_Orijinal-2025-Ayt-Geometri_Soru_Bankası_p0193_q01.png
25d93a5f-0b1d-5743-99bf-886ef70a1eee	0.174	0.350	+0.176	v2_severe	A	ABCD dikdörtgen, $[AC]$ köşegen, $|AC|=|BE|=|DE|$, $m(\widehat{ABE})=100^\circ$. Yukarıdaki verilere göre, $m(\widehat{A	ABCD dikdörtgen [AC] köşegen |AC| = |BE| = |DE| m(ABE) = 100°  Yukarıda verilenlere göre, m(ACD) = α kaç derecedir?	/static/crops/Orijinal-Tyt_Ayt_Geometri_Soru_Bankası/Orijinal-Tyt_Ayt_Geometri_Soru_Bankası_p0212_q06.png
42632dad-476d-54e1-be41-a3042be03f12	0.150	0.350	+0.200	v2_severe	A	ABC üçgen, $[BD]\perp[AC]$, $|BD|=|AE|$, $|BE|=|EC|$, $m(\widehat{BEA})=63^\circ$ olduğuna göre, $m(\widehat{ACB})=\alph	ABC üçgeni [BD] ⊥ [AC] |BD| = |AE| |BE| = |EC| m(BEA) = 63°  olduğuna göre, m(ACB) = α kaç derecedir?	/static/crops/345_Tyt_Ayt_Geometri_Soru_Bankası/345_Tyt_Ayt_Geometri_Soru_Bankası_p0031_q05.png
75c8acbd-44a0-56ec-b30f-3525b5dee0bd	0.375	0.350	-0.025	v2_severe	D	ABC ve ADC birer üçgen, $|AB|=|AD|$, $|BC|=|CD|$, $m(\widehat{BAD})=160^\circ$, $m(\widehat{BAC})=x$ olduğuna göre, $x$ 	ABC ve ADC birer üçgen, |AB| = |AD|, |BC| = |CD|  m(\widehat{BAD}) = 160°, m(\widehat{BAC}) = x  Buna göre, x kaç derece	/static/crops/2020-2021-Acil-Tyt_Ayt_Geometrinin_ilacı_Soru_Bankası/2020-2021-Acil-Tyt_Ayt_Geometrinin_ilacı_Soru_Bankası_p0026_q06.png
7b978cf2-82c4-54ed-b9e7-4c8e8eea2596	0.278	0.350	+0.072	v2_severe	C	ABCD eşkenar dörtgen, $K \in [AB]$, $m(\text{DCB})=30^\circ$, $m(\text{CKB})=45^\circ$. $|EC|=8\sqrt{2}$ cm olduğuna gör	ABCD eşkenar dörtgen K ∈ [AB m(DEC) = 30° m(CKA) = 45°  |EC| = 8√2 cm olduğuna göre, |KC| = x kaç cm'dir?	/static/crops/Orijinal-2024-Geometri_Soru_Bankası/Orijinal-2024-Geometri_Soru_Bankası_p0200_q06.png
c5afeaf2-df6b-51da-857d-e7adc9b8f0be	0.316	0.350	+0.034	v2_severe	C	$ABCD$ dikdörtgen, $[AE] \perp [ED]$, $[DF] \perp [AF]$, $|AE|=|DF|=15$ cm, $|BC|=25$ cm. Yukarıdaki verilere göre, $|EF	ABCD dikdörtgen, [AE]⊥[ED], [DF]⊥[AF], |AE| = |DF| = 15 cm, |BC| = 25 cm  Yukarıdaki verilere göre, |EF| = x kaç cm'dir?	/static/crops/Bilgi_Sarmalı-2025-Tyt_Ayt-Geometri_Soru_Bankası/Bilgi_Sarmalı-2025-Tyt_Ayt-Geometri_Soru_Bankası_p0214_q05.png
d0e940de-fa46-5bc3-b8f3-65a7b87cf2f6	0.263	0.350	+0.087	v2_severe	D	ABC üçgen, $m(\widehat{BCD})=20^{\circ}$, $m(\widehat{DCA})=80^{\circ}$, $|BD|=8$ cm, $5|CD|=3|BC|$. Yukarıdaki verilere	ABC üçgen, m(BCD) = 20°, m(DCA) = 80° |BD| = 8 cm, 5|CD| = 3|BC| Yukarıdaki verilere göre, |AD| = x kaç cm dir?	/static/crops/Full_Matematik-2019-2020-Geometri_Soru_Bankası/Full_Matematik-2019-2020-Geometri_Soru_Bankası_p0053_q05.png
e3e3bb97-7ccf-501d-b2c9-e073415118f6	0.263	0.350	+0.087	v2_severe	C	ABCD dikdörtgen, $m(\widehat{ECD})=45^\circ$, $|EC|=2\sqrt{2}$ cm, $|BC|=6$ cm, $|AB|=8$ cm. Yukarıda verilenlere göre, 	ABCD dikdörtgen m(EĈD) = 45° |EC| = 2√2 cm |BC| = 6 cm |AB| = 8 cm  Yukarıda verilenlere göre, |AE| kaç cm'dir?	/static/crops/Orijinal-Tyt_Ayt_Geometri_Soru_Bankası/Orijinal-Tyt_Ayt_Geometri_Soru_Bankası_p0208_q05.png
df270dfb-3a50-51cb-bc26-e2e6d07b0bdc	0.343	0.351	+0.008	v2_severe	B	Merkezi orijinde ve çevresi 8 birim olan ABCD karesi kenarları eksenlere paralel olacak şekilde dik koordinat düzlemine 	Merkezi orijinde olan ABCDEF düzgün altıgeni orijin etrafında negatif yönde 120° döndürülüyor.  Buna göre, son durumda C	/static/crops/Mikro_Orijinal-Tyt_Ayt-Geometri_Soru_Bankası_2/Mikro_Orijinal-Tyt_Ayt-Geometri_Soru_Bankası_2_p0367_q02.png
13bb5c63-054a-542b-99c4-d649db28344e	0.312	0.353	+0.041	v2_severe	C	ABCD yamuk, AB // DC, $|BD|=|BC|=10$ cm, $|EC|=12$ cm, $|AD|=17$ cm, $|DE|=20$ cm olduğuna göre, $|AB|=x$ kaç cm'dir?	ABCD yamuk, AB // DC, |BE| = |BC| = 10 cm |EC| = 12 cm, |AD| = 17 cm, |DE| = 20 cm olduğuna göre, |AB| = x kaç cm'dir?	/static/crops/345_Tyt_Ayt_Geometri_Soru_Bankası/345_Tyt_Ayt_Geometri_Soru_Bankası_p0257_q03.png
1803444e-09f5-5ac0-a2f3-012cf5e44882	0.312	0.353	+0.041	v2_severe	C	ABCD dikdörtgen $m(\widehat{ABE})=m(\widehat{CBF})$ $|DE|=|BF|$ $|AE|=2\sqrt{6}$ cm $|EC|=5$ cm olduğuna göre, $|EF|$ ka	ABCD dikdörtgen [DE] ⊥ [EB] |AC| = 13 cm |EC| = 4√3 cm  olduğuna göre, |AE| kaç cm'dir?	/static/crops/345_Tyt_Ayt_Geometri_Soru_Bankası/345_Tyt_Ayt_Geometri_Soru_Bankası_p0363_q04.png
2dba3f5e-f7ca-5abc-8d0d-4f2aa7e164a6	0.312	0.353	+0.041	v2_severe	C	ABCD yamuk, $AB \parallel DC$, $|BE|=|BC|=10$ cm, $|EC|=12$ cm, $|AD|=17$ cm, $|DE|=20$ cm olduğuna göre, $|AB|=x$ kaç c	ABCD yamuk, AB // DC, |BE| = |BC| = 10 cm |EC| = 12 cm, |AD| = 17 cm, |DE| = 20 cm olduğuna göre, |AB| = x kaç cm'dir?	/static/crops/345_2025_Tyt_Ayt_Geometri_Soru_Bankası_1/345_2025_Tyt_Ayt_Geometri_Soru_Bankası_1_p0257_q03.png
41c50ff9-33ae-5a82-9105-f43a0dd818e7	0.188	0.353	+0.165	v2_severe	C	ABC üçgen, $|DB|=2$ cm, $|DE|=4$ cm, $|EC|=4$ cm, $|AD|=|AC|=8$ cm olduğuna göre, $|BE|=x$ kaç cm'dir?	ABC üçgen |DB| = 2 cm |DE| = |EC| = 4 cm |AD| = |AC| = 8 cm olduğuna göre, |BE| = x kaç cm'dir?	/static/crops/345_Tyt_Ayt_Geometri_Soru_Bankası/345_Tyt_Ayt_Geometri_Soru_Bankası_p0325_q02.png
65896828-ec4f-5aca-9756-de66e6c7bc1e	0.400	0.353	-0.047	v2_severe	A	$AB \parallel CD$, $DB \perp BA$, $|AE|=4\sqrt{2}$ birim, $|EC|=6$ birim, $m(\widehat{BAE})=45^\circ$, $m(\widehat{AEC})	AB // CD DB ⊥ BA |AE| = $4\sqrt{2}$ birim |EC| = 6 birim m(\widehat{BAE}) = 45° m(\widehat{AEC}) = 75°  Buna göre, |BD| 	/static/crops/2020-2021-Acil-Tyt_Ayt_Geometrinin_ilacı_Soru_Bankası/2020-2021-Acil-Tyt_Ayt_Geometrinin_ilacı_Soru_Bankası_p0052_q02.png
9f4f434a-ac15-50c8-86a8-6071b782c838	0.188	0.353	+0.165	v2_severe	D	ABC üçgen, $m(\widehat{BAD})=45^\circ$, $m(\widehat{DAC})=45^\circ$, $|AB|=6$ cm, $|AC|=8$ cm olduğuna göre, $|BD|=x$ ka	ABC üçgen m(BÂD) = 45° m(DÂC) = 45° |AB| = 6 cm |AC| = 8 cm  olduğuna göre, |BD| = x kaç santimetredir?	/static/crops/Mikro-2024-Tyt_Ayt-Geometri_Soru_Bankası/Mikro-2024-Tyt_Ayt-Geometri_Soru_Bankası_p0135_q03.png
fd46c5f1-e7a1-50f0-afeb-2738a1334652	0.312	0.353	+0.041	v2_severe	E	ABCD paralelkenar, $m(\widehat{BCD})=45^\circ$, $|AD|=8$ cm, $|AB|=5\sqrt{2}$ cm olduğuna göre, Alan$(ABCD)$ kaç santime	ABCD paralelkenar m(\widehat{BCD}) = 45° |AD| = 8 cm |AB| = 5\sqrt{2} cm  olduğuna göre, Alan(ABCD) kaç santimetrekaredi	/static/crops/Mikro-2024-Tyt_Ayt-Geometri_Soru_Bankası/Mikro-2024-Tyt_Ayt-Geometri_Soru_Bankası_p0227_q03.png
d503bdf0-1965-53d7-ad6b-704bc17bcd58	0.364	0.357	-0.007	v2_severe	E	ABC üçgen, $BD \perp AC$, $DE \perp BC$, $AB=2|BE|$, $|BD|=8$ cm olduğuna göre, Alan(ABC) kaç $cm^2$ dir?	$AB \perp BC$ $BD \perp AC$ $DE \perp BC$ $|AB| = 2|BE|$ $|BD| = 8$ cm  olduğuna göre, Alan(ABC) kaç cm² dir?	/static/crops/345_2025_Tyt_Ayt_Geometri_Soru_Bankası_1/345_2025_Tyt_Ayt_Geometri_Soru_Bankası_1_p0219_q05.png
