id	subject_area	source_book	source_page	question_text	option_a	option_b	option_c	option_d	option_e	correct_answer	topic_quality	has_diagram	verdict	error_type	notes
c3fa6f17-48b1-5f6a-b325-fcd802602617	MATEMATIK	Full Matematik-Ayt-Matematik Soru Bankası	242	$(a_n)$ aritmetik dizisinde $a_4+a_5=24$ ve $a_7+a_8+a_9=48$ olduğuna göre, $a_1$ kaçtır?	6	12	18	24	30	A	fuzzy	false	fail	wrong_answer	2a1+7d=24, 3a1+21d=48 -> a1=8; A=6 yanlis
e8fdca37-a155-54e8-bee2-730d2e165932	MATEMATIK	Bilgi Sarmalı-2025-Tyt-Matematik Soru Bankası	254	"Kilo kontrolü için diyetisyene başvuran Sümeyye ile diyetisyen arasında aşağıdaki konuşma geçiyor.

Diyetisyen: ""Hazırladığım yeni detoks suyundan 100 litre tüketirsen 4 kg verebilirsin.""
Sümeyye: ""He"	Hızlı, 25	Hızlı, 20	Hızlı, 30	Yavaş, 25	Yavaş, 20	A	exact	false	unclear	ocr	Text cut off (He...)
a4b29dd0-13d0-505f-9392-455c37b9243e	MATEMATIK	2019-2020-Apotemi-Tyt Matematik Soru Bankası	286	"Bir doğal sayıda kullanılan her rakam kendi sayısının değeri kadar tekrar ediyorsa bu sayıya ""bilgin sayı"" adı verilir. Örneğin; 221, 3313 sayılan bilgin sayıdır. Buna göre, 5 basamaklı (tersten okunu"	1	3	4	6	12	C	fuzzy	false	unclear	ocr	Tersten okunu cut off; palindrome bilgin sayi mi?
f4fcc920-214d-52fc-8db0-f2088cfcae1c	MATEMATIK	345 2025 Start Matematik	293	$(\sqrt{6}-\sqrt{2})\cdot(\sqrt{6}+\sqrt{2})$ işleminin sonucu kaçtır?	4	5	6	7	8	A	fuzzy	false	pass		(sqrt(6)-sqrt(2))(sqrt(6)+sqrt(2)) = 6-2 = 4 = A
885e5e08-78e6-5ded-a51a-2c2cfaac41dc	MATEMATIK	Bilgi Sarmalı-2025-Ayt-Matematik Soru Bankası	80	$\sqrt{x-3} \cdot \sqrt[4]{x-2}=0$ denkleminin çözüm kümesi aşağıdakilerden hangisidir?	{1, 2}	{1, 4}	{2, 5}	{1, 16}	{3, 18}	E	exact	false	fail	wrong_answer	Domain x>=3, sadece x=3 sifirlar; cozum {3} only; E={3,18} yanlis
dd302950-5207-56ef-b746-f83d1dec0f6f	MATEMATIK	Bilgi Sarmalı-2025-Ayt-Matematik Soru Bankası	238	İlk $n$ terim toplamı $S_n = 2^{n-1}$ olan geometrik dizinin genel terimi aşağıdakilerden hangisidir?	$2^{n-1}$	$2^{n-1} - 1$	$2^n$	$2^n + 1$	$2^{n+1} - 1$	A	fuzzy	false	unclear	ocr	S_n=2^(n-1) ile a_n geometrik degil; OCR'da S_n=2^n-1 olabilir, o zaman A=2^(n-1) dogru
fb9e614e-76fb-5314-bb22-e191621e1606	MATEMATIK	2023-2024 ACİL- AYT Matematik Soru Bankası	230	$(\log_2 x, y, \log_2 9)$ sonlu geometrik dizisi veriliyor. Buna göre, $\frac{x \cdot z}{y}$ oranı kaçtır?	$\sqrt{2}$	$2$	$\sqrt{3}$	$3$	$2\sqrt{3}$	A	fuzzy	false	fail	incomplete	(x*z)/y orani sorulan ama z tanimsiz
3ec959c4-0147-53e4-8f93-fe041c88d146	MATEMATIK	2020-2021-Acil-Problemlerin ilacı	107	Tuz oranı %12 olan 50 gram tuzlu su ile tuz oranı %20 olan 50 gram tuzlu su karıştırılıyor. Buna göre, yeni karışımın ağırlıkça yüzde kaçı tuzdur?	14	15	16	17	18	C	fuzzy	false	pass		Tuz toplam=6+10=16g; 16/100=%16=C
8a252415-c7b3-51b1-a37d-ee980ece53dc	MATEMATIK	2024-ACİL TYT Matematik Geometri Kitap-1	65	$p, q$ ve $r$ asal sayılar olmak üzere, $p \cdot q - q \cdot (q-r) = 323$ olduğuna göre, $p+q+r$ toplamı kaçtır?	16	21	36	37	38	D	fuzzy	false	fail	wrong_answer	q(p-q+r)=323=17*19; q=17 -> p+q+r=53, q=19 -> 55; D=37 hicbir senaryoda cikmiyor
46e543ab-2d13-56ce-970b-f9fa42762ce7	MATEMATIK	ACİL-2025-Problemin İlacı	100	Yıllık enflasyonun %20 olduğu bir ülkede memur maaşlarına %14 zam yapılmıştır. Buna göre, memurun alım gücü yüzde kaç azalmıştır?	2	3	4	5	6	D	fuzzy	false	pass		Reel/nominal = 1.14/1.20 = 0.95; %5 azalis = D
5794b9d0-c10c-5842-a370-2ebc5c27b605	MATEMATIK	C1CELL-2025-Matematik Soru Bankası	177	$0 < x < \frac{\pi}{2}$ olmak üzere, $\frac{1 - \sin x}{\cos x} = 2$ eşitliği $x=a$ için sağlanıyor. Buna göre, $\tan a$ kaçtır?	$\frac{5}{12}$	$\frac{3}{4}$	$\frac{4}{3}$	$\frac{15}{8}$	$\frac{12}{5}$	B	fuzzy	false	fail	wrong_answer	(0,pi/2) cozumsuz; sin a=-3/5 cikar (4. bolge); B=3/4 sign/domain yanlis
2e4b671c-e6bb-56f5-b337-eadc1db4b4a6	MATEMATIK	Orijinal-2025-Ayt-Polinom parabol	129	$i^2=-1$ ve $a<0<b$ olmak üzere, I. $z=\sqrt{b}-\sqrt{i^2}a$ ifadesi bir gerçek sayıdır. II. $z=\sqrt{a}-\sqrt{b}-ib$ ifadesi bir gerçek sayıdır. III. $z=\sqrt{-a}-\sqrt{-b}-i$ ifadesinin gerçek ve sa	Yalnız I	Yalnız II	Yalnız III	I ve III	I, II ve III	D	fuzzy	false	unclear	ocr	'gercek ve sa...' cut off; III ifade hesap zor
11049fe5-0af4-5075-b150-1786c9562509	MATEMATIK	345 2025 Tyt Matematik Soru Bankası	146	"Bir ülkede her yıl $3,6 \cdot 10^7$ adet ağaç fidanı dikilmektedir. Bu fidanların $0,2 \cdot 10^{-10}$ adedine herhangi bir bedel ödenmez iken geri kalanının herbirisi için 9 TL ödeme yapılmaktadır.
B"	$600^4$	$900^2$	$900^4$	$600^3$	$900^3$	E	fuzzy	false	unclear	ocr	B... cut off; 3.24*10^8 hesap ama option uymuyor
3d069c33-f540-581a-948a-641fe1ead793	GEOMETRI	CAP-2022-2023-TYT AYT-Geometri Soru Bankası	93	ABC üçgeninde $|AB| + |AC| = 16$ cm olarak veriliyor. Buna göre, Alan(ABC) en çok kaç $cm^2$ dir?	16	24	30	32	64	D	fallback	false	pass		Max alan: A=90 + AM-GM (8,8); area=32=D
c7aa977d-150e-5c1a-a365-5ac16df213a4	MATEMATIK	Bilgi Sarmalı-2025-Tyt-Matematik Soru Bankası	47	AB iki basamaklı bir doğal sayı olmak üzere, $\text{AB} = A \cdot B$ şeklinde tanımlanmaktadır. $(10-11)+(12-13)+...+(xy)=450$ olduğuna göre, $xy$ iki basamaklı sayısı aşağıdakilerden hangisi olabilir	45	47	50	51	53	C	fuzzy	false	unclear	incomplete	AB=A*B notation muglak; (10-11)+(12-13)+...+(xy)=450 belirsiz
681ac45c-7d8e-55c2-8799-5ebd74e3395a	MATEMATIK	345 2025 Ayt Matematik Soru Bankası	244	$f(x) = 3x^2 + 6x - 1$ olduğuna göre, $\lim_{x \to 1} \frac{f(x)-f(1)}{x-1}$ ifadesinin değeri kaçtır?	8	11	15	10	12	E	exact	false	pass		f'(1)=6+6=12=E (turevin tanim limit'i)
3296fda3-4057-5056-90fb-bffc7c6010be	MATEMATIK	345 2025 Tyt Matematik Soru Bankası	369	"A ve B birer küme olmak üzere
$A \not\subset B$
$s(A \cup B) = 25$
$s(A \cap B) = 7$
olduğuna göre, B'de olup A'da olmayan en fazla kaç eleman olabilir?"	18	20	15	17	19	D	fallback	false	pass		A subset B degil -> s(A)>=8; max s(B\A) = 32-8-7 = 17 = D
7c6391fa-6b65-5afe-8060-9bd822563f57	MATEMATIK	C1CELL-2024-TYT-Matematik Soru Bankası	333	$P(x)$ polinomunun $x^3-6x$ ile bölümünden elde edilen kalan $5x^2-x+4$'tür. Buna göre, $P(x)$ polinomunun $x^2-6$ ile bölümünden elde edilen bölüm polinomu aşağıdakilerden hangisidir?	$Q(x)-2$	$(x-6) \cdot Q(x)+4$	$x \cdot Q(x)+2$	$x \cdot Q(x)+5$	$(x-6) \cdot Q(x)+6$	D	exact	false	pass		x^3-6x = x(x^2-6); bolum = x*Q(x)+5 = D
ea011eae-45e3-508a-9d00-b1944369d854	MATEMATIK	345 2024 Tyt Matematik Soru Bankası	323	"Ömer, 12 saniyede 8 leblebi yiyebilirken, Osman 15 saniyede 9 leblebi yiyebilmektedir.
Bir kasede bulunan 152 leblebiyi birlikte bitiren bu iki kişiden Osman kaç adet leblebi yemiştir?"	70	72	74	76	78	B	fuzzy	false	pass		Hizlar 8/12 + 9/15 = 19/15; sure=120s; Osman 3/5*120 = 72 = B
8cd2888c-bab9-5faa-8ed5-ca593efd5911	MATEMATIK	Bilgi Sarmalı-2022-2023-Tyt-Matematik Soru Bankası	395	"$a, b, c$ asal sayılardır.
$1 < a < b < c < 21$
olimits





olduğuna göre, $a \cdot b \cdot c$ çarpımının alabileceği kaç farklı değer vardır?"	6	8	P(3,3)	P(8,3)	8!	B	fuzzy	false	unclear	wrong_answer	1<a<b<c<21 asal: 8 sayi -> C(8,3)=56 farkli urun; B=8 ve E=8! optionlari uymuyor
85e2c969-593e-5737-9987-036d9f457d99	MATEMATIK	345 2025 Ayt Matematik Soru Bankası	350	$f$, gerçel sayılar kümesinde türevlenebilir ve $e^x$ değişkeni olmayan bir fonksiyon olmak üzere $f'(x)=f(x)+x^2-x$ eşitliği sağlanmaktadır. $\int_{0}^{1} x \cdot f'(x) dx = \frac{7}{6}$ olduğuna gör	3	1	2	-1	-2	E	exact	false	fail	wrong_answer	ODE: f=-(x^2+x+1), f(1)=-3 (C=0 ile); integral=-7/6 (problemde +7/6 isaret hatasi); E=-2 yanlis
afbf2550-7616-51ba-afd8-5ed5bf9b0903	MATEMATIK	345 2024 Tyt Matematik Soru Bankası	215	İrem, bir GSM operatörünün hattını aylık $30$ TL ücretle bu hattan $2$ yıl ayrılmama taahhüdü ile kullanmaktadır. Taahhüdüne göre, ayrıldığı ayda itibaren sözleşme süresi olan $2$ yıl dolana kadar ger	20	19	17	21	18	B	exact	false	unclear	ocr	ger... cut off; telefon faturasi taahhut hesabi
25a06185-ab2f-5e71-b2af-9112d1719f1d	MATEMATIK	2023-2024 ACİL- AYT Matematik Soru Bankası	210	$\log 24 = k$, $\log 3 = m$ olduğuna göre, $\log 640$ ifadesinin $k$ ve $m$ türünden eşiti aşağıdakilerden hangisidir?	$1-2m$	$2+m$	$3+2m$	$1+3m$	$2-m$	D	exact	false	fail	wrong_answer	log 640 = 2k-2m+1; D=1+3m = log 270 (OCR 640<->270 olabilir)
13c9c9df-c238-548d-9d2c-2e2649205e88	MATEMATIK	Bilgi Sarmalı-2022-2023-Tyt-Matematik Soru Bankası	22	$ (g \circ f^{-1})(x) = 4x-1 $ $f(x) = 2x-3$ olduğuna göre, $g(3)$ kaçtır?	-3	-2	-1	0	1	E	exact	false	fail	wrong_answer	f^-1(x)=(x+3)/2; g(u)=8u-13; g(3)=11; E=1 yanlis
1e746bc5-6280-5313-8492-cdb905ea6f17	MATEMATIK	CAP-2023-2024-AYT-Matematik Soru Bankası	276	f ve g pozitif reel sayılarda türevlenebilir fonksiyonlar olmak üzere, $ f'(x^2) = g(x^2) $ ve $ g'(x) = 4x - 6 $ olduğuna göre, $ f'(x) $ fonksiyonu aşağıdakilerden hangisine eşittir?	$ 6x^2 + 9 $	$ 2x^3 + 3 $	$ 12x^4 + 18x $	$ 4x^3 + 6 $	$ 6x^2 + 9\sqrt{x} $	A	exact	false	fail	wrong_answer	g'(x)=4x-6 -> g(x)=2x^2-6x+C; f'(t)=g(t)=2x^2-6x+C; A=6x^2+9 yanlis
1e2d96f1-f7d9-5211-a255-45ea5574e284	GEOMETRI	Mikro Orijinal-2025-Ayt-Geometri Soru Bankası	412	Küp şeklindeki bir tahta parçası bir yüzeyine paralel biçimde kesilerek iki tahta parçası elde ediliyor. Elde edilen bu parçalardan büyük olanın yüzey alanı, küçük olanın yüzey alanının 2 katıdır. Bun	2	3	4	5	6	D	fallback	false	pass		Yuzey alan 2x: d=a/6, (a-d)/d = 5 = D
d1ed1e86-126c-5b83-ba9c-87de73c1dcd6	MATEMATIK	Bilgi Sarmalı-2025-Tyt-Matematik Soru Bankası	169	$\sqrt[3]{1^{a-1}} = \sqrt[3]{27^{a-1}}$ olduğuna göre, $a$ kaçtır?	11	13	15	17	19	A	fuzzy	false	fail	wrong_answer	1 = 3^(a-1) -> a-1=0 -> a=1; A=11 yanlis
12c9b206-ef6b-5e16-9a26-dd2e38e655af	MATEMATIK	Mikro Orijinal-2024-Ayt-Matematik Soru Bankası	135	Bir dar açı olmak üzere, $4\cos\alpha = 3\sin\alpha$ eşitliği veriliyor. Buna göre, $\sin\alpha$ değeri kaçtır?	$\frac{1}{2}$	$\frac{3}{5}$	$\frac{4}{5}$	$\frac{7}{8}$	$\frac{5}{12}$	C	exact	false	pass		tan a = 4/3 -> 3-4-5 ucgen -> sin a = 4/5 = C
e55c126c-a685-5656-a88e-4e434eaff0a2	MATEMATIK	C1CELL-2025-Matematik Soru Bankası	78	$x^2 - 5\sqrt{x} - 24 = 0$ denkleminin gerçek kökü aşağıdakilerden hangisidir?	1	4	9	16	25	D	fuzzy	false	fail	wrong_answer	u^2-5u-24=0 -> u=8, x=64 (eger sqrt ile); D=16 plug-in -212 yanlis
578755e0-de7a-50cd-8922-9cfe33707cec	MATEMATIK	345 2025 Tyt Matematik Soru Bankası	7	$\text{O}$ ve $\text{□}$ sembollerinden her biri, $(+, -, x, \div)$ temel dört işlem sembollerinden birini temsil etmektedir. $(6 \text{ O } 3) \text{ □ } 8 = 10$ $(20 \text{ O } 10) \text{ □ } 5 = 6$	10	4	8	24	5	C	fuzzy	false	unclear	ocr	3. denklem cut off; sembol bulma puzzle
dd51f5e0-5a97-517e-a2eb-60076502393f	MATEMATIK	2019-2020-Acil Matematiğin ilacı-1	145	Bozuk bir elektronik terazi, üzerine konulan bir ağırlığı gerçek ağırlığından 30 gram'a kadar daha fazla veya 50 gram'a kadar daha eksik tartmaktadır. Bu terazinin 170 gram tarttığı bir eşyanın gerçek	$120 \le x \le 140$	$140 \le x \le 200$	$200 \le x \le 220$	$120 \le x \le 200$	$140 \le x \le 220$	D	fuzzy	false	fail	wrong_answer	real-50<=170<=real+30 -> 140<=x<=220 = E; D=120-200 yanlis
bffe0c31-1c1b-573b-bef9-05534da4e649	MATEMATIK	Bilgi Sarmalı-2023-2024-Tyt-Matematik Soru Bankası	278	"I. $p \Leftrightarrow p' \equiv 0$
II. $(p \Leftrightarrow q) \equiv (p \Rightarrow q) \land (q \Rightarrow p)$
III. $1 \Leftrightarrow 0 \equiv 0$
Yukarıdaki ifadelerden hangileri doğrudur?"	Yalnız I	Yalnız II	Yalnız III	I ve II	I, II ve III	E	fallback	false	pass		I (p iff not p = 0): TRUE, II (iff = and biconditional): TRUE, III (1 iff 0 = 0): TRUE; E hepsi
