id	subject_area	source_book	source_page	question_text	option_a	option_b	option_c	option_d	option_e	correct_answer	topic_quality	has_diagram
11049fe5-0af4-5075-b150-1786c9562509	MATEMATIK	345 2025 Tyt Matematik Soru Bankası	146	"Bir ülkede her yıl $3,6 \cdot 10^7$ adet ağaç fidanı dikilmektedir. Bu fidanların $0,2 \cdot 10^{-10}$ adedine herhangi bir bedel ödenmez iken geri kalanının herbirisi için 9 TL ödeme yapılmaktadır.
B"	$600^4$	$900^2$	$900^4$	$600^3$	$900^3$	E	fuzzy	false
3d069c33-f540-581a-948a-641fe1ead793	GEOMETRI	CAP-2022-2023-TYT AYT-Geometri Soru Bankası	93	ABC üçgeninde $|AB| + |AC| = 16$ cm olarak veriliyor. Buna göre, Alan(ABC) en çok kaç $cm^2$ dir?	16	24	30	32	64	D	fallback	false
c7aa977d-150e-5c1a-a365-5ac16df213a4	MATEMATIK	Bilgi Sarmalı-2025-Tyt-Matematik Soru Bankası	47	AB iki basamaklı bir doğal sayı olmak üzere, $\text{AB} = A \cdot B$ şeklinde tanımlanmaktadır. $(10-11)+(12-13)+...+(xy)=450$ olduğuna göre, $xy$ iki basamaklı sayısı aşağıdakilerden hangisi olabilir	45	47	50	51	53	C	fuzzy	false
681ac45c-7d8e-55c2-8799-5ebd74e3395a	MATEMATIK	345 2025 Ayt Matematik Soru Bankası	244	$f(x) = 3x^2 + 6x - 1$ olduğuna göre, $\lim_{x \to 1} \frac{f(x)-f(1)}{x-1}$ ifadesinin değeri kaçtır?	8	11	15	10	12	E	exact	false
3296fda3-4057-5056-90fb-bffc7c6010be	MATEMATIK	345 2025 Tyt Matematik Soru Bankası	369	"A ve B birer küme olmak üzere
$A \not\subset B$
$s(A \cup B) = 25$
$s(A \cap B) = 7$
olduğuna göre, B'de olup A'da olmayan en fazla kaç eleman olabilir?"	18	20	15	17	19	D	fallback	false
7c6391fa-6b65-5afe-8060-9bd822563f57	MATEMATIK	C1CELL-2024-TYT-Matematik Soru Bankası	333	$P(x)$ polinomunun $x^3-6x$ ile bölümünden elde edilen kalan $5x^2-x+4$'tür. Buna göre, $P(x)$ polinomunun $x^2-6$ ile bölümünden elde edilen bölüm polinomu aşağıdakilerden hangisidir?	$Q(x)-2$	$(x-6) \cdot Q(x)+4$	$x \cdot Q(x)+2$	$x \cdot Q(x)+5$	$(x-6) \cdot Q(x)+6$	D	exact	false
ea011eae-45e3-508a-9d00-b1944369d854	MATEMATIK	345 2024 Tyt Matematik Soru Bankası	323	"Ömer, 12 saniyede 8 leblebi yiyebilirken, Osman 15 saniyede 9 leblebi yiyebilmektedir.
Bir kasede bulunan 152 leblebiyi birlikte bitiren bu iki kişiden Osman kaç adet leblebi yemiştir?"	70	72	74	76	78	B	fuzzy	false
8cd2888c-bab9-5faa-8ed5-ca593efd5911	MATEMATIK	Bilgi Sarmalı-2022-2023-Tyt-Matematik Soru Bankası	395	"$a, b, c$ asal sayılardır.
$1 < a < b < c < 21$
olimits





olduğuna göre, $a \cdot b \cdot c$ çarpımının alabileceği kaç farklı değer vardır?"	6	8	P(3,3)	P(8,3)	8!	B	fuzzy	false
85e2c969-593e-5737-9987-036d9f457d99	MATEMATIK	345 2025 Ayt Matematik Soru Bankası	350	$f$, gerçel sayılar kümesinde türevlenebilir ve $e^x$ değişkeni olmayan bir fonksiyon olmak üzere $f'(x)=f(x)+x^2-x$ eşitliği sağlanmaktadır. $\int_{0}^{1} x \cdot f'(x) dx = \frac{7}{6}$ olduğuna gör	3	1	2	-1	-2	E	exact	false
afbf2550-7616-51ba-afd8-5ed5bf9b0903	MATEMATIK	345 2024 Tyt Matematik Soru Bankası	215	İrem, bir GSM operatörünün hattını aylık $30$ TL ücretle bu hattan $2$ yıl ayrılmama taahhüdü ile kullanmaktadır. Taahhüdüne göre, ayrıldığı ayda itibaren sözleşme süresi olan $2$ yıl dolana kadar ger	20	19	17	21	18	B	exact	false
25a06185-ab2f-5e71-b2af-9112d1719f1d	MATEMATIK	2023-2024 ACİL- AYT Matematik Soru Bankası	210	$\log 24 = k$, $\log 3 = m$ olduğuna göre, $\log 640$ ifadesinin $k$ ve $m$ türünden eşiti aşağıdakilerden hangisidir?	$1-2m$	$2+m$	$3+2m$	$1+3m$	$2-m$	D	exact	false
13c9c9df-c238-548d-9d2c-2e2649205e88	MATEMATIK	Bilgi Sarmalı-2022-2023-Tyt-Matematik Soru Bankası	22	$ (g \circ f^{-1})(x) = 4x-1 $ $f(x) = 2x-3$ olduğuna göre, $g(3)$ kaçtır?	-3	-2	-1	0	1	E	exact	false
1e746bc5-6280-5313-8492-cdb905ea6f17	MATEMATIK	CAP-2023-2024-AYT-Matematik Soru Bankası	276	f ve g pozitif reel sayılarda türevlenebilir fonksiyonlar olmak üzere, $ f'(x^2) = g(x^2) $ ve $ g'(x) = 4x - 6 $ olduğuna göre, $ f'(x) $ fonksiyonu aşağıdakilerden hangisine eşittir?	$ 6x^2 + 9 $	$ 2x^3 + 3 $	$ 12x^4 + 18x $	$ 4x^3 + 6 $	$ 6x^2 + 9\sqrt{x} $	A	exact	false
1e2d96f1-f7d9-5211-a255-45ea5574e284	GEOMETRI	Mikro Orijinal-2025-Ayt-Geometri Soru Bankası	412	Küp şeklindeki bir tahta parçası bir yüzeyine paralel biçimde kesilerek iki tahta parçası elde ediliyor. Elde edilen bu parçalardan büyük olanın yüzey alanı, küçük olanın yüzey alanının 2 katıdır. Bun	2	3	4	5	6	D	fallback	false
d1ed1e86-126c-5b83-ba9c-87de73c1dcd6	MATEMATIK	Bilgi Sarmalı-2025-Tyt-Matematik Soru Bankası	169	$\sqrt[3]{1^{a-1}} = \sqrt[3]{27^{a-1}}$ olduğuna göre, $a$ kaçtır?	11	13	15	17	19	A	fuzzy	false
12c9b206-ef6b-5e16-9a26-dd2e38e655af	MATEMATIK	Mikro Orijinal-2024-Ayt-Matematik Soru Bankası	135	Bir dar açı olmak üzere, $4\cos\alpha = 3\sin\alpha$ eşitliği veriliyor. Buna göre, $\sin\alpha$ değeri kaçtır?	$\frac{1}{2}$	$\frac{3}{5}$	$\frac{4}{5}$	$\frac{7}{8}$	$\frac{5}{12}$	C	exact	false
e55c126c-a685-5656-a88e-4e434eaff0a2	MATEMATIK	C1CELL-2025-Matematik Soru Bankası	78	$x^2 - 5\sqrt{x} - 24 = 0$ denkleminin gerçek kökü aşağıdakilerden hangisidir?	1	4	9	16	25	D	fuzzy	false
578755e0-de7a-50cd-8922-9cfe33707cec	MATEMATIK	345 2025 Tyt Matematik Soru Bankası	7	$\text{O}$ ve $\text{□}$ sembollerinden her biri, $(+, -, x, \div)$ temel dört işlem sembollerinden birini temsil etmektedir. $(6 \text{ O } 3) \text{ □ } 8 = 10$ $(20 \text{ O } 10) \text{ □ } 5 = 6$	10	4	8	24	5	C	fuzzy	false
dd51f5e0-5a97-517e-a2eb-60076502393f	MATEMATIK	2019-2020-Acil Matematiğin ilacı-1	145	Bozuk bir elektronik terazi, üzerine konulan bir ağırlığı gerçek ağırlığından 30 gram'a kadar daha fazla veya 50 gram'a kadar daha eksik tartmaktadır. Bu terazinin 170 gram tarttığı bir eşyanın gerçek	$120 \le x \le 140$	$140 \le x \le 200$	$200 \le x \le 220$	$120 \le x \le 200$	$140 \le x \le 220$	D	fuzzy	false
bffe0c31-1c1b-573b-bef9-05534da4e649	MATEMATIK	Bilgi Sarmalı-2023-2024-Tyt-Matematik Soru Bankası	278	"I. $p \Leftrightarrow p' \equiv 0$
II. $(p \Leftrightarrow q) \equiv (p \Rightarrow q) \land (q \Rightarrow p)$
III. $1 \Leftrightarrow 0 \equiv 0$
Yukarıdaki ifadelerden hangileri doğrudur?"	Yalnız I	Yalnız II	Yalnız III	I ve II	I, II ve III	E	fallback	false
