id	book	page	q_no	text_len	verdict	reason	text_end_80char
c23d074f-9b98-5c73-9772-ed0da9d650a4	Mikro Orijinal-2025-Ayt-Geometri Soru Bankası	295	8.	173	ok	valid_end_?	E çember üzerinde birer nokta olduğuna göre, $m(\widehat{BKC})=x$ kaç derecedir?
7b1c23d9-9ce0-5592-913f-347a318e1550	Mikro Orijinal-2025-Ayt-Geometri Soru Bankası	367	Örnek 2	281	ok	valid_end_.	circ$ döndürülüyor. Buna göre, son durumda D noktasının koordinatlarını bulunuz.
52ba6047-7172-58e1-ad1c-04ab68f415e3	Mikro Orijinal-Tyt Ayt-Geometri Soru Bankası 2	23	Örnek 1	100	ok	valid_end_?	|$, $m(\text{BAC})=30^\circ$. Verilenlere göre, $m(\text{ACD})=x$ kaç derecedir?
1b28a157-fcd6-50b5-914f-06ef417c21ff	Mikro Orijinal-Tyt Ayt-Geometri Soru Bankası 2	23	Örnek 2	138	ok	valid_end_?	|$, $m(\text{BAC})=20^\circ$. Verilenlere göre, $m(\text{BDE})=x$ kaç derecedir?
c132cec2-fb23-5f9d-9be8-e31451bc2e49	Mikro Orijinal-Tyt Ayt-Geometri Soru Bankası 2	23	Örnek 3	118	ok	valid_end_?	|AB|=|AC|$, $|AE|=|DE|$. Verilenlere göre, $m(\text{AED})=\alpha$ kaç derecedir?
e66026c8-b070-5cfd-827b-16db59958122	Mikro Orijinal-Tyt Ayt-Geometri Soru Bankası 2	23	Örnek 4	143	ok	valid_end_?	$m(\text{BAD})=5^\circ$. Verilenlere göre, $m(\text{ADC})=\alpha$ kaç derecedir?
51e7e4cc-9419-518e-a682-75d95985fe97	Mikro Orijinal-Tyt Ayt-Geometri Soru Bankası 2	23	Örnek 5	142	ok	valid_end_?	|$, $m(\text{BAC})=40^\circ$. Verilenlere göre, $m(\text{ADE})=x$ kaç derecedir?
d48204a2-7cc5-5745-aaa0-7b076a9d09bb	Mikro Orijinal-Tyt Ayt-Geometri Soru Bankası 2	23	Örnek 6	107	ok	valid_end_?	0^\circ$, $|AB|=|AC|=|CD|$. Verilenlere göre, BAD açısının ölçüsü kaç derecedir?
7b1cbe40-aed1-52b2-8453-8531f6033278	Mikro Orijinal-Tyt Ayt-Geometri Soru Bankası 2	36	Örnek 1	216	ok	valid_end_?	arıda AB yolu ile kuzey yönünü karşılaştıran gösterimlerden hangileri yanlıştır?
0095b28e-bd0c-536c-ab88-b17087c3e2fa	2019-2020-ACİL-AYT-Matematik Soru Bankası	292	11	218	ok	valid_end_?	$\lim_{x \to -1} (f \circ g)(x) - \lim_{x \to -2} f(x)$ işleminin sonucu kaçtır?
3aef032a-0f5a-5e4d-b79a-92253f786971	Mikro Orijinal-Tyt Ayt-Geometri Soru Bankası 2	42	7.	195	ok	valid_end_?	idehat{BCC'}) = 20^ ext{o}$ olduğuna göre, $m(\widehat{ACB}) = x$ kaç derecedir?
38fe363b-46a9-569b-9602-b96fe34d1b07	2019-2020-ACİL-AYT-Matematik Soru Bankası	299	12	187	ok	valid_end_?	na göre,  $\lim_{h \to 0^+} \frac{\pi r^2 h}{h^2+x^2}$  limitinin değeri kaçtır?
83c0108c-a217-5372-adbb-3fe934f0df2f	Mikro Orijinal-Tyt Ayt-Geometri Soru Bankası 2	122	6	189	ok	valid_end_?	$ cm'dir. G, ABC üçgeninin ağırlık merkezi olduğuna göre, $|BC| = x$ kaç cm'dir?
a9b8e9b6-368e-5492-81a4-aa8c0f470ff5	Mikro Orijinal-Tyt Ayt-Geometri Soru Bankası 2	122	7	128	ok	valid_end_?	$ cm'dir. G, ABC üçgeninin ağırlık merkezi olduğuna göre, $|GK| = x$ kaç cm'dir?
7764fe4f-53df-5e63-9e54-f4c505aeb423	Mikro Orijinal-Tyt Ayt-Geometri Soru Bankası 2	130	Örnek 1	73	ok	valid_end_?	Verilenlere göre, ABC üçgeni aşağıdaki üçgenlerden hangilerine benzerdir?
b2881ab0-909e-5e0b-a058-6df20b4b7806	Mikro Orijinal-Tyt Ayt-Geometri Soru Bankası 2	130	Örnek 2	205	ok	valid_end_?	emlerin hangisi tek başına yapılırsa, ABC üçgenine benzer bir üçgen elde edilir?
303fb397-dcf4-55dc-9062-c8db493d82d4	Mikro Orijinal-Tyt Ayt-Geometri Soru Bankası 2	130	Örnek 3	252	ok	valid_end_?	C})$, III. $m(\widehat{ADB})=m(\widehat{BDC})$ ifadelerinden hangileri doğrudur?
d2ea2009-25dd-525e-94cf-5949374ef918	Mikro Orijinal-Tyt Ayt-Geometri Soru Bankası 2	139	7	121	ok	valid_end_?	arallel CD$ $|AK| = 4$ KB $|EF| = 8$ cm Verilenlere göre, $|CD| = x$ kaç cm dir?
5a35d066-5c9c-5324-a631-d114be673b21	Mikro Orijinal-Tyt Ayt-Geometri Soru Bankası 2	143	7	294	ok	valid_end_?	 olurken $A$ noktası $A'$ noktasına gelmiştir. Buna göre, $|BC| = x$ kaç cm'dir?
5ad11697-cca5-5768-b104-cd3e61585180	2019-2020-ACİL-AYT-Matematik Soru Bankası	322	18	137	ok	valid_end_?	$ teğeti çizilmiştir. $g^{-1}(x) = \frac{6-x}{2}$ olduğuna göre, $f'(2)$ kaçtır?
8011fe4a-2149-5eb5-80b3-edcf09e698fc	Mikro Orijinal-Tyt Ayt-Geometri Soru Bankası 2	160	7	149	ok	valid_end_?	(\widehat{ABC}) = 60^ ext{o}$ Verilenlere göre, Alan(ABC) kaç $\text{cm}^2$ dir?
d04dee2b-f6dc-53a0-a802-02baa50f6f0a	2020-2021-Acil-Tyt Ayt Geometrinin ilacı Soru Bankası	20	9	132	ok	valid_end_?	widehat{BDC}) = 50^ ext{o}$ $m(\widehat{DCA}) = x$ Buna göre, $x$ kaç derecedir?
52d9bc59-20a4-5f5e-a45b-6d253961095b	2019-2020-ACİL-AYT-Matematik Soru Bankası	396	9	118	ok	valid_end_?	erilmiştir.Buna göre,$\\int_{-1}^{1} x \\cdot f(x)dx$integralinin sonucu kaçtır?
ff9ca202-45c4-5f1f-bc06-e9a3629d2ef2	Mikro Orijinal-Tyt Ayt-Geometri Soru Bankası 2	216	6	78	ok	valid_end_?	Verilenlere göre, ABCD paralelkenar alanının $a$ ve $b$ cinsinden eşiti nedir?
3d7b57d5-b7a1-581b-9ca9-2e389b3a82f5	2020-2021-Acil-Tyt Ayt Geometrinin ilacı Soru Bankası	16	10	155	ok	valid_end_?	widehat{ABE}) = 25^ ext{o}$ $m(\widehat{BED}) = x$ Buna göre, $x$ kaç derecedir?
7760986d-79a9-514a-aad2-61ee584b424d	2019-2020-ACİL-AYT-Matematik Soru Bankası	428	12	294	ok	valid_end_?	$ III. $\int_{a}^{b} f(x) dx \ge 0$ ifadelerinden hangileri kesinlikle doğrudur?
fd36dfb0-6127-5429-ab8f-dbcfa616b8df	2020-2021-Acil-Tyt Ayt Geometrinin ilacı Soru Bankası	174	10	101	ok	valid_end_?	, HBC üçgen, $|FG| = 4$ birim, $|GA| = 2$ birim. Buna göre, $|HA|$ kaç birimdir?
39658416-7259-5af4-a780-6f379451b354	Mikro Orijinal-Tyt Ayt-Geometri Soru Bankası 2	279	Örnek 2	126	ok	valid_end_?	ileri aşağıda bir kenar uzunluğu verilen karenin içerisine tam olarak sığabilir?
497a0655-7348-52fd-8a96-08b2cde578fc	Mikro Orijinal-Tyt Ayt-Geometri Soru Bankası 2	279	Örnek 3	163	ok	valid_end_?	 kenar uzunluğu $4$ cm olduğuna göre, eşkenar üçgenin kenar uzunluğu kaç cm'dir?
b7742ccb-aa55-5de5-ab33-39fef90a5038	Mikro Orijinal-Tyt Ayt-Geometri Soru Bankası 2	279	Örnek 5	154	ok	valid_end_?	ngileri aşağıda yarıçapı $5$ cm verilen çemberin içerisine tam olarak sığabilir?
a2e980f0-c6b9-55f2-95bb-afa0ef6fca06	Mikro Orijinal-Tyt Ayt-Geometri Soru Bankası 2	279	Örnek 6	182	ok	valid_end_?	e ve eşkenar üçgeni kapsayan en küçük çemberlerin yarıçapları oranı ne olabilir?
ffcf9976-30c1-5b21-98f8-18a8106269aa	2020-2021-Acil-Tyt Ayt Geometrinin ilacı Soru Bankası	56	11	115	ok	valid_end_?	B$ $|BE| = |EC|$ $|DF| = |FA|$ $|BD| = 12$ birim Buna göre, $|AC|$ kaç birimdir?
d51a223a-1e21-52c4-bee2-e0305623a19b	Mikro Orijinal-Tyt Ayt-Geometri Soru Bankası 2	298	7	129	ok	valid_end_?	widehat{BCD})=120^ ext{o}$ Verilenlere göre, $m(\widehat{AEB})=x$ kaç derecedir?
5d7949e2-ecc1-5dbc-982f-3fc4753145d5	2020-2021-Acil-Tyt Ayt Geometrinin ilacı Soru Bankası	104	7	259	ok	valid_end_?	$ Buna göre, İlker'in kağıt üzerinde bantladığı bölgenin alanı kaç birimkaredir?
6aa1de71-4c55-57ef-9108-70509bbcdc84	2020-2021-Acil-Tyt Ayt Geometrinin ilacı Soru Bankası	114	11	152	ok	valid_end_?	|BA| = 1$ birim $m(\widehat{ABC}) = 135^ ext{o}$ Buna göre, $|AD|$ kaç birimdir?
0816721c-04ba-5068-b7c4-7724482e8516	2019-2020-ACİL-TYT-Soru Bankası	30	17	286	ok	valid_end_?	ların 3 tanesinden küçüktür. $d=12$ olduğuna göre, $a+b+c$ çarpımı en az kaçtır?
d8c3d021-29be-5e24-adde-133173081534	Mikro Orijinal-Tyt Ayt-Geometri Soru Bankası 2	325	Örnek 2	111	ok	valid_end_?	i verilen $AOB$ üçgeninde $A(1, 3)$ olduğuna göre, $B$ noktasının apsisi kaçtır?
8f478ad8-bca3-5dc1-aba6-2ce9b256b0ed	Mikro Orijinal-Tyt Ayt-Geometri Soru Bankası 2	325	Örnek 3	130	ok	valid_end_?	BC$ eşkenar dörtgeninde $B(16, 12)$ olduğuna göre, $A$ noktasının apsisi kaçtır?
9555f5cc-238b-5954-966a-4997bc4eb1e5	Mikro Orijinal-Tyt Ayt-Geometri Soru Bankası 2	325	Örnek 5	120	ok	valid_end_?	irilen $ABCD$ karesinde $B(7, 3)$ olduğuna göre, $D$ noktasının ordinatı kaçtır?
a8d9528e-3e76-56c1-bc84-5d523a2481e3	Mikro Orijinal-Tyt Ayt-Geometri Soru Bankası 2	325	Örnek 6	125	ok	valid_end_?	n $ABCD$ karesinde $A(1, -2)$ olduğuna göre, $C$ noktasının koordinatları nedir?
0275caf6-2718-5ab0-be3d-8cebc5687faa	Mikro Orijinal-Tyt Ayt-Geometri Soru Bankası 2	329	Örnek 1	192	ok	valid_end_?	. $|AB| = 2|BC|$ ve $A(6, 1)$ olduğuna göre, $C$ noktasının koordinatları nedir?
5192241b-ec2e-52de-b926-f39584a9aafa	Mikro Orijinal-Tyt Ayt-Geometri Soru Bankası 2	329	Örnek 3	160	ok	valid_end_?	an $|BC| = 2|AB|$ oranında bölündüğüne göre, $B$ noktasının koordinatları nedir?
ba0a5eb4-25c4-57b5-97ad-9ce386785fba	2019-2020-ACİL-TYT-Soru Bankası	35	14	411	ok	valid_end_?	r. Buna göre, pembe renkli hücrelere yazılacak sayılardan kaç tanesi pozitiftir?
d835d9e9-4999-59ae-8e2c-a6e70dc375e6	Mikro Orijinal-Tyt Ayt-Geometri Soru Bankası 2	367	Örnek 1	266	ok	valid_end_?	zitif yönde $90^\circ$ döndürüldüğünde B noktası kaç birim yer değiştirmiş olur?
bdbd1686-1386-5f87-969e-9908040e159a	Mikro-2024-Tyt Ayt-Geometri Soru Bankası	24	9	86	ok	valid_end_?	 CD EF // BC m(AEF) = (2x-10)° m(BCD) = (x+20)° Buna göre, m(ABC) kaç derecedir?
c9fc1311-f77b-52a7-b3da-4de8904ea447	Mikro Orijinal-2025-Ayt-Geometri Soru Bankası	108	7	116	ok	valid_end_?	= 18$ cm. G, ABC üçgeninin ağırlık merkezi olduğuna göre, $|GK| = x$ kaç cm'dir?
d03f1b1a-22fa-5536-8f9e-b3fddc5ff273	Mikro-2024-Tyt Ayt-Geometri Soru Bankası	26	9.	142	ok	valid_end_?	(\widehat{BEC}) = 70^\circ$ olduğuna göre, $m(\widehat{BCE}) = x$ kaç derecedir?
87f77b03-a521-57c8-90e6-ade491ee423a	Mikro-2024-Tyt Ayt-Geometri Soru Bankası	26	10.	164	ok	valid_end_?	2x$, $m(\widehat{ABC}) = x$ olduğuna göre, $m(\widehat{DCB}) = y$ kaç derecedir?
0a024750-a0fd-51dd-af2e-68a196f5c976	Mikro-2024-Tyt Ayt-Geometri Soru Bankası	44	9	144	ok	valid_end_?	, $m(\widehat{BED})=70^\circ$ olduğuna göre, $m(\widehat{BDE})=x$ kaç derecedir?
b995937d-1962-5aa2-b091-8e7e57a98b88	Mikro-2024-Tyt Ayt-Geometri Soru Bankası	44	13	144	ok	valid_end_?	irc$, $m(\widehat{ACB})=50^\circ$ Buna göre, $m(\widehat{DAC})=x$ kaç derecedir?
36e474ba-c8ea-5575-86ce-68c3de41b908	Mikro-2024-Tyt Ayt-Geometri Soru Bankası	46	9.	134	ok	valid_end_?	idehat{CDF}) = 40^\circ$, $m(\widehat{BAC}) = 5x$. Buna göre, $x$ kaç derecedir?
acf26115-acb4-54f0-947e-378e45c23d47	Mikro-2024-Tyt Ayt-Geometri Soru Bankası	61	10	153	ok	valid_end_?	= 6$ cm $|EC| = 6$ cm $|ED| = 3$ cm olduğuna göre, $|BD| = x$ kaç santimetredir?
f83bcb2d-11d2-56ba-8d0a-88644563db3b	Mikro-2024-Tyt Ayt-Geometri Soru Bankası	63	9	116	ok	valid_end_?	| = 24$ cm $|AB| = 7$ cm olduğuna göre, ADC üçgeninin çevresi kaç santimetredir?
e16c2941-a1d7-53a9-b213-094cd96286ab	Mikro-2024-Tyt Ayt-Geometri Soru Bankası	81	9	181	ok	valid_end_?	|ED| = 8$ cm, $|DC| = 5\sqrt{2}$ cm olduğuna göre, $|AB| = x$ kaç santimetredir?
87d4cbd6-1b05-5297-a64f-f770a1141c0b	Mikro-2024-Tyt Ayt-Geometri Soru Bankası	83	12	153	ok	valid_end_?	dehat{ADC}) = 30^{\circ}$ $|AD| = 8$ cm Buna göre, $|AB| = x$ kaç santimetredir?
895b1e22-f159-5fcb-bbec-9041cd1540fd	Mikro-2024-Tyt Ayt-Geometri Soru Bankası	85	2.	216	ok	valid_end_.	 cm}$. Yukarıdaki verilere göre, $|IFE| = x$'in kaç santimetre olduğunu bulunuz.
694a0f56-7b3b-5af2-ba7a-b5e63278a388	Mikro-2024-Tyt Ayt-Geometri Soru Bankası	95	10	152	ok	valid_end_?	4$ cm, $|DF| = 1$ cm, $|HC| = 3$ cm olduğuna göre, $|BF| = x$ kaç santimetredir?
e38555f8-7964-5c5c-b268-6b2d7bc84de0	Mikro-2024-Tyt Ayt-Geometri Soru Bankası	95	9	157	ok	valid_end_?	3$ cm, $|BD| = 8$ cm, $|DC| = 6$ cm olduğuna göre, $|AE| = x$ kaç santimetredir?
fd54ffb2-4102-5d97-bff0-0c60b23a55e1	Mikro-2024-Tyt Ayt-Geometri Soru Bankası	97	9	133	ok	valid_end_?	$|BD|=|DC|$, $|AE|=3$ cm, $|AC|=4$ cm olduğuna göre, $|EB|=x$ kaç santimetredir?
6b67c843-0905-527d-bc03-ac1947a34bc7	Mikro-2024-Tyt Ayt-Geometri Soru Bankası	119	9	114	ok	valid_end_?	irc$, $|AB|=4$ cm, $|BC|=7$ cm olduğuna göre, Alan$(ABC)$ kaç santimetrekaredir?
c71085e5-f6d9-5a9c-a333-19e4c7f85945	Mikro-2024-Tyt Ayt-Geometri Soru Bankası	123	7	123	ok	valid_end_?	t{2}$ cm, $|DC| = 4$ cm, $|BD| = 2$ cm. Buna göre, $|AC| = x$ kaç santimetredir?
2e61664a-cd56-521f-b231-8a126f4dd95d	Mikro-2024-Tyt Ayt-Geometri Soru Bankası	135	9	119	ok	valid_end_?	|CD|=13$ cm, $|AE|=8$ cm, $|EC|=4$ cm olduğuna göre, $|AD|=x$ kaç santimetredir?
6dad3df8-5db8-59b2-a2a2-d113f4d27ce5	Mikro-2024-Tyt Ayt-Geometri Soru Bankası	147	9	127	ok	valid_end_?	$|AB|=|AC|$, $|BD|=5$ cm, $|DC|=3$ cm olduğuna göre, $|AG|=x$ kaç santimetredir?
0e308028-36d8-5ba6-97af-d8a7a934d438	Mikro-2024-Tyt Ayt-Geometri Soru Bankası	147	13	146	ok	valid_end_?	) $=24 \text{ cm}^2$ olduğuna göre, Alan($\triangle BGC$) kaç santimetrekaredir?
f5efced8-4cbf-573a-abd7-2cbbfceba238	Mikro-2024-Tyt Ayt-Geometri Soru Bankası	149	9.	126	ok	valid_end_?	tay, $|AB|=10$ cm, $|AC|=4$ cm olduğuna göre, Alan$(AGC)$ kaç santimetrekaredir?
c6fd240f-8c52-5999-a435-5ace5a8d12a2	Mikro-2024-Tyt Ayt-Geometri Soru Bankası	149	15.	131	ok	valid_end_?	B]=[AC]$, $|AB|=8$ cm, $|DC|=6$ cm olduğuna göre, Alan$(AKD)$ kaç santimetredir?
f1d3e82e-51c4-50c1-bbf7-62f244e497df	Mikro-2024-Tyt Ayt-Geometri Soru Bankası	153	9	140	ok	valid_end_?	 5$ cm Alan$(ADC) = 12$ $cm^2$ olduğuna göre, Alan$(ABE)$ kaç santimetrekaredir?
05cec5ec-1a60-55f1-b853-1abefc495ccb	Mikro-2024-Tyt Ayt-Geometri Soru Bankası	154	3.	175	ok	valid_end_.	text{DEC}$ olduğuna göre, $m(\widehat{ACE}) = x$'in kaç derece olduğunu bulunuz.
40c536aa-21c5-5f92-83ef-57bd720b3810	Mikro-2024-Tyt Ayt-Geometri Soru Bankası	168	9	143	ok	valid_end_?	 cm, $|EC| = 12$ cm, $|FD| = 10$ cm olduğuna göre, $|AF| = x$ kaç santimetredir?
5fda7264-d808-52ac-a679-9a618344e4c4	Mikro-2024-Tyt Ayt-Geometri Soru Bankası	170	9.	163	ok	valid_end_?	m $|ED| = 4$ cm $|AE| = x$ cm $|DB| = y$ cm olduğuna göre, $x+y$ toplamı kaçtır?
eb2be7f3-dca3-59de-ac0c-ef94210539b1	Mikro-2024-Tyt Ayt-Geometri Soru Bankası	172	9	133	cutoff	alphanumeric_end	r? I. $[AB] \parallel [EF] \parallel [DC]$ II. $|AB| = 9$ cm III. $|DC| = 18$ cm
dd5c0137-a729-59a8-ae6d-318e0dbe4fe3	Mikro-2024-Tyt Ayt-Geometri Soru Bankası	189	7	147	ok	valid_end_?	$ cm $|CD| = 8$ cm $|DE| = 4$ cm olduğuna göre, Alan(ABC) kaç santimetrekaredir?
a3877d1b-6b70-5a7c-a368-d286f60059b6	Mikro-2024-Tyt Ayt-Geometri Soru Bankası	210	16	167	ok	valid_end_?	, $|EC| = 1 \text{ cm}$. Yukarıdaki verilere göre, $|DE| = x$ kaç santimetredir?
42918295-4765-5c05-bd4c-5e992417bcf5	Mikro-2024-Tyt Ayt-Geometri Soru Bankası	227	9	118	ok	valid_end_?	6$ cm, Alan$(ABCE)=64$ cm$^2$ olduğuna göre, Alan$(ABCD)$ kaç santimetrekaredir?
cd746791-5cb8-587b-8339-e6c69cab49d4	Mikro-2024-Tyt Ayt-Geometri Soru Bankası	241	9	125	ok	valid_end_?	 cm, $|DE|=13$ cm, $|AE|=9$ cm olduğuna göre, $|BD|$ köşegeni kaç santimetredir?
c92943a8-2f7c-5536-b0e2-71a9c92e2f61	Mikro-2024-Tyt Ayt-Geometri Soru Bankası	243	12.	130	ok	valid_end_?	 [AB]$ $|DF| = 12$ cm $|CE| = 5$ cm olduğuna göre, $|BF| = x$ kaç santimetredir?
b23fbb9d-fe4d-5454-b638-3fcd39f7b899	Mikro-2024-Tyt Ayt-Geometri Soru Bankası	243	9.	128	ok	valid_end_?	BK| = |KC|$ $|AD| = 5$ cm $|EL| = 1$ cm olduğuna göre, $|AC|$ kaç santimetredir?
f7270ff6-f633-5b12-8539-4d31b35f5f81	Mikro-2024-Tyt Ayt-Geometri Soru Bankası	257	9	109	ok	valid_end_?	widehat{AEF}) = 70^{\circ}$ olduğuna göre, $m(\widehat{DFE}) = x$ kaç derecedir?
60c52392-7dc2-5f15-b21d-9300b4073a56	Mikro-2024-Tyt Ayt-Geometri Soru Bankası	257	11	113	ok	valid_end_?	|AC|$, $|EF| = 3$ cm, $|AF| = 5$ cm olduğuna göre, $|AB| = x$ kaç santimetredir?
b86d376a-c641-5716-814d-8f3dfdb26b8c	Mikro Orijinal-Tyt Ayt-Geometri Soru Bankası 2	38	11	230	ok	valid_end_?	arak verilmiştir. Buna göre, a ile d doğruları arasındaki x açısı kaç derecedir?
ca688f43-356b-5d4e-9cd7-010c371f7b58	Mikro-2024-Tyt Ayt-Geometri Soru Bankası	259	9	106	ok	valid_end_?	(\widehat{AED}) = 75^\circ$ olduğuna göre, $m(\widehat{DCE}) = x$ kaç derecedir?
acb9da7d-539b-56cf-84c2-06aee01e0cc0	Mikro-2024-Tyt Ayt-Geometri Soru Bankası	265	9	121	ok	valid_end_?	F| = (x+4)$ cm $|FC| = (2x-1)$ cm olduğuna göre, Çevre(ABCDE) kaç santimetredir?
a92b3183-b912-511d-bf81-a65e1cf399e9	Mikro-2024-Tyt Ayt-Geometri Soru Bankası	286	9.	164	ok	valid_end_?	m(\widehat{AB}) = 90^\circ$ olduğuna göre, $m(\widehat{CDE}) = x$ kaç derecedir?
e2e95abf-fb4f-529f-a3b2-73122233683c	Mikro-2024-Tyt Ayt-Geometri Soru Bankası	286	12.	111	ok	valid_end_?	(\widehat{ABD}) = 35^\circ$ olduğuna göre, $m(\widehat{BDC}) = x$ kaç derecedir?
1acce595-622f-54e3-b47d-c25ba871fd6c	Mikro Orijinal-Tyt Ayt-Geometri Soru Bankası 2	42	8.	150	ok	valid_end_?	ehat{DBC}) = 10^ ext{o}$ Verilenlere göre, $m(\widehat{ACD}) = x$ kaç derecedir?
8d5b5631-c97a-5a00-8da4-0074452f0965	Mikro-2024-Tyt Ayt-Geometri Soru Bankası	288	16	109	ok	valid_end_?	$m(\widehat{DBC}) = 60^ ext{o}$ olduğuna göre, $m(\widehat{DAB})$ kaç derecedir?
40800336-0928-52f2-90a4-1a99c5850fc2	Mikro-2024-Tyt Ayt-Geometri Soru Bankası	299	9	140	ok	valid_end_?	\perp [EC]$, $|OB|=5$ cm, $|BC|=3$ cm olduğuna göre, $|ED|=x$ kaç santimetredir?
7c261908-f0d2-5d27-b0a9-481f45f14257	Mikro-2024-Tyt Ayt-Geometri Soru Bankası	301	9	134	ok	valid_end_?	 [AB]$ $|ED| = 8$ cm, $|BC| = 3$ cm olduğuna göre, $|AC| = x$ kaç santimetredir?
d035a7d8-c81e-5c22-8258-9dad0ae22f04	Mikro Orijinal-Tyt Ayt-Geometri Soru Bankası 2	52	Örnek 2	139	ok	valid_end_?	ext{ACB}) = 45^ ext{o}$, $|AB| = 6$ cm. Verilenlere göre, $|AC| = x$ kaç cm'dir?
68a3a438-6edb-5c15-9737-8d241e90e7a4	Mikro Orijinal-Tyt Ayt-Geometri Soru Bankası 2	77	8	298	ok	valid_end_?	2 \text{ cm}$, $|BA'|=3 \text{ cm}$ olduğuna göre, $|AB|=x$ kaç $\text{cm}$'dir?
978f4e0b-edd7-5b12-88b1-e51285237db5	Mikro Orijinal-Tyt Ayt-Geometri Soru Bankası 2	77	9	240	ok	valid_end_?	BD|=1 \text{ cm}$, $|DE|=2 \text{ cm}$. Buna göre, $|EC|=x$ kaç $\text{cm}$'dir?
a9ab998f-f939-55b8-92c7-a6498a648419	2020-2021-Acil-Problemlerin ilacı	59	9	112	ok	valid_end_.	aralarındaki yaş farkının sabit olduğu 8 kardeşin yaşları rastgele yazılacaktır.
d415dd1d-1ef3-5469-b722-d9dbc0d8e68b	Mikro-2024-Tyt Ayt-Geometri Soru Bankası	392	11	192	ok	valid_end_.	ölgenin hacmi kaç santimetreküptür? $|AB| = [BC]$, $|AC| = 3$ cm, $|BC| = 8$ cm.
74610717-27c1-5a0b-affa-975a1afd1183	2019-2020-Acil Matematiğin ilacı-1	262	5	229	ok	valid_end_?	ntılı olduğu bilinmektedir. Buna göre, $Y$ marka uç paketinin fiyatı kaç TL'dir?
73858c3e-0036-5d91-9420-fb0fd17d8cf7	Mikro Orijinal-Tyt Ayt-Geometri Soru Bankası 2	112	9	274	ok	valid_end_?	atlama izleri kırmızı ve mavi renkle gösterildiğine göre, $|BD| = x$ kaç cm'dir?
474c3a2b-290e-5259-bdaf-87f6f0336540	Mikro Orijinal-Tyt Ayt-Geometri Soru Bankası 2	122	8	142	ok	valid_end_?	$ cm, $|BC| = 8$ cm, $|BK| = 9$ cm'dir. Verilenlere göre, $|KD| = x$ kaç cm'dir?
4bafad54-2e88-5b97-a69c-b8a021a4d2ca	Mikro Orijinal-Tyt Ayt-Geometri Soru Bankası 2	139	9	117	ok	valid_end_?	rallel CD$ $|AB| = 4$ cm $|CD| = 12$ cm Verilenlere göre, $|FE| = x$ kaç cm dir?
07d4229e-1b04-5893-9f07-bc008458b342	2020-2021-Acil-Tyt Ayt Geometrinin ilacı Soru Bankası	20	8	127	ok	valid_end_?	widehat{ADE}) = 37^ ext{o}$ $m(\widehat{ABC}) = x$ Buna göre, $x$ kaç derecedir?
