id	confidence	reasons	length_ratio	correct_answer	qtext_full	ocr_full	image_url
a9cc07eb-9538-5e5e-ac07-5dd548fe6f5c	high	italic_i_segment|italic_i_brackets	1.217	D	ABCD dikdörtgen, $EF \perp DC$, $|IEFI| = 2$ birim, $|IDAI| = 6$ birim, $|IAB| = 10$ birim. Buna göre, $A(AEB)$ kaç birimkaredir?	ABCD dikdörtgen EF ⊥ DC |EF| = 2 birim |DA| = 6 birim |AB| = 10 birim  Buna göre, A(AEB) kaç birimkaredir?	/static/crops/2023-2024-ACİL-TYT-AYT-Geometrinin_İlacı/2023-2024-ACİL-TYT-AYT-Geometrinin_İlacı_p0138_q02.png
0f4573dc-3ef7-5316-8cf4-0a26f90cc128	high	italic_i_brackets	1.278	B	ABC dik üçgen, $AB \perp AC$, $ED \perp BC$, $CD = IDBI$, $|AE| = 3$ birim, $|EB| = 5$ birim. Buna göre, $A(\text{AED})$ kaç birimkaredir?	ABC dik üçgen AB ⊥ AC ED ⊥ BC |CD| = |DB| |AE| = 3 birim |EB| = 5 birim  Buna göre, A(AED) kaç birimkaredir?	/static/crops/2023-2024-ACİL-TYT-AYT-Geometrinin_İlacı/2023-2024-ACİL-TYT-AYT-Geometrinin_İlacı_p0100_q01.png
faada050-d1c3-58d7-88ee-475dedc80983	high	broken_text_o	1.256	A	ABD ve BCE birer dik üçgen $BA \perp AD$ $EC \perp CB$ $m(\widehat{ADB}) = 60^ ext{o}$ $|AB| = 5\sqrt{3}$ birim $|EC| = 3$ birim ABC açısının açıortayı [BD] doğru parçası olduğuna göre, $|ED|$ kaç birimdir?	ABD ve BCE birer dik üçgen BA ⊥ AD EC ⊥ CB m(ADB) = 60° |AB| = 5√3 birim |EC| = 3 birim  ABC açısının açıortayı [BD] doğru parçası olduğuna göre, |ED| kaç birimdir?	/static/crops/2020-2021-Acil-Tyt_Ayt_Geometrinin_ilacı_Soru_Bankası/2020-2021-Acil-Tyt_Ayt_Geometrinin_ilacı_Soru_Bankası_p0048_q06.png
e341cd59-607a-5ad9-aefe-2511e683abd0	high	italic_i_segment	1.286	A	ABC üçgen $DE \parallel BC$ $|DF| = 2\sqrt{5}$ birim $|KI| = 3\sqrt{5}$ birim $|FE| = 6$ birim Buna göre, $|KC|$ kaç birimdir?	ABC üçgen DE // BC |DF| = 2√5 birim |BK| = 3√5 birim |FE| = 6 birim  Buna göre, |KC| kaç birimdir?	/static/crops/2023-2024-ACİL-TYT-AYT-Geometrinin_İlacı/2023-2024-ACİL-TYT-AYT-Geometrinin_İlacı_p0084_q02.png
4ea08e29-e88a-527e-9c77-ffb9acab9a40	high	italic_i_segment	1.073	C	ABC dik üçgen, $AB \perp BC$, $DF \parallel BC$, $AD = IDI$, $|AB| = 6$ birim, $|BE| = 1$ birim, $|FCI| = 5$ birim. Buna göre, $|DE|$ kaç birimdir?	ABC dik üçgen $AB \perp BC$ $DF \perp BC$ $|AD| = |DC|$ $|AB| = 6$ birim $|BE| = 1$ birim $|FC| = 5$ birim  Buna göre, |DE| kaç birimdir?	/static/crops/2020-2021-Acil-Tyt_Ayt_Geometrinin_ilacı_Soru_Bankası/2020-2021-Acil-Tyt_Ayt_Geometrinin_ilacı_Soru_Bankası_p0084_q01.png
513bf8f0-7235-5123-9ab0-997f7ec3c142	high	italic_i_segment	1.058	C	ABCD paralelkenar, $|AF|=|FI|$, $|BG|=|GC|$, $|AE|=3|ED|$ ve $|DH|=3|HC|$ dir. Yukarıdaki verilere göre, $\frac{\text{Alan(EFGH)}}{\text{Alan(ABCD)}}$ oranı kaçtır?	8. ABCD paralelkenar, |AF| = |FB|, |BG| = |GC|, |AE| = 3|ED| ve |DH| = 3|HC| dir.  Yukarıda verilenlere göre, $\frac{Alan(EFGH)}{Alan(ABCD)}$ oranı kaçtır?	/static/crops/CAP-2022-2023-TYT_AYT-Geometri_Soru_Bankası/CAP-2022-2023-TYT_AYT-Geometri_Soru_Bankası_p0173_q04.png
c31fa3f0-9959-5fbb-90c3-4da09255a786	high	broken_text_o	1.066	C	ABC üçgen $DE \perp BC$ $|BD| = 2 \cdot |BE|$ $m(\widehat{BAC}) = 80^ ext{o}$ $m(\widehat{ACB}) = x$ Buna göre, $x$ kaç derecedir?	ABC üçgen $DE \perp BC$ $|BD| = 2 \cdot |BE|$ $m(\widehat{BAC}) = 80°$ $m(\widehat{ACB}) = x$  Buna göre, x kaç derecedir?	/static/crops/2020-2021-Acil-Tyt_Ayt_Geometrinin_ilacı_Soru_Bankası/2020-2021-Acil-Tyt_Ayt_Geometrinin_ilacı_Soru_Bankası_p0048_q04.png
d51a223a-1e21-52c4-bee2-e0305623a19b	high	broken_text_o	1.265	C	[EA, çembere A noktasında teğet] $|AB|=|AE|$ $m(\widehat{BCD})=120^ ext{o}$ Verilenlere göre, $m(\widehat{AEB})=x$ kaç derecedir?	[EA, çembere A noktasında teğet |AB| = |AE| m(BCD) = 120°  Verilenlere göre, m(AEB) = x kaç derecedir?	/static/crops/Mikro_Orijinal-Tyt_Ayt-Geometri_Soru_Bankası_2/Mikro_Orijinal-Tyt_Ayt-Geometri_Soru_Bankası_2_p0298_q01.png
4672b0a0-554f-5ed9-b95e-ab1b07f2adf9	high	broken_text_o	1.153	D	BAC ikizkenar üçgen, $|AB|=|AC|$, $m(\widehat{ADB})=60^ ext{o}$, $|DA|=12$ cm, $|DC|=6$ cm, $|BD|=x$. Yukarıdaki verilere göre, $x$ kaç cm'dir?	BAC ikizkenar üçgen, |AB| = |AC|, m(ADB) = 60°, |DA| = 12 cm, |DC| = 6 cm, |BD| = x  Yukarıdaki verilere göre, x kaç cm'dir?	/static/crops/Bilgi_Sarmalı-2023-2024-Tyt_Ayt-Geometri_Soru_Bankası/Bilgi_Sarmalı-2023-2024-Tyt_Ayt-Geometri_Soru_Bankası_p0058_q01.png
a9384c6d-d861-51b8-939c-dbad7fbf1ab0	high	broken_text_o	1.328	B	ABC ikizkenar üçgen, $|AB| = |BC|$, $|AD| = |EC|$, $|AE| = |FC|$, $m(\widehat{DEF}) = 70^ ext{o}$ Yukarıdaki verilere göre, $m(\widehat{ABC}) = \alpha$ kaç derecedir?	ABC ikizkenar üçgen, |AB| = |BC|, |AD| = |EC| |AE| = |FC|, m(DÊF) = 70°  Yukarıdaki verilere göre, m(A͡BC) = α kaç derecedir?	/static/crops/Bilgi_Sarmalı-2025-Tyt_Ayt-Geometri_Soru_Bankası/Bilgi_Sarmalı-2025-Tyt_Ayt-Geometri_Soru_Bankası_p0102_q03.png
f1278f7f-bf39-58cd-bd55-52e4de778678	high	broken_text_o	1.521	E	ABCD deltoid $|AB| = |BC|$ $m(\widehat{ADB}) = 55^ ext{o}$ $m(\widehat{DBC}) = 30^ ext{o}$ olduğuna göre, $m(\widehat{BCD}) = x$ kaç derecedir?	ABCD deltoid |AB| = |BC| m(A͡DB) = 55° m(D͡BC) = 30° olduğuna göre, m(B͡CD) = x kaç derecedir?	/static/crops/Mikro-2024-Tyt_Ayt-Geometri_Soru_Bankası/Mikro-2024-Tyt_Ayt-Geometri_Soru_Bankası_p0243_q01.png
b89e909a-2730-543e-8da8-c171fb065a3a	high	broken_text_o	1.448	D	$AB \perp BE$ $AC \perp CD$ $CD \perp DE$ $m(\widehat{CAD}) = 15^ ext{o}$ $|CE| = 4$ cm $|AB| = 9$ cm olduğuna göre, $|AD| = x$ kaç cm'dir?	AB ⊥ BE AC ⊥ CD CD ⊥ DE m(CAD) = 15° |CE| = 4 cm |AB| = 9 cm olduğuna göre, |AD| = x kaç cm'dir?	/static/crops/345_Tyt_Ayt_Geometri_Soru_Bankası/345_Tyt_Ayt_Geometri_Soru_Bankası_p0127_q04.png
62c7e5c4-a416-5c07-bb66-510af827de87	high	italic_i_segment|italic_i_brackets	1.303	D	ABCD yamuk, $DC \parallel KM \parallel AB$, $|IDCI| = 8$ birim, $|KML| = 12$ birim. Buna göre, $|IAB|$ kaç birimdir?	ABCD yamuk, DC // KM // AB |DC| = 8 birim, |KM| = 12 birim  Buna göre, |AB| kaç birimdir?	/static/crops/2020-2021-Acil-Tyt_Ayt_Geometrinin_ilacı_Soru_Bankası/2020-2021-Acil-Tyt_Ayt_Geometrinin_ilacı_Soru_Bankası_p0162_q02.png
ec84ee55-55c4-558d-86fd-61959b04a6c5	high	italic_i_segment	1.163	C	ABCD eşkenar dörtgen, $[DF] \perp [BC]$, $[KE] \perp [DC]$, $|ELI|=2$ cm, $|IF|=7$ cm, $|IKLJ|=9$ cm olduğuna göre, $|DL|=x$ kaç santimetredir?	ABCD eşkenar dörtgen [DF] ⊥ [BC] [KE] ⊥ [DC] |EL| = 2 cm |FL| = 7 cm |KL| = 9 cm olduğuna göre, |DL| = x kaç santimetredir?	/static/crops/Mikro-2024-Tyt_Ayt-Geometri_Soru_Bankası/Mikro-2024-Tyt_Ayt-Geometri_Soru_Bankası_p0241_q04.png
99ff1a35-7124-52ce-aa8d-3c07ff490e02	high	broken_text_o	1.154	D	ABC ikizkenar üçgen, [AE] açıortay, $|AB|=|AC|$, $|BE|=|DC|$, $m(\widehat{EBC})=42^ ext{o}$ olduğuna göre, $m(\widehat{BED})=x$ kaç derecedir?	ABC ikizkenar üçgen [AE] açıortay |AB| = |AC| |BE| = |DC| m(EBC) = 42°  Yukarıdaki verilere göre, m(BÊD) = x kaç derecedir?	/static/crops/Orijinal-2024-Geometri_Soru_Bankası/Orijinal-2024-Geometri_Soru_Bankası_p0019_q04.png
ae1091b0-2a7b-5098-9413-fa9b684638f6	high	italic_i_segment|italic_i_brackets	1.042	C	ABCDE düzgün beşgen, EC köşegen, $|EFI| = 6$ birim, $|IEGI = |GA|$. Buna göre, $|FG|$ kaç birimdir?	ABCDE düzgün beşgen EC köşegen |EF| = |FC| = 6 birim |EG| = |GA|  Buna göre, |FG| kaç birimdir?	/static/crops/2020-2021-Acil-Tyt_Ayt_Geometrinin_ilacı_Soru_Bankası/2020-2021-Acil-Tyt_Ayt_Geometrinin_ilacı_Soru_Bankası_p0172_q02.png
03d10203-5714-5612-b2a4-347ac53f2de5	high	italic_i_segment	1.142	B	O merkezli çember ADO üçgen $AO \perp OD$ $OC = AB$ $|OCI| = 12$ birim $|ODI| = 15$ birim Buna göre, $|DB|$ kaç birimdir?	O merkezli çember ADO üçgen AO ⊥ OD OC ⊥ AB |OC| = 12 birim |OD| = 15 birim  Buna göre, |DB| kaç birimdir?	/static/crops/2020-2021-Acil-Tyt_Ayt_Geometrinin_ilacı_Soru_Bankası/2020-2021-Acil-Tyt_Ayt_Geometrinin_ilacı_Soru_Bankası_p0196_q01.png
8fbd91c8-b0bd-53f2-aaf2-3b085690ef8f	high	broken_text_o	1.051	C	ABD ve BCE birer dik üçgen $BA \perp AD$ $BD \perp EC$ $m(\widehat{ADB}) = 60^ ext{o}$ $|AB| = 5\sqrt{3}$ birim $|EC| = 3$ birim ABC açısının açıortayı $|BD|$ doğru parçası olduğuna göre, $|ED|$ kaç birimdir?	ABD ve BCE birer dik üçgen $BA \perp AD$ $EC \perp CB$ $m(\widehat{ADB}) = 60°$ $|AB| = 5\sqrt{3}$ birim $|EC| = 3$ birim  ABC açısının açıortayı [BD] doğru parçası olduğuna göre, |ED| kaç birimdir?	/static/crops/2023-2024-ACİL-TYT-AYT-Geometrinin_İlacı/2023-2024-ACİL-TYT-AYT-Geometrinin_İlacı_p0048_q06.png
bdf36019-97ca-55f3-8d7e-c36646129ec0	high	broken_text_o	1.305	D	ABCD yamuk $[DC] \parallel [AB]$ $|DE| = |EC| = 1$ br $|AF| = |FB| = 4$ br $m(\widehat{DAB}) + m(\widehat{CBA}) = 90^ ext{o}$ Yukarıda verilenlere göre, $|EF|$ kaç br'dir?	8. ABCD yamuk [DC] // [AB] |DE| = |EC| = 1 br |AF| = |FB| = 4 br m(DAB) + m(CBA) = 90°  Yukarıda verilenlere göre, |EF| kaç br'dir?	/static/crops/C1CELL-2024-TYT-AYT-Geometri_Soru_Bankası/C1CELL-2024-TYT-AYT-Geometri_Soru_Bankası_p0215_q03.png
1c63d970-e8cc-57c3-8877-d1d3c9ed4315	high	broken_text_o	1.267	C	G; ABC üçgeninin ağırlık merkezi $AB \perp AC$ $m(\widehat{ACG}) = 30^ ext{o}$ $|AB| = 9$ cm Verilenlere göre, $|GC| = x$ kaç cm dir?	G: ABC üçgeninin ağırlık merkezi AB ⊥ AC m(ACG) = 30° |AB| = 9 cm  Verilenlere göre, |GC| = x kaç cm dir?	/static/crops/Mikro_Orijinal-Tyt_Ayt-Geometri_Soru_Bankası_2/Mikro_Orijinal-Tyt_Ayt-Geometri_Soru_Bankası_2_p0120_q03.png
