id	v1_sim	v2_sim	delta	v2_class	correct_answer	qtext_full	ocr_full	image_url
f72b8d33-0950-5a5c-b81c-520700768244	0.348	0.500	+0.152	v2_substantive	C	ABC üçgen, $[AD] \cap [CF] = \{E\}$, $S_1$ ve $S_2$ bulundukları bölgelerin alan değerleri, $|AF|=6$ cm, $|DC|=4$ cm, $|BD|=2$ cm, $|FB|=x$ cm. $S_1=S_2$ olduğuna göre, $x$ kaçtır?	ABC üçgen [AD] ∩ [CF] = {E} S₁ ve S₂ bulundukları bölgelerin alan değerleri |AF| = 6 cm |DC| = 4 cm |BD| = 2 cm |FB| = x cm  S₁ = S₂ olduğuna göre, x kaçtır?	/static/crops/345_2025_Tyt_Ayt_Geometri_Soru_Bankası_1/345_2025_Tyt_Ayt_Geometri_Soru_Bankası_1_p0207_q03.png
55a65aa2-22bc-5594-98d6-d299fc708229	0.381	0.722	+0.341	v2_moderate	C	ABCD yamuk, $[AB] // [DC]$, $[BE]$ açıortay, $|AD| = |BC|$, $m(\widehat{ADC}) = 110^\circ$. Yukarıdaki verilere göre, $m(\widehat{AEB}) = x$ kaç derecedir?	ABCD yamuk [AB] // [DC] [BE] açıortay |AD| = |BC| m(ADC) = 110°  olduğuna göre, m(AEB) = x kaç derecedir?	/static/crops/Mikro-2024-Tyt_Ayt-Geometri_Soru_Bankası/Mikro-2024-Tyt_Ayt-Geometri_Soru_Bankası_p0210_q06.png
bae71618-47ba-5d32-9063-61f68a42137f	0.462	0.438	-0.025	v2_severe	E	ABCD dikdörtgen $|EC|=10$ cm $|EB|=17$ cm $|ED|^2+|EA|^2=261$ cm$^2$ olduğuna göre, Çevre(ABCD) kaç cm'dir?	ABCD dikdörtgen |EC| = 10 cm |EB| = 17 cm |ED|² + |EA|² = 261 cm²  olduğuna göre, Çevre(ABCD) kaç cm'dir?	/static/crops/345_Tyt_Ayt_Geometri_Soru_Bankası/345_Tyt_Ayt_Geometri_Soru_Bankası_p0363_q03.png
6044d43c-7064-574c-b2ae-c7925385bb51	0.500	0.600	+0.100	v2_substantive	A	ABCD kare, $[AH] \perp [BE]$, $|DE|=1$ cm ve $|EC|=3$ cm dir. Yukarıdaki verilere göre, $|AH|=x$ kaç cm dir?	8. ABCD kare, [AH] ⊥ [BE], |DE| = 1 cm ve |EC| = 3 cm dir.  Yukarıdaki verilere göre, |AH| = x kaç cm dir?	/static/crops/CAP-2022-2023-TYT_AYT-Geometri_Soru_Bankası/CAP-2022-2023-TYT_AYT-Geometri_Soru_Bankası_p0183_q05.png
c76ddb8a-5cca-5fa3-a93b-f60fbd294fe3	0.400	0.600	+0.200	v2_substantive	B	ABCD dikdörtgen, [CE] açıortay, $|EB|=3$ cm, $|AC|=10$ cm olduğuna göre, Alan(DAE) kaç $\text{cm}^2$ dir?	ABCD dikdörtgen [CE] açıortay |EB| = 3 cm |AC| = 10 cm  olduğuna göre, Alan(DAE) kaç cm² dir?	/static/crops/345_Tyt_Ayt_Geometri_Soru_Bankası/345_Tyt_Ayt_Geometri_Soru_Bankası_p0377_q02.png
7833ac8c-828f-52c6-a103-0708b32a6b02	0.208	0.435	+0.227	v2_severe	D	ABC ve DEF birer üçgen. $|AC|=|FE|$, $|BF|=6$ birim, $|FC|=4$ birim, $m(\widehat{ABD})=m(\widehat{BDE})$, $m(\widehat{ACB})=m(\widehat{DFE})$. Buna göre, $|BD|$ kaç birimdir?	8. ABC ve DEF birer üçgen  |AC| = |FE|  |BF| = 6 birim  |FC| = 4 birim  m(ÂBD) = m(B̂DE)  m(ÂCB) = m(D̂FE)  Buna göre, |BD| kaç birimdir?	/static/crops/2020-2021-Acil-Tyt_Ayt_Geometrinin_ilacı_Soru_Bankası/2020-2021-Acil-Tyt_Ayt_Geometrinin_ilacı_Soru_Bankası_p0024_q04.png
028392e2-66be-56fa-b1d7-94eaa4904af9	0.471	0.750	+0.279	v2_moderate	D	ABC dik üçgeninde, $[AB]\perp[BC]$ ve $|AC|=2|BD|=|DC|$ olarak veriliyor. Buna göre, $\frac{m(\widehat{ACB})}{m(\widehat{BAD})}$ oranı kaçtır?	ABC dik üçgeninde. [AB] ⊥ [BC] ve |AC| = 2|BD| + |DC| olarak veriliyor. Buna göre, $\frac{m(\widehat{ACB})}{m(\widehat{BAD})}$ oranı kaçtır?	/static/crops/C1CELL-2024-TYT-AYT-Geometri_Soru_Bankası/C1CELL-2024-TYT-AYT-Geometri_Soru_Bankası_p0038_q05.png
4609f93c-0b7b-52dd-9bd2-fd0efffc983a	0.235	0.533	+0.298	v2_substantive	C	ABC üçgen, $AB \perp CB$, $m(\widehat{ACB})=m(\widehat{DAB})$, $|CD|=5$ birim, $|DB|=4$ birim. Buna göre, $|AB|$ kaç birimdir?	ABC üçgen AB ⊥ CB m(AĈB) = m(DÂB) |CD| = 5 birim |DB| = 4 birim  Buna göre, |AB| kaç birimdir?	/static/crops/2020-2021-Acil-Tyt_Ayt_Geometrinin_ilacı_Soru_Bankası/2020-2021-Acil-Tyt_Ayt_Geometrinin_ilacı_Soru_Bankası_p0082_q02.png
bc5f5bcf-9db1-5922-ba44-8fce993fb3a9	0.526	0.765	+0.239	v2_moderate	D	ABCD paralelkenar, $[AC]$ köşegen, $[DF]$, $|EF| = |FC| = 6 \text{ cm}$, $Alan(ADF) = Alan(BEC)$ olduğuna göre, $|DE| = x$ kaç $\text{cm}^2$ dir?	ABCD paralelkenar [AC] köşegen [AD] ⊥ [DF] |EF| = |FC| = 6 cm  Alan(ADF) = Alan(BEC)  olduğuna göre, |DE| = x kaç cm'dir?	/static/crops/345_2025_Tyt_Ayt_Geometri_Soru_Bankası_1/345_2025_Tyt_Ayt_Geometri_Soru_Bankası_1_p0304_q06.png
965c63b1-2b1b-5feb-910b-5c30833340ec	0.348	0.524	+0.176	v2_substantive	D	ABC üçgeninde $[AB] \perp [BC]$, $[AH] \perp [BD]$, $|AD|=|DC|$, $|BH|=4$ cm, $|DH|=6$ cm dir. Yukarıdaki verilere göre, $A(\overset{\triangle}{ABC})$ kaç $\text{cm}^2$ dir?	ABC üçgeninde [AB] ⊥ [BC], [AH] ⊥ [BD], |AD| = |DC| |BH| = 4 cm, |DH| = 6 cm dir.  Yukarıdaki verilere göre, A(ABC) kaç cm² dir?	/static/crops/Full_Matematik-2019-2020-Geometri_Soru_Bankası/Full_Matematik-2019-2020-Geometri_Soru_Bankası_p0099_q01.png
44837e40-7a18-58ac-89a8-3af77e0d622a	0.471	0.765	+0.294	v2_moderate	B	ABC üçgen, $[DE] \perp [AC]$, $|AB| = |DC|$, $|AE| = |EC|$, $m(\widehat{ABC}) = 78^\circ$. olduğuna göre, $m(\widehat{EDC})$ kaç derecedir?	ABC üçgen [DE] ⊥ [AC] |AB| = |DC| |AE| = |CE| m(ABC) = 78°  olduğuna göre, m(EDC) = x kaç derecedir?	/static/crops/Mikro-2024-Tyt_Ayt-Geometri_Soru_Bankası/Mikro-2024-Tyt_Ayt-Geometri_Soru_Bankası_p0046_q08.png
5cbce013-7986-537d-b51d-e319f9de5540	0.533	0.588	+0.055	v2_substantive	A	ABC üçgen $DE \parallel BC$ $[AF]$ açıortay $|AE|=6$ birim $|EC|=8$ birim $|DF|=3$ birim Buna göre, $|BC|$ kaç birimdir?	ABC üçgen DE // BC [AF] açıortay |AE| = |EC| = 8 birim |BD| = 6 birim |DF| = 3 birim  Buna göre, |BC| kaç birimdir?	/static/crops/2023-2024-ACİL-TYT-AYT-Geometrinin_İlacı/2023-2024-ACİL-TYT-AYT-Geometrinin_İlacı_p0068_q02.png
94d43be3-e6e8-523e-9292-48b1eea9684e	0.235	0.500	+0.265	v2_substantive	D	$ABC$ üçgen, $[CD]$ açıortay, $m(\widehat{FAC})=32^{\circ}$, $|AD|=|AE|$ olduğuna göre, $m(\widehat{ABC})=\alpha$ kaç derecedir?	ABC üçgen [CD] açıortay m(FÂC) = 32° |AD| = |AE|  olduğuna göre, m(A͡BC) = α kaç derecedir?	/static/crops/345_Tyt_Ayt_Geometri_Soru_Bankası/345_Tyt_Ayt_Geometri_Soru_Bankası_p0029_q04.png
