idx	bucket	id	book	page	q_no	image_path	ok	jaccard	substr_pct	db_text	ocr_text	raw_response
11	direct	64100c8e-bac2-5b64-ba76-e2bb1d1c08dd	Full Matematik-2019-2020-Geometri Soru Bankası	73	9	C:\Users\husey\kiro2\d-dataset\output\crops\Full_Matematik-2019-2020-Geometri_Soru_Bankası\Full_Matematik-2019-2020-Geometri_Soru_Bankası_p0073_q05.png	True	0.367	0.909	ABC eşkenar üçgen, $[DE] \perp [AC]$, $|CE| = 5$ cm, $|AD| = 4$ cm. Yukarıdaki verilere göre, $|BC| = x$ kaç cm dir?	ABC eşkenar üçgen, [DE] ⊥ [AC], |CE| = 5 cm, |AD| = 4 cm Yukarıdaki verilere göre, |BC| = x kaç cm dir?	```json {   "soru_metni": "ABC eşkenar üçgen, [DE] ⊥ [AC], |CE| = 5 cm, |AD| = 4 cm\nYukarıdaki verilere göre, |BC| = x kaç cm dir?",   "secenekler": {     "A": "6",     "B": "7",     "C": "15/2",     "D": "8",     "E": "9"   },   "has_diagram": true,   "diagram_description": "ABC eşkenar üçgeni. D 
12	direct	6c8e41a4-0ff7-59b2-914d-9fb122377df0	Bilgi Sarmalı-2025-Tyt Ayt-Geometri Soru Bankası	104	12	C:\Users\husey\kiro2\d-dataset\output\crops\Bilgi_Sarmalı-2025-Tyt_Ayt-Geometri_Soru_Bankası\Bilgi_Sarmalı-2025-Tyt_Ayt-Geometri_Soru_Bankası_p0104_q05.png	True	0.304	0.923	ABC ve CDE üçgen, B, C ve E doğrusal noktalar, $|AB| = 8$ cm, $|BC| = 6$ cm, $|AC| = 10$ cm, $|DE| = 3$ cm, $|CE| = 4$ c	ABC ve CDE üçgen  B, C ve E doğrusal noktalar,  |AB| = 8 cm, |BC| = 6 cm, |AC| = 10 cm  |DE| = 3 cm, |CE| = 4 cm, |CD| =	```json {   "soru_metni": "ABC ve CDE üçgen\n\nB, C ve E doğrusal noktalar,\n\n|AB| = 8 cm, |BC| = 6 cm, |AC| = 10 cm\n\n|DE| = 3 cm, |CE| = 4 cm, |CD| = 5 cm\n\nBuna göre, m(AĈD) = α kaç derecedir?",   "secenekler": {     "A": "75",     "B": "80",     "C": "85",     "D": "90",     "E": "95"   },   
13	direct	ed8a1533-96fb-504b-8d8b-4e60a10653d4	C1CELL-2024-TYT-AYT-Geometri Soru Bankası	230	8	C:\Users\husey\kiro2\d-dataset\output\crops\C1CELL-2024-TYT-AYT-Geometri_Soru_Bankası\C1CELL-2024-TYT-AYT-Geometri_Soru_Bankası_p0230_q04.png	True	0.219	0.733	ABCD paralelkenar, $[AE]$, $DAB$'nın açıortayı, $[CF]$, $DCB$'nın açıortayı, $|DB| = 12$ br, $|DF| = 7$ br. Yukarıda ver	ABCD paralelkenar [AE], DÂB'nın açıortayı [CF], DCB'nın açıortayı |DB| = 12 br |DF| = 7 br  Yukarıda verilenlere göre, |	```json {   "soru_metni": "ABCD paralelkenar\n[AE], DÂB'nın açıortayı\n[CF], DCB'nın açıortayı\n|DB| = 12 br\n|DF| = 7 br\n\nYukarıda verilenlere göre, |EF| kaç br'dir?",   "secenekler": {     "A": "1",     "B": "$\\frac{3}{2}$",     "C": "2",     "D": "$\\frac{5}{2}$",     "E": "3"   },   "has_diag
14	direct	cc35e9a1-cbc0-5d13-b929-51a773f48b7a	2023-2024-ACİL-TYT-AYT-Geometrinin İlacı	20	10	C:\Users\husey\kiro2\d-dataset\output\crops\2023-2024-ACİL-TYT-AYT-Geometrinin_İlacı\2023-2024-ACİL-TYT-AYT-Geometrinin_İlacı_p0020_q01.png	True	0.185	0.667	ABC üçgen, $ED \parallel BC$, $|BD|=|BC|$, $m(\widehat{BAC})=50^\circ$, $m(\widehat{ABD})=30^\circ$, $m(\widehat{EDB})=x	ABC üçgen ED // BC |BD| = |BC| m($\widehat{BAC}$) = 50° m($\widehat{ABD}$) = 30° m($\widehat{EDB}$) = x  Buna göre, x ka	```json {   "soru_metni": "ABC üçgen\nED // BC\n|BD| = |BC|\nm($\\widehat{BAC}$) = 50°\nm($\\widehat{ABD}$) = 30°\nm($\\widehat{EDB}$) = x\n\nBuna göre, x kaç derecedir?",   "secenekler": {     "A": "30",     "B": "25",     "C": "20",     "D": "15",     "E": "10"   },   "has_diagram": true,   "diagr
15	direct	f641aee4-0226-553a-bc73-2c8685e01291	CAP-2022-2023-TYT AYT-Geometri Soru Bankası	193	10	C:\Users\husey\kiro2\d-dataset\output\crops\CAP-2022-2023-TYT_AYT-Geometri_Soru_Bankası\CAP-2022-2023-TYT_AYT-Geometri_Soru_Bankası_p0193_q05.png	True	0.367	0.917	ABCD dikdörtgen, $[AE] \perp [BD]$, $|BH| = 2$ cm ve $|HE| = 1$ cm dir. Yukarıdaki verilere göre, $|HD| = x$ kaç cm dir?	10. ABCD dikdörtgen, [AE] ⊥ [BD], |BH| = 2 cm ve |HE| = 1 cm dir.  Yukarıdaki verilere göre, |HD| = x kaç cm dir?	```json {   "soru_metni": "10. ABCD dikdörtgen, [AE] ⊥ [BD], |BH| = 2 cm ve |HE| = 1 cm dir.\n\nYukarıdaki verilere göre, |HD| = x kaç cm dir?",   "secenekler": {     "A": "12",     "B": "8",     "C": "7",     "D": "6",     "E": "4"   },   "has_diagram": true,   "diagram_description": "ABCD dikdörtg
16	page	d8b8fdaf-fdc5-583a-a628-27ed633d7a08	Bilgi Sarmalı-2022-2023-Tyt-Matematik Soru Bankası	95	15	C:\Users\husey\kiro2\veriseti\zkitap\screenshots\Bilgi Sarmalı-2022-2023-Tyt-Matematik Soru Bankası\sayfa_0095.png	True	0.538	1.000	Aşağıda $y=f(x)$ parabolü ile $y=g(x)$ doğrusunun grafikleri verilmiştir. $(gof)(x) < 12$ eşitsizliğini sağlayan $x$ tam	Aşağıda y = f(x) parabolü ile y = g(x) doğrusunun grafikleri verilmiştir.  (gof)(x) < 12  eşitsizliğini sağlayan x tam s	```json {   "soru_no": 15,   "soru_metni": "Aşağıda y = f(x) parabolü ile y = g(x) doğrusunun grafikleri verilmiştir.\n\n(gof)(x) < 12\n\neşitsizliğini sağlayan x tam sayı değerlerinin toplamı kaçtır?",   "secenekler": {     "A": "2",     "B": "4",     "C": "6",     "D": "8",     "E": "10"   },   "h
17	page	ffe0efa8-6ca5-5ddf-8e79-b3c8c78e6a78	2022-2023-ACİL-Analitik Geometri	125	11	C:\Users\husey\kiro2\veriseti\zkitap\screenshots\2022-2023-ACİL-Analitik Geometri\sayfa_0125.png	False	0	0	Şekilde verilen sözcüğün d doğrusuna göre yansıması aşağıdakilerden hangisidir?	ERROR:Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 2.	
18	page	549e6fbc-67af-50a5-aafa-0ae849fb3355	2022-2023-ACİL-Analitik Geometri	131	9	C:\Users\husey\kiro2\veriseti\zkitap\screenshots\2022-2023-ACİL-Analitik Geometri\sayfa_0131.png	True	0.800	0.957	Analitik düzlemde; • ABCD dik yamuğu orijin etrafında saat yönünde $90^ ext{o}$ döndürülüyor. • KLM üçgeninin x eksenine	Analitik düzlemde.  * ABCD dik yamuğu orijin etrafında saat yönünde 30° döndürülüyor. * KLM üçgeninin x eksenine göre si	```json {   "soru_no": 9,   "soru_metni": "Analitik düzlemde.\n\n* ABCD dik yamuğu orijin etrafında saat yönünde 30° döndürülüyor.\n* KLM üçgeninin x eksenine göre simetriği 10 birim sağa öteleniyor.\n\nBuna göre, oluşan son şekillerin arakesit alanı kaç birimkaredir?",   "secenekler": {     "A": "8
19	page	9ab756bb-0bf4-5ad5-a125-9917b9b76668	345 2025 Tyt Ayt Geometri Soru Bankası 1	213	8	C:\Users\husey\kiro2\veriseti\zkitap\screenshots\345 2025 Tyt Ayt Geometri Soru Bankası 1\sayfa_0213.png	True	0.333	1.000	ABC üçgen, $[DE] \parallel [FG] \parallel [BC]$, $6|AD| = 3|DF| = 2|FB|$, $S_1$, $S_2$ ve $S_3$ bulundukları bölgelerin 	ABC üçgen [DE] // [FG] // [BC] 6|AD| = 3|DF| = 2|FB| S₁, S₂ ve S₃ bulundukları bölgelerin alan değerleri S₁ = 10 cm² old	```json {   "soru_no": 8,   "soru_metni": "ABC üçgen\n[DE] // [FG] // [BC]\n6|AD| = 3|DF| = 2|FB|\nS₁, S₂ ve S₃ bulundukları bölgelerin alan değerleri\nS₁ = 10 cm² olduğuna göre, S₂ + S₃ kaç cm² dir?",   "secenekler": {     "A": "240",     "B": "260",     "C": "220",     "D": "230",     "E": "270"  
20	page	301bfe50-4700-5e9c-ae2a-1e0adb30f2d6	345 2025 Tyt Ayt Geometri Soru Bankası 1	31	9	C:\Users\husey\kiro2\veriseti\zkitap\screenshots\345 2025 Tyt Ayt Geometri Soru Bankası 1\sayfa_0031.png	True	0.208	0.750	ABC üçgen, $[BD]\perp[AC]$, $|AE|=|EC|$, $|BE|=|EC|$, $m(\widehat{BEA})=63^\circ$ olduğuna göre, $m(\widehat{ACB})=\alph	ABC üçgen [BD] ⊥ [AC] |BD| = |AE| |BE| = |EC| m(DBC) = 63° olduğuna göre, m(ACB) = α kaç derecedir?	```json {   "soru_no": 9,   "soru_metni": "ABC üçgen\n[BD] ⊥ [AC]\n|BD| = |AE|\n|BE| = |EC|\nm(DBC) = 63°\nolduğuna göre, m(ACB) = α kaç derecedir?",   "secenekler": {     "A": "33",     "B": "36",     "C": "38",     "D": "40",     "E": "43"   },   "has_diagram": true,   "diagram_description": "Bir 
21	page	96bd1f11-708c-573e-853d-216819e49fd0	345 Tyt Ayt Geometri Soru Bankası	363	9	C:\Users\husey\kiro2\veriseti\zkitap\screenshots\345 Tyt Ayt Geometri Soru Bankası\sayfa_0363.png	False	0	0	ABCD dikdörtgen
$[DE]\perp[EB]$
$|AC|=13$ cm
$|EC|=4\sqrt{3}$ cm
olduğuna göre, 	NOT_FOUND	```json
{
  "soru_no": 9,
  "soru_metni": null,
  "secenekler": null,
  "has_diagram": false,
  "diagram_description": null,
  "found": false
}
```
22	page	73024935-9993-5adc-bed5-5b28a32c6067	C1CELL-2024-TYT-AYT-Geometri Soru Bankası	14	6	C:\Users\husey\kiro2\veriseti\zkitap\screenshots\C1CELL-2024-TYT-AYT-Geometri Soru Bankası\sayfa_0014.png	True	0.735	1.000	Bir A noktasından aralarında belirli açı olacak şekilde Demir kırmızı, Talya ise mavi yoldan yürümeye başlıyor. Bir süre	Bir A noktasından aralarında belirli açı olacak şekilde Demir kırmızı, Talya ise mavi yoldan yürümeye başlıyor. Bir süre	```json {   "soru_no": 6,   "soru_metni": "Bir A noktasından aralarında belirli açı olacak şekilde Demir kırmızı, Talya ise mavi yoldan yürümeye başlıyor. Bir süre sonra\n\n- Şekil 1'deki gibi Demir sola 35° ve Talya sağa 30° dönerse\n- Şekil 2'deki gibi Demir sağa 45° ve Talya sola α° dönerse\n\nbu
23	page	38326467-6816-5a74-9b5d-a07e9cbac268	CAP-2023-AYT-Matematik -AL-Soru Bankası	377	7	C:\Users\husey\kiro2\veriseti\zkitap\screenshots\CAP-2023-AYT-Matematik -AL-Soru Bankası\sayfa_0377.png	True	0.468	0.917	Aşağıdaki koordinat düzleminde $y = f(-2)$ ile $x = f(3)$ doğruları ve eksenler ile sınırladığı bölge alanı verilmiştir.	Aşağı dik koordinat düzleminde y = f(−2) ile x = f(3) doğruları ve eksenler ile sınırladığı bölge alanı verilmiştir.  OA	```json {   "soru_no": 7,   "soru_metni": "Aşağı dik koordinat düzleminde y = f(−2) ile x = f(3) doğruları ve eksenler ile sınırladığı bölge alanı verilmiştir.\n\nOABC dikdörtgen alanı 1 birimkaredir.\n\nf(x) = ax² + bx + c ve f(−2) = f(3) = 0 dır.\n\nBuna göre, (c + a) toplamının değeri kaçtır?",  
24	page	586160a7-641a-5b9f-a3b1-c407acebfb9c	2019-2020-Acil Matematiğin ilacı-1	255	10	C:\Users\husey\kiro2\veriseti\zkitap\screenshots\2019-2020-Acil Matematiğin ilacı-1\sayfa_0255.png	True	0.705	0.949	Yandaki kapta A noktasındaki sıvı basıncı $P = h \cdot d \cdot g$ bağıntısıyla bulunur. Bu formülde; P: Basınç h: Sıvı Y	Yandaki kapta A noktasındaki sıvı basıncı P = h • d • g bağıntısıyla bulunur.  Bu formülde; P: Basınç h: Sıvı Yüksekliği	```json {   "soru_no": 10,   "soru_metni": "Yandaki kapta A noktasındaki sıvı basıncı P = h • d • g bağıntısıyla bulunur.\n\nBu formülde;\nP: Basınç\nh: Sıvı Yüksekliği\nd: Sıvı Yoğunluğu\ng: Yer Çekim İvmesi\n\nYukarıdaki kaplarda h yüksekliğindeki sıvının yoğunluğu 2d, 3h yüksekliğindeki sıvının y
25	page	af19c7c9-7af5-5a25-9dec-689c4d3c1bf1	CAP-2022-2023-TYT AYT-Geometri Soru Bankası	73	8	C:\Users\husey\kiro2\veriseti\zkitap\screenshots\CAP-2022-2023-TYT AYT-Geometri Soru Bankası\sayfa_0073.png	True	0.316	0.929	ABC üçgen, $[DE] \perp [AB]$, $[AC] \perp [BC]$, $|BE| = 4$ cm, $|DE| = 3$ cm ve $|AC| = 6$ cm dir. Yukarıdaki verilere 	ABC üçgen, [DE] ⊥ [AB], [AC] ⊥ [BC] |BE| = 4 cm, |DE| = 3 cm ve |AC| = 6 cm dir. Yukarıdaki verilere göre, |DC| = x kaç 	```json {   "soru_no": 8,   "soru_metni": "ABC üçgen, [DE] ⊥ [AB], [AC] ⊥ [BC]\n|BE| = 4 cm, |DE| = 3 cm ve |AC| = 6 cm dir.\nYukarıdaki verilere göre, |DC| = x kaç cm dir?",   "secenekler": {     "A": "6",     "B": "5",     "C": "4",     "D": "3",     "E": "2"   },   "has_diagram": true,   "diagram
26	page	cca6900c-19ea-529d-883c-c45daa19e102	345 Tyt Ayt Geometri Soru Bankası	351	6	C:\Users\husey\kiro2\veriseti\zkitap\screenshots\345 Tyt Ayt Geometri Soru Bankası\sayfa_0351.png	True	0.629	0.955	Şekildeki EFGH dörtgeni, ABCD eşkenar dörtgeninin gösterilen yönde merkez etrafında $90^\circ$ döndürülmesiyle elde edil	Şekildeki EFGH dörtgeni, ABCD eşkenar dörtgeninin gösterilen yönde merkezi etrafında 90° döndürülmesiyle elde edilmiştir	```json {   "soru_no": 6,   "soru_metni": "Şekildeki EFGH dörtgeni, ABCD eşkenar dörtgeninin gösterilen yönde merkezi etrafında 90° döndürülmesiyle elde edilmiştir.\n\n|AC| = 12 cm |BD| = 16 cm\n\nolduğuna göre, boyalı bölgelerin çevreleri toplamı kaç cm'dir?",   "secenekler": {     "A": "72",     "
27	page	48da353a-c10c-5fdf-9be4-976450996c57	Full Matematik-Ayt-Matematik Soru Bankası	43	11	C:\Users\husey\kiro2\veriseti\zkitap\screenshots\Full Matematik-Ayt-Matematik Soru Bankası\sayfa_0043.png	False	0	0	Kenar uzunlukları yukarıdaki gibi verilen dikdörtgen biçimindeki kartondan bir k	ERROR:Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 2.	
28	page	c680a367-5971-5105-a653-4971c5f87cf0	Esen Ayt Kimya Soru Bankası	158	7	C:\Users\husey\kiro2\veriseti\zkitap\screenshots\Esen Ayt Kimya Soru Bankası\sayfa_0158.png	True	0.657	0.745	$SrCO_3$ suda az çözünen bir tuzdur. Oda koşullarında katısıyla dengede olan $SrCO_3$ çözeltisi hazırlanmıştır. Bu çözel	SrCO₃ suda az çözünen bir tuzdur. Oda koşullarında katısıyla dengede olan SrCO₃ çözeltisi hazırlanmıştır.  Bu çözeltinin	```json {   "soru_no": 7,   "soru_metni": "SrCO₃ suda az çözünen bir tuzdur. Oda koşullarında katısıyla dengede olan SrCO₃ çözeltisi hazırlanmıştır.\n\nBu çözeltinin sıcaklığı buharlaşma olmadan 50 °C'ye çıkartıldığında, dipteki katı kütlesinin azaldığı görülmüştür.\n\nBuna göre,\n\nI. SrCO₃ katısı 
29	page	3ac5a095-0e43-59d4-8f07-2a85ea131b09	Apotemi 2020 2021 Modern Kimya	38	2	C:\Users\husey\kiro2\veriseti\zkitap\screenshots\Apotemi 2020 2021 Modern Kimya\sayfa_0038.png	True	0.857	1.000	Yukarıda verilen galvanik hücre ile ilgili, I. 1. kaba $25^\circ C$'de 1 litre saf su ilavesi II. 2. kaba $25^\circ C$'d	Yukarıda verilen galvanik hücre ile ilgili,  I. 1. kaba 25 °C de 1 litre saf su ilavesi II. 2. kaba 25 °C de 1 litre saf	```json {   "soru_no": 2,   "soru_metni": "Yukarıda verilen galvanik hücre ile ilgili,\n\nI. 1. kaba 25 °C de 1 litre saf su ilavesi\nII. 2. kaba 25 °C de 1 litre saf su ilavesi\nIII. 25 °C de 2. kaptaki çözeltinin yarısının kaptan alınması\n\nişlemlerinden hangileri ayrı ayrı uygulandığında pilin g
