id,gemma3,qwen3,stored
39bba8f0-65c8-58f2-9531-199e9c5aab0c,A,A,E
3d2adbb6-938d-5dce-8b74-30467356a346,A,A,B
3e72d6f0-1dbd-537f-b236-73653b4d318d,B,B,A
3f48b31a-57d0-58cc-99c5-c71e4ba514a6,A,A,B
406915e5-c54a-569e-b0ba-81adb811b77f,D,D,C
40a9b40e-6667-5f84-aeea-c7018836be4d,B,B,C
416e4dbd-3dd1-5dc1-9883-5965a453f6b0,C,C,E
43686747-0a1b-5f5d-90f2-cf8bba291925,D,D,C
43d829d6-d88f-5f36-ad55-96792f74ad7b,B,B,D
44ac7115-316a-5e0f-ab1b-4eae06a328a0,B,B,A
46b7a8ef-6a41-57c5-876f-b57b74c9165f,B,B,A
483d6877-d3ef-5ea1-a9c5-66eb75d3b5f1,D,D,E
4bbb4d69-a7a9-5c42-afba-82b1ff07204e,B,B,E
4f4b1f38-06c7-51cd-9fea-e007b5ad8489,C,C,A
55b22e8e-db58-59a4-8143-a5737ba5398d,C,C,D
58619989-3940-576f-8569-c76f5deace6c,E,E,B
58da0c52-0f81-5cf8-b804-65366e63b09d,A,A,B
5ad95940-9758-56eb-ba90-ab74ca4f30c4,E,E,C
5d21626a-21cf-563f-b552-acc9ab7a1bb8,B,B,A
5e1bc7e3-a3b2-5bcb-b4f8-280304606b97,B,B,A
6700ffb8-7b10-5183-9828-b09f599c3dc1,B,B,E
676e55ad-aefe-5512-9c1d-68245a66773a,C,C,A
68a2d1ae-326b-5af5-b21d-c9c2b71c91c1,B,B,C
69744a20-356a-59e9-b524-483e3573b831,A,A,B
69c0bc16-09d3-561d-9133-9ac5c177040b,E,E,D
6a775e4b-80f6-5cb0-8e86-c90275b50a3f,E,E,D
6aee18c8-fb9b-565e-a870-7c914b98cae1,C,C,D
6b9457ff-06bb-54f3-a545-c7d12fb22224,B,B,D
6d7230ae-488f-507f-899c-10c2f0da46e6,E,E,A
6d9c3b68-d71f-525f-bcb1-ba40ae7aac1b,C,C,B
6de62923-5c7a-5df4-9367-190383794922,A,A,C
6e1ef58b-635b-5544-898e-67271b2701cc,D,D,C
7194aafb-06d6-5627-9366-e3e93d0ffa0d,D,D,E
71bb9b9e-0381-5a4b-b3bf-04c69d19a96e,D,D,A
756fd29e-2a4a-5eef-a9aa-445944cc5ad2,E,E,D
761035cf-a373-5fca-abcf-4bbc28e304ce,B,B,C
765aaab7-f133-5fe7-a5ec-2265b883bd8c,D,D,B
767d21a9-51c4-54f0-b170-d48e4581adca,D,D,E
77ebda78-c3bb-5d95-becb-5a92a3844f6f,B,B,A
78d6debd-22c5-54f3-894c-6c92396d1adc,C,C,D
7955c268-8cd4-5d69-8b62-9dc20045bdb6,B,B,C
7df20cfe-1136-53ab-9711-31ba37949daa,A,A,E
7e8ef1bf-0acf-5a3e-9ccf-9d581c836017,D,D,A
805f0ed8-98d4-592c-b81f-c2448cd2922a,E,E,D
8071863a-afcf-5703-84a7-7fb2549fd51a,C,C,A
817fabcd-ec43-50e2-a5d5-cf9e704d39ad,C,C,B
81fa19c6-56dc-588b-8075-c5ec7fdbf6b8,C,C,A
83680e6a-ca95-5a9a-b703-69cab645e472,A,A,B
857ab03b-217b-5358-bc5a-ccf3ecff2ffd,B,B,A
85fa403b-75e3-5676-8912-cfbcc463b9c5,A,A,B
863176bf-670a-5c4a-8e35-f9bb6399561f,D,D,A
869dc9b7-c824-508d-bb15-1bb14153f150,A,A,C
86fdaabf-35b4-52a9-8035-142072aa0fee,D,D,E
86fdaf27-9f16-54ce-852e-6093081423d3,D,D,B
872fa3e5-9917-5e98-9674-f90ba36cb511,D,D,A
89670415-880c-5436-ab32-4f32def10652,C,C,A
8a4923c2-fd5d-57a3-a0e4-f585d36d05c3,A,A,B
8b10f2d7-5f60-5f1d-aed8-ec3fd5944946,D,D,B
8b34e285-3ef6-5545-bef8-964b0c410ca8,E,E,C
8b6beefc-6da0-5f5a-951d-4a8acbb4914a,C,C,A
8c361ed2-3cb6-54ef-aab6-574bb92cec30,B,B,C
8d9296a8-2a87-5dac-bd1f-6e6a84cc173e,D,D,A
8d97b23b-2fe4-5a6a-a264-58d89f7fd6a3,D,D,A
8e7cc286-29a6-5123-80ca-0549ee3e3af0,C,C,B
8f62ad1d-ce35-554c-8462-db6d640588cf,C,C,E
903c8cb5-0594-5728-b1c1-58f5d220bbb7,B,B,E
90e0c132-09f8-5282-973c-b88c8a9d1f31,B,B,E
94ff3126-9ed5-522a-b41b-e09611c1a2fe,D,D,C
95af76d4-52b7-5eb1-a2cc-54ad6dada17a,C,C,A
969d50be-07b3-5198-b371-d9bbb893ab1b,D,D,E
97ec24ca-50ab-53f1-9db2-2eeb022b99ef,C,C,B
98519711-03bf-5846-b942-408aa06a642f,B,B,A
9a69545b-d9aa-55f9-a0bd-ffdba53cbed3,C,C,A
9c4056ca-2938-5363-ae4f-d4a43b4560f4,E,E,D
9cadbd78-c74d-5059-aaba-0715de549b3d,A,A,C
9d36396b-0887-52db-8355-dafcde126008,A,A,D
9de948c5-e7b9-5beb-adc8-9d5ec35512c8,A,A,C
9f2f6a98-5a3a-55db-be24-a8f6e181f529,D,D,C
a06bca79-6b34-5c91-99f1-5310d524bcc5,C,C,D
a1186eeb-8a3f-5cc2-bc3e-74e921a7e9e3,E,E,C
a5d85df4-9a79-546e-b68f-02e3397bfa8c,D,D,C
a6a6edf9-8217-5f60-aed4-b19fe5a0c538,C,C,B
a76464d4-6e7e-5a19-ab9d-ac60db93f16a,C,C,B
a7d2ef34-cfd8-5a56-82b4-5317dd2b96c8,B,B,A
aa2b0b62-1c87-569f-886c-57519c692531,E,E,A
ab0404e7-0a7e-59f5-b92b-9650a692fbea,A,A,B
ac74520f-a069-51a4-8d92-66d335f47fec,C,C,A
ad2671b6-eea8-53f7-99b9-d118d371b182,C,C,A
adbbaaa0-68b2-573d-9556-d521dead0379,D,D,A
af4a8406-c7c2-5701-8129-4614416a7b44,C,C,B
afc0f6a7-8dd9-56b0-815d-1cea05279c3a,C,C,A
afc65a16-26f2-5b5c-8183-3e116918e3af,B,B,E
b076399f-e533-5b7f-b209-f9018d572ba7,A,A,C
b140f0fb-93a1-5554-adb6-37ec60caca15,D,D,E
b26f780b-4de1-5521-9c59-796a19b74759,C,C,A
b4c49941-8c25-52c1-874a-02328f9cefcb,A,A,E
b4c89146-4f75-5a87-94f6-95a245ff4b1e,B,B,A
b5311949-eb0b-5664-b4f6-18feaac5e70e,C,C,D
b5f5b7f9-8d8c-59f6-95f4-d09f06ab4dd4,D,D,C
b7f35641-28ed-594c-96aa-a60cff3bceb4,D,D,A
b85d6b99-84fa-5968-a10b-bb8a07eaca84,A,A,E
b92a493b-eca8-55e9-a1db-b93d9c9717d8,B,B,A
b9d1726c-6983-5203-91d5-c959c42cda96,C,C,D
b9f17ba5-122b-5083-a144-8dc924f2b829,C,C,D
bbac7b1c-a4c8-5c70-b1db-5a7f62292bc6,B,B,E
bcf29d16-69d8-56bd-a657-03688763a27a,D,D,A
bd83960c-100e-5fea-bf95-985db70be9f1,A,A,B
bdf73e4e-37aa-55fa-960d-97d6da1b92f7,B,B,C
bec458ce-56e9-5ca0-8180-df2ab15b09cf,C,C,A
bfb53ebf-fca4-51e7-8649-f17bdf22c134,B,B,A
c0538410-da07-50c6-97ba-1f6d40f9ce00,B,B,A
c07c1402-3d7f-53b0-b406-6d7cbab24580,D,D,B
c28981cf-c3cf-5a98-bc34-8f9f7fafc3c1,C,C,E
c3ea5fe4-b453-5ef7-b697-7e269de84b25,E,E,A
ca731512-e370-50f2-ba27-692136a26049,E,E,A
cb8cd650-8b72-5654-abf3-481d15f064b2,D,D,C
cc7bb1d7-fd68-57b9-ae73-3f684cf9aeb8,B,B,A
cd403a4d-3ec6-59c1-9a6b-5a03036f126d,B,B,A
cf95b7bc-5ac8-509a-b257-3159c56bc198,A,A,E
d2bd60fa-4a2d-56c0-babb-ba38bc24b6fa,B,B,C
d397d3e3-515c-50ca-b509-8dd067f3a525,B,B,D
d492ec69-31fe-5c08-bdaf-0f0dae335a39,A,A,C
d5080419-ea10-59c1-b3ef-571d6a42fa4e,C,C,D
d5f015c9-e775-5d7e-8160-cdbd8ec1501e,D,D,B
d6608a95-0127-53ca-8e55-05082681aafe,D,D,A
d788c8a1-7338-53da-88c1-fbf75066f395,B,B,E
d9d4be98-27df-5cd7-b5d1-e395a69c80e8,D,D,E
d9ffeb8b-a379-578f-ae1d-8d14c996f752,B,B,A
da29fd14-d512-5737-aef5-78322cc28372,B,B,A
db06901e-b380-5e57-a19b-a200a75494fc,B,B,E
dc898cfb-e163-51c2-be08-3e790ec76c87,B,B,C
dcdc4afe-e8db-5b62-828a-ff09c81139cb,D,D,C
def70b65-34e5-5cf6-aa2d-16eeef19a8e6,D,D,A
e1e82baf-eec3-519f-b69c-5e65e06eb5fa,B,B,A
e2ceb789-a2e8-5862-a12e-01ee92a98f5d,C,C,B
e49cc69a-6b88-53b2-b19b-48bf1da56f18,B,B,E
e4bab419-edd9-5014-b277-ca570dc7b479,E,E,A
e507c7fb-6908-5a6c-8b62-aa9d564a99e9,A,A,C
e57754bb-a097-5711-ab69-ae09a992d19d,B,B,E
e5b689d4-84ce-50a2-a137-562c97764ce3,B,B,A
e762e7ed-15a5-57db-a381-cc3b541ff10f,B,B,C
e80d2e1e-4679-5806-9476-2c13da91d1bc,D,D,A
e829870c-6bde-5c13-a08b-7f5a7e6e8d4c,C,C,E
e841c7f7-0457-5e45-9667-f339922ffec2,C,C,D
e9909f5a-ad16-5366-b322-47d8d10a6375,C,C,D
e9c247a6-895a-5420-8325-c137ad9d92b0,A,A,B
ebf04d68-0a6b-512b-a856-36f838aa150f,C,C,B
edf759db-72c0-5262-a2eb-539a9807f6a1,A,A,C
ef69adb8-35d9-52f0-a006-b9c2a5d0eee0,B,B,A
efa9fa0a-201b-541c-8c82-b0f9a456b8b7,D,D,E
f1e66b73-b443-502e-93de-b686b88ce936,A,A,E
f30b2970-3aa1-5e3c-9ad7-9781f48b574f,C,C,D
f39314fd-d7e1-5351-bcc4-31ac90b6552b,E,E,B
f41b7323-ce85-5f68-a56a-f5dbaf69558f,A,A,C
f5d2b730-7b10-5135-b449-b937ccb5be84,E,E,A
f64eb563-1986-5b95-b2e9-b983a3de4bc9,C,C,E
f66817a6-5356-549c-9e8a-6ae11fbd28cb,C,C,A
f72ab5c6-8ff5-54e5-904a-f887dd0d0d33,A,A,C
f8900d2d-b89a-5efa-9043-6e4bdc3c0afc,B,B,C
f8e8dd0c-6840-58a7-b9de-15a2babfa0ab,E,E,D
f93fcf72-d3d3-5676-abe7-557aac662fc8,B,B,E
fa44529b-52ff-5a2b-b40d-c4cb15270aca,B,B,E
fa525e24-4bfd-537f-9303-de115f5047c7,D,D,B
fa8f3f75-a24e-53e2-a91a-6e539bbfef83,C,C,A
fb05da1c-d5d1-5d1b-8c1f-89aa09f5cac3,B,B,A
fbb7b9f1-cc8b-5c36-8e98-69b9c9d22bfe,B,B,E
fc614644-f1ed-5e86-841e-aae355ae451b,E,E,A
fe2b2da6-be41-5200-9710-7331621f9d20,C,C,D
fe489cab-7965-5d36-848d-dacb6139eca2,D,D,A
ff7f8586-6826-5954-9921-e740d98ca253,A,A,D
