method	path	tag	operationId	body_tenant_hint
POST	/api/v1/recommendations/	recommendations	get_recommendations_api_v1_recommendations__post	user_id
POST	/api/v1/recommendations/interaction	recommendations	record_interaction_api_v1_recommendations_interaction_post	user_id
POST	/api/v1/revolutionary-features/zpd-maarif/revolutionary/calculate	Revolutionary Features	calculate_revolutionary_zpd_api_v1_revolutionary_features_zpd_maarif_revolutionary_calculate_post	student_id
POST	/api/v1/revolutionary-features/zpd-maarif/revolutionary/cultural-context	Revolutionary Features	detect_cultural_context_api_v1_revolutionary_features_zpd_maarif_revolutionary_cultural_context_post	student_id
POST	/api/v1/revolutionary-features/zpd-maarif/revolutionary/recommend	Revolutionary Features	generate_revolutionary_recommendation_api_v1_revolutionary_features_zpd_maarif_revolutionary_recommend_post	student_id
POST	/api/v1/sync/progress	PWA Sync	sync_progress_api_v1_sync_progress_post	userId
POST	/api/v1/turkish-nlp-chat/context/manage	Turkish NLP Chat	manage_conversation_context_api_v1_turkish_nlp_chat_context_manage_post	student_id
POST	/api/v1/turkish-nlp-chat/message	Turkish NLP Chat	send_chat_message_api_v1_turkish_nlp_chat_message_post	student_id
POST	/api/v1/turkish-nlp-chat/step-by-step-solution	Turkish NLP Chat	generate_step_by_step_solution_api_v1_turkish_nlp_chat_step_by_step_solution_post	student_id
POST	/api/v1/zpd-maarif/hesapla	ZPD Maarif	hesapla_zpd_api_v1_zpd_maarif_hesapla_post	ogrenci_id
POST	/api/v1/zpd-maarif/optimize	ZPD Maarif	optimize_zpd_api_v1_zpd_maarif_optimize_post	ogrenci_id
PUT	/api/v1/zpd-maarif/profil/kulturel/{ogrenci_id}	ZPD Maarif	update_kulturel_profil_api_v1_zpd_maarif_profil_kulturel__ogrenci_id__put	ogrenci_id
PUT	/api/v1/zpd-maarif/profil/maarif/{ogrenci_id}	ZPD Maarif	update_maarif_profili_api_v1_zpd_maarif_profil_maarif__ogrenci_id__put	ogrenci_id
POST	/api/v1/zpd-maarif/revolutionary/adapt-difficulty	ZPD Maarif	adapt_difficulty_culturally_api_v1_zpd_maarif_revolutionary_adapt_difficulty_post	student_id
POST	/api/v1/zpd-maarif/revolutionary/calculate	ZPD Maarif	calculate_revolutionary_zpd_api_v1_zpd_maarif_revolutionary_calculate_post	student_id
POST	/api/v1/zpd-maarif/revolutionary/cultural-context	ZPD Maarif	detect_cultural_context_api_v1_zpd_maarif_revolutionary_cultural_context_post	student_id
POST	/api/v1/zpd-maarif/revolutionary/cultural-patterns	ZPD Maarif	monitor_cultural_patterns_api_v1_zpd_maarif_revolutionary_cultural_patterns_post	student_id
POST	/api/v1/zpd-maarif/revolutionary/learning-balance	ZPD Maarif	get_learning_balance_api_v1_zpd_maarif_revolutionary_learning_balance_post	student_id
POST	/api/v1/zpd-maarif/revolutionary/recommend	ZPD Maarif	generate_revolutionary_recommendation_api_v1_zpd_maarif_revolutionary_recommend_post	student_id
POST	/api/v2/cat/start	Question Bank v2.0	start_cat_session_api_v2_cat_start_post	student_id
POST	/api/v2/knowledge-graph/recommendations	Question Bank v2.0	get_question_recommendations_api_v2_knowledge_graph_recommendations_post	student_id
