idx,id,subj,exam,key
63,5e091a52-2f49-5443-b19e-cca07ca2cac7,KIMYA,TYT,D
64,a18c3e66-8ccd-55cc-98ec-d09b16bad4f5,MATEMATIK,TYT,B
65,08db6c76-881d-5c3c-b7f8-6d1984380fa0,FIZIK,TYT,B
66,4d5a4714-7c17-5586-88b3-fc422fbc8ef4,TURKCE,TYT,E
67,7602c86b-52fe-5530-91ce-f2c60378ccb4,KIMYA,TYT,B
68,45158039-3df9-5eba-825d-7334bf8826da,FIZIK,TYT,E
69,a66f0a6d-e630-596c-802e-ef6f6e09a621,TURKCE,TYT,A
70,b9f07568-657d-5b0a-ba5f-d58a7cd981a2,MATEMATIK,TYT,D
71,822bce43-c26f-542f-a6db-dbe08e45a328,KIMYA,TYT,C
72,7498d724-d33f-5fc4-8f01-05288a884950,EDEBIYAT,AYT,D
73,84c1fc91-9f64-57a5-9463-327b1558fc9f,KIMYA,TYT,D
74,856ca365-fb56-559e-8f64-7fbc386e7228,MATEMATIK,TYT,E
75,2536be8b-a44b-585e-99e5-9f651725a752,KIMYA,TYT,E
76,882efe00-3934-5c64-8e46-079a61376141,EDEBIYAT,AYT,B
77,c2c47f66-06b5-552b-b74d-ba31f834cf9c,MATEMATIK,TYT,D
78,da47c534-5628-54bd-b74a-978e092cfa8f,TURKCE,TYT,B
79,7d46b5fe-e89d-505b-bba8-71391e47cd07,TURKCE,TYT,D
80,155bcef7-4f69-5129-973f-c607078f1547,FIZIK,TYT,C
81,38153b75-c2bf-546b-858a-4af42ec0c2a0,KIMYA,TYT,C
82,64452308-ff03-5d42-946c-b1d7ee70216c,EDEBIYAT,AYT,C
83,5aa6cb92-2b75-57b9-91c6-17df7bbe8b00,TARIH,TYT,E
84,a1d1ba39-f1ba-5dc5-bc25-23940c61e2af,MATEMATIK,TYT,D
85,b873f945-7c26-524a-afa2-2205101dc8ce,KIMYA,TYT,C
86,c24ae4db-6fc2-5a87-a2be-09a24e77413b,KIMYA,TYT,C
87,5c8f02cd-aad3-51ed-9f07-57701d231be3,TURKCE,TYT,D
88,4c4b3dcc-758f-5655-aae0-e7b5f38cb00a,EDEBIYAT,AYT,B
89,a1f0f2e0-669c-5668-866d-fd980c09a555,KIMYA,TYT,E
90,ffd19ec3-9e58-5fd8-95e0-a5da6bb5a9a7,MATEMATIK,TYT,B
91,8dcae10c-acbc-5ed5-9153-d6e7a82a4eb8,TURKCE,TYT,D
92,7ffe6c79-64a1-5225-bee4-3fa2663851b0,KIMYA,TYT,B
93,affbb151-2b6f-5dd5-b480-ffe45968f972,KIMYA,TYT,A
94,089a75d9-8f71-56db-ae2c-bf83bd8f4cea,EDEBIYAT,AYT,A
95,7985a28f-1834-5d54-83f1-ce392c725aee,KIMYA,TYT,E
96,594c188e-9170-5b6a-b701-ec2a374a2cf3,KIMYA,TYT,A
97,80303297-7fab-513c-b3d2-d2ab9a3b79e0,EDEBIYAT,AYT,A
98,9c5c9998-b697-5360-bb8a-6dbc72ffdee9,KIMYA,TYT,D
99,72e9a9a2-68a8-5320-ad36-49bb6eea9369,TURKCE,TYT,E
100,657ab490-c833-53db-a6d0-6598cd7d6449,MATEMATIK,TYT,A
101,9d2c5313-5a57-5576-8369-5bf54e87a1d0,FIZIK,TYT,B
102,8a041b48-d1c0-5123-947e-352e85ce119b,KIMYA,TYT,D
103,cdb3420d-c665-5a67-b4a0-0d08fc571bc0,TURKCE,TYT,E
104,76c99474-6bd2-5bd3-8891-9aef2d7700b8,KIMYA,TYT,D
105,32e498b6-1a61-5704-a37f-e1e4a6134698,KIMYA,TYT,E
106,b81e7061-b901-54e3-9cf3-fb93f6a8f6b8,TARIH,TYT,E
107,c3fec062-ff65-508d-b945-0cd1e3f771ea,KIMYA,TYT,B
108,1fddab37-8ecc-5391-acf0-f6f02105e753,TARIH,TYT,B
109,0570d64d-a48f-5b70-952e-c1090686688a,TURKCE,TYT,E
110,a0930b99-c90a-57e6-97a2-1628883db1a2,KIMYA,TYT,D
111,cfc9cb68-1154-5742-ae1c-986725c94de8,KIMYA,TYT,E
112,02ec7317-1855-57f6-8f5d-ac8b51451768,MATEMATIK,TYT,C
113,57ff9df8-2ca3-5656-afe5-1a701eaeadcf,TURKCE,TYT,D
114,9fcd8db5-469a-5cc9-9397-31f0bdaa401a,MATEMATIK,AYT,B
115,9e7c4064-a293-5d8d-b64e-a94316d01079,EDEBIYAT,AYT,C
