id,subject_area,q,oa,ob,oc,od,oe,key
7491eb66-e142-5a44-af60-99fb600a576d,BIYOLOJI,"Erdinç öğretmen sınıfta mayoz bölünme konusunu işledikten sonra öğrencilerine ""Mayoz - I ile mayoz - II'nin farkları nelerdir?"" sorusunu soruyor.
Bu soruya verilen aşağıdaki cevaplardan hangisi yanlıştır?","Mayoz - I'de kromozom paylaşımı, Mayoz - II'de kromatit paylaşımı olur.",Mayoz - I'in başlangıcında DNA eşlenmesi olurken Mayoz - II'nin başlangıcında DNA eşlenmesi olmaz.,Mayoz - I'de kromozom sayısı yarıya inerken Mayoz - II'de kromozom sayısı değişmez.,"Sinapsis, krossing-over, tetrat oluşumu gibi olaylar Mayoz - I'de görülürken Mayoz - II'de görülmez.",Mayoz - I'de sadece karyokinez olayları gerçekleşirken Mayoz - II'de sadece sitokinez olayları gerçekleşir.,E
33569f01-ce9d-57b9-8a94-1cc8fb805434,BIYOLOJI,"Aşağıda belirtilen gözlemlerden hangisi, diğer dördüne bağlı olarak çıkarılabilecek bir sonuç niteliğindedir?","Hücreler, canlıların en küçük yapısal ve fonksiyonel birimleridir.","Tek hücreli canlılarda, bütün hayatsal olaylar bir hücrenin içinde gerçekleşir.","Bazı canlılar prokaryot, bazı canlılar ökaryot hücre yapısına sahiptir.","Her yeni hücre, bir önceki hücrenin bölünmesi sonucu meydana gelir.","Bütün canlı hücreler, metabolizmaları için gerekli enerjiyi kendileri üretir.",E
cc805ecc-6eef-54de-94cf-3b007f4e9e7e,BIYOLOJI,"Tohumla beslenen G. fortis ve G. fuliginosa ispinozlarının farklı adalarda yaşayan bireylerinin gaga büyüklüğü yaklaşık olarak aynıdır. Aynı adada yaşayan G. fuliginosa ile G. fortis'in gaga büyüklüğü kıyaslandığında; G. fuliginosa'nın gagası küçük tohumlarla beslenmek için küçülmüş, G. fortis'in gagası ise büyük tohumlarla beslenmek için büyümüştür. Gaga yapısının farklı büyüklüğe sahip olması karakter kayması olarak adlandırılır. Buna göre, I. Karakter kayması rekabeti azaltıcı etki yapar. II. Karakter kayması ekolojik nişleri benzer olan canlıların bir arada yaşamasına olanak sağlar. III. Farklı habitatlarda yaşayan ispinozlarda aynı habitatta yaşayan ispinozlara göre karakter kaymasının görülme ihtimali daha yüksektir. ifadelerinden hangileri doğrudur?",Yalnız I,Yalnız II,Yalnız III,I ve II,"I, II ve III",D
eb5aad77-8ea6-5eca-8f38-f967cc9a7c3e,BIYOLOJI,Bitkilerin metabolizması sırasında gerçekleşen aşağıdaki olaylardan hangisi bir boşaltım şekli olarak kabul edilmez?,Gövededeki bir yaralanma sonucu o bölgeden reçine salgılanması,Köklerdeki emici tüylerden toprağa amonyak geçişinin olması,Solunum atığı olan $CO_2$'nin stomalardan dış ortama verilmesi,Hidatot denilen açıklıklar aracılığı ile yapraklardan sıvı halde su ve tuz atılması,Gövedede bulunan lentisellerden $CO_2$ atılması,B
c1080dce-ed2b-5f20-8b7a-59f0f80c2ccf,BIYOLOJI,"Bitkilerin, bulundukları ortamlarda yaşama ve üreme şansı bulabilmek için sahip oldukları adaptasyonlardan bazıları şöyledir:
I. Gövdede su depo edilmesi
II. Stomaların epidermis seviyesinin üstünde olması
III. Köklerin toprağa paralel büyümesi
IV. Yapraklarda tüy ve dikenlerin çok olması
Bu adaptasyonlardan hangileri nemli bölge bitkilerine aittir?",I ve III,I ve IV,II ve IV,II ve III,"I, II ve III",D
f92e86b8-0fe0-56ab-b722-a0d560224ae5,BIYOLOJI,"Aşağıda verilen olaylardan hangileri difüzyona örnek- tir?
I. Çayda şekerin erimesi
II. Suda boyanın dağılması
III. Odada kolonyanın yayılması
IV. Dumanın havaya dağılması",Yalnız I,I ve II,"I, II ve III","II, III ve IV","I, II, III ve IV",E
a6e04cf8-3d0b-5619-b5fc-11a89e8ed2f8,BIYOLOJI,"Bir insanın kolundaki toplardamara verilen işaretli alyuvarları karaciğere gelinceye kadar I. akciğer atardamarı, II. karaciğer atardamarı, III. aort, IV. üst ana toplardamar, V. akciğer toplardamarı damarlarından aşağıdakilerin hangisinde verilen sıraya göre geçer?",II - III - I - IV - V,II - IV - I - V - III,I - III - II - IV - V,IV - I - V - III - II,IV - I - V - II - III,D
304ca6e0-0ff7-54c2-908e-0fa5eddc4f30,BIYOLOJI,Bir bitkide bulunan aşağıdaki yapılardan hangisinde hem oksijen üretimi hem de oksijen tüketimi gerçekleşir?,Sünger parankiması,Epidermis,Kambiyum,Floem,Primer meristem,A
0243137b-4ea2-5205-9f91-397a1d2db20f,BIYOLOJI,"Hayvanlarda, bir bireyin kendi hayatını, gruptaki diğer bireyler için tehlikeye atması olayı ""altruistik davranış"" olarak adlandırılır. Aşağıdakilerden hangisi, bu çeşit bir hayvan davranışına örnek olarak verilemez?","Erkek penguenlerin, dişi penguenlerle çiftleşmek için, kendi aralarında kavga etmesi","Mirketlerde, avcılara karşı gözcülük yapan bireyin gerektiğinde avcının dikkatini çekecek davranışlar sergilemesi","Kovanı koruyan işçi arının, düşmana karşı ölümcül saldırı yapması","Kraliçe karıncanın, asker karıncalar tarafından korunması","Misk öküzlerinin, yırtıcı hayvanların saldırısı karşısında, topluluk oluşturarak tepki göstermeleri",A
57cb35e1-8c39-5a76-8b35-53e33a0ae9df,BIYOLOJI,"Ticari ismi luminal olan ilaç epilepsi nöbetlerinin tedavisi için kullanılır.
Bu tip ilaçlar kan dolaşımına fazla katıldığında, bu ilaçların zararlı etkisini azaltan organel aşağıdakilerden hangisidir?",Lizozom,Düz endoplazmik retikulum,Ribozom,Granüllü endoplazmik retikulum,Sentrozom,B
6293f97a-1770-5f65-ab72-7aa758fb0bdb,BIYOLOJI,"Arkadaşıyla kavga eden ve ardından koşarak eve gelen çocukta, aşağıdakilerden hangisinin gerçekleşmesi beklenmez?",Karaciğerde glikojen sentezinin hızlanması,Hücrelerinde oksijen tüketiminin artması,Kanında adrenalin miktarının artması,Vücut sıcaklığının normalin üstüne çıkması,Sindirim salgılarının azalması,A
33299956-b61b-5e6d-a1dd-e55588224f09,BIYOLOJI,"Mitoz bölünmede gözlenen aşağıdaki olaylardan hangisi, bu bölünmenin hayvan hücresinde gerçekleştiğini gösterir?",Kromatitlerin oluşması,Sitoplazmanın boğumlanması,İğ ipliklerinin oluşması,Çekirdek zarının erimesi,Kromatit paylaşımının olması,B
9f47333f-f373-50b6-a384-79f1f73976ce,BIYOLOJI,"Bir yarı ömrü değiştiği için, vücudunda bu olayla ilgili olarak aşağıdakilerden hangisi gerçekleşmez?",Hücre çoğalması,Doku ölümleri,Doku oluşumları,Mitoz bölünme,Mayoz bölünme,E
ce4f343d-3473-56fa-9acb-87e296e3b845,BIYOLOJI,"Çevre kirliliğini önlemek için, günümüzde çok çeşitli önlemler alınmaktadır. Etkisi düşünüldüğünde, aşağıdaki önlemlerden hangisi kirliliğin önlenmesinde diğerlerinden daha az etkilidir?",Tarım zararlılarına karşı kimyasal ilaç kullanımının engellenmesi,"Evsel ve endüstri atıklarının, arıtma işlemine uğradıktan sonra sulara bırakılması","Tarım arazileri üzerine, sanayi tesisleri ve şehirlerin kurulmasının engellenmesi",Nesli tükenmek üzere olan türlerin özel alanlarda koruma altına alınması,Isınma ve sanayide enerji temini için fosil yakıt kullanımının azaltılması,D
7b8353f8-9588-55af-aa85-f563930f438d,BIYOLOJI,Aşağıdakilerden hangisi hayvan hücrelerinde hücre döngüsünün mitoz evresinde gerçekleşmez?,Kromozomların kutuplara çekilmesi,İğ ipliklerinin oluşumu,Sentrozomların birbirinden uzaklaşması,DNA'nın kendini eşlemesi,İğ ipliklerinin kinetokorlara bağlanması,D
0db0e7b9-1749-5ed2-8aa3-f5bbd80fbbe7,BIYOLOJI,"Canlılarda görülen bazı etkileşimler: • Tarantula bir çeşit büyük örümcektir. Kurbağanın yuvasında kalmasına izin verir. Kurbağa onu parazitlerden korur ve yumurtalarına göz kulak olur. Tarantula da kurbağayı korur. • Pireler konaklarının kanıyla beslenirler. Kedilerde ve köpeklerde yaygındır. İnsanları konakçı olarak kullanan bazı türleri de vardır. • Vantuzlu remora balıkları, köpek balığına tutunarak ona zarar vermeden yaşar. Balık, köpek balığının hareketiyle yer değiştirir ve onun yiyecek artıklarından beslenir. Bu etkileşimlerle ilgili, I. Tarantula ile kurbağaların yaşam biçimi parazitliğe örnektir. II. Pireler ile kedi, köpeklerin yaşam biçimi mutualizme örnektir. III. Remora balıkları ile köpek balıklarının yaşam biçimi mutualizme örnektir. yargılarından hangileri yanlıştır?",Yalnız I,Yalnız II,Yalnız III,I ve II,II ve III,E
267914e4-c65f-5c66-8ef7-5e7d2e5433ee,BIYOLOJI,"Sitoplazmadaki serbest ribozomlarda sentezlenen proteinler, hücre içinde kullanılırken; granüllü endoplazmik retikulum üzerindeki ribozomlarda sentezlenen proteinler, hücre dışına salgılanır. Bu bilgiye göre; I. insanın sindirim kanalında görev yapan hidrolitik, II. amino asitlerden protein sentezleyen, III. böcekçil bitkinin böceği parçalamasını sağlayan, IV. lizozom organelinde bulunan enzimlerinden hangileri sitoplazmik ribozomlarda hangileri ise granüllü endoplazmik retikulum üzerindeki ribozomlarda üretilir?",Yalnız II,II ve III,I ve II,II ve IV,"I, II ve IV",D
2eb62b11-fec1-50eb-a1c8-7b256a4bc9a6,BIYOLOJI,"Herhangi bir nedenle zarar gören bir ekosistem, belli bir sürede kendini onarması ve eski hale gelmesi sürecindeki sıralı değişimlere süksesyon denir. Doğal bir ortamda süksesyon sırasında; I. tek yıllık otsu çalılar, II. çok yıllık ağaçlar, III. tek yıllık otsu bitkiler, IV. çok yıllık otsu bitkiler bitki örnekleri ekosisteme, hangi sıraya göre yerleşir?",III - IV - I - II,II - III - IV - I,I - II - III - IV,IV - I - III - II,IV - I - II - III,A
38386827-b5cd-527a-90c3-2ce649fea70e,BIYOLOJI,"İnsandaki insülin hormonu; I. kan sıvısındaki glikozun karaciğer ve çizgili kas hücrelerine geçişi, II. ince bağırsak sıvısındaki glikozun kan sıvısına emilmesi, III. kan sıvısındaki glikozun beyin hücrelerine geçişi olaylarının hangilerinde etkili olur?",II ve III,"I, II ve III",Yalnız I,Yalnız II,I ve III,C
90c9cfa9-951c-5352-9e97-f7f209142498,BIYOLOJI,"Doğada ardıç ağacı tohumları toprağa düştüğünde doğrudan çimlenemez. Ancak ardıç ağacının tohumları, bu tohumlarla beslenen ardıç kuşlarının sindirim sisteminden geçip dışkıyla dışarı atılır ve uygun alanlarda çimlenir. Ardıç kuşları aynı zamanda salyangoz ve böcek gibi diğer hayvanlarla da beslenir.
Buna göre
I. Ardıç kuşlarının avlanarak sayılarının azaltılması tür çeşitliliğinde değişikliklere neden olabilir.
II. Ardıç kuşlarının bulunduğu ortamda insektisit kullanılması ardıç ağaçlarının çoğalmasını etkileyebilir.
III. Ardıç ağaçlarında ortaya çıkabilecek tahribat, ardıç kuşlarının popülasyon yoğunluğunu azaltabilir.
ifadelerinden hangileri doğrudur?",Yalnız I,Yalnız III,I ve II,II ve III,"I, II ve III",E
9f736f84-0527-55f0-b5ef-1e0cc0d65b53,BIYOLOJI,"Bir hücrenin temel yapısı incelendiğinde, hücre içi yaşamsal olayların gerçekleştiği, organel adını verdiğimiz yapısal bölümlerin bulunduğu görülür. Bu organeller ve özellikleriyle ilgili olarak, aşağıdaki ifadelerden hangisi yanlıştır?","Bir canlının farklı dokularında, farklı görevleri yerine getiren organeller bulunabilir.","Bir hücrede bulunan bazı organeller, diğer bir organelin farklılaşmasıyla oluşabilir.","Ökaryot hücrelerde, hem zarlı hem de zarsız organeller bulunur.","Bitki ve hayvan hücrelerinde, tüm organeller her zaman aynı sayı ve çeşitte bulunur.","Tek hücreli bir canlı ile çok hücreli bir canlının bir hücresinde, aynı organel çeşitleri görev yapabilir.",D
f0174a96-9d63-5597-9fa3-d9a3b3c1aa12,BIYOLOJI,İnsanda üriner sistem aşağıdaki görevlerden hangisini yerine getiremez?,Homeostaziyi sağlama,Vücut sıvılarının bileşimini düzenleme,Kanın pH derecesini ayarlama,Metabolizma atıklarını hücrelerden uzaklaştırma,Kanın su ve tuz dengesini sağlama,D
9db5a8db-ad72-5a07-bf20-9378fc25d0c9,BIYOLOJI,"Bir tuzlu su yengeci, bir deniz gülünü sırtına alarak taşırken, onun yakıcı kapsülleri ile korunmaktadır. Bu sırada yakaladığı besinlerin bir kısmını da deniz gülüne vermektedir. Bu beslenme ilişkisiyle ilgili, aşağıdaki ifadelerden hangisi yanlıştır?","Deniz gülü, ihtiyacı olan besinlerin bir kısmını, tuzlu su yengecini yiyerek karşılayabilir.",İki canlının birbirinden ayrılması durumunda her ikisi de olumsuz etkilenir.,Tuzlu su yengeci ile deniz gülü arasında mutualizm şeklinde yaşama ilişkisi vardır.,"Bu beslenme ilişkisini oluşturan iki canlı da, heterotrof olarak beslenmektedir.","İki canlının birbirinden ayrılması durumunda, deniz yengeci düşmanları tarafından daha rahat avlanır.",A
213c816e-8b2c-5e97-910e-2ecb08845554,BIYOLOJI,"Biyolojik çeşitlilik ekosistem çeşitliliğini, tür çeşitliliğini ve tür içindeki genetik farklılıkları ifade eder. Günümüzde biyolojik çeşitliliği korumanın, doğal dengenin ve insan yaşamının vazgeçilmez bir unsuru olduğu bilinmektedir. Bu nedenle biyolojik çeşitliliğin korunması ve sürdürülebilirliği sağlanması amacıyla çevre kirliliği, nüfus artışı, doğal alanların bozulması, ormanların yok edilmesi, yasa dışı avlanma ve hayvan ticareti gibi insan etkinliklerinin önüne geçilmeye çalışılmaktadır.
Buna göre, biyolojik çeşitlilik için
I. Korunması, sürdürülebilirliğin sağlanması açısından vazgeçilmezdir.
II. Sadece tür çeşitliliğini ifade eder.
III. Çeşitli insan etkinlikleri biyolojik çeşitlilik için büyük tehdittir.
ifadelerinden hangileri doğrudur?","I, II ve III",Yalnız II,Yalnız III,I ve III,Yalnız I,D
4dfa8c9a-3976-5c7d-aedb-a43bb7af3ade,BIYOLOJI,"Oksijenli ve oksijensiz solunum olaylarıyla ilgili I. glikoliz gerçekleşme, II. ETS'de elektron aktarma, III. $CO_2$ ve $H_2O$ oluşturma özelliklerinden hangileri ortaktır?",I ve II,"I, II ve III",Yalnız I,Yalnız II,I ve III,C
edbc4663-ad05-5336-8833-ff8bf36994fa,BIYOLOJI,"Doğada birçok tarım zararlısı bulunmaktadır. Bu zararlılarla mücadele etmek için, çeşitli yöntemler kullanılır. Ancak, kullanılan bu yöntemlerin büyük bir kısmı, zararlılarla birlikte ekosistemin diğer elemanlarına da zarar vermektedir. Buna göre, ekosisteme verdiği zarar açısından bakıldığında, aşağıdaki mücadele yöntemlerinden hangisi en son tercih edilmelidir?",Zararlıların üreme ve gelişmesini durduracak kimyasal zehirlerin kullanılması,"Zararlıların üreme dönemleri tespit edilerek, bu dönemlerde tarım üretiminin yapılmaması",Tarım zararlısının besin kaynakları azaltılarak çoğalmasının engellenmesi,Zararlıyı yok edebilecek çevre şartlarının ortama uygulanması,Zararlıyı besin olarak tüketen yararlı böceklerin ekosistemdeki sayılarının artırılması,A
363f5b84-e162-5a29-9338-965fa338e2a5,BIYOLOJI,"Damarlı çiçekli bir bitkinin çiçeğindeki erkek ve dişi üreme organlarında yer alan;
I. başçık
II. tepecik,
III. filament,
IV. yumurtalık
yapılarının hangilerinde mayoz ve mitoz ile üreme yapıları oluşturulur?",Yalnız I,Yalnız II,I ve II,I ve IV,II ve III,D
29f969b6-02a3-5fa8-92a6-f14378eaac57,BIYOLOJI,Aşağıdaki olaylardan hangisi mayoz-II'de gerçekleştiği hâlde mayoz-I'de gerçekleşmez?,Çekirdek bölünmesi,Kardeş kromatitlerin zıt kutuplara çekilmesi,İğ ipliklerinin rol alması,Hücre sayısının artması,Homolog kromozomların zıt kutuplara çekilmesi,B
c8d1370c-1667-5306-bc30-98b7f9fd67ff,BIYOLOJI,"Tiroit bezinin üzerinde nodüller (zararlı hücre kümeleri) oluşan bir insanda tedavi sonucu tiroit bezi tamamen normal hâline dönmüştür. Ancak tedavi sırasında paratiroit bezleri hasar görmüştür.
Buna göre bu bireyde
I. sinir hücrelerinde kalsiyum eksikliği,
II. kaslarda ağrılı kasılmalar,
III. kan kalsiyum düzeyinin normalden yüksek seyretmesi
durumlarından hangilerinin ortaya çıkması beklenir?",Yalnız I,Yalnız II,I ve II,I ve III,"I, II ve III",C
9b0cb08b-b309-575f-bcbe-52be693bf39a,BIYOLOJI,"Sağlıklı bir insanda, kandaki adrenalin hormonu miktarının artması; I. kalp atışı ve kan dolaşımı, II. mide ve bağırsaklarda sindirim, III. hücrelerin oksijen tüketimi faktörlerinden hangilerini hızlandırır?",Yalnız I,Yalnız II,Yalnız III,I ve III,"I, II ve III",D
12c14ec2-fbc3-52b1-80d4-6ed4213be9e9,BIYOLOJI,"Aşağıdaki tabloda X, Y ve Z ile simgelenen organel veya yapıların görevi karşısına yazılmıştır.

Organel | Görevi
--- | ---
X | Besini parçalayarak kimyasal bağlarındaki enerjiyi ATP enerjisine dönüştürür.
Y | İnorganik maddeden organik besin sentezini gerçekleştirir.
Z | Basit organik maddeden kompleks organik madde sentezi gerçekleştirir.

Tabloda verilen organeller ile ilgili olarak aşağıdaki ifadelerden hangisi yanlıştır?","Z, nükleoprotein (nükleik asit ve proteinden oluşan) yapılı olabilir.","Y, fotosentetik canlılarda bulunan bir plastit çeşididir.","X, bütün canlılarda ortak olarak bulunur.",X ve Y çift zarlı organellerdir.,Z'nin faaliyeti sonucunda hücrenin ozmotik basıncı azalır.,D
3d1d47f9-318a-5aee-8a32-c4e873da72ec,BIYOLOJI,"Atmosferin oluşmasını sağlayan ozon tabakası, güneşten gelen ultraviyole ışınları emerek ve yansıtarak dünyaya ulaşmasını engeller veya azaltır. Ozon tabakasının incelmesiyle I. dünyada bitkiler tarafından üretilen organik besin miktarının artması, II. su ekosistemlerinde yaşayan canlı çeşitliliğinin kara ekosistemlerindekilere oranla daha az etkilenmesi, III. insanlarda, cilt ve deri kanseri oluşma oranının artması durumlarından hangilerinin meydana gelmesi beklenir?",Yalnız I,Yalnız II,Yalnız III,I ve III,II ve III,C
c60cd01a-3168-5b55-9af1-e7809431887a,BIYOLOJI,Bitkisel hormonlar ile ilgili aşağıdaki ifadelerden hangisi yanlıştır?,"Bitkisel hormonlar bitkilerde; çiçek açma, meyve oluşumu ve yaprak dökülmesi gibi olaylarda işlev görürler.","Bitkisel hormonlar, hayvansal hormonların aksine yalnızca üretildikleri dokuda etkili olurlar.","Etilen, meyvenin olgunlaşmasında etkili olan bir hormondur.","Giberellin eksikliği, cüce bitkilerin oluşumuna neden olabilir.","Oksinler, hücre duvarına etki ederek hücrelerin uzamasını ve büyümesini teşvik eder.",B
0bb4badf-664e-51f8-8544-3ce6f162b5af,BIYOLOJI,Poliribozomlar ile ilgili I. Poliribozomdaki her bir ribozomda farklı polipeptit sentezlenir. II. Tek bir mRNA üzerine birden çok ribozom tutunabilir. III. Bir mRNA'nın çok sayıda kopyasının üretilmesini sağlar. ifadelerinden hangileri doğrudur?,Yalnız II,Yalnız III,I ve II,I ve III,II ve III,E
85145e2b-e4ea-5c18-8378-cfb6fc3f4481,BIYOLOJI,"""Kanser, bir organ ya da dokudaki hücrelerin kontrolsüz olarak bölünüp çoğalmasıdır. Kanserin başlıca sebepleri arasında ............ gelir.""
Yukarıdaki cümlede boş bırakılan yere;
I. tütün ürünleri kullanımı,
II. alkol kullanımı,
III. aşırı güneş ışınına maruz kalma,
IV. yanlış ve kötü beslenme
ifadelerinden hangileri yazılabilir?",Yalnız I,III ve IV,"I, III ve IV","II, III ve IV","I, II, III ve IV",E
adf9ad31-e714-590d-91ae-185457d56eb3,COGRAFYA,"Aşağıdaki tabloda, iki ülke nüfusunun ortalama yaşı verilmiştir. Sadece tablodaki bilgiden yararlanılarak aşağıdaki yorumlardan hangisine ulaşılamaz?",X ülkesinin yer altı kaynaklarının kısıtlı olduğuna,X ülkesinde doğum oranının yüksek olduğuna,Y ülkesinde doğuşta beklenen yaşam süresinin uzun olduğuna,"X ülkesinde çocuk bağımlı, Y ülkesinde ise yaşlı bağımlı nüfus oranının yüksek olduğuna",Y ülkesinde insani gelişim endeksinin yüksek olduğuna,A
c856857b-9c05-5a7a-83a7-4914b531e71a,COGRAFYA,"Bir ülkenin ortalama yaşı, gelişmiş ülkelerde daha yüksek, gelişmekte olan ülkelerde daha düşüktür. Örneğin, Afrika ülkelerinde ortalama yaş $20$'dir. Buna göre Afrika ülkeleriyle ilgili olarak aşağıdakilerden hangisi söylenebilir?",Doğum oranı yüksektir.,Eğitim seviyesi yüksektir.,Nitelikli iş gücü fazladır.,Şehirli nüfus oranı fazladır.,Yaşlı nüfus oranı fazladır.,A
9dad206d-d4f5-5d63-82ff-a096ad7b89c4,COGRAFYA,"30 Ocak ile 1 Şubat 2024 tarihleri arasında Türkiye'nin batısında etkili olan şiddetli rüzgâr ve olumsuz hava koşulları nedeniyle 8 kişi yaşamını yitirdi. Meteoroloji Genel Müdürlüğü'ne göre, Türkiye'nin batısı 30 Ocak öğle saatlerinden itibaren kuvvetli bir alçak basınç sisteminin etkisine girdi. Rüzgârın şiddetini artırarak güney ve güneybatı yönlerinden (Lodos) fırtına (60-80 km/saat hızda), Marmara Bölgesi'nde tam fırtına (80-100 km/saat hızla) şeklinde esti. Yukarıda yer alan internet haberi dikkate alındığında, bu yörede esen rüzgârın hızını aşağıdakilerden hangisi etkilememiştir?",Yer şekilleri,Dünya'nın ekseni çevresindeki hareketi,Basınç merkezlerinin konumu,Basınç merkezleri arasındaki uzaklık,Basınç farkının artması,B
1b0d0bcc-a4a1-5a12-8a90-ab38a8b16694,COGRAFYA,Tarih boyunca insanlar doğal kaynaklarını sınırsız olabileceğini düşünmüşlerdir. Bu da insanların uzun yıllar boyunca doğal kaynakları bilinçsizce kullanmasına yol açmıştır. Aşağıdakilerden hangisi doğal kaynakların bu şekilde kullanılmasına yönelik uygulamalardan biri değildir?,Çayır ve meraların sürülerek tarım arazisine dönüştürülmesi,Verimli tarım alanlarının sanayileşmeye açılması,Göllerdeki sulama ve içme suyu için aşırı su çekilmesi,Yağmur ormanlarından tarım alanı kazanılması,Bitki örtüsünden yoksun yamaçlarda ağaçlandırma çalışmalarının yapılması,E
8b9792d8-7872-59bf-8749-c799ea76e99b,COGRAFYA,"Aşağıda Türkiye iklimi ile ilgili bazı bilgiler verilmiştir.
I. Kışın kutupsal hava kütlelerinin etkisi altında kalır.
II. Yazın tropikal hava kütlelerinin etkisi altında kalır.
III. Kışın kuzeydoğudan sokulan hava kütleleri Anadolu'da sıcaklıkların düşmesine neden olur.
IV. Yazın güneydoğudan gelen sıcak ve kuru hava kütlelerinin etkisinde kalır.
V. Türkiye'de kış mevsiminde kuzeybatıdan gelen hava kütleleri kışların çok soğuk ve kurak geçmesine neden olur.
Bu bilgilerden hangisinin doğru olduğu söylenemez?",I,II,III,IV,V,E
